from date,PM2.5,PM10,NO2,NO,NOx,NH3,SO2,CO,Ozone,Benzene,Toluene,WS,WD,AT,RH,BP,SR,RF,to date,station
07-Mar-2019 - 00:00,130.77,265.95,43.44,19.35,38.84,43.3,21.45,1.07,68.35,1.59,68.87,0.51,258.58,19.55,59.23,741.54,122.36,,08-Mar-2019 - 00:00,"Loni, Ghaziabad - UPPCB"
08-Mar-2019 - 00:00,99.82,234.61,40.88,6.91,27.37,45.16,23.47,0.95,62.99,1.49,61.91,0.57,267.03,20.11,58.91,741.71,114.78,,09-Mar-2019 - 00:00,"Loni, Ghaziabad - UPPCB"
09-Mar-2019 - 00:00,78.02,190.45,28.93,6.99,21.08,37.75,17.51,0.76,61.34,0.85,52.26,0.68,284.82,19.54,61.53,741.75,120.09,,10-Mar-2019 - 00:00,"Loni, Ghaziabad - UPPCB"
10-Mar-2019 - 00:00,98.83,225.14,34.24,3.59,21.13,39.79,22.32,0.81,80.7,1.19,63.1,0.57,238.35,19.86,53.79,741.81,129.39,,11-Mar-2019 - 00:00,"Loni, Ghaziabad - UPPCB"
11-Mar-2019 - 00:00,95.25,310.59,38.54,4.04,23.78,46.3,21.51,1.05,83.9,2.62,58.41,0.81,124.74,21.57,54.23,741.78,97.01,,12-Mar-2019 - 00:00,"Loni, Ghaziabad - UPPCB"
12-Mar-2019 - 00:00,50.78,108.13,18.27,1.97,11.32,32.72,10.62,0.69,68.82,0.85,52.37,0.68,270.41,20.5,60.41,742.0,110.72,,13-Mar-2019 - 00:00,"Loni, Ghaziabad - UPPCB"
13-Mar-2019 - 00:00,96.48,305.56,41.85,6.17,27.28,45.85,28.01,1.0,55.67,1.79,53.35,0.52,235.12,19.92,57.9,742.0,67.43,,14-Mar-2019 - 00:00,"Loni, Ghaziabad - UPPCB"
14-Mar-2019 - 00:00,107.24,205.25,29.63,6.45,21.01,48.92,21.57,0.99,49.5,1.86,49.12,0.71,244.36,17.84,72.1,742.0,79.45,1.0,15-Mar-2019 - 00:00,"Loni, Ghaziabad - UPPCB"
15-Mar-2019 - 00:00,74.09,141.62,26.14,10.11,22.12,41.33,17.81,0.77,70.16,0.94,47.41,0.64,282.39,18.46,69.28,742.07,132.59,1.0,16-Mar-2019 - 00:00,"Loni, Ghaziabad - UPPCB"
16-Mar-2019 - 00:00,71.56,155.99,22.81,2.31,14.01,36.13,14.38,0.74,82.79,0.71,41.71,0.64,271.13,19.23,62.95,742.0,141.16,,17-Mar-2019 - 00:00,"Loni, Ghaziabad - UPPCB"
17-Mar-2019 - 00:00,100.59,218.31,27.7,2.58,16.84,42.31,23.54,0.87,85.21,1.0,52.51,0.59,278.16,21.24,55.84,741.99,133.46,,18-Mar-2019 - 00:00,"Loni, Ghaziabad - UPPCB"
18-Mar-2019 - 00:00,121.51,265.86,36.35,3.99,22.59,46.8,30.02,0.96,82.2,1.22,53.95,0.54,267.03,21.63,56.88,741.84,131.3,,19-Mar-2019 - 00:00,"Loni, Ghaziabad - UPPCB"
19-Mar-2019 - 00:00,112.95,304.19,51.01,15.14,39.44,53.14,32.58,1.19,72.95,1.94,53.57,0.53,224.72,23.45,52.98,741.34,133.98,,20-Mar-2019 - 00:00,"Loni, Ghaziabad - UPPCB"
20-Mar-2019 - 00:00,122.29,380.21,51.76,12.27,37.5,61.49,39.64,1.31,66.77,3.1,45.53,0.69,139.95,25.85,45.45,741.17,103.32,,21-Mar-2019 - 00:00,"Loni, Ghaziabad - UPPCB"
21-Mar-2019 - 00:00,119.11,230.29,19.1,3.32,12.86,60.91,28.74,1.17,57.25,1.58,24.35,0.63,233.47,24.41,52.31,741.69,126.18,,22-Mar-2019 - 00:00,"Loni, Ghaziabad - UPPCB"
22-Mar-2019 - 00:00,44.48,165.21,15.09,1.63,9.36,38.12,21.37,0.54,71.39,0.57,16.45,0.76,282.06,22.7,48.08,741.88,143.95,,23-Mar-2019 - 00:00,"Loni, Ghaziabad - UPPCB"
23-Mar-2019 - 00:00,63.35,177.15,13.02,1.39,8.06,34.38,17.02,0.61,84.52,0.56,15.0,0.81,270.56,22.7,51.48,741.92,138.39,,24-Mar-2019 - 00:00,"Loni, Ghaziabad - UPPCB"
24-Mar-2019 - 00:00,55.0,165.99,17.62,2.16,11.13,37.32,23.8,0.67,60.54,0.59,19.37,0.73,276.85,23.62,53.88,741.46,133.81,,25-Mar-2019 - 00:00,"Loni, Ghaziabad - UPPCB"
25-Mar-2019 - 00:00,76.81,189.55,20.51,2.5,12.93,42.95,22.74,0.8,49.46,0.93,22.0,0.74,280.4,22.49,63.29,741.7,123.41,,26-Mar-2019 - 00:00,"Loni, Ghaziabad - UPPCB"
