from date,PM2.5,SR,RH,Temp,WS,WD,RF,PM10,CO,Ozone,Benzene,Toluene,O Xylene,NO,NO2,NH3,NOx,SO2,to date,station
26-Jul-2019 - 00:00,6.76,323.81,90.82,26.66,2.16,214.34,0.0,17.38,0.41,48.3,1.14,3.69,1.83,31.27,7.79,21.56,41.12,2.0,27-Jul-2019 - 00:00,"MIDC Khutala, Chandrapur - MPCB"
27-Jul-2019 - 00:00,,319.63,91.18,26.27,2.6,233.34,0.0,10.95,0.4,51.29,1.12,3.83,1.86,140.19,8.37,35.71,121.86,1.13,28-Jul-2019 - 00:00,"MIDC Khutala, Chandrapur - MPCB"
28-Jul-2019 - 00:00,,312.49,95.03,26.03,2.14,229.09,0.0,24.38,0.41,41.94,1.23,4.27,1.82,88.54,9.13,33.71,82.8,1.5,29-Jul-2019 - 00:00,"MIDC Khutala, Chandrapur - MPCB"
29-Jul-2019 - 00:00,,317.51,96.92,25.4,2.95,224.75,0.0,16.62,0.4,47.66,1.18,3.43,1.88,44.61,8.41,24.96,43.61,1.13,30-Jul-2019 - 00:00,"MIDC Khutala, Chandrapur - MPCB"
30-Jul-2019 - 00:00,0.53,302.64,96.47,24.78,3.38,213.4,0.0,10.97,0.42,49.52,1.07,3.51,1.62,46.95,7.43,21.02,44.99,5.28,31-Jul-2019 - 00:00,"MIDC Khutala, Chandrapur - MPCB"
31-Jul-2019 - 00:00,11.89,299.54,91.63,26.04,2.16,229.6,0.0,31.65,0.41,50.48,1.16,3.48,1.62,11.93,7.54,14.83,18.92,7.75,01-Aug-2019 - 00:00,"MIDC Khutala, Chandrapur - MPCB"
01-Aug-2019 - 00:00,12.61,311.97,93.85,26.18,1.98,215.37,0.0,48.61,0.41,43.9,1.28,4.11,1.75,11.58,7.94,14.98,18.93,7.57,02-Aug-2019 - 00:00,"MIDC Khutala, Chandrapur - MPCB"
02-Aug-2019 - 00:00,19.66,345.45,97.09,25.52,2.35,225.26,0.0,39.44,0.41,40.88,1.03,3.86,1.6,12.07,7.72,15.11,19.19,7.34,03-Aug-2019 - 00:00,"MIDC Khutala, Chandrapur - MPCB"
03-Aug-2019 - 00:00,6.28,316.66,93.5,25.84,3.14,221.85,0.0,17.63,0.4,43.61,0.97,3.27,1.52,11.57,7.74,14.97,18.81,7.89,04-Aug-2019 - 00:00,"MIDC Khutala, Chandrapur - MPCB"
04-Aug-2019 - 00:00,2.45,280.3,83.76,27.86,2.2,217.28,0.0,19.44,0.4,54.82,0.86,3.61,1.45,11.63,7.97,14.89,18.99,7.34,05-Aug-2019 - 00:00,"MIDC Khutala, Chandrapur - MPCB"
05-Aug-2019 - 00:00,15.7,298.35,85.18,27.97,2.08,238.04,0.0,54.44,0.41,52.5,1.65,3.51,1.43,10.76,8.23,14.88,18.34,9.95,06-Aug-2019 - 00:00,"MIDC Khutala, Chandrapur - MPCB"
06-Aug-2019 - 00:00,3.25,327.99,94.27,27.19,1.93,234.97,0.0,44.33,0.38,38.45,1.31,4.37,1.54,33.77,8.12,18.39,33.43,7.6,07-Aug-2019 - 00:00,"MIDC Khutala, Chandrapur - MPCB"
07-Aug-2019 - 00:00,16.83,325.92,95.45,26.2,2.33,249.08,0.0,44.32,0.4,42.76,1.15,3.42,1.62,15.29,8.93,15.16,20.6,8.04,08-Aug-2019 - 00:00,"MIDC Khutala, Chandrapur - MPCB"
08-Aug-2019 - 00:00,16.03,333.18,95.67,25.5,2.98,231.1,0.0,48.22,0.4,48.16,1.03,3.94,1.49,14.22,7.33,15.14,20.07,8.04,09-Aug-2019 - 00:00,"MIDC Khutala, Chandrapur - MPCB"
09-Aug-2019 - 00:00,22.84,295.38,87.05,27.31,1.99,179.64,0.0,92.52,0.4,53.97,0.87,3.68,1.34,13.9,5.68,14.37,18.81,7.83,10-Aug-2019 - 00:00,"MIDC Khutala, Chandrapur - MPCB"
