from date,AT,BP,PM10,PM2.5,RH,SR,WD,WS,Benzene,Toluene,NH3,NO2,NOx,NO,SO2,CO,Ozone,to date,station
19-Nov-2019 - 00:00,20.53,991.46,224.32,106.59,65.94,67.21,247.32,0.65,6.7,36.66,21.81,91.95,159.06,135.14,12.8,2.25,5.23,20-Nov-2019 - 00:00,"Major Dhyan Chand National Stadium, Delhi - DPCC"
20-Nov-2019 - 00:00,20.54,991.97,272.67,122.92,66.26,64.97,206.3,0.43,7.93,36.03,22.41,125.56,167.28,139.98,14.39,2.36,8.47,21-Nov-2019 - 00:00,"Major Dhyan Chand National Stadium, Delhi - DPCC"
21-Nov-2019 - 00:00,20.69,993.9,344.27,162.38,66.99,52.87,186.84,0.36,10.24,57.59,24.61,144.89,232.95,148.39,17.37,2.63,31.49,22-Nov-2019 - 00:00,"Major Dhyan Chand National Stadium, Delhi - DPCC"
22-Nov-2019 - 00:00,21.01,993.98,309.67,154.77,66.21,57.87,219.03,0.44,11.1,60.47,34.22,118.42,205.64,172.34,16.29,2.81,10.52,23-Nov-2019 - 00:00,"Major Dhyan Chand National Stadium, Delhi - DPCC"
23-Nov-2019 - 00:00,21.51,993.31,236.39,123.23,61.33,47.98,242.32,0.69,6.97,44.35,33.99,82.66,84.57,49.91,11.8,1.56,10.68,24-Nov-2019 - 00:00,"Major Dhyan Chand National Stadium, Delhi - DPCC"
24-Nov-2019 - 00:00,22.07,992.64,199.83,98.92,60.25,52.87,255.87,0.83,4.52,24.71,31.3,74.2,62.03,27.65,13.34,1.25,11.36,25-Nov-2019 - 00:00,"Major Dhyan Chand National Stadium, Delhi - DPCC"
25-Nov-2019 - 00:00,21.35,993.34,247.49,121.14,64.3,52.71,155.65,0.42,6.8,27.71,32.07,100.22,130.06,100.36,14.87,1.81,15.13,26-Nov-2019 - 00:00,"Major Dhyan Chand National Stadium, Delhi - DPCC"
26-Nov-2019 - 00:00,22.44,992.89,233.09,99.91,59.63,43.89,99.74,0.83,8.42,34.14,32.65,83.85,115.71,87.17,18.19,1.77,18.89,27-Nov-2019 - 00:00,"Major Dhyan Chand National Stadium, Delhi - DPCC"
27-Nov-2019 - 00:00,21.56,992.78,130.53,62.39,63.87,53.4,110.06,0.87,4.14,19.3,33.31,72.29,65.78,33.59,15.18,1.14,15.8,28-Nov-2019 - 00:00,"Major Dhyan Chand National Stadium, Delhi - DPCC"
28-Nov-2019 - 00:00,20.15,993.79,60.12,27.82,69.07,56.75,76.36,1.22,2.07,13.35,27.42,56.17,34.97,6.45,13.47,0.79,14.8,29-Nov-2019 - 00:00,"Major Dhyan Chand National Stadium, Delhi - DPCC"
29-Nov-2019 - 00:00,19.94,994.21,112.62,51.7,71.47,82.03,104.26,0.71,4.66,22.12,28.47,73.31,97.08,71.21,14.12,1.42,12.26,30-Nov-2019 - 00:00,"Major Dhyan Chand National Stadium, Delhi - DPCC"
30-Nov-2019 - 00:00,19.29,994.24,169.91,93.91,75.2,78.01,246.98,0.73,7.83,37.88,40.84,79.72,96.54,66.44,10.55,1.51,12.2,01-Dec-2019 - 00:00,"Major Dhyan Chand National Stadium, Delhi - DPCC"
01-Dec-2019 - 00:00,18.49,993.94,198.08,100.6,70.7,81.16,246.78,0.76,6.15,31.64,39.11,86.31,136.5,111.17,12.3,1.63,9.38,02-Dec-2019 - 00:00,"Major Dhyan Chand National Stadium, Delhi - DPCC"
02-Dec-2019 - 00:00,18.08,994.5,233.04,109.34,67.69,80.49,251.27,0.81,6.75,32.16,39.09,98.41,152.82,117.01,12.63,1.99,8.81,03-Dec-2019 - 00:00,"Major Dhyan Chand National Stadium, Delhi - DPCC"
03-Dec-2019 - 00:00,18.21,994.11,239.64,106.23,63.42,83.62,246.12,0.86,7.88,40.58,38.44,104.29,181.91,138.87,13.14,1.96,8.31,04-Dec-2019 - 00:00,"Major Dhyan Chand National Stadium, Delhi - DPCC"
04-Dec-2019 - 00:00,18.1,996.23,278.43,129.79,64.64,76.69,219.07,0.56,8.34,45.77,43.4,129.19,124.61,69.5,15.49,1.65,10.88,05-Dec-2019 - 00:00,"Major Dhyan Chand National Stadium, Delhi - DPCC"
05-Dec-2019 - 00:00,17.69,997.96,398.04,208.2,71.85,61.67,208.81,0.46,13.39,69.93,64.51,153.18,266.39,205.79,15.86,3.39,12.93,06-Dec-2019 - 00:00,"Major Dhyan Chand National Stadium, Delhi - DPCC"
06-Dec-2019 - 00:00,18.51,997.49,351.01,194.52,74.16,63.07,208.61,0.59,10.04,53.14,63.32,104.84,207.69,188.59,15.83,2.96,12.93,07-Dec-2019 - 00:00,"Major Dhyan Chand National Stadium, Delhi - DPCC"
07-Dec-2019 - 00:00,18.65,996.41,350.95,206.02,74.78,61.71,198.3,0.54,10.81,49.35,60.45,142.72,174.18,126.83,16.96,2.58,19.52,08-Dec-2019 - 00:00,"Major Dhyan Chand National Stadium, Delhi - DPCC"
08-Dec-2019 - 00:00,18.3,996.12,338.7,183.58,73.24,57.75,222.74,0.55,8.92,49.16,51.24,82.26,69.16,47.57,13.94,2.93,13.16,09-Dec-2019 - 00:00,"Major Dhyan Chand National Stadium, Delhi - DPCC"
09-Dec-2019 - 00:00,18.02,995.4,290.11,148.0,70.61,64.87,210.44,0.44,9.67,57.35,47.54,113.3,113.15,79.59,12.85,3.08,11.8,10-Dec-2019 - 00:00,"Major Dhyan Chand National Stadium, Delhi - DPCC"
10-Dec-2019 - 00:00,17.66,992.7,354.88,171.62,72.04,64.09,229.6,0.52,10.0,55.85,53.6,120.22,238.94,225.53,13.73,2.79,13.31,11-Dec-2019 - 00:00,"Major Dhyan Chand National Stadium, Delhi - DPCC"
11-Dec-2019 - 00:00,17.98,991.27,410.91,196.76,72.88,53.0,159.82,0.49,8.76,40.72,58.15,147.97,129.47,77.4,16.24,2.68,12.77,12-Dec-2019 - 00:00,"Major Dhyan Chand National Stadium, Delhi - DPCC"
12-Dec-2019 - 00:00,18.89,989.98,409.38,203.6,70.4,34.87,124.03,0.9,9.31,48.88,67.56,95.01,101.19,54.7,12.11,2.03,18.92,13-Dec-2019 - 00:00,"Major Dhyan Chand National Stadium, Delhi - DPCC"
13-Dec-2019 - 00:00,18.13,990.48,125.22,72.98,80.04,33.54,170.66,1.01,4.28,19.43,41.87,56.08,35.07,6.41,10.59,0.93,14.68,14-Dec-2019 - 00:00,"Major Dhyan Chand National Stadium, Delhi - DPCC"
14-Dec-2019 - 00:00,17.42,996.87,147.47,64.93,77.42,54.89,162.95,0.57,5.6,31.18,32.55,68.91,103.04,81.45,13.23,1.21,15.23,15-Dec-2019 - 00:00,"Major Dhyan Chand National Stadium, Delhi - DPCC"
15-Dec-2019 - 00:00,17.17,996.49,156.72,74.14,77.69,66.02,242.91,0.67,5.36,21.69,36.72,58.36,66.65,43.71,11.28,0.89,12.23,16-Dec-2019 - 00:00,"Major Dhyan Chand National Stadium, Delhi - DPCC"
16-Dec-2019 - 00:00,15.54,997.02,136.92,63.34,80.74,17.3,266.62,0.93,3.79,8.89,39.12,46.72,29.58,5.79,9.59,0.59,11.1,17-Dec-2019 - 00:00,"Major Dhyan Chand National Stadium, Delhi - DPCC"
17-Dec-2019 - 00:00,15.21,998.01,144.08,28.77,77.93,24.39,260.67,0.87,4.76,14.75,57.9,44.67,62.61,47.68,10.58,0.89,12.18,18-Dec-2019 - 00:00,"Major Dhyan Chand National Stadium, Delhi - DPCC"
18-Dec-2019 - 00:00,15.79,996.88,232.12,52.74,74.99,72.35,215.86,0.6,5.4,21.36,59.35,61.31,90.33,60.55,11.89,1.4,15.06,19-Dec-2019 - 00:00,"Major Dhyan Chand National Stadium, Delhi - DPCC"
19-Dec-2019 - 00:00,14.45,995.76,401.24,75.07,84.11,45.14,151.41,0.49,10.07,39.31,65.76,71.48,135.71,119.81,12.26,2.2,20.49,20-Dec-2019 - 00:00,"Major Dhyan Chand National Stadium, Delhi - DPCC"
20-Dec-2019 - 00:00,15.87,993.5,484.81,222.39,80.86,51.5,202.16,0.63,12.4,50.53,71.03,88.68,112.98,80.7,11.11,2.08,16.3,21-Dec-2019 - 00:00,"Major Dhyan Chand National Stadium, Delhi - DPCC"
21-Dec-2019 - 00:00,16.59,994.35,379.75,262.42,79.65,64.04,241.01,0.66,11.16,42.89,74.55,65.78,86.17,63.77,9.53,1.86,14.34,22-Dec-2019 - 00:00,"Major Dhyan Chand National Stadium, Delhi - DPCC"
22-Dec-2019 - 00:00,15.49,995.64,211.69,150.54,80.94,64.67,259.26,0.95,5.72,16.15,70.31,51.53,35.79,10.13,8.65,0.9,11.81,23-Dec-2019 - 00:00,"Major Dhyan Chand National Stadium, Delhi - DPCC"
23-Dec-2019 - 00:00,14.82,994.83,267.97,192.43,78.27,67.7,241.95,0.68,7.95,36.34,56.99,56.25,74.12,57.82,10.26,1.45,12.64,24-Dec-2019 - 00:00,"Major Dhyan Chand National Stadium, Delhi - DPCC"
24-Dec-2019 - 00:00,14.9,996.53,440.23,285.95,78.43,62.07,137.94,0.64,8.55,40.29,56.02,81.81,109.17,80.46,10.32,1.76,23.23,25-Dec-2019 - 00:00,"Major Dhyan Chand National Stadium, Delhi - DPCC"
25-Dec-2019 - 00:00,13.9,995.58,265.51,169.65,79.85,67.0,272.25,0.92,6.23,19.77,50.08,50.9,46.5,23.83,8.59,0.86,12.08,26-Dec-2019 - 00:00,"Major Dhyan Chand National Stadium, Delhi - DPCC"
26-Dec-2019 - 00:00,13.85,995.0,309.68,204.49,76.32,62.15,231.53,0.68,6.16,20.12,57.11,55.92,46.23,20.24,9.47,1.0,13.17,27-Dec-2019 - 00:00,"Major Dhyan Chand National Stadium, Delhi - DPCC"
27-Dec-2019 - 00:00,13.69,995.9,397.3,254.09,75.55,62.47,158.4,0.58,7.53,22.86,49.64,73.8,76.65,45.86,9.92,1.29,11.82,28-Dec-2019 - 00:00,"Major Dhyan Chand National Stadium, Delhi - DPCC"
28-Dec-2019 - 00:00,12.28,996.59,471.24,301.98,82.36,50.53,184.52,0.53,11.14,35.01,44.27,71.57,182.29,161.19,11.88,2.33,18.2,29-Dec-2019 - 00:00,"Major Dhyan Chand National Stadium, Delhi - DPCC"
29-Dec-2019 - 00:00,7.0,996.97,565.24,360.46,77.46,57.65,142.91,0.56,9.97,36.74,48.46,92.54,117.8,84.1,9.14,1.77,44.76,30-Dec-2019 - 00:00,"Major Dhyan Chand National Stadium, Delhi - DPCC"
30-Dec-2019 - 00:00,6.09,996.37,521.25,351.31,87.12,14.79,148.41,0.73,12.69,33.31,62.14,73.35,121.17,100.79,6.98,2.14,15.69,31-Dec-2019 - 00:00,"Major Dhyan Chand National Stadium, Delhi - DPCC"
31-Dec-2019 - 00:00,5.85,996.9,320.0,210.0,83.7,2.1,90.0,0.8,7.8,8.5,66.85,45.5,29.75,6.9,4.45,1.1,9.3,01-Jan-2020 - 00:00,"Major Dhyan Chand National Stadium, Delhi - DPCC"
