from date,AT,BP,PM10,PM2.5,RH,SR,WD,WS,Benzene,Toluene,NH3,NO2,NOx,NO,SO2,CO,Ozone,to date,station
14-Mar-2019 - 00:00,18.08,993.22,223.31,99.47,70.68,68.2,182.82,0.88,10.69,47.88,30.67,65.87,116.76,100.3,15.21,1.77,20.29,15-Mar-2019 - 00:00,"Major Dhyan Chand National Stadium, Delhi - DPCC"
15-Mar-2019 - 00:00,19.29,994.5,143.2,71.23,65.28,112.89,268.06,1.03,7.05,34.11,26.89,56.42,67.87,46.5,15.17,1.11,31.79,16-Mar-2019 - 00:00,"Major Dhyan Chand National Stadium, Delhi - DPCC"
16-Mar-2019 - 00:00,20.7,992.94,127.72,58.53,52.77,111.17,254.26,1.03,5.11,19.25,22.42,61.37,42.63,12.49,15.23,0.93,21.16,17-Mar-2019 - 00:00,"Major Dhyan Chand National Stadium, Delhi - DPCC"
17-Mar-2019 - 00:00,21.43,991.11,167.39,80.6,54.12,114.2,233.08,0.84,6.71,28.62,23.7,69.03,66.02,36.4,16.98,1.12,27.47,18-Mar-2019 - 00:00,"Major Dhyan Chand National Stadium, Delhi - DPCC"
18-Mar-2019 - 00:00,21.28,990.65,200.71,90.81,58.93,113.56,238.47,0.75,7.09,30.11,25.24,84.62,122.59,105.96,17.6,1.25,37.82,19-Mar-2019 - 00:00,"Major Dhyan Chand National Stadium, Delhi - DPCC"
19-Mar-2019 - 00:00,22.89,987.16,211.05,86.62,55.18,114.68,208.27,0.72,8.0,39.27,25.29,79.18,116.24,91.05,17.05,0.79,33.16,20-Mar-2019 - 00:00,"Major Dhyan Chand National Stadium, Delhi - DPCC"
20-Mar-2019 - 00:00,24.97,985.36,238.46,86.5,50.65,138.89,140.55,0.99,6.72,31.09,27.96,60.52,110.5,96.11,14.66,0.62,33.93,21-Mar-2019 - 00:00,"Major Dhyan Chand National Stadium, Delhi - DPCC"
21-Mar-2019 - 00:00,26.69,989.54,122.7,54.76,40.09,147.98,102.47,0.91,5.57,9.49,30.24,33.16,23.74,7.75,16.1,0.86,64.69,22-Mar-2019 - 00:00,"Major Dhyan Chand National Stadium, Delhi - DPCC"
22-Mar-2019 - 00:00,24.39,990.83,105.9,27.0,36.77,126.23,273.31,1.52,2.92,8.22,23.76,46.49,27.58,3.6,15.67,0.6,49.74,23-Mar-2019 - 00:00,"Major Dhyan Chand National Stadium, Delhi - DPCC"
23-Mar-2019 - 00:00,24.27,990.04,117.61,41.16,40.36,122.68,278.51,2.04,3.31,9.88,23.06,43.38,24.4,1.66,14.74,0.68,62.02,24-Mar-2019 - 00:00,"Major Dhyan Chand National Stadium, Delhi - DPCC"
24-Mar-2019 - 00:00,24.83,988.48,123.86,48.08,44.88,117.13,245.67,1.25,3.24,13.04,23.45,45.75,29.43,6.27,22.98,0.75,42.4,25-Mar-2019 - 00:00,"Major Dhyan Chand National Stadium, Delhi - DPCC"
