from date,NOx,NO2,NO,NH3,SO2,CO,Ozone,Benzene,Toluene,Xylene,MP-Xylene,Eth-Benzene,PM2.5,PM10,RH,WD,WS,SR,RF,to date,station
28-Feb-2019 - 00:00,20.09,27.95,7.86,20.53,9.5,0.55,60.99,2.27,0.32,0.78,2.49,1.75,76.85,126.81,66.91,11.54,1.59,465.23,0.0,01-Mar-2019 - 00:00,"Huda Sector, Fatehabad - HSPCB"
01-Mar-2019 - 00:00,17.03,22.44,5.42,25.25,1.29,0.46,63.58,2.85,0.32,0.74,3.56,2.49,79.25,121.56,64.06,12.8,1.83,454.59,0.0,02-Mar-2019 - 00:00,"Huda Sector, Fatehabad - HSPCB"
02-Mar-2019 - 00:00,11.26,16.34,5.08,25.51,1.0,0.42,44.97,1.74,0.2,0.38,2.13,1.53,58.17,87.66,81.81,16.38,2.42,48.97,0.02,03-Mar-2019 - 00:00,"Huda Sector, Fatehabad - HSPCB"
03-Mar-2019 - 00:00,18.14,24.58,6.44,29.4,0.94,0.41,48.22,1.53,0.18,0.51,3.74,2.57,60.62,76.33,86.79,15.3,2.21,316.51,0.0,04-Mar-2019 - 00:00,"Huda Sector, Fatehabad - HSPCB"
04-Mar-2019 - 00:00,13.9,20.8,6.9,23.71,0.94,0.41,46.43,1.38,0.21,0.53,3.33,2.28,49.29,77.97,83.15,17.36,2.57,351.28,0.0,05-Mar-2019 - 00:00,"Huda Sector, Fatehabad - HSPCB"
05-Mar-2019 - 00:00,17.01,22.99,5.98,26.44,1.12,0.49,62.38,3.39,0.27,0.85,3.44,2.32,57.63,97.75,70.01,15.02,2.16,491.58,0.0,06-Mar-2019 - 00:00,"Huda Sector, Fatehabad - HSPCB"
06-Mar-2019 - 00:00,16.45,21.88,5.43,31.98,1.47,0.54,73.58,5.14,0.41,0.83,3.18,2.16,66.12,112.07,70.54,14.74,2.13,126.25,0.0,07-Mar-2019 - 00:00,"Huda Sector, Fatehabad - HSPCB"
07-Mar-2019 - 00:00,12.78,17.84,5.07,20.1,1.76,0.43,76.9,3.07,0.44,0.58,2.1,1.48,65.21,115.12,58.52,14.02,2.0,462.86,0.0,08-Mar-2019 - 00:00,"Huda Sector, Fatehabad - HSPCB"
08-Mar-2019 - 00:00,10.04,14.81,4.77,41.29,0.89,0.31,61.01,6.05,0.36,0.75,1.85,1.25,35.61,81.73,67.13,16.0,2.33,185.54,0.0,09-Mar-2019 - 00:00,"Huda Sector, Fatehabad - HSPCB"
09-Mar-2019 - 00:00,13.29,18.13,4.84,26.59,1.74,0.48,64.79,2.94,0.27,0.93,1.66,1.13,54.58,123.89,64.85,17.69,2.63,478.22,0.0,10-Mar-2019 - 00:00,"Huda Sector, Fatehabad - HSPCB"
10-Mar-2019 - 00:00,13.61,18.46,4.85,22.17,1.25,0.45,82.57,1.62,0.68,0.68,2.46,1.62,42.03,129.45,52.32,13.68,1.96,508.62,0.0,11-Mar-2019 - 00:00,"Huda Sector, Fatehabad - HSPCB"
11-Mar-2019 - 00:00,13.02,17.79,4.77,21.71,1.32,0.41,77.73,1.79,0.1,0.28,1.19,0.7,40.12,132.58,62.94,20.98,3.11,318.69,0.01,12-Mar-2019 - 00:00,"Huda Sector, Fatehabad - HSPCB"
12-Mar-2019 - 00:00,11.14,15.94,4.8,27.61,1.33,0.55,64.25,2.04,0.3,0.47,1.9,1.27,53.75,145.13,70.15,15.33,2.25,419.69,0.0,13-Mar-2019 - 00:00,"Huda Sector, Fatehabad - HSPCB"
13-Mar-2019 - 00:00,16.39,22.33,5.95,35.78,1.25,0.53,48.87,0.85,0.08,0.12,0.57,0.37,82.7,227.67,72.56,11.67,1.65,116.73,0.0,14-Mar-2019 - 00:00,"Huda Sector, Fatehabad - HSPCB"
14-Mar-2019 - 00:00,14.62,20.49,5.87,31.3,3.58,0.41,51.42,0.79,0.08,0.14,0.7,0.42,42.27,115.74,72.39,16.55,2.4,332.12,0.01,15-Mar-2019 - 00:00,"Huda Sector, Fatehabad - HSPCB"
15-Mar-2019 - 00:00,12.92,18.34,5.42,28.79,4.5,0.45,67.52,1.22,0.14,0.27,1.0,0.65,52.97,116.69,53.7,17.37,2.55,571.81,0.0,16-Mar-2019 - 00:00,"Huda Sector, Fatehabad - HSPCB"
16-Mar-2019 - 00:00,17.47,22.49,5.02,26.79,1.21,0.6,74.92,2.15,0.2,1.49,1.68,1.09,44.26,140.54,60.76,13.16,1.85,444.08,0.0,17-Mar-2019 - 00:00,"Huda Sector, Fatehabad - HSPCB"
17-Mar-2019 - 00:00,18.8,24.18,5.39,28.8,1.17,0.68,77.28,2.49,0.6,1.55,2.59,1.75,38.82,152.33,55.58,12.28,1.74,471.79,0.0,18-Mar-2019 - 00:00,"Huda Sector, Fatehabad - HSPCB"
18-Mar-2019 - 00:00,17.35,22.43,5.08,21.35,1.58,0.74,89.99,3.1,0.28,1.4,2.09,1.43,53.41,169.32,54.84,11.41,1.6,444.24,0.0,19-Mar-2019 - 00:00,"Huda Sector, Fatehabad - HSPCB"
19-Mar-2019 - 00:00,8.59,13.29,4.7,17.52,1.36,0.54,79.15,2.39,0.2,0.64,2.35,1.31,56.87,164.33,56.96,15.97,2.34,497.32,0.0,20-Mar-2019 - 00:00,"Huda Sector, Fatehabad - HSPCB"
20-Mar-2019 - 00:00,9.36,14.1,4.71,10.43,0.94,0.54,56.63,1.28,0.28,0.38,1.17,0.77,59.74,174.96,67.11,22.02,3.28,499.02,0.0,21-Mar-2019 - 00:00,"Huda Sector, Fatehabad - HSPCB"
21-Mar-2019 - 00:00,3.91,8.27,4.38,12.21,0.61,0.34,59.77,0.96,0.42,0.42,1.28,0.83,36.47,106.59,62.95,20.73,3.14,530.49,0.0,22-Mar-2019 - 00:00,"Huda Sector, Fatehabad - HSPCB"
22-Mar-2019 - 00:00,7.05,11.58,4.53,10.0,1.02,0.36,89.82,1.07,0.46,0.47,1.35,0.89,33.84,121.92,50.77,20.06,2.99,523.47,0.0,23-Mar-2019 - 00:00,"Huda Sector, Fatehabad - HSPCB"
23-Mar-2019 - 00:00,8.94,13.38,4.44,8.34,1.49,0.39,92.33,1.12,0.45,0.48,1.31,0.87,40.24,131.43,51.25,21.32,3.21,487.04,0.0,24-Mar-2019 - 00:00,"Huda Sector, Fatehabad - HSPCB"
24-Mar-2019 - 00:00,7.85,12.46,4.6,6.83,1.28,0.37,59.29,0.99,0.42,0.41,1.27,0.82,39.62,122.43,64.89,20.04,3.0,407.4,0.0,25-Mar-2019 - 00:00,"Huda Sector, Fatehabad - HSPCB"
25-Mar-2019 - 00:00,12.38,17.34,4.94,12.78,1.08,0.55,49.68,2.08,0.33,0.46,1.67,1.05,74.41,154.49,72.67,12.82,1.81,220.66,0.0,26-Mar-2019 - 00:00,"Huda Sector, Fatehabad - HSPCB"
26-Mar-2019 - 00:00,19.7,26.02,6.32,23.34,1.31,0.59,72.72,2.57,0.29,0.72,2.39,1.5,39.54,156.98,55.44,15.63,2.26,520.52,0.0,27-Mar-2019 - 00:00,"Huda Sector, Fatehabad - HSPCB"
27-Mar-2019 - 00:00,18.33,26.39,10.59,30.56,9.47,0.48,88.43,1.9,0.35,0.73,1.04,0.66,58.58,169.01,48.58,12.39,1.77,360.92,0.0,28-Mar-2019 - 00:00,"Huda Sector, Fatehabad - HSPCB"
28-Mar-2019 - 00:00,14.86,10.36,5.64,19.32,28.67,0.45,79.73,1.79,0.29,0.46,2.05,1.27,69.41,163.07,52.12,12.44,1.8,587.0,0.0,29-Mar-2019 - 00:00,"Huda Sector, Fatehabad - HSPCB"
29-Mar-2019 - 00:00,15.01,4.22,0.55,35.59,19.56,0.42,77.69,2.1,0.34,0.58,2.27,1.44,59.64,152.58,60.82,11.67,1.67,485.91,0.0,30-Mar-2019 - 00:00,"Huda Sector, Fatehabad - HSPCB"
30-Mar-2019 - 00:00,11.54,6.97,4.05,29.77,15.57,0.48,73.05,2.07,0.83,0.84,2.92,1.85,78.24,195.57,64.36,15.18,2.23,513.89,0.0,31-Mar-2019 - 00:00,"Huda Sector, Fatehabad - HSPCB"
31-Mar-2019 - 00:00,14.66,14.92,4.85,32.04,13.92,0.42,56.09,2.01,0.87,0.72,0.1,0.07,4.13,187.26,77.13,17.62,2.73,,0.0,01-Apr-2019 - 00:00,"Huda Sector, Fatehabad - HSPCB"
