from date,CO,PM10,NO,NO2,NOx,SO2,to date,station
20-Jun-2019 - 00:00,1.46,69.04,7.88,37.48,45.36,13.2,21-Jun-2019 - 00:00,"City Railway Station, Bengaluru - KSPCB"
21-Jun-2019 - 00:00,1.35,77.32,8.24,38.44,46.68,13.48,22-Jun-2019 - 00:00,"City Railway Station, Bengaluru - KSPCB"
22-Jun-2019 - 00:00,1.47,87.1,10.71,47.6,58.31,12.51,23-Jun-2019 - 00:00,"City Railway Station, Bengaluru - KSPCB"
23-Jun-2019 - 00:00,1.5,73.82,11.94,48.68,60.62,12.82,24-Jun-2019 - 00:00,"City Railway Station, Bengaluru - KSPCB"
24-Jun-2019 - 00:00,0.78,101.25,10.65,45.49,25.73,14.42,25-Jun-2019 - 00:00,"City Railway Station, Bengaluru - KSPCB"
25-Jun-2019 - 00:00,1.51,127.54,10.72,50.41,61.13,12.78,26-Jun-2019 - 00:00,"City Railway Station, Bengaluru - KSPCB"
26-Jun-2019 - 00:00,1.43,86.94,8.99,34.82,43.81,12.94,27-Jun-2019 - 00:00,"City Railway Station, Bengaluru - KSPCB"
27-Jun-2019 - 00:00,1.36,95.25,6.65,32.88,39.53,13.6,28-Jun-2019 - 00:00,"City Railway Station, Bengaluru - KSPCB"
28-Jun-2019 - 00:00,1.35,120.99,6.69,30.09,36.78,12.61,29-Jun-2019 - 00:00,"City Railway Station, Bengaluru - KSPCB"
29-Jun-2019 - 00:00,1.38,161.41,11.23,43.02,54.25,11.52,30-Jun-2019 - 00:00,"City Railway Station, Bengaluru - KSPCB"
30-Jun-2019 - 00:00,1.1,137.56,2.85,16.7,19.55,5.33,01-Jul-2019 - 00:00,"City Railway Station, Bengaluru - KSPCB"
01-Jul-2019 - 00:00,1.36,156.29,5.84,30.23,36.08,11.4,02-Jul-2019 - 00:00,"City Railway Station, Bengaluru - KSPCB"
02-Jul-2019 - 00:00,1.4,127.45,8.64,35.75,44.39,12.2,03-Jul-2019 - 00:00,"City Railway Station, Bengaluru - KSPCB"
03-Jul-2019 - 00:00,1.39,123.2,7.98,33.41,41.38,12.91,04-Jul-2019 - 00:00,"City Railway Station, Bengaluru - KSPCB"
04-Jul-2019 - 00:00,1.62,143.54,13.78,48.48,62.26,14.3,05-Jul-2019 - 00:00,"City Railway Station, Bengaluru - KSPCB"
05-Jul-2019 - 00:00,1.48,129.22,13.62,44.32,57.94,14.38,06-Jul-2019 - 00:00,"City Railway Station, Bengaluru - KSPCB"
06-Jul-2019 - 00:00,1.48,130.35,18.02,57.44,75.46,12.74,07-Jul-2019 - 00:00,"City Railway Station, Bengaluru - KSPCB"
07-Jul-2019 - 00:00,1.35,181.86,15.47,53.04,68.51,15.43,08-Jul-2019 - 00:00,"City Railway Station, Bengaluru - KSPCB"
08-Jul-2019 - 00:00,1.35,133.69,9.11,34.2,43.3,16.29,09-Jul-2019 - 00:00,"City Railway Station, Bengaluru - KSPCB"
