from date,Benzene,Eth-Benzene,MP-Xylene,BP,O Xylene,PM10,PM2.5,RF,RH,SR,Temp,WD,WS,CO,NH3,NO,NO2,NOx,Ozone,SO2,to date,station
22-Feb-2019 - 00:00,0.31,0.0,0.0,761.36,0.5,53.39,31.04,0.0,50.54,225.17,22.67,206.86,1.43,0.42,18.2,4.72,22.01,26.74,52.29,4.98,23-Feb-2019 - 00:00,"Indira Colony Vistar, Pali - RSPCB"
23-Feb-2019 - 00:00,0.31,0.0,0.0,759.82,0.5,62.14,32.46,0.0,29.56,225.15,21.83,111.64,1.58,0.44,13.05,3.78,28.3,32.07,52.66,3.91,24-Feb-2019 - 00:00,"Indira Colony Vistar, Pali - RSPCB"
24-Feb-2019 - 00:00,0.84,0.04,0.01,757.52,1.15,99.96,54.51,0.0,26.97,219.99,23.76,217.96,1.48,0.81,13.1,4.22,42.47,46.7,37.43,27.67,25-Feb-2019 - 00:00,"Indira Colony Vistar, Pali - RSPCB"
25-Feb-2019 - 00:00,0.63,0.01,0.0,757.73,1.14,94.95,47.6,0.0,25.99,221.14,23.71,235.32,1.48,0.62,13.69,3.74,38.06,41.87,45.06,15.65,26-Feb-2019 - 00:00,"Indira Colony Vistar, Pali - RSPCB"
26-Feb-2019 - 00:00,0.22,0.0,0.0,757.88,0.45,96.86,40.41,0.0,28.32,210.6,22.96,122.43,1.71,0.37,18.31,4.55,32.62,37.17,56.11,3.84,27-Feb-2019 - 00:00,"Indira Colony Vistar, Pali - RSPCB"
27-Feb-2019 - 00:00,0.42,0.06,0.03,758.6,0.69,79.15,40.47,0.0,36.5,225.26,20.88,179.24,1.94,0.36,14.14,5.45,31.02,36.47,47.73,6.03,28-Feb-2019 - 00:00,"Indira Colony Vistar, Pali - RSPCB"
28-Feb-2019 - 00:00,0.44,0.01,0.0,760.57,0.76,91.33,47.46,0.0,29.22,241.47,20.89,102.89,1.39,0.44,13.21,4.22,34.92,39.13,49.24,3.64,01-Mar-2019 - 00:00,"Indira Colony Vistar, Pali - RSPCB"
01-Mar-2019 - 00:00,0.42,0.0,0.0,760.01,0.79,85.32,43.69,0.0,26.24,243.82,23.27,94.18,1.88,0.39,14.74,2.95,32.21,35.15,60.47,13.18,02-Mar-2019 - 00:00,"Indira Colony Vistar, Pali - RSPCB"
02-Mar-2019 - 00:00,0.34,0.0,0.0,758.25,0.6,94.2,51.4,0.0,28.34,155.13,25.67,119.14,2.99,0.4,13.45,5.29,27.57,32.86,58.37,23.11,03-Mar-2019 - 00:00,"Indira Colony Vistar, Pali - RSPCB"
03-Mar-2019 - 00:00,0.63,0.0,0.0,758.01,1.15,111.75,53.02,0.0,39.44,244.82,25.18,223.37,2.19,0.46,16.64,6.69,31.92,38.61,37.46,23.51,04-Mar-2019 - 00:00,"Indira Colony Vistar, Pali - RSPCB"
04-Mar-2019 - 00:00,0.87,0.0,0.0,758.38,1.44,109.37,73.19,0.0,48.53,222.02,22.53,297.78,1.77,0.55,16.23,6.9,35.93,42.83,40.42,36.43,05-Mar-2019 - 00:00,"Indira Colony Vistar, Pali - RSPCB"
05-Mar-2019 - 00:00,0.64,0.01,0.0,758.9,1.16,89.4,54.69,0.0,40.68,231.87,22.83,213.45,1.03,0.5,13.66,5.69,37.39,43.08,44.66,14.46,06-Mar-2019 - 00:00,"Indira Colony Vistar, Pali - RSPCB"
06-Mar-2019 - 00:00,0.82,0.01,0.0,759.21,1.24,88.15,51.19,0.0,30.69,226.9,23.59,204.03,1.3,0.5,20.67,5.78,42.07,47.84,48.21,14.25,07-Mar-2019 - 00:00,"Indira Colony Vistar, Pali - RSPCB"
07-Mar-2019 - 00:00,1.37,0.13,0.04,758.77,2.01,106.75,61.18,0.0,28.63,222.17,24.75,185.99,1.01,0.77,27.32,16.67,55.55,72.2,36.75,9.8,08-Mar-2019 - 00:00,"Indira Colony Vistar, Pali - RSPCB"
08-Mar-2019 - 00:00,0.91,0.02,0.01,759.24,1.45,127.11,61.12,0.0,30.55,214.03,26.28,222.8,1.55,0.44,19.82,5.21,36.63,41.84,34.38,18.56,09-Mar-2019 - 00:00,"Indira Colony Vistar, Pali - RSPCB"
09-Mar-2019 - 00:00,0.45,0.0,0.0,760.57,0.79,145.06,57.81,0.0,40.41,230.33,24.26,264.23,1.55,0.4,23.66,3.25,27.0,30.24,50.36,13.98,10-Mar-2019 - 00:00,"Indira Colony Vistar, Pali - RSPCB"
10-Mar-2019 - 00:00,0.61,0.01,0.0,759.88,1.01,86.24,48.49,0.0,28.31,238.69,25.42,135.78,1.22,0.48,21.35,3.69,34.3,37.99,43.88,4.46,11-Mar-2019 - 00:00,"Indira Colony Vistar, Pali - RSPCB"
11-Mar-2019 - 00:00,0.63,0.0,0.0,759.99,1.09,203.16,72.52,0.0,31.02,237.54,25.63,244.78,1.67,0.45,20.69,2.98,29.07,32.05,47.65,16.68,12-Mar-2019 - 00:00,"Indira Colony Vistar, Pali - RSPCB"
12-Mar-2019 - 00:00,0.35,0.0,0.0,761.34,0.7,121.14,50.86,0.0,35.79,200.45,24.11,181.12,1.32,0.4,18.1,2.39,27.67,30.05,50.13,9.95,13-Mar-2019 - 00:00,"Indira Colony Vistar, Pali - RSPCB"
13-Mar-2019 - 00:00,0.41,0.01,0.0,760.79,0.82,130.27,49.81,0.0,33.72,189.26,24.41,176.57,1.5,0.4,19.93,3.29,33.0,35.99,44.7,6.43,14-Mar-2019 - 00:00,"Indira Colony Vistar, Pali - RSPCB"
14-Mar-2019 - 00:00,0.69,0.01,0.0,761.06,1.56,102.01,50.46,0.0,33.56,214.23,24.62,256.57,1.52,0.51,28.47,4.59,36.24,40.83,39.44,15.19,15-Mar-2019 - 00:00,"Indira Colony Vistar, Pali - RSPCB"
15-Mar-2019 - 00:00,0.43,0.05,0.05,762.43,0.77,109.33,44.33,0.0,37.14,249.17,23.76,52.89,1.55,0.37,19.2,3.25,26.69,29.94,48.75,4.39,16-Mar-2019 - 00:00,"Indira Colony Vistar, Pali - RSPCB"
16-Mar-2019 - 00:00,0.36,0.0,0.0,761.71,0.63,102.86,46.38,0.0,29.24,215.36,24.27,79.71,1.66,0.38,24.77,2.21,27.85,30.05,57.47,4.88,17-Mar-2019 - 00:00,"Indira Colony Vistar, Pali - RSPCB"
17-Mar-2019 - 00:00,0.39,0.0,0.0,760.77,0.59,82.44,34.81,0.0,25.46,247.84,25.89,146.65,1.3,0.4,17.54,2.9,31.91,34.8,46.75,7.9,18-Mar-2019 - 00:00,"Indira Colony Vistar, Pali - RSPCB"
18-Mar-2019 - 00:00,0.71,0.0,0.0,760.38,1.16,101.49,48.04,0.0,25.02,235.53,26.79,155.77,1.26,0.56,15.51,4.32,38.58,42.9,41.89,6.18,19-Mar-2019 - 00:00,"Indira Colony Vistar, Pali - RSPCB"
19-Mar-2019 - 00:00,0.79,0.0,0.0,758.26,1.46,116.85,54.81,0.0,23.85,239.72,28.43,190.07,1.48,0.61,19.59,3.77,33.71,37.48,34.35,12.65,20-Mar-2019 - 00:00,"Indira Colony Vistar, Pali - RSPCB"
20-Mar-2019 - 00:00,0.49,0.04,0.0,757.87,1.02,103.4,40.13,0.0,27.65,252.03,28.15,249.54,1.86,0.47,19.32,3.41,29.62,33.02,34.0,6.12,21-Mar-2019 - 00:00,"Indira Colony Vistar, Pali - RSPCB"
21-Mar-2019 - 00:00,0.48,0.0,0.0,759.31,1.0,95.26,42.96,0.0,27.26,236.07,27.86,203.72,1.14,0.45,20.56,3.63,28.81,32.44,40.92,3.6,22-Mar-2019 - 00:00,"Indira Colony Vistar, Pali - RSPCB"
22-Mar-2019 - 00:00,0.26,0.0,0.0,760.79,0.55,110.89,41.58,0.0,25.91,246.12,27.89,48.63,1.53,0.33,18.75,3.21,24.9,27.85,51.12,5.02,23-Mar-2019 - 00:00,"Indira Colony Vistar, Pali - RSPCB"
23-Mar-2019 - 00:00,1.14,0.32,0.11,760.15,0.77,133.33,60.45,0.0,21.34,232.78,29.53,158.21,1.28,0.71,17.14,7.97,43.95,52.14,35.76,4.78,24-Mar-2019 - 00:00,"Indira Colony Vistar, Pali - RSPCB"
24-Mar-2019 - 00:00,0.54,0.0,0.0,759.29,1.23,163.07,68.96,0.0,24.5,222.14,30.45,228.64,1.81,0.65,24.4,3.5,31.75,35.25,33.34,5.37,25-Mar-2019 - 00:00,"Indira Colony Vistar, Pali - RSPCB"
25-Mar-2019 - 00:00,0.48,0.0,0.0,759.63,1.07,187.97,66.07,0.0,33.03,215.39,29.54,192.15,1.56,0.42,22.91,3.41,29.96,33.37,37.57,5.83,26-Mar-2019 - 00:00,"Indira Colony Vistar, Pali - RSPCB"
26-Mar-2019 - 00:00,0.49,0.01,0.0,760.41,0.9,106.05,46.19,0.0,29.02,254.98,29.32,110.4,1.13,0.43,20.05,3.78,34.27,37.72,38.79,2.83,27-Mar-2019 - 00:00,"Indira Colony Vistar, Pali - RSPCB"
27-Mar-2019 - 00:00,1.09,0.17,0.08,760.47,2.46,126.44,56.15,0.0,19.95,237.8,30.74,159.48,1.05,0.73,23.91,9.48,50.52,60.0,34.24,5.28,28-Mar-2019 - 00:00,"Indira Colony Vistar, Pali - RSPCB"
28-Mar-2019 - 00:00,0.84,0.03,0.01,759.22,1.77,137.59,67.33,0.0,19.35,244.8,33.74,216.16,1.33,0.64,27.09,4.01,41.75,45.76,28.22,12.68,29-Mar-2019 - 00:00,"Indira Colony Vistar, Pali - RSPCB"
29-Mar-2019 - 00:00,0.61,0.01,0.0,757.8,1.66,128.16,54.45,0.0,19.59,205.17,34.21,220.55,1.48,0.47,23.33,4.42,40.11,44.53,31.83,9.98,30-Mar-2019 - 00:00,"Indira Colony Vistar, Pali - RSPCB"
30-Mar-2019 - 00:00,0.76,0.02,0.0,757.24,1.75,124.39,52.53,0.0,19.71,241.37,34.87,240.35,1.39,0.48,24.6,3.76,36.67,40.44,38.25,20.28,31-Mar-2019 - 00:00,"Indira Colony Vistar, Pali - RSPCB"
31-Mar-2019 - 00:00,0.46,0.0,0.0,757.96,0.98,159.21,78.03,0.0,22.91,239.82,33.43,180.05,1.61,0.41,27.54,3.34,29.63,32.97,51.6,11.52,01-Apr-2019 - 00:00,"Indira Colony Vistar, Pali - RSPCB"
01-Apr-2019 - 00:00,1.04,0.04,0.01,758.12,1.38,125.66,110.56,0.0,17.63,239.22,32.84,204.9,1.19,0.59,25.89,6.72,47.47,54.18,36.46,10.35,02-Apr-2019 - 00:00,"Indira Colony Vistar, Pali - RSPCB"
02-Apr-2019 - 00:00,1.13,0.1,0.03,757.91,1.88,142.32,70.42,0.0,15.72,242.3,33.14,190.45,1.17,0.91,24.32,7.17,48.44,55.62,35.83,16.43,03-Apr-2019 - 00:00,"Indira Colony Vistar, Pali - RSPCB"
03-Apr-2019 - 00:00,1.66,0.21,0.07,757.4,1.84,152.79,74.02,0.0,17.33,245.5,34.32,212.23,1.33,0.99,29.08,10.37,50.39,59.86,28.08,8.05,04-Apr-2019 - 00:00,"Indira Colony Vistar, Pali - RSPCB"
04-Apr-2019 - 00:00,1.82,0.35,0.12,757.67,1.64,153.03,74.71,0.0,19.0,244.49,35.51,212.61,1.23,1.0,40.93,11.21,48.09,59.3,28.97,14.95,05-Apr-2019 - 00:00,"Indira Colony Vistar, Pali - RSPCB"
05-Apr-2019 - 00:00,0.57,0.0,0.0,757.59,1.32,138.66,59.87,0.0,19.42,239.46,36.34,232.89,1.81,0.52,29.03,3.69,33.14,34.63,36.9,16.56,06-Apr-2019 - 00:00,"Indira Colony Vistar, Pali - RSPCB"
06-Apr-2019 - 00:00,0.47,0.0,0.0,757.56,1.12,146.79,67.66,0.0,22.9,245.04,35.29,227.9,1.86,0.36,20.79,3.63,29.62,33.25,29.57,10.19,07-Apr-2019 - 00:00,"Indira Colony Vistar, Pali - RSPCB"
07-Apr-2019 - 00:00,0.39,0.0,0.0,756.24,0.93,177.67,60.79,0.0,29.09,240.31,35.24,204.31,2.02,0.32,24.88,3.43,24.12,27.55,43.51,7.44,08-Apr-2019 - 00:00,"Indira Colony Vistar, Pali - RSPCB"
08-Apr-2019 - 00:00,0.32,0.0,0.0,756.03,0.89,120.54,46.86,0.0,23.02,254.22,35.73,214.84,2.12,0.33,20.65,3.34,25.51,27.34,39.01,5.2,09-Apr-2019 - 00:00,"Indira Colony Vistar, Pali - RSPCB"
09-Apr-2019 - 00:00,0.4,0.0,0.0,756.41,1.05,191.77,70.32,0.0,25.3,242.63,35.54,235.46,1.9,0.37,21.47,3.44,27.16,30.59,40.65,12.03,10-Apr-2019 - 00:00,"Indira Colony Vistar, Pali - RSPCB"
10-Apr-2019 - 00:00,0.47,0.01,0.0,757.55,1.04,142.22,55.41,0.0,26.01,241.3,35.74,226.71,1.65,0.35,19.74,3.66,26.4,30.06,29.97,7.37,11-Apr-2019 - 00:00,"Indira Colony Vistar, Pali - RSPCB"
11-Apr-2019 - 00:00,0.6,0.0,0.0,757.36,1.11,157.66,66.15,0.0,21.84,249.45,36.15,226.84,1.69,0.4,19.3,3.25,29.87,33.12,36.05,5.28,12-Apr-2019 - 00:00,"Indira Colony Vistar, Pali - RSPCB"
12-Apr-2019 - 00:00,0.58,0.0,0.0,757.38,1.13,459.88,132.52,0.01,23.72,217.21,35.96,206.96,1.51,0.39,20.9,2.81,30.06,32.86,46.36,20.38,13-Apr-2019 - 00:00,"Indira Colony Vistar, Pali - RSPCB"
