from date,WD,RH,BP,SR,NO,NO2,Ozone,Temp,MH,WS,SO2,Benzene,Toluene,MP-Xylene,to date,station
09-Apr-2019 - 00:00,,,,,28.3,54.27,42.38,,,,16.12,3.32,38.78,5.05,10-Apr-2019 - 00:00,"East Arjun Nagar, Delhi - CPCB"
10-Apr-2019 - 00:00,,,,,27.73,52.27,45.05,,,,13.51,4.42,45.37,4.58,11-Apr-2019 - 00:00,"East Arjun Nagar, Delhi - CPCB"
11-Apr-2019 - 00:00,,,,,23.92,35.37,48.93,,,,10.34,2.15,31.14,3.41,12-Apr-2019 - 00:00,"East Arjun Nagar, Delhi - CPCB"
12-Apr-2019 - 00:00,,,,,22.29,30.05,48.11,,,,11.67,1.88,31.46,2.3,13-Apr-2019 - 00:00,"East Arjun Nagar, Delhi - CPCB"
13-Apr-2019 - 00:00,,,,,23.23,26.77,44.3,,,,10.2,1.13,26.0,2.41,14-Apr-2019 - 00:00,"East Arjun Nagar, Delhi - CPCB"
14-Apr-2019 - 00:00,,,,,23.16,30.87,38.23,,,,8.7,1.21,23.75,2.68,15-Apr-2019 - 00:00,"East Arjun Nagar, Delhi - CPCB"
15-Apr-2019 - 00:00,,,,,31.61,43.23,38.36,,,,4.99,3.53,38.28,4.63,16-Apr-2019 - 00:00,"East Arjun Nagar, Delhi - CPCB"
16-Apr-2019 - 00:00,,,,,24.31,25.65,39.78,,,,2.98,2.42,20.84,3.52,17-Apr-2019 - 00:00,"East Arjun Nagar, Delhi - CPCB"
17-Apr-2019 - 00:00,,,,,25.08,25.91,38.17,,,,4.7,2.35,20.75,2.97,18-Apr-2019 - 00:00,"East Arjun Nagar, Delhi - CPCB"
18-Apr-2019 - 00:00,,,,,26.96,36.42,45.46,,,,7.68,4.19,29.26,3.0,19-Apr-2019 - 00:00,"East Arjun Nagar, Delhi - CPCB"
19-Apr-2019 - 00:00,,,,,29.42,53.31,41.05,,,,9.46,5.08,38.73,4.33,20-Apr-2019 - 00:00,"East Arjun Nagar, Delhi - CPCB"
20-Apr-2019 - 00:00,,,,,32.05,69.13,48.82,,,,10.15,4.61,27.71,4.54,21-Apr-2019 - 00:00,"East Arjun Nagar, Delhi - CPCB"
21-Apr-2019 - 00:00,,,,,31.77,67.59,40.55,,,,15.99,5.96,39.76,5.43,22-Apr-2019 - 00:00,"East Arjun Nagar, Delhi - CPCB"
22-Apr-2019 - 00:00,,,,,31.55,72.5,45.72,,,,33.73,10.58,44.26,4.6,23-Apr-2019 - 00:00,"East Arjun Nagar, Delhi - CPCB"
23-Apr-2019 - 00:00,,,,,42.08,73.76,50.19,,,,17.84,9.35,76.85,6.28,24-Apr-2019 - 00:00,"East Arjun Nagar, Delhi - CPCB"
24-Apr-2019 - 00:00,,,,,26.83,44.05,55.0,,,,10.09,4.41,34.76,4.67,25-Apr-2019 - 00:00,"East Arjun Nagar, Delhi - CPCB"
