from date,AT,BP,RH,SR,WD,WS,PM10,PM2.5,Benzene,Toluene,NH3,NO2,NO,NOx,CO,Ozone,SO2,to date,station
04-Sep-2019 - 00:00,31.38,978.23,78.94,117.87,134.56,1.45,148.38,81.0,1.46,7.84,78.36,20.21,5.51,25.73,1.06,25.55,5.42,05-Sep-2019 - 00:00,"Rohini, Delhi - DPCC"
05-Sep-2019 - 00:00,30.95,978.33,78.9,118.09,109.88,1.63,87.09,41.08,1.54,8.61,63.73,21.84,8.52,30.36,1.1,27.19,5.85,06-Sep-2019 - 00:00,"Rohini, Delhi - DPCC"
06-Sep-2019 - 00:00,31.65,976.8,75.54,98.95,141.23,1.72,94.91,405.24,1.48,7.48,50.15,20.81,7.74,28.55,0.95,18.16,5.04,07-Sep-2019 - 00:00,"Rohini, Delhi - DPCC"
07-Sep-2019 - 00:00,30.72,977.33,79.76,110.86,128.87,1.59,88.81,45.58,1.28,7.06,50.91,21.95,11.56,33.63,1.15,14.48,2.97,08-Sep-2019 - 00:00,"Rohini, Delhi - DPCC"
08-Sep-2019 - 00:00,31.5,978.9,76.47,152.33,51.4,1.49,82.5,46.62,1.28,7.02,39.26,14.66,6.47,21.15,0.79,19.97,3.02,09-Sep-2019 - 00:00,"Rohini, Delhi - DPCC"
09-Sep-2019 - 00:00,32.4,977.46,72.36,162.4,219.74,1.58,119.5,63.46,1.19,7.38,0.19,12.68,4.74,17.43,0.81,13.23,3.01,10-Sep-2019 - 00:00,"Rohini, Delhi - DPCC"
10-Sep-2019 - 00:00,33.01,977.03,68.76,168.23,134.29,1.11,148.33,73.5,1.2,8.35,0.21,17.98,6.05,23.98,1.16,17.03,3.81,11-Sep-2019 - 00:00,"Rohini, Delhi - DPCC"
11-Sep-2019 - 00:00,33.92,978.28,67.14,142.29,106.4,1.17,170.96,88.38,1.32,8.38,44.75,21.89,8.67,30.62,1.15,26.19,3.82,12-Sep-2019 - 00:00,"Rohini, Delhi - DPCC"
12-Sep-2019 - 00:00,32.76,979.69,71.66,119.61,142.58,2.06,117.46,59.75,1.36,7.49,48.32,21.33,4.71,26.06,0.98,18.78,3.61,13-Sep-2019 - 00:00,"Rohini, Delhi - DPCC"
13-Sep-2019 - 00:00,33.5,980.55,67.54,188.31,126.96,1.7,80.37,36.42,1.23,7.65,1.55,4.3,2.73,8.22,0.86,16.73,3.0,14-Sep-2019 - 00:00,"Rohini, Delhi - DPCC"
14-Sep-2019 - 00:00,31.5,981.52,72.43,137.47,96.19,2.19,60.91,31.75,,,2.12,4.6,4.71,9.33,0.56,20.49,3.39,15-Sep-2019 - 00:00,"Rohini, Delhi - DPCC"
15-Sep-2019 - 00:00,30.51,981.6,76.91,101.75,110.92,1.55,71.09,38.28,1.17,5.87,2.15,4.65,4.67,9.33,0.81,13.64,3.32,16-Sep-2019 - 00:00,"Rohini, Delhi - DPCC"
16-Sep-2019 - 00:00,31.96,980.06,72.14,139.77,201.68,1.32,141.9,79.19,1.77,7.86,4.53,4.26,4.72,8.98,1.26,17.48,4.72,17-Sep-2019 - 00:00,"Rohini, Delhi - DPCC"
17-Sep-2019 - 00:00,32.24,980.91,67.31,154.02,146.03,1.44,130.39,62.35,1.1,6.95,6.91,3.54,4.64,8.18,0.92,29.72,3.71,18-Sep-2019 - 00:00,"Rohini, Delhi - DPCC"
18-Sep-2019 - 00:00,31.15,984.93,66.6,160.14,126.33,2.38,90.54,36.12,,,7.2,3.41,4.64,8.04,0.71,32.93,5.36,19-Sep-2019 - 00:00,"Rohini, Delhi - DPCC"
19-Sep-2019 - 00:00,28.52,987.21,75.08,80.73,117.08,2.24,63.43,27.74,3.5,4.4,5.83,10.52,6.31,17.04,0.7,19.37,4.74,20-Sep-2019 - 00:00,"Rohini, Delhi - DPCC"
20-Sep-2019 - 00:00,30.19,985.46,72.58,153.37,118.29,1.32,140.34,66.28,1.46,8.44,1.33,20.59,11.74,32.35,1.18,33.94,4.61,21-Sep-2019 - 00:00,"Rohini, Delhi - DPCC"
21-Sep-2019 - 00:00,29.71,984.22,74.1,148.35,152.56,1.34,104.06,45.38,1.77,7.18,3.05,10.91,6.01,16.91,0.78,18.74,3.54,22-Sep-2019 - 00:00,"Rohini, Delhi - DPCC"
22-Sep-2019 - 00:00,27.09,986.2,80.12,95.41,121.91,2.01,73.34,31.98,1.65,5.69,4.42,4.85,4.72,9.56,0.74,12.33,4.17,23-Sep-2019 - 00:00,"Rohini, Delhi - DPCC"
23-Sep-2019 - 00:00,28.52,987.53,75.23,135.44,104.94,1.56,98.85,49.96,1.28,6.77,4.37,4.51,4.62,9.13,0.74,20.81,4.08,24-Sep-2019 - 00:00,"Rohini, Delhi - DPCC"
24-Sep-2019 - 00:00,29.19,987.57,72.56,133.6,137.35,1.56,97.25,43.21,2.4,4.55,4.29,4.53,4.61,9.14,0.91,17.91,4.18,25-Sep-2019 - 00:00,"Rohini, Delhi - DPCC"
25-Sep-2019 - 00:00,29.09,988.78,75.67,171.7,104.95,1.78,85.23,36.57,1.42,6.79,4.34,4.4,4.61,9.0,0.86,18.64,3.35,26-Sep-2019 - 00:00,"Rohini, Delhi - DPCC"
26-Sep-2019 - 00:00,29.35,989.16,75.03,135.3,103.23,2.18,73.92,35.51,1.46,6.38,4.22,4.76,4.7,9.47,0.56,24.94,6.71,27-Sep-2019 - 00:00,"Rohini, Delhi - DPCC"
27-Sep-2019 - 00:00,27.99,988.04,77.14,113.44,89.26,2.34,50.04,19.74,1.18,5.21,4.28,4.65,4.68,9.34,0.55,19.3,5.49,28-Sep-2019 - 00:00,"Rohini, Delhi - DPCC"
28-Sep-2019 - 00:00,27.61,986.24,78.17,128.79,79.28,2.28,69.82,33.02,1.3,4.93,4.85,6.58,3.76,10.42,0.54,13.97,5.64,29-Sep-2019 - 00:00,"Rohini, Delhi - DPCC"
29-Sep-2019 - 00:00,27.01,986.84,79.52,95.97,109.03,2.01,53.28,25.15,1.49,5.03,,7.1,1.98,8.53,0.71,12.24,4.97,30-Sep-2019 - 00:00,"Rohini, Delhi - DPCC"
30-Sep-2019 - 00:00,27.17,985.72,79.56,99.63,122.94,1.83,85.33,37.67,1.39,9.93,,22.23,4.76,26.51,0.86,16.83,3.91,01-Oct-2019 - 00:00,"Rohini, Delhi - DPCC"
01-Oct-2019 - 00:00,28.17,985.09,77.1,124.14,129.68,1.65,87.55,35.54,1.27,5.47,4.78,23.81,5.08,28.98,1.22,16.7,4.15,02-Oct-2019 - 00:00,"Rohini, Delhi - DPCC"
02-Oct-2019 - 00:00,28.66,986.25,73.61,150.84,119.99,1.05,112.71,53.92,1.19,7.78,48.94,23.41,15.12,38.34,0.91,21.32,4.74,03-Oct-2019 - 00:00,"Rohini, Delhi - DPCC"
03-Oct-2019 - 00:00,28.89,986.26,71.02,132.63,143.15,1.29,190.08,77.62,1.44,7.3,85.19,27.24,24.84,52.02,1.01,24.51,5.55,04-Oct-2019 - 00:00,"Rohini, Delhi - DPCC"
04-Oct-2019 - 00:00,25.96,987.32,79.46,167.93,254.01,2.26,97.38,47.33,1.1,5.6,46.05,14.53,8.43,23.01,0.66,19.77,4.53,05-Oct-2019 - 00:00,"Rohini, Delhi - DPCC"
05-Oct-2019 - 00:00,26.27,987.24,71.5,194.53,333.96,2.21,97.96,42.67,1.42,7.56,33.22,14.31,7.32,21.58,0.63,21.48,4.03,06-Oct-2019 - 00:00,"Rohini, Delhi - DPCC"
06-Oct-2019 - 00:00,26.61,987.73,72.05,170.78,325.2,2.1,143.0,62.92,,,,14.09,3.1,17.18,0.67,26.62,4.66,07-Oct-2019 - 00:00,"Rohini, Delhi - DPCC"
07-Oct-2019 - 00:00,26.62,988.79,71.82,156.49,334.86,2.52,135.81,56.52,1.33,11.7,29.97,11.24,3.61,14.88,0.62,27.65,4.17,08-Oct-2019 - 00:00,"Rohini, Delhi - DPCC"
08-Oct-2019 - 00:00,26.21,988.24,68.58,187.16,292.45,1.76,122.04,53.29,1.27,8.13,11.32,11.97,8.84,20.83,0.74,29.09,4.05,09-Oct-2019 - 00:00,"Rohini, Delhi - DPCC"
09-Oct-2019 - 00:00,27.39,988.19,66.36,149.44,112.79,1.04,242.16,99.08,1.39,9.61,12.26,25.56,35.35,60.92,1.23,35.19,6.29,10-Oct-2019 - 00:00,"Rohini, Delhi - DPCC"
10-Oct-2019 - 00:00,26.68,987.59,69.08,112.42,204.76,1.15,295.19,130.25,1.32,18.4,14.63,28.96,20.83,49.89,1.29,43.81,7.39,11-Oct-2019 - 00:00,"Rohini, Delhi - DPCC"
11-Oct-2019 - 00:00,26.79,987.17,69.29,152.84,259.69,1.08,238.08,126.42,1.3,14.68,16.12,19.37,16.3,35.66,1.28,32.91,6.39,12-Oct-2019 - 00:00,"Rohini, Delhi - DPCC"
12-Oct-2019 - 00:00,27.32,987.98,70.11,146.19,274.25,1.23,243.38,129.08,1.28,10.24,16.76,17.98,15.41,33.4,1.28,27.48,6.74,13-Oct-2019 - 00:00,"Rohini, Delhi - DPCC"
13-Oct-2019 - 00:00,27.08,988.43,68.53,125.51,266.63,1.28,314.54,153.21,1.39,13.79,19.48,21.82,22.62,44.39,1.42,41.47,8.42,14-Oct-2019 - 00:00,"Rohini, Delhi - DPCC"
14-Oct-2019 - 00:00,26.97,989.2,70.74,135.06,222.62,1.02,300.42,140.25,1.71,16.67,17.56,24.69,52.38,77.13,2.07,24.55,5.42,15-Oct-2019 - 00:00,"Rohini, Delhi - DPCC"
15-Oct-2019 - 00:00,27.82,989.83,69.48,125.97,168.05,0.8,381.38,182.33,3.16,17.41,18.34,32.69,62.35,95.03,2.3,32.46,6.64,16-Oct-2019 - 00:00,"Rohini, Delhi - DPCC"
16-Oct-2019 - 00:00,28.57,990.22,67.67,108.68,135.84,1.02,322.96,162.25,2.03,10.75,21.46,33.81,26.83,60.63,2.0,36.03,6.35,17-Oct-2019 - 00:00,"Rohini, Delhi - DPCC"
17-Oct-2019 - 00:00,28.34,989.89,66.2,112.53,102.81,1.26,302.81,151.26,1.94,10.53,15.13,35.37,15.81,51.16,1.72,58.62,9.8,18-Oct-2019 - 00:00,"Rohini, Delhi - DPCC"
18-Oct-2019 - 00:00,27.38,990.02,65.72,113.48,145.21,2.01,171.85,83.11,2.7,7.0,14.71,28.72,13.25,41.97,1.12,21.56,6.04,19-Oct-2019 - 00:00,"Rohini, Delhi - DPCC"
19-Oct-2019 - 00:00,26.06,991.39,69.63,126.8,232.54,1.24,200.79,97.83,1.42,13.65,16.99,23.48,19.3,42.84,1.37,27.29,5.32,20-Oct-2019 - 00:00,"Rohini, Delhi - DPCC"
20-Oct-2019 - 00:00,25.32,991.01,68.34,144.97,314.72,1.57,220.75,115.38,1.61,10.81,16.59,18.47,25.36,43.82,1.24,19.92,5.2,21-Oct-2019 - 00:00,"Rohini, Delhi - DPCC"
21-Oct-2019 - 00:00,24.28,989.37,67.38,141.62,289.32,1.31,254.47,132.54,1.38,11.93,16.99,23.45,37.61,61.12,1.52,21.47,5.67,22-Oct-2019 - 00:00,"Rohini, Delhi - DPCC"
22-Oct-2019 - 00:00,24.62,986.49,63.43,138.52,282.3,1.49,234.95,112.27,1.66,13.99,19.23,23.75,30.23,53.97,1.42,23.67,5.82,23-Oct-2019 - 00:00,"Rohini, Delhi - DPCC"
23-Oct-2019 - 00:00,24.75,985.85,66.82,132.93,251.29,1.1,336.23,150.25,1.96,14.87,28.58,31.82,82.74,113.23,2.34,24.84,6.51,24-Oct-2019 - 00:00,"Rohini, Delhi - DPCC"
24-Oct-2019 - 00:00,25.07,986.88,71.37,101.31,150.89,0.77,432.48,218.15,2.51,19.32,28.68,39.33,91.09,130.58,2.87,32.32,7.01,25-Oct-2019 - 00:00,"Rohini, Delhi - DPCC"
25-Oct-2019 - 00:00,25.36,988.31,65.75,110.0,108.34,1.1,318.94,157.73,2.1,14.33,28.07,37.38,45.51,82.91,1.99,31.32,6.67,26-Oct-2019 - 00:00,"Rohini, Delhi - DPCC"
26-Oct-2019 - 00:00,24.96,989.51,68.67,98.74,183.01,0.78,355.06,173.06,2.56,13.96,37.16,39.93,88.11,128.03,2.59,34.65,5.71,27-Oct-2019 - 00:00,"Rohini, Delhi - DPCC"
27-Oct-2019 - 00:00,24.3,988.89,69.06,119.22,295.12,1.45,396.41,269.08,1.86,10.48,33.63,25.46,32.81,58.3,1.74,22.69,6.24,28-Oct-2019 - 00:00,"Rohini, Delhi - DPCC"
28-Oct-2019 - 00:00,24.17,989.6,70.2,87.49,267.57,0.77,432.93,297.83,1.54,7.65,70.14,26.6,38.57,65.26,2.17,22.11,7.71,29-Oct-2019 - 00:00,"Rohini, Delhi - DPCC"
29-Oct-2019 - 00:00,23.92,990.21,76.21,58.75,248.77,0.61,513.28,327.39,2.01,10.87,74.96,33.6,79.82,113.39,2.97,12.97,5.57,30-Oct-2019 - 00:00,"Rohini, Delhi - DPCC"
30-Oct-2019 - 00:00,24.6,988.9,72.97,72.29,263.4,0.87,532.0,292.21,1.96,15.0,78.24,36.01,117.32,153.35,3.23,14.2,5.91,31-Oct-2019 - 00:00,"Rohini, Delhi - DPCC"
31-Oct-2019 - 00:00,23.7,988.2,74.67,72.27,281.68,0.7,594.58,322.12,2.16,18.46,72.15,35.85,111.45,147.17,3.3,14.74,6.11,01-Nov-2019 - 00:00,"Rohini, Delhi - DPCC"
01-Nov-2019 - 00:00,24.78,988.28,70.91,77.15,209.26,0.91,606.79,333.46,1.8,14.23,41.31,37.49,34.23,71.73,2.35,24.25,5.59,02-Nov-2019 - 00:00,"Rohini, Delhi - DPCC"
02-Nov-2019 - 00:00,23.43,989.9,77.61,55.61,286.91,1.11,522.96,291.38,1.44,6.94,41.54,23.48,16.28,39.77,1.96,12.23,4.8,03-Nov-2019 - 00:00,"Rohini, Delhi - DPCC"
03-Nov-2019 - 00:00,22.6,990.74,82.4,50.41,288.26,0.96,651.71,547.33,1.98,7.46,44.61,24.71,11.79,36.47,2.52,7.4,2.8,04-Nov-2019 - 00:00,"Rohini, Delhi - DPCC"
04-Nov-2019 - 00:00,23.77,990.38,70.36,107.07,309.06,1.61,434.62,253.38,1.46,5.79,39.42,19.3,5.34,24.65,1.61,17.14,4.76,05-Nov-2019 - 00:00,"Rohini, Delhi - DPCC"
05-Nov-2019 - 00:00,23.41,987.64,66.9,120.04,292.57,1.3,340.86,175.18,1.44,7.81,41.3,23.77,41.94,65.76,1.95,21.24,6.09,06-Nov-2019 - 00:00,"Rohini, Delhi - DPCC"
06-Nov-2019 - 00:00,23.93,985.56,62.51,111.22,182.01,1.13,238.65,83.67,1.6,11.19,40.44,38.02,50.79,88.76,1.58,16.72,4.72,07-Nov-2019 - 00:00,"Rohini, Delhi - DPCC"
07-Nov-2019 - 00:00,21.04,987.01,74.79,41.45,130.83,1.58,293.17,150.56,1.54,9.01,40.86,32.52,17.13,49.67,1.55,12.82,4.23,08-Nov-2019 - 00:00,"Rohini, Delhi - DPCC"
08-Nov-2019 - 00:00,22.61,989.57,72.55,91.1,226.76,1.19,280.13,197.38,1.48,12.75,41.82,27.9,26.58,54.47,1.65,20.34,4.49,09-Nov-2019 - 00:00,"Rohini, Delhi - DPCC"
09-Nov-2019 - 00:00,22.32,990.09,68.01,116.98,321.19,1.92,244.25,178.92,1.21,10.75,43.64,20.06,10.91,30.94,1.15,17.07,4.47,10-Nov-2019 - 00:00,"Rohini, Delhi - DPCC"
10-Nov-2019 - 00:00,21.46,990.11,62.42,97.91,310.16,1.21,332.17,252.67,1.41,8.24,42.75,26.31,21.84,48.21,1.61,22.57,6.37,11-Nov-2019 - 00:00,"Rohini, Delhi - DPCC"
11-Nov-2019 - 00:00,20.56,988.99,65.03,92.0,322.08,1.26,412.62,317.38,1.55,10.88,43.26,30.48,38.75,69.13,1.95,23.17,6.24,12-Nov-2019 - 00:00,"Rohini, Delhi - DPCC"
12-Nov-2019 - 00:00,19.52,989.9,70.46,89.61,288.0,0.84,634.42,517.21,1.94,12.92,48.96,39.96,71.44,111.31,2.79,14.9,6.24,13-Nov-2019 - 00:00,"Rohini, Delhi - DPCC"
13-Nov-2019 - 00:00,20.37,991.85,73.84,73.33,270.07,0.68,612.66,492.21,1.84,13.9,53.31,40.62,73.53,114.09,2.87,1.23,6.17,14-Nov-2019 - 00:00,"Rohini, Delhi - DPCC"
14-Nov-2019 - 00:00,21.07,992.54,73.95,58.67,222.15,0.68,568.94,432.88,1.92,13.74,50.87,41.78,61.36,103.2,2.94,13.98,6.81,15-Nov-2019 - 00:00,"Rohini, Delhi - DPCC"
15-Nov-2019 - 00:00,21.34,991.61,74.02,71.2,283.05,1.17,594.9,538.74,1.86,10.7,40.95,30.21,31.58,61.76,2.77,21.02,5.06,16-Nov-2019 - 00:00,"Rohini, Delhi - DPCC"
16-Nov-2019 - 00:00,21.7,991.36,70.1,86.35,333.92,2.54,309.5,224.79,1.32,6.87,10.55,18.23,4.93,23.16,1.0,0.82,5.6,17-Nov-2019 - 00:00,"Rohini, Delhi - DPCC"
17-Nov-2019 - 00:00,21.43,991.38,66.9,94.32,317.71,2.21,171.32,126.67,1.0,3.42,10.5,14.57,2.56,17.12,0.81,0.37,6.5,18-Nov-2019 - 00:00,"Rohini, Delhi - DPCC"
18-Nov-2019 - 00:00,19.98,990.82,73.04,87.52,295.24,1.2,204.99,153.96,1.39,8.31,14.26,21.21,24.7,45.98,1.36,9.2,5.49,19-Nov-2019 - 00:00,"Rohini, Delhi - DPCC"
19-Nov-2019 - 00:00,19.91,990.14,71.71,87.51,273.95,0.82,260.19,168.23,1.37,10.16,36.04,29.96,53.42,83.38,1.81,13.53,5.81,20-Nov-2019 - 00:00,"Rohini, Delhi - DPCC"
20-Nov-2019 - 00:00,20.07,990.64,71.37,79.47,225.83,0.62,415.98,260.42,1.96,14.2,30.03,44.56,110.76,141.45,3.07,26.72,7.9,21-Nov-2019 - 00:00,"Rohini, Delhi - DPCC"
21-Nov-2019 - 00:00,20.29,992.63,71.64,76.44,171.61,0.58,471.03,287.93,2.3,17.03,45.17,49.81,137.13,177.97,3.33,26.29,8.12,22-Nov-2019 - 00:00,"Rohini, Delhi - DPCC"
22-Nov-2019 - 00:00,20.6,992.63,69.85,80.62,271.79,1.06,412.45,267.94,1.93,17.17,16.35,42.63,63.1,105.84,2.44,24.11,6.99,23-Nov-2019 - 00:00,"Rohini, Delhi - DPCC"
23-Nov-2019 - 00:00,21.01,992.1,66.49,78.17,302.4,1.45,207.04,143.4,1.1,7.53,16.92,19.05,6.22,25.27,1.02,13.39,6.05,24-Nov-2019 - 00:00,"Rohini, Delhi - DPCC"
24-Nov-2019 - 00:00,21.22,991.45,67.52,80.01,326.19,1.67,184.38,133.19,,,31.52,16.23,3.48,19.7,0.88,18.29,5.47,25-Nov-2019 - 00:00,"Rohini, Delhi - DPCC"
25-Nov-2019 - 00:00,20.9,992.02,68.82,83.93,191.67,0.9,246.03,160.69,1.59,12.39,30.61,24.58,29.87,54.47,1.75,16.74,6.58,26-Nov-2019 - 00:00,"Rohini, Delhi - DPCC"
26-Nov-2019 - 00:00,22.29,991.59,62.48,65.6,60.43,1.47,241.9,139.83,1.46,8.1,33.31,30.84,19.53,50.39,1.28,28.7,8.31,27-Nov-2019 - 00:00,"Rohini, Delhi - DPCC"
27-Nov-2019 - 00:00,20.18,991.45,73.87,59.69,88.53,1.94,130.36,78.19,1.09,8.91,36.69,20.1,6.93,27.04,0.9,21.57,3.8,28-Nov-2019 - 00:00,"Rohini, Delhi - DPCC"
28-Nov-2019 - 00:00,18.02,992.5,81.62,62.45,80.44,2.57,51.97,35.65,,,36.42,13.9,7.88,21.75,0.72,12.41,2.16,29-Nov-2019 - 00:00,"Rohini, Delhi - DPCC"
29-Nov-2019 - 00:00,18.15,992.82,81.79,93.87,166.5,1.52,119.83,76.85,1.34,14.38,29.23,17.61,15.86,33.45,1.09,14.25,2.93,30-Nov-2019 - 00:00,"Rohini, Delhi - DPCC"
30-Nov-2019 - 00:00,16.73,992.94,85.23,94.79,308.31,1.19,171.7,122.83,1.32,8.11,24.74,17.66,17.39,35.05,1.25,12.03,2.69,01-Dec-2019 - 00:00,"Rohini, Delhi - DPCC"
01-Dec-2019 - 00:00,16.36,992.58,79.9,96.17,314.37,1.1,246.73,184.67,1.44,7.35,22.44,20.84,18.79,39.58,1.19,19.56,5.16,02-Dec-2019 - 00:00,"Rohini, Delhi - DPCC"
02-Dec-2019 - 00:00,15.96,993.19,77.03,97.06,296.27,1.29,309.64,216.88,1.45,8.51,,26.13,34.51,60.64,1.43,16.72,5.58,03-Dec-2019 - 00:00,"Rohini, Delhi - DPCC"
03-Dec-2019 - 00:00,16.24,992.67,70.63,99.41,267.57,1.11,330.18,212.9,1.88,10.3,19.52,30.57,81.29,111.73,1.76,15.93,4.92,04-Dec-2019 - 00:00,"Rohini, Delhi - DPCC"
04-Dec-2019 - 00:00,15.85,994.68,73.53,86.87,194.28,0.85,373.17,230.11,2.05,12.92,36.1,35.31,102.76,123.93,2.75,15.01,4.94,05-Dec-2019 - 00:00,"Rohini, Delhi - DPCC"
05-Dec-2019 - 00:00,15.62,996.67,76.85,80.2,253.06,0.73,594.06,401.86,2.69,21.65,34.92,44.04,176.24,207.25,3.05,24.12,4.61,06-Dec-2019 - 00:00,"Rohini, Delhi - DPCC"
06-Dec-2019 - 00:00,16.38,995.94,82.84,71.83,297.05,1.08,418.0,308.29,1.88,14.14,110.81,30.22,61.74,91.92,1.87,13.6,6.19,07-Dec-2019 - 00:00,"Rohini, Delhi - DPCC"
07-Dec-2019 - 00:00,16.84,994.91,79.47,81.6,226.57,0.61,459.89,312.04,1.93,11.91,127.47,33.57,131.58,135.99,2.79,14.01,4.8,08-Dec-2019 - 00:00,"Rohini, Delhi - DPCC"
08-Dec-2019 - 00:00,16.52,994.62,79.35,79.13,283.36,0.8,530.36,373.83,2.57,17.3,160.24,34.7,135.0,168.02,2.85,11.91,4.46,09-Dec-2019 - 00:00,"Rohini, Delhi - DPCC"
09-Dec-2019 - 00:00,15.93,993.89,75.75,82.88,264.38,0.8,417.99,283.66,2.13,15.5,161.03,34.34,113.06,147.44,2.23,15.04,3.36,10-Dec-2019 - 00:00,"Rohini, Delhi - DPCC"
10-Dec-2019 - 00:00,15.41,991.23,78.51,79.46,272.15,0.65,475.08,334.39,2.42,14.55,146.93,38.81,127.86,143.94,2.55,15.27,3.93,11-Dec-2019 - 00:00,"Rohini, Delhi - DPCC"
11-Dec-2019 - 00:00,16.3,989.88,73.74,56.88,159.81,0.73,608.45,424.61,3.14,24.89,273.51,57.62,153.09,203.96,3.59,30.0,5.3,12-Dec-2019 - 00:00,"Rohini, Delhi - DPCC"
12-Dec-2019 - 00:00,16.93,988.79,69.11,41.28,101.47,2.0,447.88,356.0,2.27,10.65,359.91,34.59,13.18,47.77,1.33,18.15,4.73,13-Dec-2019 - 00:00,"Rohini, Delhi - DPCC"
13-Dec-2019 - 00:00,15.35,989.82,80.33,34.12,230.91,1.64,134.59,113.18,1.21,4.74,243.67,17.95,6.06,24.06,0.87,11.19,2.62,14-Dec-2019 - 00:00,"Rohini, Delhi - DPCC"
14-Dec-2019 - 00:00,14.52,995.65,77.2,67.58,214.67,1.21,158.39,101.35,,,144.17,19.31,11.99,31.3,0.86,10.66,3.48,15-Dec-2019 - 00:00,"Rohini, Delhi - DPCC"
15-Dec-2019 - 00:00,14.25,995.32,76.28,84.23,311.73,1.33,159.95,123.32,,,106.57,13.52,6.07,19.58,0.67,9.45,3.5,16-Dec-2019 - 00:00,"Rohini, Delhi - DPCC"
16-Dec-2019 - 00:00,11.29,995.86,82.93,18.92,315.79,1.61,129.31,99.96,,,102.36,9.53,3.87,13.4,0.67,9.17,3.25,17-Dec-2019 - 00:00,"Rohini, Delhi - DPCC"
17-Dec-2019 - 00:00,11.1,996.93,78.37,27.3,317.3,1.79,154.56,126.48,,,59.44,10.58,16.87,27.48,0.8,10.37,3.04,18-Dec-2019 - 00:00,"Rohini, Delhi - DPCC"
18-Dec-2019 - 00:00,11.93,995.66,74.37,88.72,222.34,1.35,237.51,190.71,,,72.44,15.43,8.65,24.08,1.07,16.67,3.23,19-Dec-2019 - 00:00,"Rohini, Delhi - DPCC"
19-Dec-2019 - 00:00,11.03,994.32,81.68,59.98,162.34,1.1,478.61,362.83,4.74,13.36,95.45,34.34,61.39,96.05,1.97,8.6,2.92,20-Dec-2019 - 00:00,"Rohini, Delhi - DPCC"
20-Dec-2019 - 00:00,11.65,992.04,82.59,64.03,275.96,0.84,476.25,363.35,3.2,11.24,88.46,27.03,22.0,49.0,1.84,7.99,2.42,21-Dec-2019 - 00:00,"Rohini, Delhi - DPCC"
21-Dec-2019 - 00:00,12.48,992.95,82.34,58.01,302.77,1.35,327.73,245.12,2.23,6.57,84.95,17.29,9.28,26.56,1.09,4.38,3.19,22-Dec-2019 - 00:00,"Rohini, Delhi - DPCC"
22-Dec-2019 - 00:00,10.51,994.2,84.87,31.82,323.88,1.89,194.46,158.62,1.66,4.27,84.46,11.0,5.57,16.56,0.94,8.07,3.05,23-Dec-2019 - 00:00,"Rohini, Delhi - DPCC"
23-Dec-2019 - 00:00,9.37,993.42,82.31,50.86,298.76,1.28,231.26,183.87,1.8,5.96,80.04,12.43,22.29,34.71,1.25,8.39,3.17,24-Dec-2019 - 00:00,"Rohini, Delhi - DPCC"
24-Dec-2019 - 00:00,10.38,995.09,79.21,68.67,189.67,1.19,401.38,291.08,2.49,8.14,86.43,23.78,15.0,38.81,1.55,6.91,3.27,25-Dec-2019 - 00:00,"Rohini, Delhi - DPCC"
25-Dec-2019 - 00:00,8.37,994.2,83.21,55.9,326.56,1.92,245.28,169.26,1.58,4.52,68.2,11.54,6.13,17.68,0.9,6.91,2.79,26-Dec-2019 - 00:00,"Rohini, Delhi - DPCC"
26-Dec-2019 - 00:00,8.55,993.56,78.27,67.25,274.06,1.58,292.27,208.82,1.57,4.08,74.92,13.98,6.53,20.52,0.87,11.4,3.0,27-Dec-2019 - 00:00,"Rohini, Delhi - DPCC"
27-Dec-2019 - 00:00,8.88,994.46,75.16,70.07,184.67,1.13,419.73,286.48,2.05,5.55,84.24,21.88,19.1,40.98,1.17,20.09,3.3,28-Dec-2019 - 00:00,"Rohini, Delhi - DPCC"
28-Dec-2019 - 00:00,7.16,995.13,82.57,60.73,217.17,1.09,414.11,279.35,2.81,8.48,73.02,19.96,36.95,56.9,1.57,17.29,3.33,29-Dec-2019 - 00:00,"Rohini, Delhi - DPCC"
29-Dec-2019 - 00:00,9.04,995.53,77.69,74.14,165.89,1.11,467.7,319.29,2.57,6.36,67.07,25.64,20.3,45.95,1.63,12.33,3.54,30-Dec-2019 - 00:00,"Rohini, Delhi - DPCC"
30-Dec-2019 - 00:00,6.75,994.81,86.84,16.3,165.95,1.35,569.83,425.54,4.01,10.0,69.31,30.16,39.54,69.73,2.28,3.4,3.78,31-Dec-2019 - 00:00,"Rohini, Delhi - DPCC"
31-Dec-2019 - 00:00,6.55,995.3,83.45,3.6,127.1,2.05,444.0,288.0,2.65,4.85,65.25,21.6,20.8,42.5,1.3,1.8,3.9,01-Jan-2020 - 00:00,"Rohini, Delhi - DPCC"
