from date,NO2,NH3,NOx,NO,SO2,CO,Ozone,PM2.5,PM10,Benzene,Temp,RH,BP,Toluene,WD,to date,station
21-Apr-2019 - 00:00,21.64,10.85,13.14,2.0,2.83,0.75,68.51,20.45,49.6,0.21,22.19,57.8,711.41,1.9,135.66,22-Apr-2019 - 00:00,"Hombegowda Nagar, Bengaluru - KSPCB"
22-Apr-2019 - 00:00,16.02,12.78,9.52,1.23,3.39,0.65,66.98,29.1,77.51,0.16,22.75,62.75,711.17,1.29,172.98,23-Apr-2019 - 00:00,"Hombegowda Nagar, Bengaluru - KSPCB"
23-Apr-2019 - 00:00,22.66,10.49,14.06,2.48,2.3,0.91,71.81,26.61,59.2,0.2,23.01,54.97,712.66,1.6,146.74,24-Apr-2019 - 00:00,"Hombegowda Nagar, Bengaluru - KSPCB"
24-Apr-2019 - 00:00,27.36,10.19,16.02,1.81,2.63,0.45,62.91,29.36,74.97,0.2,23.05,46.39,713.68,1.82,156.31,25-Apr-2019 - 00:00,"Hombegowda Nagar, Bengaluru - KSPCB"
25-Apr-2019 - 00:00,31.74,9.7,18.56,2.08,2.85,0.71,57.47,41.27,101.74,0.25,22.04,47.08,713.59,2.27,128.64,26-Apr-2019 - 00:00,"Hombegowda Nagar, Bengaluru - KSPCB"
26-Apr-2019 - 00:00,24.97,10.31,14.32,1.29,2.42,0.79,66.02,41.06,108.38,0.22,21.34,50.15,712.39,2.15,133.09,27-Apr-2019 - 00:00,"Hombegowda Nagar, Bengaluru - KSPCB"
27-Apr-2019 - 00:00,21.06,10.31,12.07,1.06,2.92,0.63,72.76,43.74,115.4,0.23,22.1,49.96,711.92,2.17,130.29,28-Apr-2019 - 00:00,"Hombegowda Nagar, Bengaluru - KSPCB"
28-Apr-2019 - 00:00,25.55,10.19,14.72,1.41,2.9,1.02,58.38,43.78,113.14,0.27,21.97,54.6,712.07,2.54,112.18,29-Apr-2019 - 00:00,"Hombegowda Nagar, Bengaluru - KSPCB"
29-Apr-2019 - 00:00,18.82,11.47,10.87,1.06,2.12,0.68,60.27,40.15,100.17,0.23,21.95,60.43,712.05,2.06,148.38,30-Apr-2019 - 00:00,"Hombegowda Nagar, Bengaluru - KSPCB"
30-Apr-2019 - 00:00,13.51,10.69,8.03,1.04,2.63,0.74,60.94,32.03,76.68,0.15,22.6,68.9,711.28,1.19,173.91,01-May-2019 - 00:00,"Hombegowda Nagar, Bengaluru - KSPCB"
01-May-2019 - 00:00,12.87,10.61,7.77,1.14,2.39,0.61,46.93,25.91,65.1,0.13,22.64,72.09,710.4,1.02,181.43,02-May-2019 - 00:00,"Hombegowda Nagar, Bengaluru - KSPCB"
