from date,AT,BP,PM10,PM2.5,RH,SR,WD,WS,Benzene,Toluene,NH3,NO,NOx,NO2,CO,Ozone,SO2,to date,station
24-Feb-2019 - 00:00,18.46,989.49,125.46,69.09,47.47,159.84,269.43,0.89,0.31,0.75,45.47,11.75,27.78,22.95,0.76,26.18,3.25,25-Feb-2019 - 00:00,"Patparganj, Delhi - DPCC"
25-Feb-2019 - 00:00,17.52,988.88,157.15,101.93,57.06,110.96,125.08,1.08,0.38,0.86,53.69,11.89,34.06,24.69,0.84,19.48,4.95,26-Feb-2019 - 00:00,"Patparganj, Delhi - DPCC"
26-Feb-2019 - 00:00,15.92,989.01,97.32,55.42,60.82,74.93,123.43,1.21,0.26,0.76,50.54,3.84,21.17,17.34,0.68,15.07,3.82,27-Feb-2019 - 00:00,"Patparganj, Delhi - DPCC"
27-Feb-2019 - 00:00,13.94,989.4,85.4,49.71,71.1,53.99,36.06,1.5,0.27,0.57,42.51,1.82,15.12,13.11,0.54,14.19,2.81,28-Feb-2019 - 00:00,"Patparganj, Delhi - DPCC"
28-Feb-2019 - 00:00,15.85,992.89,158.96,92.47,59.06,153.88,254.14,0.92,0.56,1.1,50.23,38.15,52.78,17.08,0.97,17.38,2.41,01-Mar-2019 - 00:00,"Patparganj, Delhi - DPCC"
01-Mar-2019 - 00:00,17.62,993.28,150.9,79.67,50.31,172.68,241.16,0.92,0.41,1.1,49.46,19.82,38.66,19.28,0.83,18.09,2.97,02-Mar-2019 - 00:00,"Patparganj, Delhi - DPCC"
02-Mar-2019 - 00:00,16.03,993.64,146.08,89.19,69.19,30.88,162.66,0.97,0.46,1.39,62.2,23.19,48.07,24.95,1.03,7.67,4.77,03-Mar-2019 - 00:00,"Patparganj, Delhi - DPCC"
03-Mar-2019 - 00:00,17.04,990.41,84.0,55.24,78.4,112.88,144.07,0.8,0.28,0.79,50.26,9.43,22.39,12.96,0.84,14.57,2.33,04-Mar-2019 - 00:00,"Patparganj, Delhi - DPCC"
04-Mar-2019 - 00:00,19.07,987.43,162.31,100.96,74.71,138.59,277.13,0.87,0.54,1.27,62.45,43.04,58.21,15.16,1.16,16.09,2.12,05-Mar-2019 - 00:00,"Patparganj, Delhi - DPCC"
05-Mar-2019 - 00:00,18.78,988.54,101.14,55.12,61.49,163.28,306.48,0.84,0.29,0.77,46.3,11.05,28.31,17.25,0.78,17.03,1.62,06-Mar-2019 - 00:00,"Patparganj, Delhi - DPCC"
06-Mar-2019 - 00:00,19.15,989.55,134.08,74.17,53.79,187.99,276.95,1.0,0.43,1.01,48.05,17.47,36.23,18.76,0.91,17.76,2.24,07-Mar-2019 - 00:00,"Patparganj, Delhi - DPCC"
07-Mar-2019 - 00:00,19.94,989.95,169.62,93.24,52.01,178.98,241.93,0.78,0.54,1.43,53.47,32.76,52.29,19.55,1.07,24.37,3.33,08-Mar-2019 - 00:00,"Patparganj, Delhi - DPCC"
08-Mar-2019 - 00:00,20.8,991.63,160.56,82.61,49.85,152.12,148.15,1.07,0.45,1.08,55.42,20.99,39.64,18.66,0.91,21.34,3.97,09-Mar-2019 - 00:00,"Patparganj, Delhi - DPCC"
09-Mar-2019 - 00:00,21.2,991.55,119.5,55.02,46.64,170.17,296.73,1.15,0.25,0.71,48.88,3.84,16.46,12.63,0.67,21.82,3.53,10-Mar-2019 - 00:00,"Patparganj, Delhi - DPCC"
10-Mar-2019 - 00:00,21.48,991.82,129.2,64.48,39.83,193.73,217.03,0.93,0.27,0.79,46.54,4.61,20.88,16.28,0.73,32.3,4.45,11-Mar-2019 - 00:00,"Patparganj, Delhi - DPCC"
11-Mar-2019 - 00:00,22.73,991.3,172.53,73.01,43.63,143.52,128.33,1.22,0.37,1.01,55.66,6.98,24.21,17.21,0.82,25.44,4.7,12-Mar-2019 - 00:00,"Patparganj, Delhi - DPCC"
12-Mar-2019 - 00:00,22.08,993.41,100.6,43.59,46.3,141.48,158.75,1.48,0.27,0.54,49.15,2.12,10.93,11.44,0.46,25.22,2.22,13-Mar-2019 - 00:00,"Patparganj, Delhi - DPCC"
13-Mar-2019 - 00:00,20.55,993.7,216.22,94.17,47.05,66.49,112.17,1.06,1.29,3.05,64.21,9.62,33.26,28.37,1.26,20.34,7.49,14-Mar-2019 - 00:00,"Patparganj, Delhi - DPCC"
14-Mar-2019 - 00:00,18.92,994.44,171.85,100.8,59.24,109.45,186.2,1.47,1.95,4.68,70.11,22.73,44.76,22.03,0.92,14.84,6.38,15-Mar-2019 - 00:00,"Patparganj, Delhi - DPCC"
15-Mar-2019 - 00:00,20.19,995.75,112.06,61.42,55.33,179.64,267.16,0.97,1.06,5.05,50.38,13.4,35.55,22.15,0.73,18.87,5.91,16-Mar-2019 - 00:00,"Patparganj, Delhi - DPCC"
16-Mar-2019 - 00:00,21.28,994.17,106.68,50.76,46.28,176.5,286.85,0.91,0.84,3.42,49.44,2.69,24.93,22.23,0.78,25.55,4.76,17-Mar-2019 - 00:00,"Patparganj, Delhi - DPCC"
17-Mar-2019 - 00:00,22.51,992.3,129.27,73.31,44.6,178.9,276.73,0.89,1.25,4.4,53.31,13.93,37.95,24.0,0.84,24.89,5.54,18-Mar-2019 - 00:00,"Patparganj, Delhi - DPCC"
18-Mar-2019 - 00:00,22.45,991.82,147.66,81.9,47.58,169.62,259.25,0.75,1.38,5.14,58.88,19.5,45.94,26.47,0.96,26.71,5.64,19-Mar-2019 - 00:00,"Patparganj, Delhi - DPCC"
19-Mar-2019 - 00:00,24.12,988.35,166.38,81.56,43.32,178.78,244.35,0.84,1.52,7.48,57.53,21.65,47.99,26.36,1.03,22.06,6.18,20-Mar-2019 - 00:00,"Patparganj, Delhi - DPCC"
20-Mar-2019 - 00:00,26.33,986.72,181.93,80.28,37.41,143.87,149.37,0.78,1.44,5.06,66.26,10.41,34.98,24.61,0.98,20.61,7.99,21-Mar-2019 - 00:00,"Patparganj, Delhi - DPCC"
21-Mar-2019 - 00:00,25.9,990.0,150.19,97.19,37.09,169.29,115.33,1.36,1.79,2.84,67.27,2.74,17.58,14.87,1.0,30.72,8.28,22-Mar-2019 - 00:00,"Patparganj, Delhi - DPCC"
22-Mar-2019 - 00:00,24.71,992.04,90.2,29.35,32.25,204.44,320.15,1.11,0.56,1.62,45.16,1.13,14.92,13.8,0.52,30.39,5.66,23-Mar-2019 - 00:00,"Patparganj, Delhi - DPCC"
23-Mar-2019 - 00:00,24.88,991.22,106.83,38.46,34.94,192.81,312.27,1.08,0.63,2.05,43.21,1.12,17.51,16.41,0.54,32.24,5.01,24-Mar-2019 - 00:00,"Patparganj, Delhi - DPCC"
24-Mar-2019 - 00:00,25.38,989.64,103.04,44.42,38.6,182.44,270.79,1.27,0.7,2.56,46.52,4.56,20.04,15.49,0.58,24.55,7.13,25-Mar-2019 - 00:00,"Patparganj, Delhi - DPCC"
25-Mar-2019 - 00:00,24.26,989.99,113.75,51.35,47.8,159.6,265.78,1.21,0.83,2.68,48.86,3.35,19.04,15.69,0.66,20.63,6.63,26-Mar-2019 - 00:00,"Patparganj, Delhi - DPCC"
26-Mar-2019 - 00:00,24.64,991.33,116.82,60.04,43.84,187.97,310.97,0.99,0.96,4.01,49.16,6.43,25.89,19.47,0.78,20.48,6.53,27-Mar-2019 - 00:00,"Patparganj, Delhi - DPCC"
27-Mar-2019 - 00:00,25.53,991.95,124.82,63.06,40.28,162.36,278.77,1.01,1.26,4.71,50.24,10.81,33.79,22.98,0.84,24.55,6.73,28-Mar-2019 - 00:00,"Patparganj, Delhi - DPCC"
28-Mar-2019 - 00:00,27.27,989.89,192.26,101.92,42.87,167.91,196.32,0.71,2.23,8.69,58.32,38.9,65.99,26.89,1.55,30.56,9.99,29-Mar-2019 - 00:00,"Patparganj, Delhi - DPCC"
29-Mar-2019 - 00:00,29.36,986.86,193.28,97.6,46.74,163.81,177.21,0.86,2.43,8.17,71.36,27.1,50.7,23.62,1.31,31.84,7.02,30-Mar-2019 - 00:00,"Patparganj, Delhi - DPCC"
30-Mar-2019 - 00:00,30.77,985.8,190.04,97.26,41.88,166.38,158.38,1.02,2.45,5.1,66.31,14.78,34.96,20.24,1.08,33.64,9.46,31-Mar-2019 - 00:00,"Patparganj, Delhi - DPCC"
