from date,Toluene,Benzene,AT,RH,ETH,SR,VWS,WS,WD,CO,NO,NO2,NOx,Ozone,PM2.5,SO2,to date,BP,station
02-Sep-2019 - 00:00,6.69,0.69,31.44,78.95,0.15,42.09,0.05,0.43,126.94,3.53,5.24,19.52,8.59,14.2,35.62,4.49,03-Sep-2019 - 00:00,991.2,"Central School, Lucknow - CPCB"
03-Sep-2019 - 00:00,6.69,0.69,31.88,82.04,0.15,45.04,0.05,0.48,147.4,1.26,6.21,15.45,13.19,15.28,32.81,4.33,04-Sep-2019 - 00:00,990.07,"Central School, Lucknow - CPCB"
04-Sep-2019 - 00:00,6.69,0.69,31.05,84.32,0.15,40.3,-0.0,0.52,101.56,1.26,6.08,15.59,13.16,18.26,26.42,3.55,05-Sep-2019 - 00:00,989.82,"Central School, Lucknow - CPCB"
05-Sep-2019 - 00:00,3.67,0.28,30.4,90.43,0.06,38.61,0.06,0.5,96.62,1.26,6.0,14.2,12.35,19.82,31.81,3.68,06-Sep-2019 - 00:00,989.62,"Central School, Lucknow - CPCB"
06-Sep-2019 - 00:00,1.57,0.0,30.63,89.2,0.04,36.3,0.05,0.49,97.87,1.26,6.0,14.26,12.39,18.58,35.71,3.53,07-Sep-2019 - 00:00,988.78,"Central School, Lucknow - CPCB"
07-Sep-2019 - 00:00,3.91,0.33,29.88,93.0,0.07,39.07,0.04,0.5,98.1,1.26,6.53,17.29,14.42,22.2,27.44,3.09,08-Sep-2019 - 00:00,989.66,"Central School, Lucknow - CPCB"
08-Sep-2019 - 00:00,6.69,0.69,30.6,86.29,0.15,44.12,-0.01,0.51,91.93,1.26,7.28,22.08,17.57,16.03,24.63,2.34,09-Sep-2019 - 00:00,990.35,"Central School, Lucknow - CPCB"
09-Sep-2019 - 00:00,6.69,0.69,30.48,86.22,0.15,36.78,0.02,0.52,93.14,1.26,7.25,22.2,17.61,20.6,25.25,2.73,10-Sep-2019 - 00:00,989.16,"Central School, Lucknow - CPCB"
10-Sep-2019 - 00:00,6.69,0.69,30.91,88.31,0.15,42.7,0.03,0.51,95.35,1.31,7.28,21.19,17.09,21.98,28.56,2.94,11-Sep-2019 - 00:00,989.13,"Central School, Lucknow - CPCB"
11-Sep-2019 - 00:00,6.69,0.69,30.68,89.58,0.15,36.17,0.01,0.51,94.8,1.26,7.26,19.03,15.93,23.47,34.1,3.4,12-Sep-2019 - 00:00,991.07,"Central School, Lucknow - CPCB"
12-Sep-2019 - 00:00,6.69,0.69,29.46,93.29,0.15,24.51,0.03,0.51,98.9,1.27,7.27,18.79,15.81,30.39,35.58,3.65,13-Sep-2019 - 00:00,993.04,"Central School, Lucknow - CPCB"
13-Sep-2019 - 00:00,6.69,0.69,26.59,99.15,0.15,25.59,0.11,0.53,94.65,1.26,7.26,18.59,15.7,23.85,15.78,4.66,14-Sep-2019 - 00:00,994.71,"Central School, Lucknow - CPCB"
14-Sep-2019 - 00:00,6.69,0.69,27.77,97.26,0.15,46.5,0.03,0.52,101.99,1.24,7.21,18.31,15.5,31.05,21.18,3.97,15-Sep-2019 - 00:00,995.45,"Central School, Lucknow - CPCB"
15-Sep-2019 - 00:00,6.69,0.69,28.54,93.5,0.15,42.04,0.05,0.5,100.68,0.63,7.78,19.15,16.41,27.35,27.55,3.69,16-Sep-2019 - 00:00,995.2,"Central School, Lucknow - CPCB"
16-Sep-2019 - 00:00,6.69,0.69,28.02,98.41,0.15,44.29,0.06,0.47,136.11,0.78,7.39,19.13,16.09,22.2,22.31,3.18,17-Sep-2019 - 00:00,993.86,"Central School, Lucknow - CPCB"
17-Sep-2019 - 00:00,6.69,0.69,28.2,93.22,0.15,43.04,0.05,0.49,107.25,0.76,7.26,18.03,15.39,22.69,24.45,4.22,18-Sep-2019 - 00:00,995.77,"Central School, Lucknow - CPCB"
18-Sep-2019 - 00:00,6.69,0.69,25.42,99.14,0.15,21.36,0.07,0.5,105.1,1.46,6.45,21.87,16.33,29.61,11.58,4.5,19-Sep-2019 - 00:00,999.04,"Central School, Lucknow - CPCB"
19-Sep-2019 - 00:00,6.69,0.69,23.43,99.15,0.15,11.05,0.11,0.46,100.48,1.2,8.31,26.27,20.63,23.29,20.69,4.43,20-Sep-2019 - 00:00,999.33,"Central School, Lucknow - CPCB"
20-Sep-2019 - 00:00,6.69,0.69,27.0,97.2,0.15,53.42,0.15,0.54,127.57,1.2,6.87,25.53,19.07,19.22,20.41,6.66,21-Sep-2019 - 00:00,998.48,"Central School, Lucknow - CPCB"
21-Sep-2019 - 00:00,6.69,0.69,26.71,98.85,0.15,40.52,0.09,0.46,119.13,1.2,6.88,24.65,18.62,19.85,20.15,8.77,22-Sep-2019 - 00:00,998.35,"Central School, Lucknow - CPCB"
22-Sep-2019 - 00:00,6.69,0.69,25.09,99.14,0.15,32.7,0.09,0.45,144.42,1.2,6.71,26.62,19.53,18.03,26.36,3.64,23-Sep-2019 - 00:00,999.88,"Central School, Lucknow - CPCB"
23-Sep-2019 - 00:00,6.69,0.69,26.94,99.15,0.15,45.29,0.08,0.46,124.83,1.2,6.66,26.64,19.49,24.83,23.57,14.07,24-Sep-2019 - 00:00,999.83,"Central School, Lucknow - CPCB"
24-Sep-2019 - 00:00,6.69,0.69,25.7,99.12,0.15,31.72,0.13,0.48,106.51,1.39,5.92,24.43,17.35,23.81,17.01,5.16,25-Sep-2019 - 00:00,999.92,"Central School, Lucknow - CPCB"
25-Sep-2019 - 00:00,6.69,0.69,27.02,97.29,0.15,28.13,0.08,0.48,95.22,1.65,7.52,23.99,18.94,27.79,17.9,3.08,26-Sep-2019 - 00:00,,"Central School, Lucknow - CPCB"
26-Sep-2019 - 00:00,3.35,0.35,24.39,99.15,0.07,13.64,0.12,0.5,102.81,0.52,11.24,19.97,19.62,35.8,14.68,6.51,27-Sep-2019 - 00:00,,"Central School, Lucknow - CPCB"
27-Sep-2019 - 00:00,0.05,0.0,23.88,99.15,0.0,11.93,0.19,0.58,106.78,1.1,11.63,12.57,15.99,26.72,11.71,2.38,28-Sep-2019 - 00:00,999.87,"Central School, Lucknow - CPCB"
28-Sep-2019 - 00:00,0.0,0.0,24.27,99.15,0.0,21.95,0.08,0.56,101.79,0.58,13.43,8.92,15.49,26.03,11.4,3.36,29-Sep-2019 - 00:00,998.89,"Central School, Lucknow - CPCB"
29-Sep-2019 - 00:00,0.03,0.0,23.44,99.15,0.0,19.3,0.06,0.47,95.44,0.35,14.21,7.22,15.21,23.83,7.25,3.52,30-Sep-2019 - 00:00,,"Central School, Lucknow - CPCB"
30-Sep-2019 - 00:00,0.51,0.04,23.22,99.15,0.55,21.88,0.09,0.48,99.75,0.62,10.72,17.69,18.01,22.23,13.14,4.71,01-Oct-2019 - 00:00,999.58,"Central School, Lucknow - CPCB"
01-Oct-2019 - 00:00,1.62,0.13,25.08,95.14,1.28,46.25,0.08,0.46,108.34,0.67,7.99,21.21,17.67,21.59,22.09,10.7,02-Oct-2019 - 00:00,998.71,"Central School, Lucknow - CPCB"
02-Oct-2019 - 00:00,0.6,0.02,25.19,99.12,0.51,30.26,0.1,0.48,95.4,0.28,7.13,22.23,17.53,21.66,23.08,3.47,03-Oct-2019 - 00:00,999.74,"Central School, Lucknow - CPCB"
03-Oct-2019 - 00:00,0.89,0.11,26.99,90.77,1.02,40.21,0.02,0.42,104.8,0.8,25.8,18.6,30.08,21.67,25.99,6.01,04-Oct-2019 - 00:00,999.42,"Central School, Lucknow - CPCB"
04-Oct-2019 - 00:00,3.12,0.12,28.29,85.6,1.22,32.11,0.05,0.45,237.97,1.6,24.99,9.37,24.66,22.75,39.47,3.11,05-Oct-2019 - 00:00,998.93,"Central School, Lucknow - CPCB"
05-Oct-2019 - 00:00,2.18,0.04,28.15,80.39,0.29,29.81,0.03,0.45,259.45,1.6,15.69,15.56,20.73,27.37,52.95,4.12,06-Oct-2019 - 00:00,999.74,"Central School, Lucknow - CPCB"
06-Oct-2019 - 00:00,3.24,0.0,28.03,76.15,0.0,29.03,0.05,0.47,243.37,1.6,12.74,30.72,26.07,28.27,52.13,3.99,07-Oct-2019 - 00:00,999.85,"Central School, Lucknow - CPCB"
07-Oct-2019 - 00:00,1.53,0.13,27.81,73.89,0.02,27.31,0.04,0.44,244.35,1.61,11.24,36.8,28.24,29.07,67.24,6.48,08-Oct-2019 - 00:00,,"Central School, Lucknow - CPCB"
08-Oct-2019 - 00:00,2.3,0.35,27.47,76.33,0.7,27.46,0.04,0.45,270.63,1.6,29.08,38.26,43.39,30.82,75.29,7.16,09-Oct-2019 - 00:00,999.9,"Central School, Lucknow - CPCB"
09-Oct-2019 - 00:00,1.51,0.29,27.38,83.38,1.43,24.85,0.05,0.48,149.41,1.6,34.35,33.64,45.3,24.31,78.88,7.15,10-Oct-2019 - 00:00,,"Central School, Lucknow - CPCB"
10-Oct-2019 - 00:00,0.88,0.24,27.86,77.35,0.54,23.42,0.04,0.46,221.5,1.6,25.01,48.68,45.82,24.39,64.15,7.3,11-Oct-2019 - 00:00,,"Central School, Lucknow - CPCB"
11-Oct-2019 - 00:00,5.53,0.4,27.41,73.54,0.76,25.74,0.04,0.46,236.18,1.6,42.45,53.05,62.12,26.98,76.86,5.54,12-Oct-2019 - 00:00,,"Central School, Lucknow - CPCB"
12-Oct-2019 - 00:00,2.02,0.4,27.84,69.95,1.17,25.76,0.06,0.46,222.16,1.6,39.98,57.06,62.3,29.92,74.2,4.97,13-Oct-2019 - 00:00,,"Central School, Lucknow - CPCB"
13-Oct-2019 - 00:00,2.67,0.7,27.32,70.84,1.24,25.9,0.07,0.43,221.55,1.6,41.25,60.21,65.01,51.3,97.25,6.15,14-Oct-2019 - 00:00,,"Central School, Lucknow - CPCB"
14-Oct-2019 - 00:00,2.84,0.64,27.37,73.13,1.88,24.03,0.1,0.47,182.63,1.6,49.09,65.78,74.18,24.84,105.5,6.52,15-Oct-2019 - 00:00,,"Central School, Lucknow - CPCB"
15-Oct-2019 - 00:00,1.38,0.15,27.3,75.28,0.73,22.25,0.1,0.48,134.19,1.6,17.9,53.28,42.66,20.09,81.12,2.58,16-Oct-2019 - 00:00,,"Central School, Lucknow - CPCB"
16-Oct-2019 - 00:00,1.74,0.37,27.26,74.97,0.62,24.62,0.1,0.47,105.14,1.6,52.16,49.16,67.88,22.08,80.87,9.98,17-Oct-2019 - 00:00,,"Central School, Lucknow - CPCB"
17-Oct-2019 - 00:00,2.26,0.43,27.1,74.69,1.47,22.82,0.09,0.46,144.25,1.6,43.47,52.84,62.88,21.11,79.12,5.13,18-Oct-2019 - 00:00,,"Central School, Lucknow - CPCB"
18-Oct-2019 - 00:00,1.72,0.35,26.56,80.16,1.09,19.52,0.09,0.47,122.65,1.6,55.86,78.01,86.18,17.36,76.57,4.29,19-Oct-2019 - 00:00,,"Central School, Lucknow - CPCB"
19-Oct-2019 - 00:00,1.87,0.25,26.8,80.27,0.98,16.39,0.07,0.43,159.54,1.6,41.52,95.29,83.89,14.58,83.77,3.84,20-Oct-2019 - 00:00,,"Central School, Lucknow - CPCB"
20-Oct-2019 - 00:00,1.39,0.16,26.53,91.28,0.52,11.08,0.09,0.48,231.34,1.6,8.72,53.93,35.64,15.9,94.4,4.77,21-Oct-2019 - 00:00,,"Central School, Lucknow - CPCB"
21-Oct-2019 - 00:00,1.72,0.04,25.71,76.93,0.23,15.33,0.08,0.47,262.29,1.61,7.81,53.45,34.66,20.99,107.04,3.39,22-Oct-2019 - 00:00,,"Central School, Lucknow - CPCB"
22-Oct-2019 - 00:00,3.17,0.75,24.54,62.84,1.22,22.56,0.07,0.48,275.96,1.59,87.7,101.01,76.11,26.32,86.57,6.33,23-Oct-2019 - 00:00,998.9,"Central School, Lucknow - CPCB"
23-Oct-2019 - 00:00,5.76,0.73,23.94,70.84,1.76,17.09,0.06,0.48,208.37,1.62,73.54,129.83,127.89,24.67,126.78,3.7,24-Oct-2019 - 00:00,999.98,"Central School, Lucknow - CPCB"
24-Oct-2019 - 00:00,1.79,0.25,24.02,72.19,1.36,22.41,0.05,0.47,106.12,1.37,49.63,139.17,113.59,20.49,91.62,4.75,25-Oct-2019 - 00:00,,"Central School, Lucknow - CPCB"
25-Oct-2019 - 00:00,0.17,0.0,22.98,84.32,0.18,28.41,0.06,0.49,100.44,0.63,12.33,88.37,56.86,25.9,78.78,3.04,26-Oct-2019 - 00:00,,"Central School, Lucknow - CPCB"
26-Oct-2019 - 00:00,2.2,0.4,23.35,83.29,1.18,21.31,0.08,0.45,91.33,2.56,95.25,155.65,113.71,24.59,82.65,7.12,27-Oct-2019 - 00:00,,"Central School, Lucknow - CPCB"
27-Oct-2019 - 00:00,1.84,0.68,25.0,67.95,1.95,10.13,0.06,0.47,277.33,1.44,48.03,143.52,114.41,29.46,182.44,10.21,28-Oct-2019 - 00:00,,"Central School, Lucknow - CPCB"
28-Oct-2019 - 00:00,1.8,0.27,24.24,71.0,1.62,14.24,0.02,0.51,230.29,1.62,86.28,125.48,134.24,24.2,217.69,14.15,29-Oct-2019 - 00:00,,"Central School, Lucknow - CPCB"
29-Oct-2019 - 00:00,2.11,0.36,24.58,83.28,1.95,17.43,0.01,0.46,249.02,1.63,67.78,151.0,134.06,24.78,174.54,11.8,30-Oct-2019 - 00:00,,"Central School, Lucknow - CPCB"
30-Oct-2019 - 00:00,2.19,0.42,24.64,82.0,1.96,14.22,0.19,0.59,180.06,1.66,28.07,107.31,94.11,24.47,173.28,3.27,31-Oct-2019 - 00:00,,"Central School, Lucknow - CPCB"
31-Oct-2019 - 00:00,4.09,0.71,24.03,89.39,1.57,14.94,0.06,0.45,237.72,1.27,59.44,151.36,128.06,24.8,220.1,9.17,01-Nov-2019 - 00:00,,"Central School, Lucknow - CPCB"
01-Nov-2019 - 00:00,5.02,1.02,24.3,82.29,2.63,16.59,0.05,0.47,270.62,1.38,52.03,170.09,108.95,23.0,237.06,11.87,02-Nov-2019 - 00:00,,"Central School, Lucknow - CPCB"
02-Nov-2019 - 00:00,7.59,2.0,24.42,84.44,4.34,15.49,0.06,0.45,216.39,0.89,125.99,239.47,195.46,19.48,265.34,14.11,03-Nov-2019 - 00:00,,"Central School, Lucknow - CPCB"
03-Nov-2019 - 00:00,2.88,0.34,25.01,79.68,1.68,12.42,0.05,0.46,267.73,0.38,7.99,115.94,68.06,23.15,167.23,4.12,04-Nov-2019 - 00:00,,"Central School, Lucknow - CPCB"
04-Nov-2019 - 00:00,2.28,0.24,24.26,74.21,0.65,14.01,0.03,0.48,264.25,0.65,7.14,101.36,59.63,21.52,293.04,4.61,05-Nov-2019 - 00:00,,"Central School, Lucknow - CPCB"
05-Nov-2019 - 00:00,1.9,0.02,21.88,76.53,0.0,19.9,0.04,0.46,259.74,0.44,6.62,90.67,53.52,24.56,212.5,4.45,06-Nov-2019 - 00:00,,"Central School, Lucknow - CPCB"
06-Nov-2019 - 00:00,2.94,0.22,21.36,70.84,0.68,9.31,0.02,0.48,270.91,0.97,26.21,120.38,84.99,24.35,115.46,4.25,07-Nov-2019 - 00:00,,"Central School, Lucknow - CPCB"
07-Nov-2019 - 00:00,4.75,1.05,22.33,77.34,2.44,16.67,0.09,0.47,179.14,1.26,105.7,179.22,158.41,23.7,200.64,10.3,08-Nov-2019 - 00:00,,"Central School, Lucknow - CPCB"
08-Nov-2019 - 00:00,3.49,0.81,23.35,78.21,2.08,16.58,0.09,0.51,102.07,0.94,91.7,159.92,158.41,25.93,157.65,6.68,09-Nov-2019 - 00:00,,"Central School, Lucknow - CPCB"
09-Nov-2019 - 00:00,2.59,0.42,23.58,76.56,1.53,15.7,0.09,0.43,151.18,1.09,88.12,146.43,148.39,23.46,113.98,7.52,10-Nov-2019 - 00:00,,"Central School, Lucknow - CPCB"
10-Nov-2019 - 00:00,1.98,0.26,24.06,60.07,0.6,15.9,0.09,0.45,230.1,0.72,24.19,81.93,62.93,28.28,80.0,6.22,11-Nov-2019 - 00:00,,"Central School, Lucknow - CPCB"
11-Nov-2019 - 00:00,0.4,0.01,23.01,53.05,0.0,15.55,0.08,0.47,262.53,0.79,6.05,74.34,44.37,43.04,118.31,7.48,12-Nov-2019 - 00:00,,"Central School, Lucknow - CPCB"
12-Nov-2019 - 00:00,2.12,0.58,23.35,57.13,1.39,16.2,0.09,0.49,242.99,1.01,64.17,128.0,119.31,51.76,149.64,6.82,13-Nov-2019 - 00:00,,"Central School, Lucknow - CPCB"
13-Nov-2019 - 00:00,4.75,0.89,20.42,75.94,1.81,11.82,0.1,0.47,258.37,1.51,80.76,155.83,137.42,49.86,221.73,13.93,14-Nov-2019 - 00:00,,"Central School, Lucknow - CPCB"
14-Nov-2019 - 00:00,10.93,1.2,21.64,76.84,3.3,12.75,0.09,0.46,285.75,0.6,95.07,151.7,156.15,79.97,174.38,19.17,15-Nov-2019 - 00:00,,"Central School, Lucknow - CPCB"
15-Nov-2019 - 00:00,3.52,0.66,21.42,73.69,1.51,15.64,0.08,0.45,295.21,0.62,100.72,109.56,138.59,80.02,133.88,19.57,16-Nov-2019 - 00:00,,"Central School, Lucknow - CPCB"
16-Nov-2019 - 00:00,17.45,0.57,22.3,73.32,1.69,13.46,0.08,0.47,271.98,0.68,56.27,103.07,99.84,80.03,113.84,19.56,17-Nov-2019 - 00:00,,"Central School, Lucknow - CPCB"
17-Nov-2019 - 00:00,3.02,0.18,22.56,71.03,0.82,13.8,0.07,0.47,267.32,0.5,55.19,67.21,41.63,80.02,75.12,13.61,18-Nov-2019 - 00:00,,"Central School, Lucknow - CPCB"
18-Nov-2019 - 00:00,1.91,0.06,20.95,59.68,0.8,14.62,0.06,0.46,276.98,0.87,5.04,40.88,21.29,79.99,67.85,8.14,19-Nov-2019 - 00:00,,"Central School, Lucknow - CPCB"
19-Nov-2019 - 00:00,10.03,0.22,20.34,59.79,1.2,12.23,0.06,0.5,252.78,0.88,4.95,31.98,20.99,80.01,64.0,18.17,20-Nov-2019 - 00:00,,"Central School, Lucknow - CPCB"
20-Nov-2019 - 00:00,6.5,0.43,20.17,65.72,1.34,12.88,0.06,0.49,131.28,1.2,5.02,31.96,21.02,79.98,127.57,14.86,21-Nov-2019 - 00:00,,"Central School, Lucknow - CPCB"
21-Nov-2019 - 00:00,3.39,0.55,20.28,79.02,2.13,12.51,0.08,0.45,160.8,1.21,44.73,80.9,76.33,80.0,135.14,10.42,22-Nov-2019 - 00:00,,"Central School, Lucknow - CPCB"
22-Nov-2019 - 00:00,2.69,0.13,20.82,77.34,1.16,12.21,0.07,0.47,260.17,1.2,13.87,80.93,54.15,80.01,124.45,19.4,23-Nov-2019 - 00:00,,"Central School, Lucknow - CPCB"
23-Nov-2019 - 00:00,4.03,0.02,21.31,66.1,0.43,14.08,0.05,0.46,258.87,1.21,8.19,58.63,37.74,79.97,110.66,15.34,24-Nov-2019 - 00:00,,"Central School, Lucknow - CPCB"
24-Nov-2019 - 00:00,2.66,1.22,21.25,75.59,0.99,13.01,0.08,0.46,277.56,1.19,23.59,78.18,60.45,80.02,96.25,7.54,25-Nov-2019 - 00:00,,"Central School, Lucknow - CPCB"
25-Nov-2019 - 00:00,2.75,0.63,20.5,86.41,1.76,8.78,0.07,0.46,210.1,1.2,16.14,112.31,72.65,80.03,111.76,7.81,26-Nov-2019 - 00:00,,"Central School, Lucknow - CPCB"
26-Nov-2019 - 00:00,2.65,0.35,20.86,83.19,2.44,18.05,0.06,0.46,162.13,1.19,41.26,158.87,117.52,80.01,168.01,7.56,27-Nov-2019 - 00:00,,"Central School, Lucknow - CPCB"
27-Nov-2019 - 00:00,0.33,0.0,21.16,88.02,0.71,11.32,0.03,0.48,92.2,1.2,18.12,80.43,57.28,80.05,183.11,5.69,28-Nov-2019 - 00:00,,"Central School, Lucknow - CPCB"
28-Nov-2019 - 00:00,0.0,0.0,22.04,82.32,0.22,13.19,0.02,0.44,104.25,1.09,8.69,37.36,26.82,69.86,176.14,4.78,29-Nov-2019 - 00:00,,"Central School, Lucknow - CPCB"
29-Nov-2019 - 00:00,0.0,0.0,19.02,89.42,0.0,6.65,0.0,0.39,187.42,1.46,44.09,38.76,53.65,53.68,68.59,2.43,30-Nov-2019 - 00:00,,"Central School, Lucknow - CPCB"
30-Nov-2019 - 00:00,0.0,0.0,19.77,83.87,0.0,8.35,0.01,0.41,286.23,1.17,12.93,35.6,29.28,44.41,54.2,1.36,01-Dec-2019 - 00:00,,"Central School, Lucknow - CPCB"
01-Dec-2019 - 00:00,0.0,0.0,19.41,84.5,0.0,13.59,0.0,0.41,267.29,1.33,11.35,32.74,26.5,63.87,80.32,1.52,02-Dec-2019 - 00:00,,"Central School, Lucknow - CPCB"
02-Dec-2019 - 00:00,0.0,0.0,18.31,78.2,0.0,13.28,0.03,0.41,275.91,1.06,11.46,33.09,26.77,70.63,103.56,2.56,03-Dec-2019 - 00:00,,"Central School, Lucknow - CPCB"
03-Dec-2019 - 00:00,0.0,0.0,16.82,80.08,0.0,13.04,0.06,0.43,268.37,0.95,12.71,43.57,33.33,73.84,80.94,4.3,04-Dec-2019 - 00:00,,"Central School, Lucknow - CPCB"
04-Dec-2019 - 00:00,0.0,0.0,15.53,82.7,0.0,9.27,0.03,0.43,273.55,1.57,94.43,91.75,124.34,44.19,116.21,2.08,05-Dec-2019 - 00:00,,"Central School, Lucknow - CPCB"
05-Dec-2019 - 00:00,0.0,0.0,16.74,78.21,0.0,14.02,0.05,0.44,281.43,0.64,76.24,95.63,111.86,48.52,165.34,1.6,06-Dec-2019 - 00:00,,"Central School, Lucknow - CPCB"
06-Dec-2019 - 00:00,3.11,0.78,16.67,86.44,1.62,13.06,0.07,0.44,205.43,0.59,96.22,90.42,125.07,29.29,147.67,1.17,07-Dec-2019 - 00:00,,"Central School, Lucknow - CPCB"
07-Dec-2019 - 00:00,6.33,1.36,18.3,85.48,2.74,11.48,0.09,0.47,125.07,1.98,114.1,84.67,134.0,34.44,126.86,2.3,08-Dec-2019 - 00:00,,"Central School, Lucknow - CPCB"
08-Dec-2019 - 00:00,4.44,0.82,18.38,78.63,2.47,15.27,0.07,0.44,135.18,2.01,79.11,75.83,103.56,19.99,129.26,2.43,09-Dec-2019 - 00:00,,"Central School, Lucknow - CPCB"
09-Dec-2019 - 00:00,4.04,0.45,16.64,83.17,1.81,7.35,0.08,0.46,148.59,1.97,40.22,79.64,74.53,10.16,106.26,2.36,10-Dec-2019 - 00:00,,"Central School, Lucknow - CPCB"
10-Dec-2019 - 00:00,3.3,0.65,16.47,85.36,2.22,8.57,0.09,0.45,308.0,2.03,73.64,79.47,101.18,10.78,130.67,3.04,11-Dec-2019 - 00:00,,"Central School, Lucknow - CPCB"
11-Dec-2019 - 00:00,3.81,0.76,16.7,78.26,1.98,12.32,0.1,0.44,274.93,1.6,71.7,85.58,102.87,18.1,127.73,2.64,12-Dec-2019 - 00:00,,"Central School, Lucknow - CPCB"
12-Dec-2019 - 00:00,1.54,0.43,17.27,81.45,1.43,7.79,0.09,0.49,158.49,0.84,35.67,59.46,60.16,4.67,157.17,2.34,13-Dec-2019 - 00:00,,"Central School, Lucknow - CPCB"
13-Dec-2019 - 00:00,0.01,0.0,16.78,98.54,0.0,7.37,0.12,0.39,131.42,1.23,10.14,11.26,13.24,21.29,87.02,2.04,14-Dec-2019 - 00:00,,"Central School, Lucknow - CPCB"
14-Dec-2019 - 00:00,0.57,0.09,17.06,95.88,0.67,13.76,0.1,0.44,105.1,1.35,20.14,20.55,24.18,10.33,43.41,2.39,15-Dec-2019 - 00:00,,"Central School, Lucknow - CPCB"
15-Dec-2019 - 00:00,0.59,0.12,17.06,91.74,0.51,16.23,0.1,0.38,246.12,1.34,22.02,19.37,27.89,7.75,54.29,2.58,16-Dec-2019 - 00:00,,"Central School, Lucknow - CPCB"
16-Dec-2019 - 00:00,0.16,0.0,15.87,86.18,0.0,14.14,0.1,0.44,278.04,1.04,10.91,6.59,8.65,6.32,63.5,2.45,17-Dec-2019 - 00:00,,"Central School, Lucknow - CPCB"
17-Dec-2019 - 00:00,0.04,0.0,12.98,98.29,0.0,4.9,0.1,0.44,283.74,1.22,11.19,3.71,6.52,7.84,42.72,1.83,18-Dec-2019 - 00:00,,"Central School, Lucknow - CPCB"
18-Dec-2019 - 00:00,0.1,0.0,11.88,93.12,0.0,5.21,0.06,0.45,261.61,1.29,13.55,1.65,11.72,10.44,61.97,2.27,19-Dec-2019 - 00:00,,"Central School, Lucknow - CPCB"
19-Dec-2019 - 00:00,0.32,0.07,12.1,82.74,0.02,11.0,0.09,0.39,259.6,1.24,13.58,11.33,16.89,7.79,82.04,2.87,20-Dec-2019 - 00:00,,"Central School, Lucknow - CPCB"
20-Dec-2019 - 00:00,1.01,0.31,12.38,91.44,1.06,11.93,0.08,0.44,282.42,2.0,24.64,26.29,33.69,9.24,123.94,3.33,21-Dec-2019 - 00:00,,"Central School, Lucknow - CPCB"
21-Dec-2019 - 00:00,3.58,0.91,13.46,94.18,1.96,13.86,0.1,0.47,306.04,1.99,34.79,20.91,38.95,7.28,182.12,3.92,22-Dec-2019 - 00:00,,"Central School, Lucknow - CPCB"
22-Dec-2019 - 00:00,0.87,0.13,15.91,83.15,0.0,15.67,0.1,0.47,274.06,2.0,9.52,6.24,10.94,4.61,110.14,3.78,23-Dec-2019 - 00:00,,"Central School, Lucknow - CPCB"
23-Dec-2019 - 00:00,0.6,0.21,13.73,95.43,0.37,17.06,0.09,0.41,187.59,2.0,16.91,17.35,23.05,9.7,147.99,4.0,24-Dec-2019 - 00:00,,"Central School, Lucknow - CPCB"
24-Dec-2019 - 00:00,0.44,0.11,11.74,98.6,0.29,9.13,0.09,0.37,157.16,2.0,17.31,16.86,22.81,10.53,95.4,4.67,25-Dec-2019 - 00:00,,"Central School, Lucknow - CPCB"
25-Dec-2019 - 00:00,1.28,0.35,13.01,98.01,0.62,17.72,0.09,0.41,202.97,2.0,16.67,15.78,21.73,9.96,132.88,6.79,26-Dec-2019 - 00:00,,"Central School, Lucknow - CPCB"
26-Dec-2019 - 00:00,1.69,0.65,9.28,98.36,0.54,11.22,0.09,0.37,255.77,1.4,17.92,103.29,69.22,20.44,101.84,3.61,27-Dec-2019 - 00:00,,"Central School, Lucknow - CPCB"
27-Dec-2019 - 00:00,2.89,1.29,6.47,91.21,0.83,13.23,0.09,0.41,275.37,0.84,21.31,188.42,129.05,45.02,142.64,3.36,28-Dec-2019 - 00:00,,"Central School, Lucknow - CPCB"
28-Dec-2019 - 00:00,6.79,1.2,4.33,98.13,0.06,14.89,0.1,0.41,206.0,0.88,42.91,226.87,152.37,26.5,114.89,3.66,29-Dec-2019 - 00:00,,"Central School, Lucknow - CPCB"
29-Dec-2019 - 00:00,1.6,0.54,5.03,93.91,0.16,12.19,0.09,0.4,187.25,0.71,35.04,216.57,144.18,36.74,121.86,3.45,30-Dec-2019 - 00:00,,"Central School, Lucknow - CPCB"
30-Dec-2019 - 00:00,2.91,2.34,5.06,96.24,1.94,9.68,0.09,0.44,104.53,0.93,94.36,162.15,132.07,33.96,138.49,1.95,31-Dec-2019 - 00:00,,"Central School, Lucknow - CPCB"
31-Dec-2019 - 00:00,10.64,11.75,4.29,99.15,8.67,1.15,0.09,0.48,65.42,1.68,453.54,485.09,,11.11,177.72,2.48,01-Jan-2020 - 00:00,,"Central School, Lucknow - CPCB"
