from date,CO,Ozone,NO2,NO,NOx,SO2,RH,VWS,WS,WD,PM2.5,SR,Benzene,MP-Xylene,Toluene,O Xylene,Eth-Benzene,to date,BP,station
10-Mar-2019 - 00:00,0.64,23.54,10.27,11.02,21.3,3.26,53.29,0.26,2.37,165.0,16.0,253.14,0.0,,0.42,0.0,0.0,11-Mar-2019 - 00:00,981.64,"Velachery Res. Area, Chennai - CPCB"
11-Mar-2019 - 00:00,0.73,23.17,11.13,11.25,22.38,3.13,49.84,0.23,2.01,160.05,19.51,248.01,0.0,,1.53,0.14,0.0,12-Mar-2019 - 00:00,977.39,"Velachery Res. Area, Chennai - CPCB"
12-Mar-2019 - 00:00,0.73,25.15,12.31,11.23,23.54,3.34,47.08,0.23,1.87,176.41,36.07,263.01,0.0,,0.99,0.0,0.0,13-Mar-2019 - 00:00,976.6,"Velachery Res. Area, Chennai - CPCB"
13-Mar-2019 - 00:00,0.73,31.88,12.44,11.23,23.67,3.25,47.68,0.18,1.33,175.26,48.26,279.14,0.0,,19.3,0.0,0.0,14-Mar-2019 - 00:00,970.21,"Velachery Res. Area, Chennai - CPCB"
14-Mar-2019 - 00:00,0.86,36.37,17.99,11.26,29.25,3.38,40.33,0.19,1.47,168.81,53.58,267.35,0.08,,11.45,0.0,0.33,15-Mar-2019 - 00:00,970.97,"Velachery Res. Area, Chennai - CPCB"
15-Mar-2019 - 00:00,0.74,41.28,14.08,11.29,25.37,3.12,40.93,0.16,0.99,139.07,55.48,260.78,0.0,,5.42,0.0,0.4,16-Mar-2019 - 00:00,966.16,"Velachery Res. Area, Chennai - CPCB"
16-Mar-2019 - 00:00,0.62,37.58,11.89,11.25,23.15,3.43,44.52,0.17,1.04,146.83,45.63,251.05,0.0,,0.55,0.16,0.0,17-Mar-2019 - 00:00,967.24,"Velachery Res. Area, Chennai - CPCB"
17-Mar-2019 - 00:00,0.69,36.59,11.36,11.43,22.79,3.1,43.75,0.17,1.09,158.79,34.01,277.04,0.0,,0.0,0.0,0.0,18-Mar-2019 - 00:00,967.66,"Velachery Res. Area, Chennai - CPCB"
18-Mar-2019 - 00:00,0.8,26.41,10.77,9.15,19.01,3.64,57.37,0.19,1.29,180.39,43.31,278.64,0.0,,1.26,0.0,0.0,19-Mar-2019 - 00:00,971.18,"Velachery Res. Area, Chennai - CPCB"
19-Mar-2019 - 00:00,1.03,23.5,14.73,4.26,10.83,4.4,39.49,0.24,2.09,206.2,40.76,264.47,0.0,,1.24,0.0,0.0,20-Mar-2019 - 00:00,979.04,"Velachery Res. Area, Chennai - CPCB"
