from date,NO2,NH3,NOx,NO,SO2,CO,Ozone,PM2.5,PM10,Benzene,WD,RH,BP,Toluene,Temp,to date,station
02-May-2019 - 00:00,25.09,9.6,15.64,2.81,2.98,0.38,60.83,27.28,89.23,0.21,237.71,57.73,709.84,1.5,24.81,03-May-2019 - 00:00,"Jayanagar 5th Block, Bengaluru - KSPCB"
03-May-2019 - 00:00,22.34,10.09,13.92,2.5,3.26,0.52,66.41,26.44,93.96,0.2,230.99,59.01,711.28,1.43,25.65,04-May-2019 - 00:00,"Jayanagar 5th Block, Bengaluru - KSPCB"
04-May-2019 - 00:00,21.29,11.04,13.54,2.71,2.41,0.32,59.26,29.21,104.86,0.18,230.86,76.64,711.86,1.27,29.66,05-May-2019 - 00:00,"Jayanagar 5th Block, Bengaluru - KSPCB"
05-May-2019 - 00:00,,,,,,,,,,,,,,,,06-May-2019 - 00:00,"Jayanagar 5th Block, Bengaluru - KSPCB"
06-May-2019 - 00:00,,,,,,,,,,,,,,,,07-May-2019 - 00:00,"Jayanagar 5th Block, Bengaluru - KSPCB"
07-May-2019 - 00:00,,,,,,,,,,,,,,,,08-May-2019 - 00:00,"Jayanagar 5th Block, Bengaluru - KSPCB"
08-May-2019 - 00:00,,,,,,,,,,,,,,,,09-May-2019 - 00:00,"Jayanagar 5th Block, Bengaluru - KSPCB"
09-May-2019 - 00:00,,,,,,,,,,,,,,,,10-May-2019 - 00:00,"Jayanagar 5th Block, Bengaluru - KSPCB"
10-May-2019 - 00:00,,,,,,,,,,,,,,,,11-May-2019 - 00:00,"Jayanagar 5th Block, Bengaluru - KSPCB"
11-May-2019 - 00:00,,,,,,,,,,,,,,,,12-May-2019 - 00:00,"Jayanagar 5th Block, Bengaluru - KSPCB"
12-May-2019 - 00:00,,,,,,,,,,,,,,,,13-May-2019 - 00:00,"Jayanagar 5th Block, Bengaluru - KSPCB"
13-May-2019 - 00:00,,,,,,,,,,,,,,,,14-May-2019 - 00:00,"Jayanagar 5th Block, Bengaluru - KSPCB"
14-May-2019 - 00:00,,,,,,,,,,,,,,,,15-May-2019 - 00:00,"Jayanagar 5th Block, Bengaluru - KSPCB"
15-May-2019 - 00:00,,,,,,,,,,,,,,,,16-May-2019 - 00:00,"Jayanagar 5th Block, Bengaluru - KSPCB"
16-May-2019 - 00:00,,,,,,,,,,,,,,,,17-May-2019 - 00:00,"Jayanagar 5th Block, Bengaluru - KSPCB"
17-May-2019 - 00:00,34.73,8.8,34.84,20.14,4.04,1.16,45.66,39.64,84.09,0.7,174.54,71.09,712.54,4.96,24.68,18-May-2019 - 00:00,"Jayanagar 5th Block, Bengaluru - KSPCB"
18-May-2019 - 00:00,34.43,8.93,30.4,14.88,2.81,0.95,63.67,47.18,123.81,0.72,218.2,61.86,711.89,5.06,24.57,19-May-2019 - 00:00,"Jayanagar 5th Block, Bengaluru - KSPCB"
19-May-2019 - 00:00,29.29,8.76,21.73,7.57,3.04,0.99,56.36,38.05,100.6,0.51,203.32,60.47,711.8,3.53,24.65,20-May-2019 - 00:00,"Jayanagar 5th Block, Bengaluru - KSPCB"
20-May-2019 - 00:00,29.16,9.37,20.11,5.66,2.85,1.3,58.01,40.72,106.3,0.5,207.9,60.25,712.4,3.52,25.07,21-May-2019 - 00:00,"Jayanagar 5th Block, Bengaluru - KSPCB"
21-May-2019 - 00:00,15.81,9.62,9.58,1.44,2.65,0.9,80.15,38.05,88.97,0.32,202.2,56.46,712.36,2.13,25.2,22-May-2019 - 00:00,"Jayanagar 5th Block, Bengaluru - KSPCB"
22-May-2019 - 00:00,16.33,10.54,10.65,2.41,4.04,1.07,94.29,35.4,81.92,0.36,221.91,63.65,711.74,2.36,26.77,23-May-2019 - 00:00,"Jayanagar 5th Block, Bengaluru - KSPCB"
23-May-2019 - 00:00,20.3,10.5,14.21,4.2,3.91,1.04,53.21,37.88,80.63,0.45,223.56,70.09,711.67,3.28,26.6,24-May-2019 - 00:00,"Jayanagar 5th Block, Bengaluru - KSPCB"
24-May-2019 - 00:00,17.18,10.57,10.97,2.25,1.99,0.91,82.35,29.41,70.22,0.36,223.05,65.07,712.26,2.87,27.13,25-May-2019 - 00:00,"Jayanagar 5th Block, Bengaluru - KSPCB"
25-May-2019 - 00:00,15.63,10.13,9.77,1.8,2.99,0.64,84.63,19.36,56.57,0.27,232.49,66.72,711.49,2.46,27.22,26-May-2019 - 00:00,"Jayanagar 5th Block, Bengaluru - KSPCB"
26-May-2019 - 00:00,14.37,9.57,9.0,1.68,2.82,0.38,97.12,14.16,39.98,0.22,223.18,64.01,710.47,1.76,27.04,27-May-2019 - 00:00,"Jayanagar 5th Block, Bengaluru - KSPCB"
27-May-2019 - 00:00,30.19,10.57,21.13,6.24,4.06,0.89,69.96,28.75,76.75,0.57,207.98,57.28,709.41,4.25,28.34,28-May-2019 - 00:00,"Jayanagar 5th Block, Bengaluru - KSPCB"
28-May-2019 - 00:00,16.16,10.66,10.16,1.92,3.32,0.87,72.59,30.17,80.62,0.33,222.76,63.7,710.13,2.39,26.86,29-May-2019 - 00:00,"Jayanagar 5th Block, Bengaluru - KSPCB"
29-May-2019 - 00:00,15.18,12.18,9.35,1.56,4.84,0.75,109.79,22.21,58.46,0.29,218.6,55.03,709.54,2.12,27.89,30-May-2019 - 00:00,"Jayanagar 5th Block, Bengaluru - KSPCB"
30-May-2019 - 00:00,13.45,11.94,8.4,1.54,3.34,0.66,86.04,29.04,73.96,0.26,219.49,62.7,709.2,2.07,29.0,31-May-2019 - 00:00,"Jayanagar 5th Block, Bengaluru - KSPCB"
31-May-2019 - 00:00,15.39,10.28,10.27,2.56,1.97,0.88,94.84,24.11,55.47,0.29,217.02,63.28,709.72,2.1,28.18,01-Jun-2019 - 00:00,"Jayanagar 5th Block, Bengaluru - KSPCB"
01-Jun-2019 - 00:00,21.64,9.54,16.63,6.3,3.14,1.35,66.8,28.3,73.1,0.47,229.35,64.32,710.68,3.04,26.76,02-Jun-2019 - 00:00,"Jayanagar 5th Block, Bengaluru - KSPCB"
02-Jun-2019 - 00:00,10.02,9.29,6.5,1.44,2.01,0.45,66.15,23.6,61.86,0.18,223.49,73.93,710.55,1.21,26.59,03-Jun-2019 - 00:00,"Jayanagar 5th Block, Bengaluru - KSPCB"
03-Jun-2019 - 00:00,12.25,8.89,7.65,1.4,3.4,0.59,82.72,15.12,37.59,0.23,236.91,71.4,710.74,1.71,26.61,04-Jun-2019 - 00:00,"Jayanagar 5th Block, Bengaluru - KSPCB"
04-Jun-2019 - 00:00,14.89,9.15,9.76,2.26,3.33,0.78,58.13,25.11,65.0,0.31,240.36,65.32,710.15,2.23,26.6,05-Jun-2019 - 00:00,"Jayanagar 5th Block, Bengaluru - KSPCB"
05-Jun-2019 - 00:00,14.85,9.13,9.56,2.05,2.83,0.61,68.25,25.06,55.14,0.27,230.24,72.6,710.02,1.96,26.54,06-Jun-2019 - 00:00,"Jayanagar 5th Block, Bengaluru - KSPCB"
06-Jun-2019 - 00:00,23.88,9.3,18.6,7.25,3.89,1.95,70.5,30.5,73.22,0.57,220.85,60.09,709.33,4.05,26.86,07-Jun-2019 - 00:00,"Jayanagar 5th Block, Bengaluru - KSPCB"
07-Jun-2019 - 00:00,19.58,9.21,13.52,3.82,2.98,0.92,71.82,22.51,58.26,0.37,205.71,67.27,710.39,2.59,26.15,08-Jun-2019 - 00:00,"Jayanagar 5th Block, Bengaluru - KSPCB"
08-Jun-2019 - 00:00,16.48,9.11,10.71,2.39,3.33,1.14,67.76,25.84,63.79,0.34,230.3,69.15,710.32,2.36,26.12,09-Jun-2019 - 00:00,"Jayanagar 5th Block, Bengaluru - KSPCB"
09-Jun-2019 - 00:00,9.63,8.75,6.28,1.43,2.63,0.29,62.15,13.56,40.77,0.18,216.46,67.76,709.27,1.16,26.29,10-Jun-2019 - 00:00,"Jayanagar 5th Block, Bengaluru - KSPCB"
10-Jun-2019 - 00:00,9.11,8.73,6.05,1.47,3.45,0.36,59.56,4.44,27.45,0.13,223.72,70.54,709.17,0.98,26.49,11-Jun-2019 - 00:00,"Jayanagar 5th Block, Bengaluru - KSPCB"
11-Jun-2019 - 00:00,9.08,8.56,6.08,1.54,3.37,0.54,55.28,5.35,31.78,0.13,215.33,70.93,709.22,1.07,26.39,12-Jun-2019 - 00:00,"Jayanagar 5th Block, Bengaluru - KSPCB"
12-Jun-2019 - 00:00,9.37,8.33,6.39,1.74,3.52,0.27,48.9,4.91,34.77,0.14,224.61,72.8,709.91,0.9,26.38,13-Jun-2019 - 00:00,"Jayanagar 5th Block, Bengaluru - KSPCB"
13-Jun-2019 - 00:00,9.57,8.2,6.8,2.1,3.8,0.25,40.95,8.05,35.58,0.18,225.03,72.6,710.58,1.02,26.46,14-Jun-2019 - 00:00,"Jayanagar 5th Block, Bengaluru - KSPCB"
14-Jun-2019 - 00:00,10.33,8.38,7.35,2.28,3.34,0.57,40.02,12.05,43.2,0.23,225.46,71.83,710.92,1.34,26.45,15-Jun-2019 - 00:00,"Jayanagar 5th Block, Bengaluru - KSPCB"
15-Jun-2019 - 00:00,10.55,8.33,7.26,2.03,3.06,0.29,40.44,12.2,51.08,0.17,232.7,66.81,711.24,1.19,26.45,16-Jun-2019 - 00:00,"Jayanagar 5th Block, Bengaluru - KSPCB"
16-Jun-2019 - 00:00,10.36,8.32,6.86,1.66,3.13,0.41,53.32,14.4,64.98,0.15,240.93,49.55,711.43,1.11,26.5,17-Jun-2019 - 00:00,"Jayanagar 5th Block, Bengaluru - KSPCB"
17-Jun-2019 - 00:00,10.81,8.35,7.53,2.19,3.76,0.58,45.19,16.52,59.01,0.2,238.55,60.77,712.16,1.19,26.49,18-Jun-2019 - 00:00,"Jayanagar 5th Block, Bengaluru - KSPCB"
18-Jun-2019 - 00:00,10.25,8.49,7.05,1.98,3.83,0.5,44.37,17.25,64.38,0.15,234.02,63.49,711.09,1.03,26.44,19-Jun-2019 - 00:00,"Jayanagar 5th Block, Bengaluru - KSPCB"
19-Jun-2019 - 00:00,12.71,8.44,9.59,3.48,3.75,0.77,42.04,18.14,59.38,0.23,237.49,66.93,709.82,1.65,26.35,20-Jun-2019 - 00:00,"Jayanagar 5th Block, Bengaluru - KSPCB"
20-Jun-2019 - 00:00,10.43,8.33,7.01,1.79,3.9,0.42,48.46,11.47,43.81,0.15,233.65,64.58,710.36,1.0,26.29,21-Jun-2019 - 00:00,"Jayanagar 5th Block, Bengaluru - KSPCB"
21-Jun-2019 - 00:00,10.5,8.27,6.91,1.64,3.59,0.57,54.28,15.8,44.59,0.18,234.81,70.72,709.85,1.2,26.19,22-Jun-2019 - 00:00,"Jayanagar 5th Block, Bengaluru - KSPCB"
22-Jun-2019 - 00:00,9.95,8.11,6.6,1.6,3.64,0.36,54.94,5.43,32.82,0.16,227.04,70.22,709.28,0.98,26.22,23-Jun-2019 - 00:00,"Jayanagar 5th Block, Bengaluru - KSPCB"
23-Jun-2019 - 00:00,10.8,8.11,7.11,1.68,3.62,0.41,51.69,6.66,26.99,0.16,220.44,78.27,708.27,1.09,26.23,24-Jun-2019 - 00:00,"Jayanagar 5th Block, Bengaluru - KSPCB"
24-Jun-2019 - 00:00,27.34,13.56,16.95,2.96,5.51,1.01,48.82,13.05,41.06,0.27,226.81,64.56,709.17,2.49,26.19,25-Jun-2019 - 00:00,"Jayanagar 5th Block, Bengaluru - KSPCB"
25-Jun-2019 - 00:00,25.71,11.24,16.29,3.21,2.47,0.88,43.92,18.26,65.4,0.2,230.64,67.89,710.6,1.54,25.85,26-Jun-2019 - 00:00,"Jayanagar 5th Block, Bengaluru - KSPCB"
26-Jun-2019 - 00:00,29.65,10.18,20.4,5.89,2.68,0.6,38.32,16.07,55.88,0.21,234.89,70.85,710.89,1.53,25.75,27-Jun-2019 - 00:00,"Jayanagar 5th Block, Bengaluru - KSPCB"
27-Jun-2019 - 00:00,42.85,9.49,30.53,9.52,3.77,0.48,40.13,14.47,57.45,0.19,242.78,66.23,710.5,1.56,25.72,28-Jun-2019 - 00:00,"Jayanagar 5th Block, Bengaluru - KSPCB"
28-Jun-2019 - 00:00,43.86,9.45,29.81,7.97,3.58,0.53,53.42,17.03,71.18,0.15,239.3,61.8,710.48,1.23,25.68,29-Jun-2019 - 00:00,"Jayanagar 5th Block, Bengaluru - KSPCB"
29-Jun-2019 - 00:00,39.96,9.45,26.34,6.25,3.3,0.55,60.36,13.66,71.81,0.16,235.17,65.83,710.34,1.33,25.69,30-Jun-2019 - 00:00,"Jayanagar 5th Block, Bengaluru - KSPCB"
30-Jun-2019 - 00:00,37.57,9.24,24.67,5.76,3.46,0.61,51.88,10.16,70.1,0.12,240.19,67.81,709.93,0.96,25.71,01-Jul-2019 - 00:00,"Jayanagar 5th Block, Bengaluru - KSPCB"
01-Jul-2019 - 00:00,30.61,9.64,20.17,4.78,3.14,0.53,60.42,13.65,62.77,0.14,241.62,63.62,708.99,1.15,25.84,02-Jul-2019 - 00:00,"Jayanagar 5th Block, Bengaluru - KSPCB"
02-Jul-2019 - 00:00,22.79,9.49,14.52,2.95,3.62,0.57,69.21,10.9,60.17,0.16,232.58,66.83,709.22,1.13,25.87,03-Jul-2019 - 00:00,"Jayanagar 5th Block, Bengaluru - KSPCB"
03-Jul-2019 - 00:00,21.66,9.32,13.81,2.81,3.58,0.73,61.34,7.99,58.84,0.13,231.05,67.82,709.91,0.97,25.85,04-Jul-2019 - 00:00,"Jayanagar 5th Block, Bengaluru - KSPCB"
04-Jul-2019 - 00:00,20.71,9.53,13.55,3.12,3.71,0.47,43.08,8.18,43.62,0.17,225.33,74.22,710.22,1.43,26.61,05-Jul-2019 - 00:00,"Jayanagar 5th Block, Bengaluru - KSPCB"
05-Jul-2019 - 00:00,19.74,9.37,13.17,3.28,3.61,0.55,52.13,8.91,45.53,0.15,224.58,76.47,709.35,1.28,27.09,06-Jul-2019 - 00:00,"Jayanagar 5th Block, Bengaluru - KSPCB"
06-Jul-2019 - 00:00,19.74,9.24,12.82,2.86,3.27,0.58,57.86,6.94,39.72,0.15,221.49,74.55,709.62,1.24,27.01,07-Jul-2019 - 00:00,"Jayanagar 5th Block, Bengaluru - KSPCB"
07-Jul-2019 - 00:00,17.53,9.37,11.16,2.28,3.24,0.82,61.46,9.4,55.35,0.12,225.7,69.25,710.45,0.87,27.03,08-Jul-2019 - 00:00,"Jayanagar 5th Block, Bengaluru - KSPCB"
08-Jul-2019 - 00:00,19.1,9.48,12.64,3.05,3.44,0.78,56.15,5.22,44.67,0.14,230.95,67.23,711.51,1.06,27.08,09-Jul-2019 - 00:00,"Jayanagar 5th Block, Bengaluru - KSPCB"
09-Jul-2019 - 00:00,21.15,9.32,14.41,3.9,3.29,0.88,44.74,5.68,36.23,0.18,227.71,73.97,711.08,1.42,27.21,10-Jul-2019 - 00:00,"Jayanagar 5th Block, Bengaluru - KSPCB"
10-Jul-2019 - 00:00,20.61,9.27,13.14,2.68,3.15,0.81,42.56,7.87,37.1,0.15,223.62,71.74,711.3,1.14,27.25,11-Jul-2019 - 00:00,"Jayanagar 5th Block, Bengaluru - KSPCB"
11-Jul-2019 - 00:00,25.33,9.55,16.33,3.52,3.27,0.89,43.28,9.44,41.59,0.21,233.72,69.38,712.53,1.75,27.32,12-Jul-2019 - 00:00,"Jayanagar 5th Block, Bengaluru - KSPCB"
12-Jul-2019 - 00:00,18.96,9.8,12.41,2.86,3.41,0.56,43.2,9.04,42.27,0.16,227.51,65.24,712.76,1.33,27.13,13-Jul-2019 - 00:00,"Jayanagar 5th Block, Bengaluru - KSPCB"
13-Jul-2019 - 00:00,13.76,9.45,9.29,2.44,3.42,0.6,44.24,9.47,55.15,0.16,224.1,68.18,713.14,1.13,27.21,14-Jul-2019 - 00:00,"Jayanagar 5th Block, Bengaluru - KSPCB"
14-Jul-2019 - 00:00,15.44,9.32,10.01,2.21,3.38,0.62,43.7,8.1,49.03,0.14,238.49,68.27,712.4,0.89,27.17,15-Jul-2019 - 00:00,"Jayanagar 5th Block, Bengaluru - KSPCB"
15-Jul-2019 - 00:00,18.76,9.25,11.86,2.31,3.25,0.69,44.96,6.48,29.38,0.16,235.06,69.76,711.18,1.25,27.21,16-Jul-2019 - 00:00,"Jayanagar 5th Block, Bengaluru - KSPCB"
16-Jul-2019 - 00:00,18.79,9.44,12.31,2.85,3.3,0.62,25.01,13.09,42.94,0.18,238.3,70.14,711.14,1.33,27.29,17-Jul-2019 - 00:00,"Jayanagar 5th Block, Bengaluru - KSPCB"
17-Jul-2019 - 00:00,29.04,9.32,19.75,5.29,3.49,0.88,30.64,17.11,49.54,0.29,245.02,68.57,710.18,2.19,27.19,18-Jul-2019 - 00:00,"Jayanagar 5th Block, Bengaluru - KSPCB"
18-Jul-2019 - 00:00,33.1,9.34,22.31,5.79,3.58,0.97,38.19,17.44,56.64,0.3,245.08,72.48,708.57,2.42,27.18,19-Jul-2019 - 00:00,"Jayanagar 5th Block, Bengaluru - KSPCB"
19-Jul-2019 - 00:00,26.71,9.1,17.39,3.9,3.57,0.75,20.3,8.06,26.55,0.2,233.26,78.11,707.64,1.47,27.21,20-Jul-2019 - 00:00,"Jayanagar 5th Block, Bengaluru - KSPCB"
20-Jul-2019 - 00:00,23.18,8.93,14.38,2.53,3.28,0.6,23.43,5.48,24.02,0.15,218.21,76.34,708.14,1.07,27.08,21-Jul-2019 - 00:00,"Jayanagar 5th Block, Bengaluru - KSPCB"
21-Jul-2019 - 00:00,23.5,8.79,15.54,3.73,3.42,0.68,22.06,5.77,25.43,0.18,214.97,79.6,708.43,1.03,27.05,22-Jul-2019 - 00:00,"Jayanagar 5th Block, Bengaluru - KSPCB"
22-Jul-2019 - 00:00,23.59,9.04,14.6,2.52,3.36,0.56,25.22,7.74,22.96,0.16,221.28,80.48,708.86,1.05,26.92,23-Jul-2019 - 00:00,"Jayanagar 5th Block, Bengaluru - KSPCB"
23-Jul-2019 - 00:00,25.59,9.06,16.6,3.68,3.4,0.66,20.41,11.39,31.09,0.2,223.27,80.36,709.3,1.27,26.96,24-Jul-2019 - 00:00,"Jayanagar 5th Block, Bengaluru - KSPCB"
24-Jul-2019 - 00:00,23.95,9.24,15.12,2.93,3.46,0.65,23.13,11.74,37.02,0.15,221.7,73.6,710.3,1.02,26.96,25-Jul-2019 - 00:00,"Jayanagar 5th Block, Bengaluru - KSPCB"
25-Jul-2019 - 00:00,26.38,9.15,17.27,3.99,3.3,0.72,20.64,10.94,30.17,0.2,231.52,76.42,711.56,1.49,27.14,26-Jul-2019 - 00:00,"Jayanagar 5th Block, Bengaluru - KSPCB"
26-Jul-2019 - 00:00,24.93,9.07,16.55,4.04,3.37,0.68,17.45,10.26,36.01,0.19,224.39,75.66,711.69,1.16,26.99,27-Jul-2019 - 00:00,"Jayanagar 5th Block, Bengaluru - KSPCB"
27-Jul-2019 - 00:00,23.25,9.19,14.88,3.09,3.3,0.62,21.25,10.05,45.01,0.16,231.59,69.36,710.94,1.09,27.0,28-Jul-2019 - 00:00,"Jayanagar 5th Block, Bengaluru - KSPCB"
28-Jul-2019 - 00:00,27.26,8.99,19.86,6.6,3.42,0.79,22.25,12.75,48.72,0.2,232.51,76.64,711.03,1.38,27.03,29-Jul-2019 - 00:00,"Jayanagar 5th Block, Bengaluru - KSPCB"
29-Jul-2019 - 00:00,23.4,9.18,15.09,3.24,3.29,0.66,20.24,10.64,40.85,0.16,226.58,73.55,710.91,1.11,27.01,30-Jul-2019 - 00:00,"Jayanagar 5th Block, Bengaluru - KSPCB"
30-Jul-2019 - 00:00,24.5,9.31,16.08,3.75,3.42,0.65,18.26,11.67,39.93,0.19,230.96,72.29,712.09,1.42,26.89,31-Jul-2019 - 00:00,"Jayanagar 5th Block, Bengaluru - KSPCB"
31-Jul-2019 - 00:00,24.74,9.47,16.03,3.53,3.29,0.66,18.55,12.26,44.22,0.17,228.27,68.1,712.42,1.2,26.86,01-Aug-2019 - 00:00,"Jayanagar 5th Block, Bengaluru - KSPCB"
01-Aug-2019 - 00:00,22.87,9.41,14.79,3.23,3.59,0.62,18.54,8.12,39.29,0.15,226.82,66.67,711.93,1.06,26.86,02-Aug-2019 - 00:00,"Jayanagar 5th Block, Bengaluru - KSPCB"
02-Aug-2019 - 00:00,23.86,9.39,15.89,3.93,3.45,0.71,16.66,9.57,40.12,0.18,225.11,71.52,711.48,1.17,26.86,03-Aug-2019 - 00:00,"Jayanagar 5th Block, Bengaluru - KSPCB"
03-Aug-2019 - 00:00,22.32,9.28,14.37,3.07,3.47,0.57,20.58,8.6,45.35,0.15,219.42,69.01,711.49,0.97,27.0,04-Aug-2019 - 00:00,"Jayanagar 5th Block, Bengaluru - KSPCB"
04-Aug-2019 - 00:00,21.09,9.16,13.59,2.92,3.49,0.63,18.07,8.46,41.96,0.13,225.54,73.28,711.14,0.8,27.02,05-Aug-2019 - 00:00,"Jayanagar 5th Block, Bengaluru - KSPCB"
05-Aug-2019 - 00:00,22.27,8.91,15.77,4.82,3.29,0.64,11.86,5.62,20.6,0.17,228.19,80.0,710.37,1.12,26.85,06-Aug-2019 - 00:00,"Jayanagar 5th Block, Bengaluru - KSPCB"
06-Aug-2019 - 00:00,22.47,8.89,15.34,4.16,3.32,0.63,14.04,4.86,18.45,0.17,231.92,80.83,709.65,1.13,26.78,07-Aug-2019 - 00:00,"Jayanagar 5th Block, Bengaluru - KSPCB"
07-Aug-2019 - 00:00,20.94,8.76,14.99,4.73,3.46,0.6,10.91,4.6,19.58,0.16,233.45,81.83,708.71,1.15,26.83,08-Aug-2019 - 00:00,"Jayanagar 5th Block, Bengaluru - KSPCB"
08-Aug-2019 - 00:00,22.98,8.61,16.39,5.14,3.44,0.61,10.42,4.98,20.98,0.18,223.73,85.04,708.24,1.15,26.92,09-Aug-2019 - 00:00,"Jayanagar 5th Block, Bengaluru - KSPCB"
09-Aug-2019 - 00:00,20.99,8.57,13.63,3.04,3.34,0.52,16.76,5.98,16.43,0.14,215.81,84.41,709.92,0.86,26.92,10-Aug-2019 - 00:00,"Jayanagar 5th Block, Bengaluru - KSPCB"
10-Aug-2019 - 00:00,23.02,8.49,15.36,3.83,3.46,0.55,16.48,6.06,21.61,0.16,228.05,79.15,710.58,1.02,26.92,11-Aug-2019 - 00:00,"Jayanagar 5th Block, Bengaluru - KSPCB"
11-Aug-2019 - 00:00,21.34,8.58,14.36,3.71,3.3,0.58,15.58,5.93,26.69,0.13,235.75,76.47,710.49,0.81,26.93,12-Aug-2019 - 00:00,"Jayanagar 5th Block, Bengaluru - KSPCB"
12-Aug-2019 - 00:00,24.2,8.89,17.92,6.2,3.61,0.72,21.78,9.96,29.57,0.2,242.71,80.92,710.74,1.35,26.77,13-Aug-2019 - 00:00,"Jayanagar 5th Block, Bengaluru - KSPCB"
13-Aug-2019 - 00:00,26.72,8.72,18.33,5.06,3.59,0.76,24.71,10.82,33.64,0.22,238.76,76.74,710.56,1.59,26.92,14-Aug-2019 - 00:00,"Jayanagar 5th Block, Bengaluru - KSPCB"
14-Aug-2019 - 00:00,24.87,9.01,16.11,3.54,3.2,0.68,30.11,11.91,29.66,0.18,225.93,79.33,711.6,1.18,26.91,15-Aug-2019 - 00:00,"Jayanagar 5th Block, Bengaluru - KSPCB"
15-Aug-2019 - 00:00,23.66,8.84,15.08,3.08,3.2,0.67,32.63,10.21,25.17,0.19,239.86,77.57,712.42,1.23,26.93,16-Aug-2019 - 00:00,"Jayanagar 5th Block, Bengaluru - KSPCB"
16-Aug-2019 - 00:00,25.19,8.86,16.52,3.84,3.24,0.73,26.01,8.66,28.07,0.19,237.99,81.16,711.75,1.39,26.97,17-Aug-2019 - 00:00,"Jayanagar 5th Block, Bengaluru - KSPCB"
17-Aug-2019 - 00:00,28.79,8.7,20.35,6.2,3.47,0.86,22.47,12.57,35.88,0.28,235.18,82.85,711.38,1.72,26.92,18-Aug-2019 - 00:00,"Jayanagar 5th Block, Bengaluru - KSPCB"
18-Aug-2019 - 00:00,28.44,8.89,20.45,6.54,3.36,0.88,20.61,14.9,34.77,0.26,233.71,86.18,712.05,1.66,26.88,19-Aug-2019 - 00:00,"Jayanagar 5th Block, Bengaluru - KSPCB"
19-Aug-2019 - 00:00,28.7,9.09,20.48,6.42,3.37,0.85,26.48,13.03,37.09,0.27,239.41,77.51,712.29,1.86,26.95,20-Aug-2019 - 00:00,"Jayanagar 5th Block, Bengaluru - KSPCB"
20-Aug-2019 - 00:00,28.48,9.15,20.67,6.79,3.47,0.85,21.4,12.95,36.45,0.25,245.7,82.05,712.2,1.92,27.17,21-Aug-2019 - 00:00,"Jayanagar 5th Block, Bengaluru - KSPCB"
21-Aug-2019 - 00:00,24.42,8.73,17.2,5.17,3.36,0.74,21.73,10.52,32.65,0.2,237.96,79.49,711.6,1.46,27.11,22-Aug-2019 - 00:00,"Jayanagar 5th Block, Bengaluru - KSPCB"
22-Aug-2019 - 00:00,25.6,8.62,19.92,7.75,3.37,0.79,18.48,10.69,33.7,0.22,238.01,81.31,711.23,1.63,27.09,23-Aug-2019 - 00:00,"Jayanagar 5th Block, Bengaluru - KSPCB"
23-Aug-2019 - 00:00,22.89,8.77,16.24,5.0,3.36,0.7,21.39,7.9,28.77,0.17,232.45,79.4,711.93,1.23,27.11,24-Aug-2019 - 00:00,"Jayanagar 5th Block, Bengaluru - KSPCB"
24-Aug-2019 - 00:00,19.01,8.92,13.89,4.64,3.28,0.59,20.25,6.67,27.92,0.14,228.9,83.38,712.42,0.62,27.17,25-Aug-2019 - 00:00,"Jayanagar 5th Block, Bengaluru - KSPCB"
25-Aug-2019 - 00:00,,,,,,,,,,,,,,,,26-Aug-2019 - 00:00,"Jayanagar 5th Block, Bengaluru - KSPCB"
26-Aug-2019 - 00:00,30.46,9.72,19.55,4.11,3.69,0.77,33.36,15.24,48.75,0.23,225.71,66.23,710.81,1.63,27.18,27-Aug-2019 - 00:00,"Jayanagar 5th Block, Bengaluru - KSPCB"
27-Aug-2019 - 00:00,30.63,10.35,19.74,4.24,3.63,0.79,29.87,14.33,47.05,0.23,221.35,65.1,709.85,1.74,27.41,28-Aug-2019 - 00:00,"Jayanagar 5th Block, Bengaluru - KSPCB"
28-Aug-2019 - 00:00,28.78,11.02,19.73,5.44,3.64,0.72,25.77,14.64,39.5,0.21,221.64,75.58,711.22,1.66,26.72,29-Aug-2019 - 00:00,"Jayanagar 5th Block, Bengaluru - KSPCB"
29-Aug-2019 - 00:00,25.09,10.95,15.63,2.82,3.34,0.68,30.35,13.0,42.0,0.18,224.12,70.81,710.34,1.52,27.4,30-Aug-2019 - 00:00,"Jayanagar 5th Block, Bengaluru - KSPCB"
30-Aug-2019 - 00:00,25.37,9.94,16.4,3.56,3.41,0.67,29.2,13.88,42.64,0.16,228.4,71.3,709.56,1.16,27.62,31-Aug-2019 - 00:00,"Jayanagar 5th Block, Bengaluru - KSPCB"
31-Aug-2019 - 00:00,25.79,9.66,17.25,4.34,3.46,0.71,25.03,17.01,50.83,0.19,222.79,77.19,708.9,1.2,27.64,01-Sep-2019 - 00:00,"Jayanagar 5th Block, Bengaluru - KSPCB"
01-Sep-2019 - 00:00,22.62,9.38,14.71,3.35,3.31,0.62,25.52,12.89,45.98,0.15,221.3,77.34,710.08,1.01,27.53,02-Sep-2019 - 00:00,"Jayanagar 5th Block, Bengaluru - KSPCB"
02-Sep-2019 - 00:00,20.79,9.16,13.52,3.13,3.28,0.6,26.29,9.71,26.59,0.16,223.58,80.59,711.28,0.77,27.63,03-Sep-2019 - 00:00,"Jayanagar 5th Block, Bengaluru - KSPCB"
03-Sep-2019 - 00:00,22.94,8.93,15.25,3.74,3.34,0.59,24.99,7.94,23.41,0.16,226.44,80.85,710.57,0.97,27.49,04-Sep-2019 - 00:00,"Jayanagar 5th Block, Bengaluru - KSPCB"
