from date,PM10,PM2.5,NO,NO2,NOx,CO,CO2,Ozone,Black Carbon,Benzene,Toluene,Xylene,to date,station
26-Mar-2019 - 00:00,198.15,84.68,26.54,26.81,53.36,2.18,,34.8,3.79,0.0,0.0,0.0,27-Mar-2019 - 00:00,"North Campus, DU, Delhi - IMD"
27-Mar-2019 - 00:00,223.98,86.58,30.74,29.85,60.59,2.66,,34.91,4.06,0.0,0.0,0.0,28-Mar-2019 - 00:00,"North Campus, DU, Delhi - IMD"
28-Mar-2019 - 00:00,329.01,140.89,47.52,36.5,84.04,3.7,,33.87,5.97,0.0,0.0,0.0,29-Mar-2019 - 00:00,"North Campus, DU, Delhi - IMD"
29-Mar-2019 - 00:00,283.29,113.13,50.7,35.27,85.96,3.93,,36.39,6.5,0.0,0.0,0.0,30-Mar-2019 - 00:00,"North Campus, DU, Delhi - IMD"
30-Mar-2019 - 00:00,296.77,117.8,31.01,27.67,58.68,3.41,,40.13,6.7,0.31,0.48,1.46,31-Mar-2019 - 00:00,"North Campus, DU, Delhi - IMD"
31-Mar-2019 - 00:00,213.39,64.35,25.51,22.41,47.93,2.39,,37.79,2.95,0.48,0.72,3.19,01-Apr-2019 - 00:00,"North Campus, DU, Delhi - IMD"
01-Apr-2019 - 00:00,218.96,57.16,28.08,23.07,51.14,2.23,,42.9,3.01,0.28,0.98,2.24,02-Apr-2019 - 00:00,"North Campus, DU, Delhi - IMD"
02-Apr-2019 - 00:00,257.17,93.57,33.91,32.6,66.52,2.83,,59.0,4.52,0.69,1.37,3.44,03-Apr-2019 - 00:00,"North Campus, DU, Delhi - IMD"
03-Apr-2019 - 00:00,244.87,81.92,38.77,33.39,72.15,3.21,,41.38,4.26,0.89,1.8,2.64,04-Apr-2019 - 00:00,"North Campus, DU, Delhi - IMD"
04-Apr-2019 - 00:00,316.51,142.71,38.39,33.54,71.93,3.93,,58.51,7.0,0.9,1.49,3.45,05-Apr-2019 - 00:00,"North Campus, DU, Delhi - IMD"
05-Apr-2019 - 00:00,349.62,151.56,50.87,38.39,89.27,4.32,,60.36,6.96,0.96,1.67,2.98,06-Apr-2019 - 00:00,"North Campus, DU, Delhi - IMD"
