from date,CO,PM10,SO2,to date,station
02-Apr-2019 - 00:00,0.77,112.72,13.79,03-Apr-2019 - 00:00,"Sidhu Kanhu Indoor Stadium, Durgapur - WBPCB"
03-Apr-2019 - 00:00,0.62,116.85,12.52,04-Apr-2019 - 00:00,"Sidhu Kanhu Indoor Stadium, Durgapur - WBPCB"
04-Apr-2019 - 00:00,0.63,106.88,12.58,05-Apr-2019 - 00:00,"Sidhu Kanhu Indoor Stadium, Durgapur - WBPCB"
05-Apr-2019 - 00:00,0.63,92.16,12.73,06-Apr-2019 - 00:00,"Sidhu Kanhu Indoor Stadium, Durgapur - WBPCB"
06-Apr-2019 - 00:00,0.6,111.35,14.25,07-Apr-2019 - 00:00,"Sidhu Kanhu Indoor Stadium, Durgapur - WBPCB"
07-Apr-2019 - 00:00,,,,08-Apr-2019 - 00:00,"Sidhu Kanhu Indoor Stadium, Durgapur - WBPCB"
08-Apr-2019 - 00:00,0.29,50.7,7.13,09-Apr-2019 - 00:00,"Sidhu Kanhu Indoor Stadium, Durgapur - WBPCB"
09-Apr-2019 - 00:00,0.96,43.99,8.98,10-Apr-2019 - 00:00,"Sidhu Kanhu Indoor Stadium, Durgapur - WBPCB"
10-Apr-2019 - 00:00,0.54,72.7,11.63,11-Apr-2019 - 00:00,"Sidhu Kanhu Indoor Stadium, Durgapur - WBPCB"
11-Apr-2019 - 00:00,0.69,97.75,12.3,12-Apr-2019 - 00:00,"Sidhu Kanhu Indoor Stadium, Durgapur - WBPCB"
12-Apr-2019 - 00:00,0.92,82.25,13.66,13-Apr-2019 - 00:00,"Sidhu Kanhu Indoor Stadium, Durgapur - WBPCB"
13-Apr-2019 - 00:00,0.7,105.59,14.4,14-Apr-2019 - 00:00,"Sidhu Kanhu Indoor Stadium, Durgapur - WBPCB"
14-Apr-2019 - 00:00,0.81,109.08,12.76,15-Apr-2019 - 00:00,"Sidhu Kanhu Indoor Stadium, Durgapur - WBPCB"
15-Apr-2019 - 00:00,0.53,112.06,13.44,16-Apr-2019 - 00:00,"Sidhu Kanhu Indoor Stadium, Durgapur - WBPCB"
16-Apr-2019 - 00:00,0.6,120.94,13.07,17-Apr-2019 - 00:00,"Sidhu Kanhu Indoor Stadium, Durgapur - WBPCB"
17-Apr-2019 - 00:00,0.62,199.66,11.55,18-Apr-2019 - 00:00,"Sidhu Kanhu Indoor Stadium, Durgapur - WBPCB"
18-Apr-2019 - 00:00,0.63,119.56,12.71,19-Apr-2019 - 00:00,"Sidhu Kanhu Indoor Stadium, Durgapur - WBPCB"
19-Apr-2019 - 00:00,0.66,116.75,12.78,20-Apr-2019 - 00:00,"Sidhu Kanhu Indoor Stadium, Durgapur - WBPCB"
20-Apr-2019 - 00:00,0.55,100.57,11.94,21-Apr-2019 - 00:00,"Sidhu Kanhu Indoor Stadium, Durgapur - WBPCB"
21-Apr-2019 - 00:00,0.47,102.44,12.64,22-Apr-2019 - 00:00,"Sidhu Kanhu Indoor Stadium, Durgapur - WBPCB"
22-Apr-2019 - 00:00,0.64,98.81,12.98,23-Apr-2019 - 00:00,"Sidhu Kanhu Indoor Stadium, Durgapur - WBPCB"
23-Apr-2019 - 00:00,0.6,92.2,12.18,24-Apr-2019 - 00:00,"Sidhu Kanhu Indoor Stadium, Durgapur - WBPCB"
24-Apr-2019 - 00:00,0.72,103.26,12.48,25-Apr-2019 - 00:00,"Sidhu Kanhu Indoor Stadium, Durgapur - WBPCB"
25-Apr-2019 - 00:00,0.52,119.08,34.19,26-Apr-2019 - 00:00,"Sidhu Kanhu Indoor Stadium, Durgapur - WBPCB"
26-Apr-2019 - 00:00,0.35,86.23,58.25,27-Apr-2019 - 00:00,"Sidhu Kanhu Indoor Stadium, Durgapur - WBPCB"
27-Apr-2019 - 00:00,0.71,104.23,13.1,28-Apr-2019 - 00:00,"Sidhu Kanhu Indoor Stadium, Durgapur - WBPCB"
28-Apr-2019 - 00:00,0.54,138.4,14.12,29-Apr-2019 - 00:00,"Sidhu Kanhu Indoor Stadium, Durgapur - WBPCB"
29-Apr-2019 - 00:00,0.28,108.43,14.73,30-Apr-2019 - 00:00,"Sidhu Kanhu Indoor Stadium, Durgapur - WBPCB"
30-Apr-2019 - 00:00,0.36,104.37,13.59,01-May-2019 - 00:00,"Sidhu Kanhu Indoor Stadium, Durgapur - WBPCB"
01-May-2019 - 00:00,0.61,64.49,20.59,02-May-2019 - 00:00,"Sidhu Kanhu Indoor Stadium, Durgapur - WBPCB"
02-May-2019 - 00:00,0.45,32.75,17.03,03-May-2019 - 00:00,"Sidhu Kanhu Indoor Stadium, Durgapur - WBPCB"
03-May-2019 - 00:00,0.33,45.08,24.12,04-May-2019 - 00:00,"Sidhu Kanhu Indoor Stadium, Durgapur - WBPCB"
04-May-2019 - 00:00,0.33,30.78,12.67,05-May-2019 - 00:00,"Sidhu Kanhu Indoor Stadium, Durgapur - WBPCB"
05-May-2019 - 00:00,0.74,102.25,19.47,06-May-2019 - 00:00,"Sidhu Kanhu Indoor Stadium, Durgapur - WBPCB"
06-May-2019 - 00:00,0.43,95.43,18.81,07-May-2019 - 00:00,"Sidhu Kanhu Indoor Stadium, Durgapur - WBPCB"
07-May-2019 - 00:00,0.57,107.94,32.88,08-May-2019 - 00:00,"Sidhu Kanhu Indoor Stadium, Durgapur - WBPCB"
08-May-2019 - 00:00,0.85,136.21,14.56,09-May-2019 - 00:00,"Sidhu Kanhu Indoor Stadium, Durgapur - WBPCB"
