from date,PM2.5,PM10,NO2,NO,NOx,NH3,SO2,CO,Ozone,Benzene,Toluene,Eth-Benzene,MP-Xylene,to date,station
15-Mar-2019 - 00:00,50.42,116.85,44.92,21.62,38.4,80.17,39.98,1.4,20.61,7.08,,,22.12,16-Mar-2019 - 00:00,"Sector-2 IMT, Manesar - HSPCB"
16-Mar-2019 - 00:00,54.76,117.86,53.36,17.05,39.14,78.54,30.52,1.2,25.7,5.84,,,12.94,17-Mar-2019 - 00:00,"Sector-2 IMT, Manesar - HSPCB"
17-Mar-2019 - 00:00,68.0,135.54,47.91,16.57,35.81,80.43,22.94,1.03,29.94,6.94,,,12.21,18-Mar-2019 - 00:00,"Sector-2 IMT, Manesar - HSPCB"
18-Mar-2019 - 00:00,65.72,154.69,58.92,27.64,50.54,98.22,29.87,1.31,27.07,7.74,,,13.88,19-Mar-2019 - 00:00,"Sector-2 IMT, Manesar - HSPCB"
19-Mar-2019 - 00:00,69.87,181.29,52.95,29.69,49.07,98.98,35.34,1.3,29.55,8.09,,,22.11,20-Mar-2019 - 00:00,"Sector-2 IMT, Manesar - HSPCB"
20-Mar-2019 - 00:00,62.93,183.72,39.71,9.1,25.68,65.61,24.68,1.23,29.6,8.17,,,9.24,21-Mar-2019 - 00:00,"Sector-2 IMT, Manesar - HSPCB"
21-Mar-2019 - 00:00,76.52,161.84,27.5,6.39,17.09,64.87,33.35,1.34,35.79,7.25,,,7.4,22-Mar-2019 - 00:00,"Sector-2 IMT, Manesar - HSPCB"
22-Mar-2019 - 00:00,36.22,102.36,29.23,7.08,18.55,51.68,29.38,0.84,35.2,3.94,,,4.58,23-Mar-2019 - 00:00,"Sector-2 IMT, Manesar - HSPCB"
23-Mar-2019 - 00:00,39.75,104.51,41.77,10.25,27.64,65.93,31.21,0.92,36.9,4.79,,,7.96,24-Mar-2019 - 00:00,"Sector-2 IMT, Manesar - HSPCB"
24-Mar-2019 - 00:00,48.58,107.49,30.39,6.83,18.93,54.76,29.53,1.02,28.64,4.41,,,10.13,25-Mar-2019 - 00:00,"Sector-2 IMT, Manesar - HSPCB"
25-Mar-2019 - 00:00,61.68,109.31,34.09,8.89,22.53,62.64,35.07,1.21,25.22,5.29,,,14.92,26-Mar-2019 - 00:00,"Sector-2 IMT, Manesar - HSPCB"
26-Mar-2019 - 00:00,88.17,123.07,49.7,11.6,32.86,73.05,38.29,1.45,26.08,6.57,,,26.16,27-Mar-2019 - 00:00,"Sector-2 IMT, Manesar - HSPCB"
27-Mar-2019 - 00:00,83.06,144.39,60.49,26.82,50.71,101.62,42.88,1.55,28.77,7.06,,,18.43,28-Mar-2019 - 00:00,"Sector-2 IMT, Manesar - HSPCB"
28-Mar-2019 - 00:00,91.88,226.89,68.18,56.49,78.52,150.47,41.78,2.01,27.48,8.75,,,21.54,29-Mar-2019 - 00:00,"Sector-2 IMT, Manesar - HSPCB"
29-Mar-2019 - 00:00,96.83,266.69,66.38,102.9,114.79,194.71,37.32,2.34,32.96,11.21,,,22.56,30-Mar-2019 - 00:00,"Sector-2 IMT, Manesar - HSPCB"
30-Mar-2019 - 00:00,92.45,268.02,58.44,77.5,90.28,188.58,32.19,2.09,27.03,10.18,,,29.9,31-Mar-2019 - 00:00,"Sector-2 IMT, Manesar - HSPCB"
31-Mar-2019 - 00:00,57.73,154.49,36.52,8.07,23.12,77.87,46.16,1.32,35.15,6.32,,,27.96,01-Apr-2019 - 00:00,"Sector-2 IMT, Manesar - HSPCB"
01-Apr-2019 - 00:00,40.85,116.68,42.54,7.02,25.45,67.04,38.99,1.03,40.85,6.24,,,14.42,02-Apr-2019 - 00:00,"Sector-2 IMT, Manesar - HSPCB"
02-Apr-2019 - 00:00,62.36,174.83,59.94,22.49,46.93,96.26,52.81,1.35,41.41,11.21,,,13.2,03-Apr-2019 - 00:00,"Sector-2 IMT, Manesar - HSPCB"
03-Apr-2019 - 00:00,72.5,191.76,69.01,38.37,64.41,104.64,51.68,1.52,31.86,19.83,,,16.79,04-Apr-2019 - 00:00,"Sector-2 IMT, Manesar - HSPCB"
04-Apr-2019 - 00:00,92.98,241.56,69.29,70.81,90.58,148.12,47.72,1.88,35.15,25.74,,,19.96,05-Apr-2019 - 00:00,"Sector-2 IMT, Manesar - HSPCB"
