from date,PM2.5,PM10,NO2,NO,NOx,NH3,SO2,CO,Ozone,Benzene,Toluene,Xylene,Eth-Benzene,MP-Xylene,RH,SR,WS,WD,RF,to date,station
09-Mar-2019 - 00:00,50.02,77.29,9.07,4.02,15.61,40.88,5.2,0.4,48.91,4.35,0.32,2.74,3.05,4.49,59.59,357.39,3.09,302.21,0.0,10-Mar-2019 - 00:00,"Shastri Nagar, Narnaul - HSPCB"
10-Mar-2019 - 00:00,44.75,107.55,27.42,11.98,38.8,62.72,13.23,0.53,39.48,6.47,0.43,3.96,2.27,3.5,56.9,413.65,1.78,179.14,0.0,11-Mar-2019 - 00:00,"Shastri Nagar, Narnaul - HSPCB"
11-Mar-2019 - 00:00,43.23,114.86,10.36,7.61,12.72,28.56,11.05,0.39,67.45,2.7,0.17,1.49,0.43,0.48,33.49,302.08,2.9,214.79,0.0,12-Mar-2019 - 00:00,"Shastri Nagar, Narnaul - HSPCB"
12-Mar-2019 - 00:00,46.22,93.54,11.7,4.65,19.55,43.01,6.11,0.36,57.83,4.19,0.29,1.94,1.11,1.48,64.83,327.99,2.54,218.14,0.0,13-Mar-2019 - 00:00,"Shastri Nagar, Narnaul - HSPCB"
13-Mar-2019 - 00:00,70.2,148.38,17.6,5.92,29.21,40.26,6.99,0.61,45.85,5.74,0.31,2.59,1.75,2.4,63.45,164.68,1.94,174.37,0.0,14-Mar-2019 - 00:00,"Shastri Nagar, Narnaul - HSPCB"
14-Mar-2019 - 00:00,89.54,134.63,14.94,5.63,24.57,33.55,5.27,0.62,30.86,7.21,0.39,4.03,4.62,7.24,83.48,136.77,2.78,193.17,0.01,15-Mar-2019 - 00:00,"Shastri Nagar, Narnaul - HSPCB"
15-Mar-2019 - 00:00,57.46,70.54,14.5,5.61,23.75,33.18,3.43,0.36,39.8,6.1,0.37,3.78,3.86,6.59,64.69,347.21,2.8,296.97,0.0,16-Mar-2019 - 00:00,"Shastri Nagar, Narnaul - HSPCB"
16-Mar-2019 - 00:00,63.33,74.95,10.96,4.14,19.04,32.52,4.29,0.43,55.6,5.64,0.38,3.6,3.56,6.2,53.08,373.9,4.17,261.28,0.0,17-Mar-2019 - 00:00,"Shastri Nagar, Narnaul - HSPCB"
17-Mar-2019 - 00:00,70.1,122.59,20.73,7.79,31.56,32.67,8.2,0.68,40.2,6.37,0.43,3.93,3.96,6.6,55.57,428.66,3.59,211.92,0.0,18-Mar-2019 - 00:00,"Shastri Nagar, Narnaul - HSPCB"
18-Mar-2019 - 00:00,55.95,112.1,15.62,9.85,15.24,24.15,4.81,0.41,62.9,5.7,0.41,3.23,2.84,4.6,38.69,357.36,3.25,234.37,0.0,19-Mar-2019 - 00:00,"Shastri Nagar, Narnaul - HSPCB"
