from date,BP,PM10,PM2.5,WD,WS,Benzene,Eth-Benzene,MP-Xylene,O Xylene,CO,NH3,NO,NO2,NOx,Ozone,SO2,to date,station
08-Jun-2019 - 00:00,725.08,83.22,39.1,134.45,1.7,0.94,0.15,0.71,0.3,1.14,20.6,6.9,39.58,46.49,100.17,9.95,09-Jun-2019 - 00:00,"Adarsh Nagar, Jaipur - RSPCB"
09-Jun-2019 - 00:00,723.42,85.38,39.24,179.6,1.59,1.18,0.27,1.04,0.46,1.33,17.53,19.98,48.34,68.32,83.03,11.61,10-Jun-2019 - 00:00,"Adarsh Nagar, Jaipur - RSPCB"
10-Jun-2019 - 00:00,722.0,130.03,50.49,255.09,1.56,0.91,0.33,1.42,0.6,0.78,17.11,12.93,38.97,51.91,60.15,11.73,11-Jun-2019 - 00:00,"Adarsh Nagar, Jaipur - RSPCB"
11-Jun-2019 - 00:00,722.12,90.08,37.72,236.13,1.57,0.38,0.12,0.48,0.24,0.81,15.46,5.32,30.07,35.33,50.98,9.14,12-Jun-2019 - 00:00,"Adarsh Nagar, Jaipur - RSPCB"
12-Jun-2019 - 00:00,722.78,87.83,37.72,170.62,1.72,0.52,0.13,0.55,0.27,0.73,14.94,3.28,37.45,40.69,46.95,8.75,13-Jun-2019 - 00:00,"Adarsh Nagar, Jaipur - RSPCB"
13-Jun-2019 - 00:00,724.21,52.14,28.91,211.4,2.27,0.53,0.14,0.57,0.26,0.6,17.76,2.61,34.58,37.17,53.28,10.31,14-Jun-2019 - 00:00,"Adarsh Nagar, Jaipur - RSPCB"
14-Jun-2019 - 00:00,723.7,80.99,38.68,252.65,1.65,0.51,0.13,0.6,0.27,0.73,14.49,2.95,40.79,43.73,51.64,11.45,15-Jun-2019 - 00:00,"Adarsh Nagar, Jaipur - RSPCB"
15-Jun-2019 - 00:00,723.79,87.66,40.83,233.05,1.68,0.35,0.1,0.46,0.21,0.5,16.07,2.02,31.91,33.92,48.71,10.25,16-Jun-2019 - 00:00,"Adarsh Nagar, Jaipur - RSPCB"
16-Jun-2019 - 00:00,724.81,81.02,41.09,260.45,1.88,0.48,0.13,0.58,0.24,0.57,22.99,4.42,28.53,32.94,21.14,10.21,17-Jun-2019 - 00:00,"Adarsh Nagar, Jaipur - RSPCB"
17-Jun-2019 - 00:00,724.27,87.96,39.28,202.43,1.83,0.39,0.08,0.36,0.16,0.48,22.2,3.21,28.32,31.52,36.21,10.36,18-Jun-2019 - 00:00,"Adarsh Nagar, Jaipur - RSPCB"
18-Jun-2019 - 00:00,724.38,44.5,23.09,132.86,1.91,0.42,0.08,0.34,0.15,1.19,19.27,2.08,25.92,27.98,43.16,16.8,19-Jun-2019 - 00:00,"Adarsh Nagar, Jaipur - RSPCB"
19-Jun-2019 - 00:00,723.96,32.8,13.68,164.24,1.56,0.2,0.04,0.12,0.06,0.71,17.68,1.76,14.75,16.49,59.79,12.19,20-Jun-2019 - 00:00,"Adarsh Nagar, Jaipur - RSPCB"
20-Jun-2019 - 00:00,724.5,48.25,23.69,178.45,1.67,0.38,0.09,0.39,0.17,0.94,12.36,5.31,36.24,41.55,56.24,10.31,21-Jun-2019 - 00:00,"Adarsh Nagar, Jaipur - RSPCB"
21-Jun-2019 - 00:00,724.88,91.73,29.62,236.6,1.53,0.72,0.27,0.96,0.43,0.99,10.49,6.46,41.54,48.0,53.58,10.94,22-Jun-2019 - 00:00,"Adarsh Nagar, Jaipur - RSPCB"
22-Jun-2019 - 00:00,724.21,104.32,35.43,195.45,1.67,0.49,0.22,0.73,0.3,0.77,9.55,5.11,42.94,48.04,65.06,11.89,23-Jun-2019 - 00:00,"Adarsh Nagar, Jaipur - RSPCB"
23-Jun-2019 - 00:00,723.69,69.56,29.86,91.09,1.8,0.35,0.05,0.18,0.08,0.87,22.6,2.85,20.23,23.08,92.78,12.71,24-Jun-2019 - 00:00,"Adarsh Nagar, Jaipur - RSPCB"
24-Jun-2019 - 00:00,724.85,50.28,23.38,126.76,1.59,0.36,0.05,0.24,0.11,1.06,24.13,3.55,24.61,28.16,63.74,12.13,25-Jun-2019 - 00:00,"Adarsh Nagar, Jaipur - RSPCB"
25-Jun-2019 - 00:00,724.95,90.85,32.92,154.73,1.23,0.53,0.1,0.4,0.17,1.03,25.36,4.16,31.64,35.81,60.67,9.27,26-Jun-2019 - 00:00,"Adarsh Nagar, Jaipur - RSPCB"
26-Jun-2019 - 00:00,723.54,83.14,29.77,222.03,1.76,0.61,0.12,0.54,0.23,1.21,21.2,4.66,38.92,43.58,63.93,9.71,27-Jun-2019 - 00:00,"Adarsh Nagar, Jaipur - RSPCB"
27-Jun-2019 - 00:00,722.32,272.68,70.67,267.71,1.73,0.37,0.12,0.51,0.21,0.76,17.97,3.24,33.0,36.23,53.94,9.79,28-Jun-2019 - 00:00,"Adarsh Nagar, Jaipur - RSPCB"
28-Jun-2019 - 00:00,721.84,129.04,42.74,264.58,1.6,0.23,0.06,0.25,0.1,0.96,23.26,2.29,27.41,29.68,44.68,9.29,29-Jun-2019 - 00:00,"Adarsh Nagar, Jaipur - RSPCB"
29-Jun-2019 - 00:00,721.58,101.5,33.82,231.98,2.06,0.22,0.06,0.25,0.11,0.88,18.17,2.29,25.71,27.96,53.51,9.97,30-Jun-2019 - 00:00,"Adarsh Nagar, Jaipur - RSPCB"
30-Jun-2019 - 00:00,721.82,117.14,39.81,244.34,1.93,0.19,0.05,0.17,0.07,0.72,16.31,1.69,20.42,22.06,50.59,10.2,01-Jul-2019 - 00:00,"Adarsh Nagar, Jaipur - RSPCB"
01-Jul-2019 - 00:00,722.41,97.87,33.04,204.88,2.25,0.26,0.07,0.31,0.14,0.82,15.92,1.52,24.43,25.93,54.15,9.43,02-Jul-2019 - 00:00,"Adarsh Nagar, Jaipur - RSPCB"
