from date,Temp,CO,SO2,NO,NO2,NOx,Ozone,WS,WD,Rack Temp,RH,BP,SR,RF,VWS,Benzene,Toluene,Xylene,PM2.5,AT,to date,station
21-Aug-2019 - 00:00,30.29,1.19,21.37,,,,30.92,3.12,255.74,,52.38,722.82,177.65,0.0,-0.19,2.53,18.76,6.77,56.51,34.79,22-Aug-2019 - 00:00,"Sector- 16A, Faridabad - HSPCB"
22-Aug-2019 - 00:00,28.92,1.03,20.37,,,,36.12,2.81,211.9,,53.59,723.28,95.67,0.01,-0.16,2.03,16.88,6.42,35.63,33.17,23-Aug-2019 - 00:00,"Sector- 16A, Faridabad - HSPCB"
23-Aug-2019 - 00:00,28.68,1.27,21.21,,,,41.72,2.03,209.91,,53.39,722.91,136.14,0.0,-0.13,2.55,28.67,10.6,48.9,34.23,24-Aug-2019 - 00:00,"Sector- 16A, Faridabad - HSPCB"
24-Aug-2019 - 00:00,28.25,1.26,20.95,,,,36.78,1.68,179.46,,56.82,723.15,73.61,0.02,-0.1,2.91,35.3,8.7,41.69,33.77,25-Aug-2019 - 00:00,"Sector- 16A, Faridabad - HSPCB"
25-Aug-2019 - 00:00,28.32,0.9,20.46,,,,86.03,2.43,117.12,,60.66,723.7,125.24,0.01,-0.09,1.59,8.07,2.1,17.34,32.58,26-Aug-2019 - 00:00,"Sector- 16A, Faridabad - HSPCB"
26-Aug-2019 - 00:00,28.43,0.85,21.72,,,,47.21,2.92,108.45,,55.64,723.48,171.68,0.0,-0.09,1.4,9.04,2.48,21.27,33.86,27-Aug-2019 - 00:00,"Sector- 16A, Faridabad - HSPCB"
27-Aug-2019 - 00:00,28.35,0.89,20.59,,,,35.48,2.67,110.91,,51.59,722.32,173.98,0.0,-0.1,1.73,12.86,2.89,27.48,35.21,28-Aug-2019 - 00:00,"Sector- 16A, Faridabad - HSPCB"
28-Aug-2019 - 00:00,28.46,0.93,20.97,,,,41.59,2.92,110.84,,50.99,723.39,171.47,0.0,-0.1,1.62,8.95,1.69,24.11,35.61,29-Aug-2019 - 00:00,"Sector- 16A, Faridabad - HSPCB"
29-Aug-2019 - 00:00,29.29,0.74,20.49,,,,38.32,2.98,127.89,,53.67,724.54,149.17,0.0,-0.1,1.31,6.99,2.46,23.21,34.91,30-Aug-2019 - 00:00,"Sector- 16A, Faridabad - HSPCB"
30-Aug-2019 - 00:00,29.09,0.95,21.46,,,,39.7,2.26,143.97,,52.39,721.91,171.54,0.0,-0.11,1.42,11.14,3.64,25.29,35.1,31-Aug-2019 - 00:00,"Sector- 16A, Faridabad - HSPCB"
31-Aug-2019 - 00:00,29.12,1.05,20.06,,,,51.72,2.36,182.13,,50.21,719.82,156.56,0.0,-0.13,2.18,25.43,5.74,35.22,35.81,01-Sep-2019 - 00:00,"Sector- 16A, Faridabad - HSPCB"
01-Sep-2019 - 00:00,27.86,0.95,22.41,,,,29.61,3.05,120.94,,59.7,722.1,78.97,0.0,-0.09,1.4,8.49,2.94,17.61,33.14,02-Sep-2019 - 00:00,"Sector- 16A, Faridabad - HSPCB"
02-Sep-2019 - 00:00,28.46,0.92,21.24,,,,35.89,2.02,122.44,,57.7,723.37,190.89,0.0,-0.09,1.38,6.73,1.7,16.69,33.72,03-Sep-2019 - 00:00,"Sector- 16A, Faridabad - HSPCB"
03-Sep-2019 - 00:00,29.21,1.6,18.82,,,,48.47,1.74,193.44,,54.89,720.06,45.03,0.0,-0.12,3.27,50.22,17.59,53.18,35.1,04-Sep-2019 - 00:00,"Sector- 16A, Faridabad - HSPCB"
04-Sep-2019 - 00:00,28.73,1.2,21.72,,,,31.01,2.54,149.11,,58.13,720.82,137.28,0.0,-0.1,2.26,27.56,8.71,39.97,34.36,05-Sep-2019 - 00:00,"Sector- 16A, Faridabad - HSPCB"
05-Sep-2019 - 00:00,29.15,0.83,19.3,,,,23.01,2.9,110.37,,58.52,720.98,122.46,0.0,-0.11,1.41,8.42,2.55,22.24,33.92,06-Sep-2019 - 00:00,"Sector- 16A, Faridabad - HSPCB"
06-Sep-2019 - 00:00,28.36,1.06,21.3,,,,22.29,2.42,136.03,,58.63,720.27,70.46,0.0,-0.11,1.7,29.08,5.46,21.03,33.95,07-Sep-2019 - 00:00,"Sector- 16A, Faridabad - HSPCB"
07-Sep-2019 - 00:00,28.83,0.77,19.18,,,,26.62,2.9,128.72,,57.89,720.64,125.98,0.0,-0.13,1.43,17.88,5.61,19.96,33.99,08-Sep-2019 - 00:00,"Sector- 16A, Faridabad - HSPCB"
08-Sep-2019 - 00:00,28.01,0.84,21.66,,,,34.08,2.36,125.11,,55.67,722.0,158.98,0.0,-0.1,1.29,8.53,2.01,17.35,34.47,09-Sep-2019 - 00:00,"Sector- 16A, Faridabad - HSPCB"
09-Sep-2019 - 00:00,28.37,1.06,21.22,,,,74.83,1.87,223.27,,50.68,720.57,118.7,0.0,-0.12,2.24,19.03,5.59,41.86,35.6,10-Sep-2019 - 00:00,"Sector- 16A, Faridabad - HSPCB"
10-Sep-2019 - 00:00,29.9,1.04,43.95,,,,84.47,1.67,157.8,,49.98,720.11,125.95,0.0,-0.11,2.52,29.29,11.03,64.85,35.72,11-Sep-2019 - 00:00,"Sector- 16A, Faridabad - HSPCB"
11-Sep-2019 - 00:00,30.2,0.86,21.05,,,,80.09,1.89,140.33,,50.21,721.57,126.22,0.0,-0.11,1.92,15.24,9.55,62.88,35.96,12-Sep-2019 - 00:00,"Sector- 16A, Faridabad - HSPCB"
12-Sep-2019 - 00:00,29.76,0.95,12.23,,,,37.32,3.24,127.29,,55.85,723.1,120.67,0.0,-0.14,1.46,9.39,5.52,39.9,34.75,13-Sep-2019 - 00:00,"Sector- 16A, Faridabad - HSPCB"
13-Sep-2019 - 00:00,29.17,0.87,6.07,,,,32.72,2.73,114.77,,54.94,723.99,178.44,0.0,-0.13,1.02,5.33,1.39,22.09,34.64,14-Sep-2019 - 00:00,"Sector- 16A, Faridabad - HSPCB"
14-Sep-2019 - 00:00,28.56,1.0,5.7,,,,36.28,3.67,106.65,,56.47,724.79,144.62,0.0,-0.12,1.0,5.5,1.43,20.87,33.85,15-Sep-2019 - 00:00,"Sector- 16A, Faridabad - HSPCB"
15-Sep-2019 - 00:00,28.77,0.85,6.91,,,,14.71,2.71,127.18,,57.76,724.85,130.28,0.0,-0.11,1.06,6.12,1.26,22.65,33.66,16-Sep-2019 - 00:00,"Sector- 16A, Faridabad - HSPCB"
16-Sep-2019 - 00:00,29.2,2.1,8.7,,,,89.78,1.68,176.75,,45.55,722.77,209.04,0.0,-0.11,2.12,17.26,5.9,62.43,36.36,17-Sep-2019 - 00:00,"Sector- 16A, Faridabad - HSPCB"
17-Sep-2019 - 00:00,29.22,1.34,7.94,,,,60.17,2.27,177.86,,52.18,724.28,139.68,0.01,-0.12,1.78,16.03,8.56,55.87,34.85,18-Sep-2019 - 00:00,"Sector- 16A, Faridabad - HSPCB"
18-Sep-2019 - 00:00,29.44,0.93,5.22,,,,49.78,3.65,115.1,,52.74,728.39,166.69,0.0,-0.12,1.11,6.67,4.4,25.16,33.48,19-Sep-2019 - 00:00,"Sector- 16A, Faridabad - HSPCB"
19-Sep-2019 - 00:00,29.14,0.8,2.63,,,,40.9,3.91,110.79,,57.45,730.59,127.54,0.0,-0.13,0.85,3.7,0.91,16.79,32.36,20-Sep-2019 - 00:00,"Sector- 16A, Faridabad - HSPCB"
20-Sep-2019 - 00:00,28.6,0.99,3.42,,,,33.54,2.41,128.28,,54.45,728.8,139.87,0.0,-0.11,1.21,7.42,1.88,25.79,33.24,21-Sep-2019 - 00:00,"Sector- 16A, Faridabad - HSPCB"
21-Sep-2019 - 00:00,29.46,0.76,7.02,,,,33.03,2.17,172.67,,54.63,727.6,123.87,0.0,-0.13,1.3,13.87,4.89,31.15,33.3,22-Sep-2019 - 00:00,"Sector- 16A, Faridabad - HSPCB"
22-Sep-2019 - 00:00,27.92,0.94,8.73,,,,27.37,2.96,124.5,,60.54,729.6,72.34,0.0,-0.1,1.23,11.49,3.31,21.19,31.2,23-Sep-2019 - 00:00,"Sector- 16A, Faridabad - HSPCB"
23-Sep-2019 - 00:00,29.04,0.88,7.65,,,,39.69,2.55,128.96,,57.4,730.91,132.48,0.0,-0.11,0.89,4.6,1.11,16.69,32.02,24-Sep-2019 - 00:00,"Sector- 16A, Faridabad - HSPCB"
24-Sep-2019 - 00:00,28.8,0.97,9.12,,,,34.54,2.3,152.2,,56.31,731.03,119.12,0.0,-0.1,1.31,12.49,4.16,31.46,32.33,25-Sep-2019 - 00:00,"Sector- 16A, Faridabad - HSPCB"
25-Sep-2019 - 00:00,28.84,1.05,9.23,,,,42.64,2.86,110.45,,56.59,732.22,136.76,0.0,-0.1,1.17,8.93,3.05,22.64,32.42,26-Sep-2019 - 00:00,"Sector- 16A, Faridabad - HSPCB"
26-Sep-2019 - 00:00,29.71,0.84,10.81,,,,31.12,3.96,102.94,,55.79,732.47,137.41,0.0,-0.14,1.0,6.37,1.86,14.0,32.8,27-Sep-2019 - 00:00,"Sector- 16A, Faridabad - HSPCB"
27-Sep-2019 - 00:00,28.66,1.0,14.63,,,,24.3,3.54,103.17,,59.14,731.29,101.98,0.0,-0.09,0.92,6.29,1.49,7.91,31.67,28-Sep-2019 - 00:00,"Sector- 16A, Faridabad - HSPCB"
28-Sep-2019 - 00:00,28.65,0.9,15.37,,,,25.39,3.33,105.14,,59.96,729.54,90.94,0.0,-0.11,1.04,7.08,1.43,13.17,31.39,29-Sep-2019 - 00:00,"Sector- 16A, Faridabad - HSPCB"
29-Sep-2019 - 00:00,28.54,0.67,15.01,,,,,3.12,105.25,,65.08,730.33,34.89,0.0,-0.12,0.73,3.56,0.83,3.64,30.16,30-Sep-2019 - 00:00,"Sector- 16A, Faridabad - HSPCB"
30-Sep-2019 - 00:00,29.41,1.28,6.69,,,,44.24,2.76,122.85,,55.38,728.85,156.33,0.0,-0.14,1.21,8.82,2.13,22.05,32.49,01-Oct-2019 - 00:00,"Sector- 16A, Faridabad - HSPCB"
01-Oct-2019 - 00:00,28.75,0.94,3.14,,,,36.33,2.76,125.27,,59.23,728.56,124.34,0.0,-0.12,1.18,5.81,2.44,22.16,31.7,02-Oct-2019 - 00:00,"Sector- 16A, Faridabad - HSPCB"
02-Oct-2019 - 00:00,28.43,1.1,4.77,,,,41.97,1.69,142.11,,53.89,729.68,140.64,0.0,-0.1,1.26,6.83,1.79,9.67,32.67,03-Oct-2019 - 00:00,"Sector- 16A, Faridabad - HSPCB"
03-Oct-2019 - 00:00,30.55,1.38,7.88,,,,56.77,1.99,176.9,,50.46,729.5,113.21,0.0,-0.14,2.49,17.65,5.1,11.11,33.44,04-Oct-2019 - 00:00,"Sector- 16A, Faridabad - HSPCB"
04-Oct-2019 - 00:00,30.59,1.18,7.41,,,,73.91,3.41,245.58,,49.98,730.47,181.5,0.02,-0.19,2.07,17.38,5.59,48.9,32.92,05-Oct-2019 - 00:00,"Sector- 16A, Faridabad - HSPCB"
05-Oct-2019 - 00:00,29.4,1.94,10.57,,,,54.13,2.99,262.64,,47.77,730.49,154.52,0.0,-0.21,2.27,17.47,4.47,39.9,32.01,06-Oct-2019 - 00:00,"Sector- 16A, Faridabad - HSPCB"
06-Oct-2019 - 00:00,28.05,1.51,9.05,,,,45.73,2.97,265.07,,54.91,731.74,105.22,0.0,-0.2,3.07,21.77,5.03,55.26,30.64,07-Oct-2019 - 00:00,"Sector- 16A, Faridabad - HSPCB"
07-Oct-2019 - 00:00,28.92,1.65,3.89,,,,60.07,4.06,266.41,,45.43,731.93,155.87,0.0,-0.26,1.66,15.01,3.92,54.65,32.77,08-Oct-2019 - 00:00,"Sector- 16A, Faridabad - HSPCB"
08-Oct-2019 - 00:00,28.1,0.95,4.94,,,,58.41,2.92,236.7,,46.36,731.74,150.26,0.0,-0.19,1.77,10.62,2.57,44.84,31.81,09-Oct-2019 - 00:00,"Sector- 16A, Faridabad - HSPCB"
09-Oct-2019 - 00:00,28.78,1.32,7.59,,,,51.37,1.45,139.85,,44.21,731.77,124.07,0.0,-0.1,2.62,31.29,6.36,71.23,32.44,10-Oct-2019 - 00:00,"Sector- 16A, Faridabad - HSPCB"
10-Oct-2019 - 00:00,28.18,1.74,11.82,,,,98.02,1.61,189.63,,43.43,731.12,137.16,0.0,-0.1,3.1,37.03,9.66,80.79,32.8,11-Oct-2019 - 00:00,"Sector- 16A, Faridabad - HSPCB"
11-Oct-2019 - 00:00,29.19,1.98,12.71,,,,61.44,1.57,227.61,,43.55,730.59,125.79,0.0,-0.12,3.52,31.32,10.02,99.53,32.58,12-Oct-2019 - 00:00,"Sector- 16A, Faridabad - HSPCB"
12-Oct-2019 - 00:00,28.89,1.94,12.54,,,,57.36,1.81,228.95,,45.59,731.48,118.61,0.0,-0.1,3.87,31.85,9.44,96.84,32.74,13-Oct-2019 - 00:00,"Sector- 16A, Faridabad - HSPCB"
13-Oct-2019 - 00:00,27.85,2.6,11.43,,,,60.78,1.83,226.05,,44.49,732.04,120.95,0.0,-0.13,4.18,42.67,10.38,111.17,32.75,14-Oct-2019 - 00:00,"Sector- 16A, Faridabad - HSPCB"
14-Oct-2019 - 00:00,28.97,2.78,15.56,,,,45.78,1.42,210.98,,44.98,732.83,116.6,0.0,-0.1,3.98,55.02,12.03,120.04,32.8,15-Oct-2019 - 00:00,"Sector- 16A, Faridabad - HSPCB"
15-Oct-2019 - 00:00,27.66,2.72,9.43,,,,69.11,1.55,159.9,,45.76,733.39,110.51,0.0,-0.1,3.89,61.88,16.33,148.0,32.92,16-Oct-2019 - 00:00,"Sector- 16A, Faridabad - HSPCB"
16-Oct-2019 - 00:00,28.26,2.14,6.03,,,,76.98,2.41,144.84,,47.14,733.8,109.56,0.0,-0.12,2.54,24.59,11.47,134.77,32.78,17-Oct-2019 - 00:00,"Sector- 16A, Faridabad - HSPCB"
17-Oct-2019 - 00:00,27.58,1.81,4.87,,,,81.77,3.29,110.55,,46.78,733.49,110.9,0.0,-0.12,2.02,11.76,3.11,98.6,32.29,18-Oct-2019 - 00:00,"Sector- 16A, Faridabad - HSPCB"
18-Oct-2019 - 00:00,29.49,1.66,8.53,,,,64.97,4.1,150.06,,44.8,733.72,115.0,0.0,-0.12,1.93,11.45,4.49,78.24,32.44,19-Oct-2019 - 00:00,"Sector- 16A, Faridabad - HSPCB"
19-Oct-2019 - 00:00,28.35,2.25,13.0,,,,82.6,2.53,183.74,,43.19,735.0,107.79,0.0,-0.1,2.85,30.56,8.39,84.6,32.17,20-Oct-2019 - 00:00,"Sector- 16A, Faridabad - HSPCB"
20-Oct-2019 - 00:00,28.12,1.98,12.51,,,,55.87,4.08,266.24,,41.71,734.61,133.64,0.0,-0.19,2.7,24.02,6.13,84.8,31.93,21-Oct-2019 - 00:00,"Sector- 16A, Faridabad - HSPCB"
21-Oct-2019 - 00:00,28.05,2.08,11.35,,,,94.13,4.61,261.56,,41.74,732.87,130.72,0.0,-0.19,2.78,19.78,5.22,101.83,31.11,22-Oct-2019 - 00:00,"Sector- 16A, Faridabad - HSPCB"
22-Oct-2019 - 00:00,29.2,1.45,9.73,,,,66.4,5.99,257.15,,40.9,730.13,118.44,0.0,-0.23,2.26,15.04,4.8,72.38,30.87,23-Oct-2019 - 00:00,"Sector- 16A, Faridabad - HSPCB"
23-Oct-2019 - 00:00,28.16,1.9,8.87,,,,66.9,2.11,244.04,,40.26,729.29,131.71,0.0,-0.14,3.02,22.39,10.11,103.77,31.35,24-Oct-2019 - 00:00,"Sector- 16A, Faridabad - HSPCB"
24-Oct-2019 - 00:00,28.56,3.02,11.61,,,,45.45,1.71,130.5,,40.17,730.17,79.83,0.0,-0.1,3.42,32.06,8.72,147.43,32.35,25-Oct-2019 - 00:00,"Sector- 16A, Faridabad - HSPCB"
25-Oct-2019 - 00:00,28.66,1.58,9.83,,,,74.18,2.23,125.83,,43.64,731.9,118.18,0.0,-0.12,2.75,22.11,7.32,105.59,30.89,26-Oct-2019 - 00:00,"Sector- 16A, Faridabad - HSPCB"
26-Oct-2019 - 00:00,29.65,1.96,10.1,,,,52.96,1.41,166.62,,45.85,733.28,102.38,0.0,-0.11,3.11,24.94,9.38,135.65,30.89,27-Oct-2019 - 00:00,"Sector- 16A, Faridabad - HSPCB"
27-Oct-2019 - 00:00,30.34,1.84,23.41,,,,70.16,2.25,244.88,,43.03,732.55,117.88,0.0,-0.15,4.24,37.82,9.66,192.07,31.02,28-Oct-2019 - 00:00,"Sector- 16A, Faridabad - HSPCB"
28-Oct-2019 - 00:00,29.69,1.65,32.49,,,,80.29,1.58,236.31,,43.03,733.26,82.21,0.0,-0.11,3.58,14.03,4.74,236.98,31.03,29-Oct-2019 - 00:00,"Sector- 16A, Faridabad - HSPCB"
29-Oct-2019 - 00:00,28.95,3.11,17.33,,,,35.03,0.88,203.61,,47.86,733.93,61.17,0.0,-0.1,4.29,26.23,10.84,259.07,30.64,30-Oct-2019 - 00:00,"Sector- 16A, Faridabad - HSPCB"
30-Oct-2019 - 00:00,29.43,2.93,16.28,,,,43.67,1.3,241.06,,45.28,732.64,75.73,0.0,-0.12,5.15,45.02,13.69,281.65,31.2,31-Oct-2019 - 00:00,"Sector- 16A, Faridabad - HSPCB"
31-Oct-2019 - 00:00,29.21,3.05,17.7,,,,41.85,1.34,235.67,,44.44,731.84,99.49,0.0,-0.12,5.11,51.1,15.85,268.35,31.07,01-Nov-2019 - 00:00,"Sector- 16A, Faridabad - HSPCB"
01-Nov-2019 - 00:00,28.9,3.22,17.79,,,,60.85,1.36,185.87,,45.54,731.88,78.34,0.0,-0.1,5.95,47.33,16.77,405.69,31.29,02-Nov-2019 - 00:00,"Sector- 16A, Faridabad - HSPCB"
02-Nov-2019 - 00:00,28.27,2.46,13.48,,,,47.9,2.41,248.12,,48.11,733.61,64.87,0.0,-0.15,4.06,24.96,8.2,300.27,30.68,03-Nov-2019 - 00:00,"Sector- 16A, Faridabad - HSPCB"
03-Nov-2019 - 00:00,28.36,2.76,8.56,,,,56.17,2.93,252.35,,50.86,734.47,59.88,0.0,-0.17,3.91,17.03,5.28,449.43,29.78,04-Nov-2019 - 00:00,"Sector- 16A, Faridabad - HSPCB"
04-Nov-2019 - 00:00,30.02,1.72,14.3,,,,59.0,3.67,263.3,,47.93,734.26,95.56,0.0,-0.21,2.89,13.56,5.21,240.8,30.28,05-Nov-2019 - 00:00,"Sector- 16A, Faridabad - HSPCB"
05-Nov-2019 - 00:00,29.1,1.45,15.29,,,,63.06,3.42,257.83,,43.62,731.48,126.2,0.0,-0.23,2.26,12.85,4.52,147.63,30.14,06-Nov-2019 - 00:00,"Sector- 16A, Faridabad - HSPCB"
06-Nov-2019 - 00:00,30.34,1.56,18.37,,,,45.88,1.51,185.1,,43.01,729.37,106.23,0.0,-0.11,3.33,45.26,31.51,109.18,30.06,07-Nov-2019 - 00:00,"Sector- 16A, Faridabad - HSPCB"
07-Nov-2019 - 00:00,28.63,2.07,13.18,,,,29.95,2.06,151.02,,50.47,730.64,53.17,0.0,-0.12,3.87,45.77,31.65,183.15,28.63,08-Nov-2019 - 00:00,"Sector- 16A, Faridabad - HSPCB"
08-Nov-2019 - 00:00,29.16,2.51,13.3,,,,55.48,1.55,220.39,,47.89,733.17,93.64,0.0,-0.11,4.53,38.96,13.16,165.67,29.84,09-Nov-2019 - 00:00,"Sector- 16A, Faridabad - HSPCB"
09-Nov-2019 - 00:00,29.39,1.8,16.25,,,,54.25,3.29,264.94,,44.17,733.78,119.56,0.0,-0.21,3.42,30.96,8.68,114.89,29.77,10-Nov-2019 - 00:00,"Sector- 16A, Faridabad - HSPCB"
10-Nov-2019 - 00:00,28.59,1.71,13.05,,,,58.84,2.76,250.79,,38.84,733.82,103.51,0.0,-0.16,2.7,17.56,5.37,171.23,29.34,11-Nov-2019 - 00:00,"Sector- 16A, Faridabad - HSPCB"
11-Nov-2019 - 00:00,28.8,2.27,20.3,,,,55.35,1.86,259.15,,39.33,732.74,95.86,0.0,-0.13,3.45,25.17,6.86,228.25,29.08,12-Nov-2019 - 00:00,"Sector- 16A, Faridabad - HSPCB"
12-Nov-2019 - 00:00,29.2,2.68,20.92,,,,62.49,2.09,263.95,,41.57,733.71,98.19,0.0,-0.13,4.53,34.83,9.29,328.41,28.61,13-Nov-2019 - 00:00,"Sector- 16A, Faridabad - HSPCB"
13-Nov-2019 - 00:00,29.66,3.35,26.76,,,,26.9,1.16,227.53,,43.6,735.71,73.98,0.0,-0.1,5.53,47.23,14.89,339.91,28.9,14-Nov-2019 - 00:00,"Sector- 16A, Faridabad - HSPCB"
14-Nov-2019 - 00:00,29.02,3.66,24.66,,,,41.08,1.24,190.9,,49.65,736.47,46.0,0.0,-0.1,6.86,76.11,25.65,315.93,28.48,15-Nov-2019 - 00:00,"Sector- 16A, Faridabad - HSPCB"
15-Nov-2019 - 00:00,28.86,3.22,11.43,,,,32.89,2.34,245.85,,50.07,735.42,74.76,0.0,-0.14,5.08,37.09,15.91,415.38,28.71,16-Nov-2019 - 00:00,"Sector- 16A, Faridabad - HSPCB"
16-Nov-2019 - 00:00,29.3,1.43,15.39,,,,40.24,3.96,264.86,,46.97,735.17,98.74,0.0,-0.21,2.79,17.71,8.48,152.45,29.13,17-Nov-2019 - 00:00,"Sector- 16A, Faridabad - HSPCB"
17-Nov-2019 - 00:00,27.74,1.18,17.47,,,,48.02,4.84,267.54,,45.65,735.18,115.0,0.0,-0.29,1.31,7.28,2.86,78.94,28.74,18-Nov-2019 - 00:00,"Sector- 16A, Faridabad - HSPCB"
18-Nov-2019 - 00:00,29.62,1.28,15.82,,,,36.68,3.58,260.24,,48.07,734.79,115.44,0.0,-0.24,1.59,7.44,3.01,79.76,27.97,19-Nov-2019 - 00:00,"Sector- 16A, Faridabad - HSPCB"
19-Nov-2019 - 00:00,28.96,1.78,15.54,,,,47.97,2.14,248.11,,45.44,733.98,105.47,0.0,-0.13,2.42,32.87,7.85,114.65,28.0,20-Nov-2019 - 00:00,"Sector- 16A, Faridabad - HSPCB"
20-Nov-2019 - 00:00,29.21,3.17,15.39,,,,31.93,1.05,183.98,,44.84,734.51,94.34,0.0,-0.11,3.61,41.94,15.97,161.19,28.26,21-Nov-2019 - 00:00,"Sector- 16A, Faridabad - HSPCB"
21-Nov-2019 - 00:00,29.28,3.42,32.27,,,,45.83,0.91,184.91,,45.04,736.36,95.44,0.0,-0.1,4.89,50.49,23.29,245.5,28.28,22-Nov-2019 - 00:00,"Sector- 16A, Faridabad - HSPCB"
22-Nov-2019 - 00:00,29.12,2.85,30.89,,,,78.83,1.87,229.93,,40.11,736.52,119.86,0.0,-0.12,3.97,33.27,11.22,160.09,30.04,23-Nov-2019 - 00:00,"Sector- 16A, Faridabad - HSPCB"
23-Nov-2019 - 00:00,28.94,1.77,21.27,,,,38.97,2.36,258.07,,44.73,735.94,75.91,0.0,-0.17,2.7,23.04,6.54,112.87,28.53,24-Nov-2019 - 00:00,"Sector- 16A, Faridabad - HSPCB"
24-Nov-2019 - 00:00,28.05,1.32,19.35,,,,69.71,3.47,267.27,,47.11,735.23,66.66,0.0,-0.21,1.66,8.84,2.85,94.68,28.52,25-Nov-2019 - 00:00,"Sector- 16A, Faridabad - HSPCB"
25-Nov-2019 - 00:00,29.15,1.83,47.54,,,,46.4,1.67,171.96,,44.4,735.98,82.24,0.0,-0.1,2.38,18.27,5.66,103.76,28.79,26-Nov-2019 - 00:00,"Sector- 16A, Faridabad - HSPCB"
26-Nov-2019 - 00:00,28.87,1.52,72.15,,,,40.97,1.86,146.3,,42.95,735.34,71.99,0.0,-0.1,2.69,21.48,6.7,105.11,29.38,27-Nov-2019 - 00:00,"Sector- 16A, Faridabad - HSPCB"
27-Nov-2019 - 00:00,29.31,1.27,26.0,,,,49.03,2.4,131.31,,48.51,735.35,64.11,0.0,-0.1,1.75,11.47,4.7,67.74,28.28,28-Nov-2019 - 00:00,"Sector- 16A, Faridabad - HSPCB"
28-Nov-2019 - 00:00,29.43,0.99,19.81,,,,34.24,3.48,108.07,,55.94,736.22,64.2,0.0,-0.11,1.01,7.58,2.49,28.73,26.4,29-Nov-2019 - 00:00,"Sector- 16A, Faridabad - HSPCB"
29-Nov-2019 - 00:00,29.56,1.46,31.97,,,,39.25,1.72,191.55,,56.45,736.61,91.71,0.0,-0.12,2.01,18.54,5.71,54.93,26.69,30-Nov-2019 - 00:00,"Sector- 16A, Faridabad - HSPCB"
30-Nov-2019 - 00:00,29.58,1.68,24.84,,,,40.84,2.76,265.77,,57.23,736.71,95.54,0.0,-0.17,2.4,16.23,5.37,91.77,26.24,01-Dec-2019 - 00:00,"Sector- 16A, Faridabad - HSPCB"
01-Dec-2019 - 00:00,28.74,1.54,21.26,,,,64.76,1.97,263.41,,50.9,736.62,102.01,0.0,-0.17,1.85,8.75,4.2,103.47,25.76,02-Dec-2019 - 00:00,"Sector- 16A, Faridabad - HSPCB"
02-Dec-2019 - 00:00,29.0,1.78,22.02,,,,39.38,2.56,250.27,,47.25,737.09,99.59,0.0,-0.15,2.27,16.16,4.1,115.78,25.52,03-Dec-2019 - 00:00,"Sector- 16A, Faridabad - HSPCB"
03-Dec-2019 - 00:00,28.43,1.55,17.82,,,,60.05,3.57,257.73,,43.82,736.71,144.05,0.0,-0.2,1.96,10.15,5.05,100.05,25.52,04-Dec-2019 - 00:00,"Sector- 16A, Faridabad - HSPCB"
04-Dec-2019 - 00:00,,,,,,,,,,,,,,,,,,,,,05-Dec-2019 - 00:00,"Sector- 16A, Faridabad - HSPCB"
05-Dec-2019 - 00:00,,,,,,,,,,,,,,,,,,,,,06-Dec-2019 - 00:00,"Sector- 16A, Faridabad - HSPCB"
06-Dec-2019 - 00:00,29.46,2.01,25.39,,,,65.47,0.86,231.14,,76.38,739.12,94.48,0.0,-0.1,3.16,27.82,9.74,161.32,17.44,07-Dec-2019 - 00:00,"Sector- 16A, Faridabad - HSPCB"
07-Dec-2019 - 00:00,29.6,2.12,24.98,,,,50.86,1.15,215.76,,83.87,739.16,111.97,0.0,-0.1,3.47,20.46,7.88,222.68,15.72,08-Dec-2019 - 00:00,"Sector- 16A, Faridabad - HSPCB"
08-Dec-2019 - 00:00,,,,,,,,,,,,,,,,,,,,,09-Dec-2019 - 00:00,"Sector- 16A, Faridabad - HSPCB"
09-Dec-2019 - 00:00,29.01,3.71,40.21,,,,45.79,0.55,240.81,,70.92,736.92,32.06,0.0,-0.1,4.68,36.24,13.74,187.03,15.9,10-Dec-2019 - 00:00,"Sector- 16A, Faridabad - HSPCB"
10-Dec-2019 - 00:00,29.15,3.16,40.31,,,,62.77,0.38,227.88,,77.52,735.07,76.05,0.0,-0.11,4.36,47.38,14.95,221.91,14.97,11-Dec-2019 - 00:00,"Sector- 16A, Faridabad - HSPCB"
11-Dec-2019 - 00:00,28.78,4.08,38.62,,,,57.01,0.38,167.51,,83.4,733.65,65.41,0.0,-0.11,5.45,49.74,23.34,254.69,14.73,12-Dec-2019 - 00:00,"Sector- 16A, Faridabad - HSPCB"
12-Dec-2019 - 00:00,29.78,2.71,25.43,,,,75.82,2.09,136.27,,85.58,732.3,55.21,0.0,-0.16,3.3,24.08,14.41,235.89,14.81,13-Dec-2019 - 00:00,"Sector- 16A, Faridabad - HSPCB"
13-Dec-2019 - 00:00,28.81,2.33,23.12,,,,29.58,2.14,204.52,,97.75,734.1,48.36,0.0,-0.15,1.69,8.35,5.48,83.57,14.33,14-Dec-2019 - 00:00,"Sector- 16A, Faridabad - HSPCB"
14-Dec-2019 - 00:00,29.26,1.71,25.02,,,,36.82,1.32,187.53,,89.95,739.56,75.87,0.0,-0.11,1.98,14.13,5.49,71.65,13.38,15-Dec-2019 - 00:00,"Sector- 16A, Faridabad - HSPCB"
