from date,AT,CO,SO2,NO,NO2,NOx,WS,WD,RH,BP,SR,VWS,RF,PM2.5,Benzene,Toluene,Xylene,to date,station
21-Apr-2019 - 00:00,35.98,0.43,17.72,3.87,2.69,1.18,1.29,86.59,53.48,727.01,167.25,-2.72,0.0,103.46,,,,22-Apr-2019 - 00:00,"Muzaffarpur Collectorate, Muzaffarpur - BSPCB"
22-Apr-2019 - 00:00,34.52,0.51,18.66,4.03,2.57,1.57,3.66,98.85,65.08,735.53,167.1,-2.84,0.0,53.6,,,,23-Apr-2019 - 00:00,"Muzaffarpur Collectorate, Muzaffarpur - BSPCB"
23-Apr-2019 - 00:00,34.23,0.29,19.44,3.6,3.32,1.19,4.27,75.68,63.35,739.2,177.85,-2.81,0.0,43.6,,,,24-Apr-2019 - 00:00,"Muzaffarpur Collectorate, Muzaffarpur - BSPCB"
24-Apr-2019 - 00:00,35.84,0.71,21.28,3.92,2.63,1.47,3.03,97.58,63.17,745.04,179.65,-2.82,0.0,60.41,,,,25-Apr-2019 - 00:00,"Muzaffarpur Collectorate, Muzaffarpur - BSPCB"
25-Apr-2019 - 00:00,36.93,0.58,23.8,3.86,2.42,1.25,1.45,124.62,64.4,743.45,166.81,-2.66,0.02,81.67,,,,26-Apr-2019 - 00:00,"Muzaffarpur Collectorate, Muzaffarpur - BSPCB"
26-Apr-2019 - 00:00,35.9,0.89,23.59,3.79,2.51,1.22,2.2,87.06,70.19,743.71,187.79,-2.76,0.06,47.21,,,,27-Apr-2019 - 00:00,"Muzaffarpur Collectorate, Muzaffarpur - BSPCB"
27-Apr-2019 - 00:00,37.23,0.76,17.57,3.35,3.03,1.09,1.71,115.3,66.73,740.81,185.96,-2.74,0.0,68.88,,,,28-Apr-2019 - 00:00,"Muzaffarpur Collectorate, Muzaffarpur - BSPCB"
28-Apr-2019 - 00:00,37.13,0.7,18.6,3.68,3.33,1.39,2.06,104.58,66.76,742.04,189.99,-2.81,0.0,70.31,,,,29-Apr-2019 - 00:00,"Muzaffarpur Collectorate, Muzaffarpur - BSPCB"
29-Apr-2019 - 00:00,36.04,0.75,20.15,3.88,2.88,1.55,2.21,89.66,69.51,746.45,191.51,-2.78,0.0,55.09,,,,30-Apr-2019 - 00:00,"Muzaffarpur Collectorate, Muzaffarpur - BSPCB"
30-Apr-2019 - 00:00,36.12,0.45,20.91,3.54,3.07,1.27,3.0,90.56,74.46,746.29,195.81,-2.84,0.0,63.51,,,,01-May-2019 - 00:00,"Muzaffarpur Collectorate, Muzaffarpur - BSPCB"
01-May-2019 - 00:00,36.0,0.81,20.14,3.7,2.35,1.46,3.85,113.75,70.28,746.09,177.52,-2.81,0.0,45.73,,,,02-May-2019 - 00:00,"Muzaffarpur Collectorate, Muzaffarpur - BSPCB"
02-May-2019 - 00:00,36.79,0.67,22.3,3.81,2.16,1.26,3.25,87.99,65.6,735.17,187.14,-2.78,0.0,44.71,,,,03-May-2019 - 00:00,"Muzaffarpur Collectorate, Muzaffarpur - BSPCB"
03-May-2019 - 00:00,34.49,0.95,16.72,3.91,2.99,1.32,4.24,51.57,72.23,729.29,112.72,-2.84,0.0,33.59,,,,04-May-2019 - 00:00,"Muzaffarpur Collectorate, Muzaffarpur - BSPCB"
04-May-2019 - 00:00,34.6,0.71,22.48,4.12,3.02,1.56,1.14,74.17,68.78,740.9,139.88,-2.7,0.0,29.7,,,,05-May-2019 - 00:00,"Muzaffarpur Collectorate, Muzaffarpur - BSPCB"
05-May-2019 - 00:00,37.11,0.78,21.72,3.62,3.12,1.21,1.5,65.58,50.86,723.07,202.19,-2.68,0.0,59.76,,,,06-May-2019 - 00:00,"Muzaffarpur Collectorate, Muzaffarpur - BSPCB"
06-May-2019 - 00:00,37.26,0.58,27.67,3.98,2.39,0.6,1.34,115.42,40.04,720.29,206.54,-2.41,0.0,91.91,,,,07-May-2019 - 00:00,"Muzaffarpur Collectorate, Muzaffarpur - BSPCB"
07-May-2019 - 00:00,37.14,0.44,23.96,3.92,3.11,0.85,1.4,90.61,45.44,712.02,203.29,-2.88,0.0,105.56,,,,08-May-2019 - 00:00,"Muzaffarpur Collectorate, Muzaffarpur - BSPCB"
08-May-2019 - 00:00,37.22,0.34,21.26,4.56,2.77,1.07,1.92,104.12,66.18,735.0,186.14,-2.75,0.0,73.16,,,,09-May-2019 - 00:00,"Muzaffarpur Collectorate, Muzaffarpur - BSPCB"
09-May-2019 - 00:00,37.23,0.66,18.77,4.23,3.25,1.71,1.26,67.42,66.39,736.66,170.33,-2.91,0.0,97.35,,,,10-May-2019 - 00:00,"Muzaffarpur Collectorate, Muzaffarpur - BSPCB"
10-May-2019 - 00:00,37.83,0.42,17.3,4.13,3.91,1.28,1.1,61.38,66.71,738.15,169.31,-2.66,0.0,97.85,,,,11-May-2019 - 00:00,"Muzaffarpur Collectorate, Muzaffarpur - BSPCB"
11-May-2019 - 00:00,37.54,0.64,20.89,4.1,5.34,5.44,1.16,74.52,61.45,735.65,160.8,-2.51,0.0,87.47,,,,12-May-2019 - 00:00,"Muzaffarpur Collectorate, Muzaffarpur - BSPCB"
12-May-2019 - 00:00,38.12,0.47,16.12,4.36,3.75,1.96,1.02,89.57,54.45,738.28,180.42,-2.41,0.0,79.48,,,,13-May-2019 - 00:00,"Muzaffarpur Collectorate, Muzaffarpur - BSPCB"
13-May-2019 - 00:00,36.99,0.65,17.82,4.19,5.18,2.13,1.27,70.36,62.46,740.88,168.55,-2.52,0.0,67.91,,,,14-May-2019 - 00:00,"Muzaffarpur Collectorate, Muzaffarpur - BSPCB"
14-May-2019 - 00:00,36.48,0.61,11.3,4.93,4.01,2.29,1.54,70.91,59.34,743.02,137.79,-2.68,0.0,63.25,,,,15-May-2019 - 00:00,"Muzaffarpur Collectorate, Muzaffarpur - BSPCB"
15-May-2019 - 00:00,35.8,1.32,21.42,4.4,2.99,1.8,3.17,93.07,63.46,736.82,174.51,-2.74,0.0,47.85,,,,16-May-2019 - 00:00,"Muzaffarpur Collectorate, Muzaffarpur - BSPCB"
16-May-2019 - 00:00,35.99,1.13,20.36,3.98,5.02,1.88,2.6,65.57,64.07,733.38,181.53,-2.84,0.0,46.92,,,,17-May-2019 - 00:00,"Muzaffarpur Collectorate, Muzaffarpur - BSPCB"
17-May-2019 - 00:00,38.24,1.37,18.69,4.54,5.44,2.02,1.57,75.9,57.39,735.01,187.67,-2.69,0.0,67.93,,,,18-May-2019 - 00:00,"Muzaffarpur Collectorate, Muzaffarpur - BSPCB"
18-May-2019 - 00:00,38.79,1.51,22.28,12.53,4.46,4.62,1.35,89.42,50.71,733.99,193.0,-2.77,0.0,76.48,,,,19-May-2019 - 00:00,"Muzaffarpur Collectorate, Muzaffarpur - BSPCB"
19-May-2019 - 00:00,38.4,0.61,22.03,4.42,3.05,1.7,0.94,72.48,47.68,735.61,210.81,-2.7,0.0,54.65,,,,20-May-2019 - 00:00,"Muzaffarpur Collectorate, Muzaffarpur - BSPCB"
20-May-2019 - 00:00,38.49,0.98,18.52,4.46,3.41,1.7,1.2,74.39,53.52,734.59,187.15,-2.77,0.0,78.71,,,,21-May-2019 - 00:00,"Muzaffarpur Collectorate, Muzaffarpur - BSPCB"
21-May-2019 - 00:00,37.53,1.42,18.07,4.26,5.28,6.72,3.09,61.4,62.52,735.9,194.9,-2.61,0.0,48.48,,,,22-May-2019 - 00:00,"Muzaffarpur Collectorate, Muzaffarpur - BSPCB"
22-May-2019 - 00:00,36.94,1.56,18.12,4.63,4.49,2.0,3.06,94.14,66.8,746.5,174.33,-2.55,0.0,58.52,,,,23-May-2019 - 00:00,"Muzaffarpur Collectorate, Muzaffarpur - BSPCB"
23-May-2019 - 00:00,35.34,1.09,20.96,7.92,3.73,2.58,4.06,78.12,68.4,746.51,192.5,-2.71,0.0,38.1,,,,24-May-2019 - 00:00,"Muzaffarpur Collectorate, Muzaffarpur - BSPCB"
24-May-2019 - 00:00,35.39,0.94,18.99,4.65,3.51,1.73,4.08,90.39,74.01,746.21,157.68,-2.72,0.0,40.74,,,,25-May-2019 - 00:00,"Muzaffarpur Collectorate, Muzaffarpur - BSPCB"
25-May-2019 - 00:00,35.18,1.25,17.79,4.56,3.0,1.56,2.87,90.99,76.05,745.97,143.72,-2.62,0.0,42.83,,,,26-May-2019 - 00:00,"Muzaffarpur Collectorate, Muzaffarpur - BSPCB"
26-May-2019 - 00:00,37.15,0.98,18.88,4.32,3.26,1.41,1.58,91.9,66.1,745.42,202.69,-2.53,0.0,49.64,,,,27-May-2019 - 00:00,"Muzaffarpur Collectorate, Muzaffarpur - BSPCB"
27-May-2019 - 00:00,38.27,1.04,19.71,4.4,3.77,1.96,1.14,120.83,59.25,745.5,205.83,-2.39,0.0,66.49,,,,28-May-2019 - 00:00,"Muzaffarpur Collectorate, Muzaffarpur - BSPCB"
28-May-2019 - 00:00,37.25,1.09,17.94,3.91,3.6,1.42,3.6,104.84,67.97,745.95,195.4,-2.61,0.0,44.52,,,,29-May-2019 - 00:00,"Muzaffarpur Collectorate, Muzaffarpur - BSPCB"
29-May-2019 - 00:00,37.44,1.4,20.45,3.99,2.91,1.48,3.93,87.22,64.59,744.79,193.35,-2.71,0.0,43.02,,,,30-May-2019 - 00:00,"Muzaffarpur Collectorate, Muzaffarpur - BSPCB"
30-May-2019 - 00:00,36.9,1.73,18.27,9.2,7.64,4.81,4.73,67.17,62.98,745.02,218.61,-2.7,0.0,44.77,,,,31-May-2019 - 00:00,"Muzaffarpur Collectorate, Muzaffarpur - BSPCB"
31-May-2019 - 00:00,34.23,1.05,18.0,4.2,2.83,1.53,0.94,87.59,68.66,741.34,208.97,-2.53,0.09,24.07,,,,01-Jun-2019 - 00:00,"Muzaffarpur Collectorate, Muzaffarpur - BSPCB"
01-Jun-2019 - 00:00,35.33,2.12,19.1,10.96,3.81,4.13,0.39,50.93,69.1,735.72,175.7,-2.61,0.0,34.69,,,,02-Jun-2019 - 00:00,"Muzaffarpur Collectorate, Muzaffarpur - BSPCB"
02-Jun-2019 - 00:00,34.26,1.08,20.47,5.44,3.76,2.47,0.89,75.06,67.89,734.27,201.16,-2.71,0.0,15.28,,,,03-Jun-2019 - 00:00,"Muzaffarpur Collectorate, Muzaffarpur - BSPCB"
03-Jun-2019 - 00:00,34.11,1.56,17.62,4.02,3.83,1.53,0.58,79.5,67.99,745.59,97.44,-2.83,0.0,25.72,,,,04-Jun-2019 - 00:00,"Muzaffarpur Collectorate, Muzaffarpur - BSPCB"
04-Jun-2019 - 00:00,35.9,1.12,18.54,5.12,4.5,2.31,0.55,86.14,65.84,738.42,197.96,-2.56,0.0,27.39,,,,05-Jun-2019 - 00:00,"Muzaffarpur Collectorate, Muzaffarpur - BSPCB"
05-Jun-2019 - 00:00,35.91,1.09,16.99,4.47,4.36,2.13,0.63,66.01,68.64,736.15,178.53,-2.66,0.0,31.5,,,,06-Jun-2019 - 00:00,"Muzaffarpur Collectorate, Muzaffarpur - BSPCB"
06-Jun-2019 - 00:00,35.84,1.18,17.71,4.57,3.03,1.56,0.63,53.17,69.92,734.44,145.28,-2.63,0.0,33.48,,,,07-Jun-2019 - 00:00,"Muzaffarpur Collectorate, Muzaffarpur - BSPCB"
07-Jun-2019 - 00:00,37.08,1.36,17.52,4.48,4.44,2.17,0.35,67.72,67.11,731.15,184.08,-2.24,0.0,40.23,,,,08-Jun-2019 - 00:00,"Muzaffarpur Collectorate, Muzaffarpur - BSPCB"
08-Jun-2019 - 00:00,37.29,1.38,18.69,4.31,3.21,1.41,0.36,87.42,66.83,738.95,182.63,-2.46,0.0,32.75,,,,09-Jun-2019 - 00:00,"Muzaffarpur Collectorate, Muzaffarpur - BSPCB"
09-Jun-2019 - 00:00,37.77,1.0,22.52,11.48,4.82,3.93,0.52,60.57,63.32,738.8,193.27,-2.61,0.0,43.82,,,,10-Jun-2019 - 00:00,"Muzaffarpur Collectorate, Muzaffarpur - BSPCB"
10-Jun-2019 - 00:00,36.4,1.41,17.24,4.17,2.79,1.56,0.95,73.59,69.51,738.96,177.47,-2.59,0.0,32.45,,,,11-Jun-2019 - 00:00,"Muzaffarpur Collectorate, Muzaffarpur - BSPCB"
11-Jun-2019 - 00:00,36.03,1.25,14.66,3.37,3.18,1.18,1.06,72.77,66.85,738.78,174.99,-2.62,0.0,25.12,,,,12-Jun-2019 - 00:00,"Muzaffarpur Collectorate, Muzaffarpur - BSPCB"
12-Jun-2019 - 00:00,34.91,1.64,22.43,4.06,2.46,1.29,0.66,67.5,74.99,736.16,155.32,-2.31,0.03,34.21,,,,13-Jun-2019 - 00:00,"Muzaffarpur Collectorate, Muzaffarpur - BSPCB"
13-Jun-2019 - 00:00,,,,,,,,,,,,,,,,,,14-Jun-2019 - 00:00,"Muzaffarpur Collectorate, Muzaffarpur - BSPCB"
14-Jun-2019 - 00:00,43.25,0.0,,1.48,,0.0,0.35,138.0,48.95,,542.0,-1.5,0.0,29.0,,,,15-Jun-2019 - 00:00,"Muzaffarpur Collectorate, Muzaffarpur - BSPCB"
15-Jun-2019 - 00:00,,,,,,,,,,,,,,,,,,16-Jun-2019 - 00:00,"Muzaffarpur Collectorate, Muzaffarpur - BSPCB"
16-Jun-2019 - 00:00,,,,,,,,,,,,,,,,,,17-Jun-2019 - 00:00,"Muzaffarpur Collectorate, Muzaffarpur - BSPCB"
17-Jun-2019 - 00:00,40.37,1.8,10.38,5.51,39.53,11.93,0.47,88.92,54.3,700.0,116.62,-3.23,0.0,59.2,,,,18-Jun-2019 - 00:00,"Muzaffarpur Collectorate, Muzaffarpur - BSPCB"
18-Jun-2019 - 00:00,36.77,1.15,16.16,6.98,43.53,15.83,0.32,65.5,75.71,744.06,174.62,-2.42,0.0,48.4,,,,19-Jun-2019 - 00:00,"Muzaffarpur Collectorate, Muzaffarpur - BSPCB"
19-Jun-2019 - 00:00,,,,,,,,,,,,,,,,,,20-Jun-2019 - 00:00,"Muzaffarpur Collectorate, Muzaffarpur - BSPCB"
20-Jun-2019 - 00:00,,,,,,,,,,,,,,,,,,21-Jun-2019 - 00:00,"Muzaffarpur Collectorate, Muzaffarpur - BSPCB"
21-Jun-2019 - 00:00,38.4,,,,,,0.4,29.0,62.4,746.0,8.0,-3.1,0.0,,,,,22-Jun-2019 - 00:00,"Muzaffarpur Collectorate, Muzaffarpur - BSPCB"
22-Jun-2019 - 00:00,,,,,,,,,,,,,,,,,,23-Jun-2019 - 00:00,"Muzaffarpur Collectorate, Muzaffarpur - BSPCB"
23-Jun-2019 - 00:00,,,,,,,,,,,,,,,,,,24-Jun-2019 - 00:00,"Muzaffarpur Collectorate, Muzaffarpur - BSPCB"
24-Jun-2019 - 00:00,,,,,,,,,,,,,,,,,,25-Jun-2019 - 00:00,"Muzaffarpur Collectorate, Muzaffarpur - BSPCB"
25-Jun-2019 - 00:00,,,,,,,,,,,,,,,,,,26-Jun-2019 - 00:00,"Muzaffarpur Collectorate, Muzaffarpur - BSPCB"
26-Jun-2019 - 00:00,,,,,,,,,,,,,,,,,,27-Jun-2019 - 00:00,"Muzaffarpur Collectorate, Muzaffarpur - BSPCB"
27-Jun-2019 - 00:00,,,,,,,,,,,,,,,,,,28-Jun-2019 - 00:00,"Muzaffarpur Collectorate, Muzaffarpur - BSPCB"
28-Jun-2019 - 00:00,,,,,,,,,,,,,,,,,,29-Jun-2019 - 00:00,"Muzaffarpur Collectorate, Muzaffarpur - BSPCB"
29-Jun-2019 - 00:00,,,,,,,,,,,,,,,,,,30-Jun-2019 - 00:00,"Muzaffarpur Collectorate, Muzaffarpur - BSPCB"
30-Jun-2019 - 00:00,,,,,,,,,,,,,,,,,,01-Jul-2019 - 00:00,"Muzaffarpur Collectorate, Muzaffarpur - BSPCB"
01-Jul-2019 - 00:00,,,,,,,,,,,,,,,,,,02-Jul-2019 - 00:00,"Muzaffarpur Collectorate, Muzaffarpur - BSPCB"
02-Jul-2019 - 00:00,,,,,,,,,,,,,,,,,,03-Jul-2019 - 00:00,"Muzaffarpur Collectorate, Muzaffarpur - BSPCB"
03-Jul-2019 - 00:00,,,,,,,,,,,,,,,,,,04-Jul-2019 - 00:00,"Muzaffarpur Collectorate, Muzaffarpur - BSPCB"
04-Jul-2019 - 00:00,,,,,,,,,,,,,,,,,,05-Jul-2019 - 00:00,"Muzaffarpur Collectorate, Muzaffarpur - BSPCB"
05-Jul-2019 - 00:00,,,,,,,,,,,,,,,,,,06-Jul-2019 - 00:00,"Muzaffarpur Collectorate, Muzaffarpur - BSPCB"
06-Jul-2019 - 00:00,,,,,,,,,,,,,,,,,,07-Jul-2019 - 00:00,"Muzaffarpur Collectorate, Muzaffarpur - BSPCB"
07-Jul-2019 - 00:00,,,,,,,,,,,,,,,,,,08-Jul-2019 - 00:00,"Muzaffarpur Collectorate, Muzaffarpur - BSPCB"
08-Jul-2019 - 00:00,,,,,,,,,,,,,,,,,,09-Jul-2019 - 00:00,"Muzaffarpur Collectorate, Muzaffarpur - BSPCB"
09-Jul-2019 - 00:00,,,,,,,,,,,,,,,,,,10-Jul-2019 - 00:00,"Muzaffarpur Collectorate, Muzaffarpur - BSPCB"
10-Jul-2019 - 00:00,,,,,,,,,,,,,,,,,,11-Jul-2019 - 00:00,"Muzaffarpur Collectorate, Muzaffarpur - BSPCB"
11-Jul-2019 - 00:00,,,,,,,,,,,,,,,,,,12-Jul-2019 - 00:00,"Muzaffarpur Collectorate, Muzaffarpur - BSPCB"
12-Jul-2019 - 00:00,,,,,,,,,,,,,,,,,,13-Jul-2019 - 00:00,"Muzaffarpur Collectorate, Muzaffarpur - BSPCB"
13-Jul-2019 - 00:00,,,,,,,,,,,,,,,,,,14-Jul-2019 - 00:00,"Muzaffarpur Collectorate, Muzaffarpur - BSPCB"
14-Jul-2019 - 00:00,,,,,,,,,,,,,,,,,,15-Jul-2019 - 00:00,"Muzaffarpur Collectorate, Muzaffarpur - BSPCB"
15-Jul-2019 - 00:00,,,,,,,,,,,,,,,,,,16-Jul-2019 - 00:00,"Muzaffarpur Collectorate, Muzaffarpur - BSPCB"
16-Jul-2019 - 00:00,,,,,,,,,,,,,,,,,,17-Jul-2019 - 00:00,"Muzaffarpur Collectorate, Muzaffarpur - BSPCB"
17-Jul-2019 - 00:00,,,,,,,,,,,,,,,,,,18-Jul-2019 - 00:00,"Muzaffarpur Collectorate, Muzaffarpur - BSPCB"
18-Jul-2019 - 00:00,,,,,,,,,,,,,,,,,,19-Jul-2019 - 00:00,"Muzaffarpur Collectorate, Muzaffarpur - BSPCB"
19-Jul-2019 - 00:00,,,,,,,,,,,,,,,,,,20-Jul-2019 - 00:00,"Muzaffarpur Collectorate, Muzaffarpur - BSPCB"
20-Jul-2019 - 00:00,,,,,,,,,,,,,,,,,,21-Jul-2019 - 00:00,"Muzaffarpur Collectorate, Muzaffarpur - BSPCB"
21-Jul-2019 - 00:00,,,,,,,,,,,,,,,,,,22-Jul-2019 - 00:00,"Muzaffarpur Collectorate, Muzaffarpur - BSPCB"
22-Jul-2019 - 00:00,,,,,,,,,,,,,,,,,,23-Jul-2019 - 00:00,"Muzaffarpur Collectorate, Muzaffarpur - BSPCB"
23-Jul-2019 - 00:00,,,,,,,,,,,,,,,,,,24-Jul-2019 - 00:00,"Muzaffarpur Collectorate, Muzaffarpur - BSPCB"
24-Jul-2019 - 00:00,,,,,,,,,,,,,,,,,,25-Jul-2019 - 00:00,"Muzaffarpur Collectorate, Muzaffarpur - BSPCB"
25-Jul-2019 - 00:00,,,,,,,,,,,,,,,,,,26-Jul-2019 - 00:00,"Muzaffarpur Collectorate, Muzaffarpur - BSPCB"
26-Jul-2019 - 00:00,,,,,,,,,,,,,,,,,,27-Jul-2019 - 00:00,"Muzaffarpur Collectorate, Muzaffarpur - BSPCB"
27-Jul-2019 - 00:00,,,,,,,,,,,,,,,,,,28-Jul-2019 - 00:00,"Muzaffarpur Collectorate, Muzaffarpur - BSPCB"
28-Jul-2019 - 00:00,,,,,,,,,,,,,,,,,,29-Jul-2019 - 00:00,"Muzaffarpur Collectorate, Muzaffarpur - BSPCB"
29-Jul-2019 - 00:00,,,,,,,,,,,,,,,,,,30-Jul-2019 - 00:00,"Muzaffarpur Collectorate, Muzaffarpur - BSPCB"
30-Jul-2019 - 00:00,,,,,,,,,,,,,,,,,,31-Jul-2019 - 00:00,"Muzaffarpur Collectorate, Muzaffarpur - BSPCB"
31-Jul-2019 - 00:00,,,,,,,,,,,,,,,,,,01-Aug-2019 - 00:00,"Muzaffarpur Collectorate, Muzaffarpur - BSPCB"
01-Aug-2019 - 00:00,,,,,,,,,,,,,,,,,,02-Aug-2019 - 00:00,"Muzaffarpur Collectorate, Muzaffarpur - BSPCB"
02-Aug-2019 - 00:00,,,,,,,,,,,,,,,,,,03-Aug-2019 - 00:00,"Muzaffarpur Collectorate, Muzaffarpur - BSPCB"
03-Aug-2019 - 00:00,,,,,,,,,,,,,,,,,,04-Aug-2019 - 00:00,"Muzaffarpur Collectorate, Muzaffarpur - BSPCB"
04-Aug-2019 - 00:00,,,,,,,,,,,,,,,,,,05-Aug-2019 - 00:00,"Muzaffarpur Collectorate, Muzaffarpur - BSPCB"
05-Aug-2019 - 00:00,,,,,,,,,,,,,,,,,,06-Aug-2019 - 00:00,"Muzaffarpur Collectorate, Muzaffarpur - BSPCB"
06-Aug-2019 - 00:00,,,,,,,,,,,,,,,,,,07-Aug-2019 - 00:00,"Muzaffarpur Collectorate, Muzaffarpur - BSPCB"
07-Aug-2019 - 00:00,,,,,,,,,,,,,,,,,,08-Aug-2019 - 00:00,"Muzaffarpur Collectorate, Muzaffarpur - BSPCB"
08-Aug-2019 - 00:00,31.27,,13.91,26.47,40.99,15.59,2.12,85.1,78.68,701.04,105.24,-2.06,0.12,,,,,09-Aug-2019 - 00:00,"Muzaffarpur Collectorate, Muzaffarpur - BSPCB"
09-Aug-2019 - 00:00,30.79,1.63,12.07,16.1,29.8,13.79,1.63,83.01,87.99,701.37,99.78,-2.64,0.1,28.0,,,,10-Aug-2019 - 00:00,"Muzaffarpur Collectorate, Muzaffarpur - BSPCB"
10-Aug-2019 - 00:00,31.54,,11.6,13.25,31.22,15.8,0.3,85.33,87.42,700.69,136.79,-2.41,0.0,,,,,11-Aug-2019 - 00:00,"Muzaffarpur Collectorate, Muzaffarpur - BSPCB"
11-Aug-2019 - 00:00,,,,,,,,,,,,,,,,,,12-Aug-2019 - 00:00,"Muzaffarpur Collectorate, Muzaffarpur - BSPCB"
12-Aug-2019 - 00:00,,,,,,,,,,,,,,,,,,13-Aug-2019 - 00:00,"Muzaffarpur Collectorate, Muzaffarpur - BSPCB"
13-Aug-2019 - 00:00,33.52,1.2,3.54,13.81,26.53,14.27,2.51,107.98,76.2,700.59,125.7,-2.56,0.0,12.43,,,,14-Aug-2019 - 00:00,"Muzaffarpur Collectorate, Muzaffarpur - BSPCB"
14-Aug-2019 - 00:00,32.28,1.22,1.07,14.9,33.87,16.14,5.25,73.51,83.42,700.86,92.43,-2.75,0.01,16.0,,,,15-Aug-2019 - 00:00,"Muzaffarpur Collectorate, Muzaffarpur - BSPCB"
15-Aug-2019 - 00:00,33.21,1.15,1.67,11.53,34.69,16.16,2.35,114.66,78.4,700.64,135.57,-2.66,0.0,24.7,,,,16-Aug-2019 - 00:00,"Muzaffarpur Collectorate, Muzaffarpur - BSPCB"
16-Aug-2019 - 00:00,32.53,1.27,2.92,12.12,39.64,17.62,0.61,107.66,84.28,700.83,79.59,-2.63,0.01,34.44,,,,17-Aug-2019 - 00:00,"Muzaffarpur Collectorate, Muzaffarpur - BSPCB"
17-Aug-2019 - 00:00,32.44,1.83,3.05,29.51,52.21,37.6,0.98,121.65,85.84,700.83,92.91,-2.38,0.02,40.27,,,,18-Aug-2019 - 00:00,"Muzaffarpur Collectorate, Muzaffarpur - BSPCB"
18-Aug-2019 - 00:00,32.48,1.54,2.4,15.15,60.32,23.59,1.2,148.77,87.39,700.82,102.07,-2.39,0.03,47.55,,,,19-Aug-2019 - 00:00,"Muzaffarpur Collectorate, Muzaffarpur - BSPCB"
19-Aug-2019 - 00:00,30.79,0.99,2.88,13.46,57.65,22.23,2.81,129.21,92.89,701.35,60.65,-2.17,0.07,,,,,20-Aug-2019 - 00:00,"Muzaffarpur Collectorate, Muzaffarpur - BSPCB"
20-Aug-2019 - 00:00,,,,,,,,,,,,,,,,,,21-Aug-2019 - 00:00,"Muzaffarpur Collectorate, Muzaffarpur - BSPCB"
21-Aug-2019 - 00:00,34.62,1.45,33.16,14.54,68.91,27.65,1.66,161.93,77.66,700.57,102.66,-3.0,0.03,49.32,,,,22-Aug-2019 - 00:00,"Muzaffarpur Collectorate, Muzaffarpur - BSPCB"
22-Aug-2019 - 00:00,34.47,0.97,38.89,16.45,74.1,27.5,0.78,175.71,78.73,700.57,129.84,-3.09,0.0,56.07,,,,23-Aug-2019 - 00:00,"Muzaffarpur Collectorate, Muzaffarpur - BSPCB"
23-Aug-2019 - 00:00,33.64,0.86,38.22,15.34,67.25,24.81,0.77,172.23,78.97,700.67,124.04,-2.27,0.0,38.04,,,,24-Aug-2019 - 00:00,"Muzaffarpur Collectorate, Muzaffarpur - BSPCB"
24-Aug-2019 - 00:00,32.49,1.15,35.68,11.61,66.3,22.98,3.48,167.62,83.75,700.72,125.03,-2.66,0.01,14.43,,,,25-Aug-2019 - 00:00,"Muzaffarpur Collectorate, Muzaffarpur - BSPCB"
25-Aug-2019 - 00:00,33.23,1.56,41.62,15.0,65.48,23.91,4.07,160.48,80.42,700.61,172.2,-2.71,0.0,15.94,,,,26-Aug-2019 - 00:00,"Muzaffarpur Collectorate, Muzaffarpur - BSPCB"
26-Aug-2019 - 00:00,34.4,1.93,37.96,18.27,69.99,27.56,3.38,145.19,76.0,700.45,197.24,-2.69,0.0,31.74,,,,27-Aug-2019 - 00:00,"Muzaffarpur Collectorate, Muzaffarpur - BSPCB"
27-Aug-2019 - 00:00,34.38,1.11,36.96,12.49,68.11,23.83,3.49,151.9,75.07,700.46,182.27,-2.8,0.0,31.67,,,,28-Aug-2019 - 00:00,"Muzaffarpur Collectorate, Muzaffarpur - BSPCB"
28-Aug-2019 - 00:00,34.87,1.09,37.76,13.39,72.23,25.77,3.58,176.71,74.22,700.47,194.0,-2.71,0.0,30.57,,,,29-Aug-2019 - 00:00,"Muzaffarpur Collectorate, Muzaffarpur - BSPCB"
29-Aug-2019 - 00:00,33.53,0.81,41.82,11.31,69.23,23.03,2.6,237.73,81.42,700.69,97.2,-2.77,0.0,48.46,,,,30-Aug-2019 - 00:00,"Muzaffarpur Collectorate, Muzaffarpur - BSPCB"
30-Aug-2019 - 00:00,34.53,1.16,38.94,16.28,66.85,25.78,2.36,336.3,75.95,700.42,152.93,-2.77,0.0,35.3,,,,31-Aug-2019 - 00:00,"Muzaffarpur Collectorate, Muzaffarpur - BSPCB"
31-Aug-2019 - 00:00,34.54,1.04,36.26,23.57,47.99,26.13,2.97,334.32,76.5,708.34,135.81,-2.76,0.0,48.42,,,,01-Sep-2019 - 00:00,"Muzaffarpur Collectorate, Muzaffarpur - BSPCB"
01-Sep-2019 - 00:00,34.33,0.75,26.09,10.05,39.08,14.17,2.49,337.0,79.54,754.56,138.02,-2.76,0.0,45.44,,,,02-Sep-2019 - 00:00,"Muzaffarpur Collectorate, Muzaffarpur - BSPCB"
02-Sep-2019 - 00:00,35.14,0.58,35.71,10.2,37.92,13.29,2.27,336.95,74.12,754.39,184.81,-2.72,0.0,33.07,,,,03-Sep-2019 - 00:00,"Muzaffarpur Collectorate, Muzaffarpur - BSPCB"
03-Sep-2019 - 00:00,33.7,1.13,39.04,16.24,34.23,16.25,3.78,337.0,79.13,750.62,146.92,-2.78,0.0,23.5,,,,04-Sep-2019 - 00:00,"Muzaffarpur Collectorate, Muzaffarpur - BSPCB"
