from date,AT,Benzene,BP,CO,NH3,NO,NO2,NOx,Ozone,PM10,PM2.5,RH,SO2,SR,WD,WS,VWS,Toluene,to date,station
22-Mar-2019 - 00:00,20.45,,989.82,0.95,20.61,7.83,60.87,38.76,64.36,124.85,48.01,38.77,7.6,100.69,216.78,1.1,,,23-Mar-2019 - 00:00,"R K Puram, Delhi - DPCC"
23-Mar-2019 - 00:00,21.49,,989.82,1.04,19.66,6.03,61.74,37.76,78.46,140.69,63.2,38.96,6.86,127.73,213.33,1.56,,,24-Mar-2019 - 00:00,"R K Puram, Delhi - DPCC"
24-Mar-2019 - 00:00,21.95,,989.81,1.21,19.69,11.68,67.85,45.63,54.03,132.89,70.76,42.91,6.74,131.91,219.21,1.13,,,25-Mar-2019 - 00:00,"R K Puram, Delhi - DPCC"
25-Mar-2019 - 00:00,21.02,,989.8,1.29,21.07,14.35,65.65,46.61,49.34,148.82,82.51,49.9,8.97,123.5,214.54,1.06,,,26-Mar-2019 - 00:00,"R K Puram, Delhi - DPCC"
26-Mar-2019 - 00:00,20.12,,989.78,1.49,19.73,26.77,75.24,61.29,44.89,179.62,94.99,50.34,7.6,112.64,216.79,0.89,0.0,,27-Mar-2019 - 00:00,"R K Puram, Delhi - DPCC"
27-Mar-2019 - 00:00,22.19,,989.82,1.52,18.94,41.49,75.58,74.02,61.03,178.53,81.11,42.76,9.59,126.78,214.84,0.95,0.0,,28-Mar-2019 - 00:00,"R K Puram, Delhi - DPCC"
28-Mar-2019 - 00:00,24.45,,989.9,1.97,20.02,116.2,87.28,141.15,60.42,242.68,126.21,44.22,10.15,130.89,201.59,0.59,,,29-Mar-2019 - 00:00,"R K Puram, Delhi - DPCC"
29-Mar-2019 - 00:00,26.19,,989.96,2.01,25.45,142.55,77.4,157.38,47.83,242.68,160.57,48.57,8.13,126.33,207.6,0.63,0.0,,30-Mar-2019 - 00:00,"R K Puram, Delhi - DPCC"
30-Mar-2019 - 00:00,28.02,,989.97,1.55,28.05,83.16,79.03,109.82,51.56,211.49,66.5,43.7,7.93,123.82,197.95,0.7,0.02,,31-Mar-2019 - 00:00,"R K Puram, Delhi - DPCC"
31-Mar-2019 - 00:00,26.47,,989.81,1.07,24.62,23.74,66.15,54.54,53.83,167.92,55.91,35.16,7.94,136.76,208.91,1.19,,,01-Apr-2019 - 00:00,"R K Puram, Delhi - DPCC"
01-Apr-2019 - 00:00,24.76,,989.82,1.31,20.12,12.14,69.23,46.71,59.67,177.25,56.1,32.57,13.98,139.15,217.03,1.43,,,02-Apr-2019 - 00:00,"R K Puram, Delhi - DPCC"
02-Apr-2019 - 00:00,24.95,,989.89,1.52,20.35,45.18,87.51,83.37,53.68,244.36,49.13,35.06,12.16,135.14,210.04,0.65,,,03-Apr-2019 - 00:00,"R K Puram, Delhi - DPCC"
03-Apr-2019 - 00:00,25.48,,989.96,1.18,21.29,91.57,89.4,122.21,50.92,249.84,44.6,36.24,12.2,135.75,208.27,0.76,0.0,,04-Apr-2019 - 00:00,"R K Puram, Delhi - DPCC"
04-Apr-2019 - 00:00,27.38,,989.88,2.09,23.52,144.11,85.55,162.96,57.73,274.83,58.65,40.42,12.31,130.43,199.66,0.65,0.01,,05-Apr-2019 - 00:00,"R K Puram, Delhi - DPCC"
05-Apr-2019 - 00:00,28.75,,989.81,1.58,25.33,121.42,86.96,145.24,57.33,294.24,60.47,39.01,14.13,126.07,202.51,0.72,0.07,,06-Apr-2019 - 00:00,"R K Puram, Delhi - DPCC"
06-Apr-2019 - 00:00,29.59,,989.81,,24.82,69.69,75.66,97.06,47.66,324.66,60.74,33.21,12.74,124.63,191.65,0.71,0.05,,07-Apr-2019 - 00:00,"R K Puram, Delhi - DPCC"
07-Apr-2019 - 00:00,27.14,,989.88,,30.55,60.56,66.93,84.97,43.47,297.12,73.9,50.7,6.49,118.45,150.01,1.43,0.19,,08-Apr-2019 - 00:00,"R K Puram, Delhi - DPCC"
08-Apr-2019 - 00:00,25.92,,989.75,1.44,27.24,23.33,63.64,52.86,47.65,268.28,69.78,46.42,7.82,126.75,152.68,0.91,0.03,,09-Apr-2019 - 00:00,"R K Puram, Delhi - DPCC"
09-Apr-2019 - 00:00,27.13,,989.78,1.95,25.85,62.63,74.38,90.63,59.68,226.5,63.38,43.26,11.3,129.24,158.86,0.67,0.03,,10-Apr-2019 - 00:00,"R K Puram, Delhi - DPCC"
10-Apr-2019 - 00:00,29.22,,989.83,1.7,25.33,96.83,69.61,115.97,50.97,228.69,60.0,39.48,10.14,130.06,206.6,0.68,0.0,,11-Apr-2019 - 00:00,"R K Puram, Delhi - DPCC"
11-Apr-2019 - 00:00,30.22,,989.84,1.65,24.02,43.26,67.53,71.19,50.0,224.53,60.71,32.56,13.11,128.5,203.93,0.56,,,12-Apr-2019 - 00:00,"R K Puram, Delhi - DPCC"
12-Apr-2019 - 00:00,28.66,,989.81,1.48,23.63,24.11,60.46,51.8,50.65,234.59,61.7,34.77,10.26,121.16,188.31,0.89,0.0,,13-Apr-2019 - 00:00,"R K Puram, Delhi - DPCC"
13-Apr-2019 - 00:00,29.48,,989.85,1.23,31.35,20.11,58.51,46.97,50.65,179.61,61.51,31.95,9.64,135.04,201.06,0.88,,,14-Apr-2019 - 00:00,"R K Puram, Delhi - DPCC"
14-Apr-2019 - 00:00,29.88,,989.82,1.46,24.5,25.53,63.09,54.37,43.77,174.96,58.47,30.46,12.3,133.56,209.79,0.82,,,15-Apr-2019 - 00:00,"R K Puram, Delhi - DPCC"
15-Apr-2019 - 00:00,31.19,,989.84,1.82,24.7,70.31,70.21,94.67,44.07,251.95,62.48,29.12,13.6,136.68,212.12,0.76,,,16-Apr-2019 - 00:00,"R K Puram, Delhi - DPCC"
16-Apr-2019 - 00:00,23.0,,989.97,1.25,26.6,21.6,52.13,45.34,48.75,142.6,45.92,50.2,7.7,88.49,173.99,2.18,0.11,,17-Apr-2019 - 00:00,"R K Puram, Delhi - DPCC"
17-Apr-2019 - 00:00,20.17,,989.85,1.22,23.93,1.85,34.72,19.98,61.51,52.31,35.45,57.28,5.93,110.57,174.76,1.83,0.11,,18-Apr-2019 - 00:00,"R K Puram, Delhi - DPCC"
18-Apr-2019 - 00:00,22.51,,989.96,1.46,22.79,11.4,59.32,40.83,59.69,96.96,46.97,48.63,9.73,135.82,174.12,0.94,0.04,,19-Apr-2019 - 00:00,"R K Puram, Delhi - DPCC"
19-Apr-2019 - 00:00,24.46,,989.9,1.35,24.25,30.94,67.34,61.04,55.39,166.27,59.2,41.86,14.87,141.13,214.51,0.78,,,20-Apr-2019 - 00:00,"R K Puram, Delhi - DPCC"
20-Apr-2019 - 00:00,26.3,,989.92,2.14,23.35,65.25,80.52,94.9,64.06,235.98,52.32,38.06,22.78,137.88,207.45,0.68,0.1,,21-Apr-2019 - 00:00,"R K Puram, Delhi - DPCC"
21-Apr-2019 - 00:00,28.56,,989.92,1.53,22.96,63.98,80.92,95.2,59.45,196.18,48.14,33.33,13.83,138.37,212.48,0.8,,,22-Apr-2019 - 00:00,"R K Puram, Delhi - DPCC"
22-Apr-2019 - 00:00,29.75,,989.9,2.47,31.84,127.1,90.88,149.73,58.69,268.81,56.93,37.97,14.87,132.92,196.02,0.6,0.0,,23-Apr-2019 - 00:00,"R K Puram, Delhi - DPCC"
23-Apr-2019 - 00:00,31.36,,989.94,2.21,32.28,114.55,88.53,140.46,49.0,274.5,50.15,38.7,11.97,97.05,194.12,0.65,0.0,,24-Apr-2019 - 00:00,"R K Puram, Delhi - DPCC"
24-Apr-2019 - 00:00,32.35,,989.95,2.0,35.52,37.85,77.52,72.11,71.02,271.98,71.58,34.15,9.59,134.14,156.16,1.04,0.07,,25-Apr-2019 - 00:00,"R K Puram, Delhi - DPCC"
25-Apr-2019 - 00:00,32.31,,989.93,1.21,36.0,10.64,65.98,43.73,76.56,276.3,66.26,35.76,8.4,125.79,156.11,1.18,0.05,,26-Apr-2019 - 00:00,"R K Puram, Delhi - DPCC"
26-Apr-2019 - 00:00,31.96,,989.88,0.01,30.95,60.65,82.47,93.32,53.26,271.07,62.1,28.56,13.75,133.53,200.29,0.66,,,27-Apr-2019 - 00:00,"R K Puram, Delhi - DPCC"
27-Apr-2019 - 00:00,32.3,,989.9,1.16,27.29,10.79,68.27,45.1,52.7,347.76,86.71,21.55,21.95,122.49,212.41,1.16,0.0,,28-Apr-2019 - 00:00,"R K Puram, Delhi - DPCC"
28-Apr-2019 - 00:00,32.52,,989.89,1.29,25.15,25.26,73.01,59.32,56.34,272.1,82.89,17.99,11.25,142.41,206.59,1.02,,,29-Apr-2019 - 00:00,"R K Puram, Delhi - DPCC"
29-Apr-2019 - 00:00,32.16,,989.89,2.1,23.77,61.57,84.49,100.55,51.89,284.22,77.5,21.67,13.03,144.64,203.47,0.65,,,30-Apr-2019 - 00:00,"R K Puram, Delhi - DPCC"
30-Apr-2019 - 00:00,36.92,,989.87,1.91,25.85,45.81,81.33,80.58,81.31,274.07,75.5,16.91,10.95,176.53,175.53,1.06,0.17,,01-May-2019 - 00:00,"R K Puram, Delhi - DPCC"
01-May-2019 - 00:00,32.18,,989.89,1.51,32.94,40.51,98.45,85.37,53.53,322.86,76.44,27.17,11.19,134.78,178.77,0.53,0.03,,02-May-2019 - 00:00,"R K Puram, Delhi - DPCC"
02-May-2019 - 00:00,30.4,,989.91,1.31,33.39,13.26,74.45,50.41,62.15,268.36,81.29,29.67,10.32,122.44,129.71,1.77,0.16,,03-May-2019 - 00:00,"R K Puram, Delhi - DPCC"
