from date,PM2.5,PM10,RH,VWS,BP,SR,AT,WS,WD,CO,SO2,Ozone,NO2,NO,NOx,Benzene,Xylene,Toluene,to date,station
24-Feb-2019 - 00:00,91.11,171.68,51.77,-0.47,739.43,118.26,20.53,1.07,164.07,0.68,26.84,91.0,61.31,7.03,21.99,1.04,6.56,2.65,25-Feb-2019 - 00:00,"Ardhali Bazar, Varanasi - UPPCB"
25-Feb-2019 - 00:00,111.2,206.2,53.74,-0.41,740.36,131.4,23.29,1.17,179.16,0.79,28.13,83.33,59.71,9.23,23.0,1.5,2.31,2.61,26-Feb-2019 - 00:00,"Ardhali Bazar, Varanasi - UPPCB"
26-Feb-2019 - 00:00,111.64,212.45,51.56,-0.4,740.8,122.0,25.36,1.62,206.25,0.79,34.56,71.67,71.81,19.14,32.97,1.83,8.99,4.25,27-Feb-2019 - 00:00,"Ardhali Bazar, Varanasi - UPPCB"
27-Feb-2019 - 00:00,70.47,145.49,60.41,-0.45,742.08,117.7,21.83,2.45,186.11,0.45,27.96,106.38,36.79,9.64,20.26,1.21,2.91,2.31,28-Feb-2019 - 00:00,"Ardhali Bazar, Varanasi - UPPCB"
28-Feb-2019 - 00:00,62.85,132.64,55.24,-0.48,737.59,118.95,19.04,2.11,150.91,0.48,16.75,103.55,27.19,18.52,21.76,0.85,3.49,2.68,01-Mar-2019 - 00:00,"Ardhali Bazar, Varanasi - UPPCB"
01-Mar-2019 - 00:00,89.51,190.22,45.86,-0.44,735.96,143.42,19.36,1.2,152.68,0.71,25.43,135.52,56.25,9.26,22.04,1.14,4.94,2.07,02-Mar-2019 - 00:00,"Ardhali Bazar, Varanasi - UPPCB"
02-Mar-2019 - 00:00,131.56,255.19,49.36,-0.39,736.11,130.54,21.19,1.25,176.38,0.76,22.43,118.96,62.73,24.97,34.25,2.21,4.7,3.65,03-Mar-2019 - 00:00,"Ardhali Bazar, Varanasi - UPPCB"
03-Mar-2019 - 00:00,105.79,198.34,55.42,-0.39,739.1,86.02,21.13,1.45,198.45,0.82,22.52,130.32,52.02,11.09,22.05,1.48,4.58,7.54,04-Mar-2019 - 00:00,"Ardhali Bazar, Varanasi - UPPCB"
04-Mar-2019 - 00:00,103.43,166.19,63.86,-0.4,742.15,131.82,23.83,1.0,182.59,0.89,18.68,125.14,43.43,8.58,17.96,1.5,12.92,3.38,05-Mar-2019 - 00:00,"Ardhali Bazar, Varanasi - UPPCB"
05-Mar-2019 - 00:00,125.06,243.89,60.15,-0.43,741.78,135.7,26.6,1.97,138.9,0.65,21.42,112.82,55.77,15.76,26.19,4.72,9.76,9.56,06-Mar-2019 - 00:00,"Ardhali Bazar, Varanasi - UPPCB"
06-Mar-2019 - 00:00,68.4,177.21,48.49,-0.46,739.55,137.83,24.41,2.65,146.33,0.49,33.91,109.89,53.53,7.34,19.99,1.81,8.27,3.79,07-Mar-2019 - 00:00,"Ardhali Bazar, Varanasi - UPPCB"
07-Mar-2019 - 00:00,81.21,213.94,45.2,-0.45,738.76,140.97,24.36,1.21,156.03,0.8,35.26,64.69,72.77,10.27,27.38,2.52,1.14,3.93,08-Mar-2019 - 00:00,"Ardhali Bazar, Varanasi - UPPCB"
08-Mar-2019 - 00:00,97.15,206.45,44.89,-0.46,737.42,182.64,25.96,1.79,148.18,0.53,29.83,85.02,79.88,25.68,34.88,3.75,3.58,6.98,09-Mar-2019 - 00:00,"Ardhali Bazar, Varanasi - UPPCB"
09-Mar-2019 - 00:00,57.35,246.34,34.39,-0.43,737.91,151.52,35.03,1.71,155.55,1.1,20.19,116.93,76.75,47.16,59.42,2.19,5.73,4.4,10-Mar-2019 - 00:00,"Ardhali Bazar, Varanasi - UPPCB"
10-Mar-2019 - 00:00,130.86,266.23,46.86,-0.42,737.42,130.65,29.98,2.02,144.32,0.73,18.13,101.81,74.29,21.87,35.47,4.01,1.25,7.32,11-Mar-2019 - 00:00,"Ardhali Bazar, Varanasi - UPPCB"
11-Mar-2019 - 00:00,130.19,260.01,43.57,-0.4,736.03,127.74,31.11,0.96,182.72,0.94,27.5,77.64,73.28,15.05,30.68,1.81,5.77,2.71,12-Mar-2019 - 00:00,"Ardhali Bazar, Varanasi - UPPCB"
12-Mar-2019 - 00:00,144.13,282.1,46.27,-0.41,737.09,136.0,33.71,1.68,175.26,0.87,32.17,75.86,78.73,23.78,37.99,3.18,3.4,9.26,13-Mar-2019 - 00:00,"Ardhali Bazar, Varanasi - UPPCB"
13-Mar-2019 - 00:00,105.19,228.77,43.75,-0.4,735.76,135.9,32.76,1.87,155.36,0.64,26.42,105.0,50.25,6.75,18.68,1.77,4.36,2.85,14-Mar-2019 - 00:00,"Ardhali Bazar, Varanasi - UPPCB"
14-Mar-2019 - 00:00,109.91,240.4,42.18,-0.4,735.72,92.22,32.94,2.01,152.19,0.61,20.73,94.08,54.95,7.43,20.46,2.38,5.46,4.2,15-Mar-2019 - 00:00,"Ardhali Bazar, Varanasi - UPPCB"
15-Mar-2019 - 00:00,123.34,226.11,56.12,-0.44,735.88,75.49,30.34,1.11,172.59,0.67,23.46,85.8,62.56,6.3,21.87,2.07,2.3,2.5,16-Mar-2019 - 00:00,"Ardhali Bazar, Varanasi - UPPCB"
16-Mar-2019 - 00:00,89.21,199.28,43.06,-0.47,735.15,125.51,29.46,2.45,143.65,0.51,10.68,88.58,40.68,6.07,15.52,1.82,1.13,2.84,17-Mar-2019 - 00:00,"Ardhali Bazar, Varanasi - UPPCB"
17-Mar-2019 - 00:00,102.02,213.31,47.62,-0.43,736.62,79.0,26.19,1.5,152.66,0.55,11.55,72.9,40.42,6.43,15.69,1.67,0.11,2.5,18-Mar-2019 - 00:00,"Ardhali Bazar, Varanasi - UPPCB"
18-Mar-2019 - 00:00,97.63,187.69,52.46,-0.44,736.96,126.22,29.27,1.45,151.22,0.69,13.39,86.04,59.02,26.25,33.84,1.55,0.0,6.57,19-Mar-2019 - 00:00,"Ardhali Bazar, Varanasi - UPPCB"
