from date,NOx,PM2.5,PM10,SO2,to date,station
23-Aug-2018 - 00:00,,,,,24-Aug-2018 - 00:00,"Shasthri Nagar, Ratlam - IPCA Lab"
24-Aug-2018 - 00:00,,,,,25-Aug-2018 - 00:00,"Shasthri Nagar, Ratlam - IPCA Lab"
25-Aug-2018 - 00:00,,,,,26-Aug-2018 - 00:00,"Shasthri Nagar, Ratlam - IPCA Lab"
26-Aug-2018 - 00:00,,,,,27-Aug-2018 - 00:00,"Shasthri Nagar, Ratlam - IPCA Lab"
27-Aug-2018 - 00:00,,,,,28-Aug-2018 - 00:00,"Shasthri Nagar, Ratlam - IPCA Lab"
28-Aug-2018 - 00:00,,,,,29-Aug-2018 - 00:00,"Shasthri Nagar, Ratlam - IPCA Lab"
29-Aug-2018 - 00:00,,,,,30-Aug-2018 - 00:00,"Shasthri Nagar, Ratlam - IPCA Lab"
30-Aug-2018 - 00:00,,,,,31-Aug-2018 - 00:00,"Shasthri Nagar, Ratlam - IPCA Lab"
31-Aug-2018 - 00:00,,,,,01-Sep-2018 - 00:00,"Shasthri Nagar, Ratlam - IPCA Lab"
01-Sep-2018 - 00:00,,,,,02-Sep-2018 - 00:00,"Shasthri Nagar, Ratlam - IPCA Lab"
02-Sep-2018 - 00:00,,,,,03-Sep-2018 - 00:00,"Shasthri Nagar, Ratlam - IPCA Lab"
03-Sep-2018 - 00:00,,,,,04-Sep-2018 - 00:00,"Shasthri Nagar, Ratlam - IPCA Lab"
04-Sep-2018 - 00:00,,,,,05-Sep-2018 - 00:00,"Shasthri Nagar, Ratlam - IPCA Lab"
05-Sep-2018 - 00:00,,,,,06-Sep-2018 - 00:00,"Shasthri Nagar, Ratlam - IPCA Lab"
06-Sep-2018 - 00:00,,,,,07-Sep-2018 - 00:00,"Shasthri Nagar, Ratlam - IPCA Lab"
07-Sep-2018 - 00:00,,,,,08-Sep-2018 - 00:00,"Shasthri Nagar, Ratlam - IPCA Lab"
08-Sep-2018 - 00:00,,,,,09-Sep-2018 - 00:00,"Shasthri Nagar, Ratlam - IPCA Lab"
09-Sep-2018 - 00:00,,,,,10-Sep-2018 - 00:00,"Shasthri Nagar, Ratlam - IPCA Lab"
10-Sep-2018 - 00:00,,,,,11-Sep-2018 - 00:00,"Shasthri Nagar, Ratlam - IPCA Lab"
11-Sep-2018 - 00:00,,,,,12-Sep-2018 - 00:00,"Shasthri Nagar, Ratlam - IPCA Lab"
12-Sep-2018 - 00:00,,,,,13-Sep-2018 - 00:00,"Shasthri Nagar, Ratlam - IPCA Lab"
13-Sep-2018 - 00:00,,,,,14-Sep-2018 - 00:00,"Shasthri Nagar, Ratlam - IPCA Lab"
14-Sep-2018 - 00:00,,,,,15-Sep-2018 - 00:00,"Shasthri Nagar, Ratlam - IPCA Lab"
15-Sep-2018 - 00:00,,,,,16-Sep-2018 - 00:00,"Shasthri Nagar, Ratlam - IPCA Lab"
16-Sep-2018 - 00:00,,,,,17-Sep-2018 - 00:00,"Shasthri Nagar, Ratlam - IPCA Lab"
17-Sep-2018 - 00:00,,,,,18-Sep-2018 - 00:00,"Shasthri Nagar, Ratlam - IPCA Lab"
18-Sep-2018 - 00:00,,,,,19-Sep-2018 - 00:00,"Shasthri Nagar, Ratlam - IPCA Lab"
19-Sep-2018 - 00:00,,,,,20-Sep-2018 - 00:00,"Shasthri Nagar, Ratlam - IPCA Lab"
20-Sep-2018 - 00:00,,,,,21-Sep-2018 - 00:00,"Shasthri Nagar, Ratlam - IPCA Lab"
21-Sep-2018 - 00:00,,,,,22-Sep-2018 - 00:00,"Shasthri Nagar, Ratlam - IPCA Lab"
22-Sep-2018 - 00:00,,,,,23-Sep-2018 - 00:00,"Shasthri Nagar, Ratlam - IPCA Lab"
23-Sep-2018 - 00:00,,,,,24-Sep-2018 - 00:00,"Shasthri Nagar, Ratlam - IPCA Lab"
24-Sep-2018 - 00:00,,,,,25-Sep-2018 - 00:00,"Shasthri Nagar, Ratlam - IPCA Lab"
25-Sep-2018 - 00:00,,,,,26-Sep-2018 - 00:00,"Shasthri Nagar, Ratlam - IPCA Lab"
26-Sep-2018 - 00:00,,,,,27-Sep-2018 - 00:00,"Shasthri Nagar, Ratlam - IPCA Lab"
27-Sep-2018 - 00:00,,,,,28-Sep-2018 - 00:00,"Shasthri Nagar, Ratlam - IPCA Lab"
28-Sep-2018 - 00:00,,,,,29-Sep-2018 - 00:00,"Shasthri Nagar, Ratlam - IPCA Lab"
29-Sep-2018 - 00:00,,,,,30-Sep-2018 - 00:00,"Shasthri Nagar, Ratlam - IPCA Lab"
30-Sep-2018 - 00:00,,,,,01-Oct-2018 - 00:00,"Shasthri Nagar, Ratlam - IPCA Lab"
01-Oct-2018 - 00:00,,,,,02-Oct-2018 - 00:00,"Shasthri Nagar, Ratlam - IPCA Lab"
02-Oct-2018 - 00:00,,,,,03-Oct-2018 - 00:00,"Shasthri Nagar, Ratlam - IPCA Lab"
03-Oct-2018 - 00:00,,,,,04-Oct-2018 - 00:00,"Shasthri Nagar, Ratlam - IPCA Lab"
04-Oct-2018 - 00:00,,,,,05-Oct-2018 - 00:00,"Shasthri Nagar, Ratlam - IPCA Lab"
05-Oct-2018 - 00:00,,,,,06-Oct-2018 - 00:00,"Shasthri Nagar, Ratlam - IPCA Lab"
06-Oct-2018 - 00:00,,,,,07-Oct-2018 - 00:00,"Shasthri Nagar, Ratlam - IPCA Lab"
07-Oct-2018 - 00:00,,,,,08-Oct-2018 - 00:00,"Shasthri Nagar, Ratlam - IPCA Lab"
08-Oct-2018 - 00:00,,,,,09-Oct-2018 - 00:00,"Shasthri Nagar, Ratlam - IPCA Lab"
09-Oct-2018 - 00:00,,,,,10-Oct-2018 - 00:00,"Shasthri Nagar, Ratlam - IPCA Lab"
10-Oct-2018 - 00:00,,,,,11-Oct-2018 - 00:00,"Shasthri Nagar, Ratlam - IPCA Lab"
11-Oct-2018 - 00:00,,,,,12-Oct-2018 - 00:00,"Shasthri Nagar, Ratlam - IPCA Lab"
12-Oct-2018 - 00:00,,,,,13-Oct-2018 - 00:00,"Shasthri Nagar, Ratlam - IPCA Lab"
13-Oct-2018 - 00:00,,,,,14-Oct-2018 - 00:00,"Shasthri Nagar, Ratlam - IPCA Lab"
14-Oct-2018 - 00:00,,,,,15-Oct-2018 - 00:00,"Shasthri Nagar, Ratlam - IPCA Lab"
15-Oct-2018 - 00:00,,,,,16-Oct-2018 - 00:00,"Shasthri Nagar, Ratlam - IPCA Lab"
16-Oct-2018 - 00:00,,,,,17-Oct-2018 - 00:00,"Shasthri Nagar, Ratlam - IPCA Lab"
17-Oct-2018 - 00:00,,,,,18-Oct-2018 - 00:00,"Shasthri Nagar, Ratlam - IPCA Lab"
18-Oct-2018 - 00:00,,,,,19-Oct-2018 - 00:00,"Shasthri Nagar, Ratlam - IPCA Lab"
19-Oct-2018 - 00:00,,,,,20-Oct-2018 - 00:00,"Shasthri Nagar, Ratlam - IPCA Lab"
20-Oct-2018 - 00:00,,,,,21-Oct-2018 - 00:00,"Shasthri Nagar, Ratlam - IPCA Lab"
21-Oct-2018 - 00:00,,,,,22-Oct-2018 - 00:00,"Shasthri Nagar, Ratlam - IPCA Lab"
22-Oct-2018 - 00:00,,,,,23-Oct-2018 - 00:00,"Shasthri Nagar, Ratlam - IPCA Lab"
23-Oct-2018 - 00:00,,,,,24-Oct-2018 - 00:00,"Shasthri Nagar, Ratlam - IPCA Lab"
24-Oct-2018 - 00:00,,,,,25-Oct-2018 - 00:00,"Shasthri Nagar, Ratlam - IPCA Lab"
25-Oct-2018 - 00:00,,,,,26-Oct-2018 - 00:00,"Shasthri Nagar, Ratlam - IPCA Lab"
26-Oct-2018 - 00:00,,,,,27-Oct-2018 - 00:00,"Shasthri Nagar, Ratlam - IPCA Lab"
27-Oct-2018 - 00:00,,,,,28-Oct-2018 - 00:00,"Shasthri Nagar, Ratlam - IPCA Lab"
28-Oct-2018 - 00:00,,,,,29-Oct-2018 - 00:00,"Shasthri Nagar, Ratlam - IPCA Lab"
29-Oct-2018 - 00:00,,,,,30-Oct-2018 - 00:00,"Shasthri Nagar, Ratlam - IPCA Lab"
30-Oct-2018 - 00:00,,,,,31-Oct-2018 - 00:00,"Shasthri Nagar, Ratlam - IPCA Lab"
31-Oct-2018 - 00:00,,,,,01-Nov-2018 - 00:00,"Shasthri Nagar, Ratlam - IPCA Lab"
01-Nov-2018 - 00:00,,,,,02-Nov-2018 - 00:00,"Shasthri Nagar, Ratlam - IPCA Lab"
02-Nov-2018 - 00:00,,,,,03-Nov-2018 - 00:00,"Shasthri Nagar, Ratlam - IPCA Lab"
03-Nov-2018 - 00:00,,,,,04-Nov-2018 - 00:00,"Shasthri Nagar, Ratlam - IPCA Lab"
04-Nov-2018 - 00:00,,,,,05-Nov-2018 - 00:00,"Shasthri Nagar, Ratlam - IPCA Lab"
05-Nov-2018 - 00:00,,,,,06-Nov-2018 - 00:00,"Shasthri Nagar, Ratlam - IPCA Lab"
06-Nov-2018 - 00:00,,,,,07-Nov-2018 - 00:00,"Shasthri Nagar, Ratlam - IPCA Lab"
07-Nov-2018 - 00:00,,,,,08-Nov-2018 - 00:00,"Shasthri Nagar, Ratlam - IPCA Lab"
08-Nov-2018 - 00:00,,,,,09-Nov-2018 - 00:00,"Shasthri Nagar, Ratlam - IPCA Lab"
09-Nov-2018 - 00:00,,,,,10-Nov-2018 - 00:00,"Shasthri Nagar, Ratlam - IPCA Lab"
10-Nov-2018 - 00:00,,,,,11-Nov-2018 - 00:00,"Shasthri Nagar, Ratlam - IPCA Lab"
11-Nov-2018 - 00:00,,,,,12-Nov-2018 - 00:00,"Shasthri Nagar, Ratlam - IPCA Lab"
12-Nov-2018 - 00:00,,,,,13-Nov-2018 - 00:00,"Shasthri Nagar, Ratlam - IPCA Lab"
13-Nov-2018 - 00:00,,,,,14-Nov-2018 - 00:00,"Shasthri Nagar, Ratlam - IPCA Lab"
14-Nov-2018 - 00:00,,,,,15-Nov-2018 - 00:00,"Shasthri Nagar, Ratlam - IPCA Lab"
15-Nov-2018 - 00:00,,,,,16-Nov-2018 - 00:00,"Shasthri Nagar, Ratlam - IPCA Lab"
16-Nov-2018 - 00:00,,,,,17-Nov-2018 - 00:00,"Shasthri Nagar, Ratlam - IPCA Lab"
17-Nov-2018 - 00:00,,,,,18-Nov-2018 - 00:00,"Shasthri Nagar, Ratlam - IPCA Lab"
18-Nov-2018 - 00:00,,,,,19-Nov-2018 - 00:00,"Shasthri Nagar, Ratlam - IPCA Lab"
19-Nov-2018 - 00:00,,,,,20-Nov-2018 - 00:00,"Shasthri Nagar, Ratlam - IPCA Lab"
20-Nov-2018 - 00:00,,,,,21-Nov-2018 - 00:00,"Shasthri Nagar, Ratlam - IPCA Lab"
21-Nov-2018 - 00:00,,,,,22-Nov-2018 - 00:00,"Shasthri Nagar, Ratlam - IPCA Lab"
22-Nov-2018 - 00:00,,,,,23-Nov-2018 - 00:00,"Shasthri Nagar, Ratlam - IPCA Lab"
23-Nov-2018 - 00:00,,,,,24-Nov-2018 - 00:00,"Shasthri Nagar, Ratlam - IPCA Lab"
24-Nov-2018 - 00:00,,,,,25-Nov-2018 - 00:00,"Shasthri Nagar, Ratlam - IPCA Lab"
25-Nov-2018 - 00:00,,,,,26-Nov-2018 - 00:00,"Shasthri Nagar, Ratlam - IPCA Lab"
26-Nov-2018 - 00:00,,,,,27-Nov-2018 - 00:00,"Shasthri Nagar, Ratlam - IPCA Lab"
27-Nov-2018 - 00:00,,,,,28-Nov-2018 - 00:00,"Shasthri Nagar, Ratlam - IPCA Lab"
28-Nov-2018 - 00:00,,,,,29-Nov-2018 - 00:00,"Shasthri Nagar, Ratlam - IPCA Lab"
29-Nov-2018 - 00:00,,,,,30-Nov-2018 - 00:00,"Shasthri Nagar, Ratlam - IPCA Lab"
30-Nov-2018 - 00:00,,,,,01-Dec-2018 - 00:00,"Shasthri Nagar, Ratlam - IPCA Lab"
01-Dec-2018 - 00:00,,,,,02-Dec-2018 - 00:00,"Shasthri Nagar, Ratlam - IPCA Lab"
02-Dec-2018 - 00:00,,,,,03-Dec-2018 - 00:00,"Shasthri Nagar, Ratlam - IPCA Lab"
03-Dec-2018 - 00:00,,,,,04-Dec-2018 - 00:00,"Shasthri Nagar, Ratlam - IPCA Lab"
04-Dec-2018 - 00:00,,,,,05-Dec-2018 - 00:00,"Shasthri Nagar, Ratlam - IPCA Lab"
05-Dec-2018 - 00:00,,,,,06-Dec-2018 - 00:00,"Shasthri Nagar, Ratlam - IPCA Lab"
06-Dec-2018 - 00:00,,,,,07-Dec-2018 - 00:00,"Shasthri Nagar, Ratlam - IPCA Lab"
07-Dec-2018 - 00:00,,,,,08-Dec-2018 - 00:00,"Shasthri Nagar, Ratlam - IPCA Lab"
08-Dec-2018 - 00:00,,,,,09-Dec-2018 - 00:00,"Shasthri Nagar, Ratlam - IPCA Lab"
09-Dec-2018 - 00:00,,,,,10-Dec-2018 - 00:00,"Shasthri Nagar, Ratlam - IPCA Lab"
10-Dec-2018 - 00:00,,,,,11-Dec-2018 - 00:00,"Shasthri Nagar, Ratlam - IPCA Lab"
11-Dec-2018 - 00:00,,,,,12-Dec-2018 - 00:00,"Shasthri Nagar, Ratlam - IPCA Lab"
12-Dec-2018 - 00:00,,,,,13-Dec-2018 - 00:00,"Shasthri Nagar, Ratlam - IPCA Lab"
13-Dec-2018 - 00:00,,,,,14-Dec-2018 - 00:00,"Shasthri Nagar, Ratlam - IPCA Lab"
14-Dec-2018 - 00:00,,,,,15-Dec-2018 - 00:00,"Shasthri Nagar, Ratlam - IPCA Lab"
15-Dec-2018 - 00:00,,,,,16-Dec-2018 - 00:00,"Shasthri Nagar, Ratlam - IPCA Lab"
16-Dec-2018 - 00:00,,,,,17-Dec-2018 - 00:00,"Shasthri Nagar, Ratlam - IPCA Lab"
17-Dec-2018 - 00:00,,,,,18-Dec-2018 - 00:00,"Shasthri Nagar, Ratlam - IPCA Lab"
18-Dec-2018 - 00:00,,,,,19-Dec-2018 - 00:00,"Shasthri Nagar, Ratlam - IPCA Lab"
19-Dec-2018 - 00:00,,,,,20-Dec-2018 - 00:00,"Shasthri Nagar, Ratlam - IPCA Lab"
20-Dec-2018 - 00:00,,,,,21-Dec-2018 - 00:00,"Shasthri Nagar, Ratlam - IPCA Lab"
21-Dec-2018 - 00:00,,,,,22-Dec-2018 - 00:00,"Shasthri Nagar, Ratlam - IPCA Lab"
22-Dec-2018 - 00:00,,,,,23-Dec-2018 - 00:00,"Shasthri Nagar, Ratlam - IPCA Lab"
23-Dec-2018 - 00:00,,,,,24-Dec-2018 - 00:00,"Shasthri Nagar, Ratlam - IPCA Lab"
24-Dec-2018 - 00:00,,,,,25-Dec-2018 - 00:00,"Shasthri Nagar, Ratlam - IPCA Lab"
25-Dec-2018 - 00:00,,,,,26-Dec-2018 - 00:00,"Shasthri Nagar, Ratlam - IPCA Lab"
26-Dec-2018 - 00:00,,,,,27-Dec-2018 - 00:00,"Shasthri Nagar, Ratlam - IPCA Lab"
27-Dec-2018 - 00:00,114.82,85.25,230.41,6.66,28-Dec-2018 - 00:00,"Shasthri Nagar, Ratlam - IPCA Lab"
28-Dec-2018 - 00:00,84.6,60.41,144.97,7.4,29-Dec-2018 - 00:00,"Shasthri Nagar, Ratlam - IPCA Lab"
29-Dec-2018 - 00:00,62.12,58.74,146.8,7.4,30-Dec-2018 - 00:00,"Shasthri Nagar, Ratlam - IPCA Lab"
30-Dec-2018 - 00:00,49.12,52.72,137.8,6.66,31-Dec-2018 - 00:00,"Shasthri Nagar, Ratlam - IPCA Lab"
31-Dec-2018 - 00:00,32.19,51.95,111.66,6.91,01-Jan-2019 - 00:00,"Shasthri Nagar, Ratlam - IPCA Lab"
