from date,NO2,NO,NOx,SO2,CO,PM2.5,AT,RH,WS,VWS,WD,BP,SR,RF,Benzene,Toluene,Ozone,to date,station
11-Aug-2018 - 00:00,7.61,,4.0,8.34,1.99,50.61,34.1,70.64,0.3,-0.3,129.71,741.79,21.59,0.0,0.28,0.66,4.24,12-Aug-2018 - 00:00,"Nishant Ganj, Lucknow - UPPCB"
12-Aug-2018 - 00:00,7.6,,4.0,8.49,2.22,26.82,33.43,73.78,0.3,-0.3,148.7,740.95,21.21,0.01,0.3,0.59,4.33,13-Aug-2018 - 00:00,"Nishant Ganj, Lucknow - UPPCB"
13-Aug-2018 - 00:00,41.16,42.15,32.99,6.6,1.93,31.2,33.78,70.69,0.3,-0.3,183.68,741.53,46.68,0.0,0.29,0.75,29.68,14-Aug-2018 - 00:00,"Nishant Ganj, Lucknow - UPPCB"
14-Aug-2018 - 00:00,44.6,32.76,50.57,8.82,2.16,26.34,34.39,66.82,0.3,-0.3,205.99,741.76,56.7,0.0,0.28,1.14,45.76,15-Aug-2018 - 00:00,"Nishant Ganj, Lucknow - UPPCB"
15-Aug-2018 - 00:00,33.25,24.44,37.17,10.46,1.73,33.83,34.37,70.85,0.3,-0.3,201.22,742.43,57.22,0.0,0.26,0.62,4.53,16-Aug-2018 - 00:00,"Nishant Ganj, Lucknow - UPPCB"
16-Aug-2018 - 00:00,31.27,7.47,22.26,6.71,1.29,22.85,35.77,60.9,0.3,-0.3,137.6,742.2,43.5,0.0,0.2,0.69,2.71,17-Aug-2018 - 00:00,"Nishant Ganj, Lucknow - UPPCB"
17-Aug-2018 - 00:00,28.45,9.23,22.3,9.95,1.38,28.84,35.48,63.08,0.3,-0.3,139.93,741.89,126.29,0.0,0.21,3.94,4.37,18-Aug-2018 - 00:00,"Nishant Ganj, Lucknow - UPPCB"
18-Aug-2018 - 00:00,29.19,15.71,27.88,11.05,1.49,32.48,36.04,58.64,0.3,-0.3,138.94,741.73,165.19,0.0,0.22,0.65,5.37,19-Aug-2018 - 00:00,"Nishant Ganj, Lucknow - UPPCB"
19-Aug-2018 - 00:00,22.98,13.43,22.34,11.83,1.63,25.91,35.26,63.39,0.29,-0.3,138.75,741.54,23.11,0.0,0.27,0.81,6.37,20-Aug-2018 - 00:00,"Nishant Ganj, Lucknow - UPPCB"
20-Aug-2018 - 00:00,22.29,13.36,22.48,12.03,1.62,19.45,34.65,65.59,0.29,-0.3,83.55,742.57,35.68,0.01,0.27,0.73,7.92,21-Aug-2018 - 00:00,"Nishant Ganj, Lucknow - UPPCB"
21-Aug-2018 - 00:00,20.48,13.05,21.32,11.82,0.99,18.7,34.84,64.08,0.3,-0.3,139.98,742.18,12.28,0.0,0.2,0.51,7.91,22-Aug-2018 - 00:00,"Nishant Ganj, Lucknow - UPPCB"
22-Aug-2018 - 00:00,20.01,9.05,18.01,11.72,1.23,25.45,34.71,64.86,0.3,-0.3,151.0,741.98,123.86,0.0,0.2,0.34,9.33,23-Aug-2018 - 00:00,"Nishant Ganj, Lucknow - UPPCB"
