from date,Xylene,VWS,WD,RH,BP,SR,NO,NO2,NOx,Ozone,PM2.5,Temp,Rack Temp,CO,WS,SO2,Toluene,Eth-Benzene,MP-Xylene,O Xylene,Benzene,to date,station
11-Feb-2018 - 00:00,,-0.1,143.07,28.66,,62.7,20.88,35.95,35.83,35.09,146.9,18.41,,0.69,1.35,14.44,7.76,1.08,1.85,0.85,4.62,12-Feb-2018 - 00:00,"NSIT Dwarka, Delhi - CPCB"
12-Feb-2018 - 00:00,,-0.18,158.71,62.83,,56.56,11.42,24.11,21.97,37.28,70.02,18.87,,0.4,2.05,5.3,0.89,0.26,0.0,0.0,0.75,13-Feb-2018 - 00:00,"NSIT Dwarka, Delhi - CPCB"
13-Feb-2018 - 00:00,,0.09,236.68,68.19,,79.41,18.46,30.78,31.14,26.42,95.07,19.51,,0.54,0.89,5.73,5.28,0.95,1.16,0.39,1.61,14-Feb-2018 - 00:00,"NSIT Dwarka, Delhi - CPCB"
14-Feb-2018 - 00:00,,0.19,303.48,61.22,,78.92,11.79,23.33,21.84,30.23,86.49,19.29,,0.41,1.34,4.2,2.4,0.5,0.23,0.08,0.99,15-Feb-2018 - 00:00,"NSIT Dwarka, Delhi - CPCB"
15-Feb-2018 - 00:00,,0.26,300.55,63.07,,71.39,11.5,25.94,22.99,31.27,98.59,19.72,,0.47,1.22,5.86,3.82,0.65,0.64,0.3,1.44,16-Feb-2018 - 00:00,"NSIT Dwarka, Delhi - CPCB"
16-Feb-2018 - 00:00,,0.21,273.57,66.34,,77.22,14.32,28.94,26.84,30.47,124.03,20.19,,0.54,0.9,9.22,4.76,0.84,0.73,0.26,1.94,17-Feb-2018 - 00:00,"NSIT Dwarka, Delhi - CPCB"
17-Feb-2018 - 00:00,,0.31,264.28,63.09,,77.68,13.69,30.07,26.94,31.3,135.36,21.5,,0.49,0.93,9.62,5.79,0.84,0.91,0.4,1.95,18-Feb-2018 - 00:00,"NSIT Dwarka, Delhi - CPCB"
18-Feb-2018 - 00:00,,0.46,217.42,52.85,,106.32,21.44,26.12,31.03,36.21,146.08,23.87,,0.53,0.84,11.09,4.59,1.09,1.66,0.77,2.35,19-Feb-2018 - 00:00,"NSIT Dwarka, Delhi - CPCB"
19-Feb-2018 - 00:00,,0.25,233.3,48.48,,100.25,32.56,28.6,41.26,26.0,165.13,23.98,,0.73,0.67,14.44,7.36,1.53,3.4,1.48,3.56,20-Feb-2018 - 00:00,"NSIT Dwarka, Delhi - CPCB"
20-Feb-2018 - 00:00,,0.08,232.48,54.56,,107.61,28.85,28.67,38.33,23.28,177.76,24.38,,0.69,0.72,13.53,9.16,1.78,3.15,1.37,3.05,21-Feb-2018 - 00:00,"NSIT Dwarka, Delhi - CPCB"
21-Feb-2018 - 00:00,,0.03,173.81,48.8,,95.53,53.17,38.29,62.9,28.32,221.85,27.1,,0.97,0.58,16.46,19.27,3.23,6.87,3.14,5.69,22-Feb-2018 - 00:00,"NSIT Dwarka, Delhi - CPCB"
22-Feb-2018 - 00:00,,-0.55,180.47,55.24,,102.85,26.32,29.03,36.49,9.37,186.98,28.03,,0.7,0.62,18.32,11.09,1.46,2.48,1.13,3.34,23-Feb-2018 - 00:00,"NSIT Dwarka, Delhi - CPCB"
23-Feb-2018 - 00:00,,-0.42,122.59,49.05,,91.08,24.89,24.63,33.01,9.12,163.42,28.77,,0.62,0.69,16.73,15.96,1.76,3.04,1.58,3.74,24-Feb-2018 - 00:00,"NSIT Dwarka, Delhi - CPCB"
24-Feb-2018 - 00:00,,0.03,141.87,43.76,,80.18,16.04,31.26,29.46,32.81,146.97,29.36,,0.78,0.81,18.71,7.19,1.16,1.96,0.91,2.88,25-Feb-2018 - 00:00,"NSIT Dwarka, Delhi - CPCB"
25-Feb-2018 - 00:00,,0.26,191.82,52.31,,77.44,12.62,23.66,22.69,28.63,100.93,28.12,,0.63,1.28,14.24,4.14,0.77,0.72,0.36,1.81,26-Feb-2018 - 00:00,"NSIT Dwarka, Delhi - CPCB"
26-Feb-2018 - 00:00,,0.37,320.64,59.04,,75.98,10.41,18.17,18.0,27.26,66.9,27.23,,0.52,1.51,7.91,2.22,0.43,0.33,0.12,0.98,27-Feb-2018 - 00:00,"NSIT Dwarka, Delhi - CPCB"
