from date,Xylene,VWS,WD,RH,BP,SR,NO,NO2,NOx,Ozone,PM2.5,Temp,Rack Temp,CO,WS,SO2,Toluene,Eth-Benzene,MP-Xylene,O Xylene,Benzene,to date,station
16-Nov-2018 - 00:00,,0.04,295.67,65.56,,56.71,8.37,38.32,27.08,39.2,124.18,23.61,,0.53,1.1,12.29,4.91,0.83,0.38,0.2,1.27,17-Nov-2018 - 00:00,"NSIT Dwarka, Delhi - CPCB"
17-Nov-2018 - 00:00,,-0.02,247.48,69.5,,53.39,24.34,46.32,44.1,28.21,114.76,22.98,,0.74,0.74,15.66,8.68,1.35,2.46,0.9,2.75,18-Nov-2018 - 00:00,"NSIT Dwarka, Delhi - CPCB"
18-Nov-2018 - 00:00,,-0.08,163.58,59.44,,55.88,25.08,52.92,48.22,40.61,130.66,23.97,,0.63,0.82,17.25,9.82,3.2,2.82,0.83,3.29,19-Nov-2018 - 00:00,"NSIT Dwarka, Delhi - CPCB"
19-Nov-2018 - 00:00,,-0.07,154.23,57.44,,46.09,8.63,50.58,33.75,61.67,137.04,25.18,,0.58,1.46,18.39,7.21,1.37,1.31,0.41,2.15,20-Nov-2018 - 00:00,"NSIT Dwarka, Delhi - CPCB"
20-Nov-2018 - 00:00,,0.22,200.15,71.57,,52.16,22.16,60.85,50.06,37.43,172.52,24.76,,0.87,0.63,16.34,15.61,2.69,3.31,1.24,5.59,21-Nov-2018 - 00:00,"NSIT Dwarka, Delhi - CPCB"
21-Nov-2018 - 00:00,,0.11,242.59,53.36,,60.69,24.17,45.2,43.38,29.14,163.25,23.51,,0.74,0.68,16.67,9.25,2.17,1.62,0.53,4.78,22-Nov-2018 - 00:00,"NSIT Dwarka, Delhi - CPCB"
22-Nov-2018 - 00:00,,0.05,195.01,48.25,,50.01,64.45,55.07,80.85,25.3,137.19,23.36,,1.01,0.53,24.96,17.71,4.08,6.22,2.44,5.01,23-Nov-2018 - 00:00,"NSIT Dwarka, Delhi - CPCB"
23-Nov-2018 - 00:00,,0.18,262.73,51.07,,41.36,45.41,49.84,62.84,25.1,190.65,23.41,,0.81,0.91,27.63,17.02,3.03,3.83,1.56,5.56,24-Nov-2018 - 00:00,"NSIT Dwarka, Delhi - CPCB"
24-Nov-2018 - 00:00,,0.29,280.84,47.29,,52.56,13.84,43.55,34.23,30.12,108.6,23.54,,0.53,1.03,15.31,7.54,1.15,1.01,0.42,1.75,25-Nov-2018 - 00:00,"NSIT Dwarka, Delhi - CPCB"
25-Nov-2018 - 00:00,,0.25,222.43,54.81,,50.08,48.26,50.23,65.32,29.32,105.23,22.69,,0.88,0.65,18.6,15.87,2.94,4.91,2.35,4.41,26-Nov-2018 - 00:00,"NSIT Dwarka, Delhi - CPCB"
26-Nov-2018 - 00:00,,-0.03,202.49,62.54,,50.61,61.55,56.65,79.37,30.09,130.89,22.7,,1.02,0.6,25.06,17.17,3.45,5.22,2.38,6.82,27-Nov-2018 - 00:00,"NSIT Dwarka, Delhi - CPCB"
27-Nov-2018 - 00:00,,-0.03,174.98,66.2,,58.52,114.73,64.01,125.83,22.5,104.54,23.22,,1.56,0.65,26.71,29.12,10.01,13.78,6.17,9.44,28-Nov-2018 - 00:00,"NSIT Dwarka, Delhi - CPCB"
28-Nov-2018 - 00:00,,0.04,168.75,68.47,,47.7,65.94,52.32,80.45,24.73,100.38,23.54,,1.19,0.48,11.51,23.49,4.28,7.87,3.42,7.39,29-Nov-2018 - 00:00,"NSIT Dwarka, Delhi - CPCB"
29-Nov-2018 - 00:00,,0.09,233.34,72.66,,58.02,49.1,42.23,61.74,22.61,131.24,22.86,,0.98,0.63,6.35,24.88,3.47,6.18,2.67,8.39,30-Nov-2018 - 00:00,"NSIT Dwarka, Delhi - CPCB"
30-Nov-2018 - 00:00,,0.1,245.07,67.41,,61.83,25.23,38.74,40.79,22.57,102.56,22.59,,0.78,0.68,7.88,13.69,2.25,2.19,1.3,5.65,01-Dec-2018 - 00:00,"NSIT Dwarka, Delhi - CPCB"
01-Dec-2018 - 00:00,,0.09,232.44,62.71,,58.92,33.06,37.57,46.43,24.26,79.52,22.14,,0.75,0.69,6.13,13.34,2.09,3.4,1.4,4.61,02-Dec-2018 - 00:00,"NSIT Dwarka, Delhi - CPCB"
02-Dec-2018 - 00:00,,0.07,191.13,58.89,,56.55,79.0,43.98,83.41,27.43,76.48,21.92,,1.26,0.54,15.48,25.63,5.6,9.25,4.34,9.13,03-Dec-2018 - 00:00,"NSIT Dwarka, Delhi - CPCB"
03-Dec-2018 - 00:00,,0.13,186.49,62.23,,54.56,70.46,43.59,79.55,19.36,85.75,21.65,,1.17,0.6,13.98,23.4,3.82,7.87,3.38,8.92,04-Dec-2018 - 00:00,"NSIT Dwarka, Delhi - CPCB"
04-Dec-2018 - 00:00,,0.15,196.32,66.86,,55.35,72.24,41.91,80.08,19.35,125.64,21.58,,1.17,0.54,13.53,23.21,3.84,7.29,2.92,7.8,05-Dec-2018 - 00:00,"NSIT Dwarka, Delhi - CPCB"
05-Dec-2018 - 00:00,,0.2,218.12,69.27,,53.15,81.41,40.3,86.56,18.1,110.96,21.41,,1.26,0.63,15.06,27.13,4.12,7.92,3.32,8.72,06-Dec-2018 - 00:00,"NSIT Dwarka, Delhi - CPCB"
06-Dec-2018 - 00:00,,0.13,184.24,64.37,,52.66,74.73,45.48,83.98,27.85,93.87,21.21,,1.16,0.55,14.1,23.96,3.64,7.65,3.31,9.17,07-Dec-2018 - 00:00,"NSIT Dwarka, Delhi - CPCB"
07-Dec-2018 - 00:00,,0.11,206.3,65.9,,51.24,61.59,38.67,69.84,20.19,88.72,20.14,,1.1,0.69,12.8,28.7,3.99,5.79,2.83,9.26,08-Dec-2018 - 00:00,"NSIT Dwarka, Delhi - CPCB"
08-Dec-2018 - 00:00,,0.07,183.78,64.17,,51.3,32.03,38.0,45.84,22.28,99.84,20.16,,0.91,0.55,11.15,21.25,2.89,4.21,2.07,14.47,09-Dec-2018 - 00:00,"NSIT Dwarka, Delhi - CPCB"
09-Dec-2018 - 00:00,,0.08,164.36,63.26,,50.69,89.69,48.51,97.56,25.62,113.55,20.09,,1.6,0.52,21.04,55.44,7.05,13.1,6.9,21.17,10-Dec-2018 - 00:00,"NSIT Dwarka, Delhi - CPCB"
10-Dec-2018 - 00:00,,0.15,157.27,62.07,,47.3,50.96,51.29,68.05,38.62,107.79,20.46,,1.13,0.71,22.55,28.39,4.74,8.29,3.89,10.31,11-Dec-2018 - 00:00,"NSIT Dwarka, Delhi - CPCB"
11-Dec-2018 - 00:00,,0.15,153.41,66.49,,42.48,31.59,54.38,54.2,22.35,131.78,20.39,,0.95,0.6,14.07,15.88,3.09,4.85,1.7,6.44,12-Dec-2018 - 00:00,"NSIT Dwarka, Delhi - CPCB"
12-Dec-2018 - 00:00,,0.14,147.57,61.73,,43.33,29.29,42.31,45.8,49.89,153.82,21.1,,0.76,1.13,13.06,18.16,2.63,3.6,1.34,5.88,13-Dec-2018 - 00:00,"NSIT Dwarka, Delhi - CPCB"
13-Dec-2018 - 00:00,,0.24,140.32,66.55,,50.11,13.73,30.66,27.29,15.08,72.63,20.14,,0.45,1.04,5.88,9.74,1.13,0.78,0.1,2.44,14-Dec-2018 - 00:00,"NSIT Dwarka, Delhi - CPCB"
14-Dec-2018 - 00:00,,0.38,263.86,69.68,,57.84,17.61,31.27,30.72,16.42,71.3,19.39,,0.54,0.8,3.29,8.93,1.37,0.59,0.09,2.82,15-Dec-2018 - 00:00,"NSIT Dwarka, Delhi - CPCB"
15-Dec-2018 - 00:00,,0.31,228.82,62.65,,54.03,12.91,32.85,27.8,17.04,81.72,19.54,,0.47,0.88,4.28,7.35,1.19,0.7,0.1,2.36,16-Dec-2018 - 00:00,"NSIT Dwarka, Delhi - CPCB"
16-Dec-2018 - 00:00,,0.26,221.18,56.83,,53.93,19.23,33.68,33.31,20.59,96.1,19.16,,0.6,0.72,7.33,7.47,1.3,1.47,0.49,2.51,17-Dec-2018 - 00:00,"NSIT Dwarka, Delhi - CPCB"
17-Dec-2018 - 00:00,,0.25,223.78,60.29,,50.95,52.98,41.61,64.52,17.69,121.46,18.55,,1.07,0.71,13.36,20.58,3.23,4.89,2.51,7.68,18-Dec-2018 - 00:00,"NSIT Dwarka, Delhi - CPCB"
18-Dec-2018 - 00:00,,0.2,255.37,57.64,,53.13,38.4,40.72,52.38,16.67,142.9,19.69,,0.77,0.69,10.3,16.8,3.11,2.87,0.83,6.79,19-Dec-2018 - 00:00,"NSIT Dwarka, Delhi - CPCB"
19-Dec-2018 - 00:00,,0.11,237.57,59.13,,52.43,20.88,34.42,35.01,25.64,150.41,20.58,,0.63,0.66,6.27,8.05,1.33,1.06,0.39,4.05,20-Dec-2018 - 00:00,"NSIT Dwarka, Delhi - CPCB"
20-Dec-2018 - 00:00,,-0.03,175.93,63.48,,53.73,77.26,37.93,81.98,23.81,228.92,20.32,,1.47,0.62,10.38,25.34,4.49,7.19,2.95,9.43,21-Dec-2018 - 00:00,"NSIT Dwarka, Delhi - CPCB"
21-Dec-2018 - 00:00,,0.12,211.6,66.45,,53.79,75.26,33.58,78.07,22.45,250.37,19.71,,1.35,0.72,18.06,30.34,4.69,6.52,2.93,11.4,22-Dec-2018 - 00:00,"NSIT Dwarka, Delhi - CPCB"
22-Dec-2018 - 00:00,,0.06,192.62,62.85,,52.22,39.89,38.38,52.32,26.63,257.73,20.04,,0.94,0.51,10.64,19.16,3.26,4.52,1.82,8.36,23-Dec-2018 - 00:00,"NSIT Dwarka, Delhi - CPCB"
23-Dec-2018 - 00:00,,0.06,166.46,66.46,,50.06,63.95,37.89,71.31,31.88,231.16,20.31,,1.35,0.64,12.86,30.93,4.34,7.88,3.61,10.69,24-Dec-2018 - 00:00,"NSIT Dwarka, Delhi - CPCB"
24-Dec-2018 - 00:00,,0.0,128.55,69.7,,48.48,110.61,35.69,107.47,23.79,327.4,20.48,,1.95,0.63,17.83,53.52,7.17,12.98,6.71,17.5,25-Dec-2018 - 00:00,"NSIT Dwarka, Delhi - CPCB"
25-Dec-2018 - 00:00,,0.2,248.58,75.54,,51.65,31.72,27.73,40.12,17.35,250.03,19.57,,0.78,0.7,14.46,15.55,2.66,2.13,0.43,7.64,26-Dec-2018 - 00:00,"NSIT Dwarka, Delhi - CPCB"
26-Dec-2018 - 00:00,,0.15,231.84,65.0,,52.32,34.46,30.63,43.86,21.52,173.7,17.76,,0.92,0.68,7.68,12.65,2.07,3.27,1.23,5.9,27-Dec-2018 - 00:00,"NSIT Dwarka, Delhi - CPCB"
27-Dec-2018 - 00:00,,0.09,198.61,55.83,,47.26,53.26,39.49,63.61,16.65,215.84,17.45,,1.12,0.67,18.37,29.19,4.86,7.2,3.5,10.26,28-Dec-2018 - 00:00,"NSIT Dwarka, Delhi - CPCB"
28-Dec-2018 - 00:00,,0.17,259.71,65.88,,47.74,32.18,29.57,41.47,13.01,235.28,16.44,,0.87,0.82,14.84,12.25,1.79,2.86,1.01,6.42,29-Dec-2018 - 00:00,"NSIT Dwarka, Delhi - CPCB"
29-Dec-2018 - 00:00,,0.16,228.97,62.09,,50.53,39.2,27.72,46.11,16.27,218.47,16.26,,1.05,0.74,24.98,13.56,3.21,3.82,1.85,7.0,30-Dec-2018 - 00:00,"NSIT Dwarka, Delhi - CPCB"
30-Dec-2018 - 00:00,,0.16,202.13,62.03,,49.43,96.63,34.23,95.51,19.55,303.64,16.91,,1.71,0.52,32.09,33.16,6.33,11.24,5.02,14.3,31-Dec-2018 - 00:00,"NSIT Dwarka, Delhi - CPCB"
31-Dec-2018 - 00:00,,0.08,162.6,85.15,,6.8,230.47,38.05,204.62,7.38,678.17,14.74,,5.29,0.42,58.63,93.77,15.2,31.22,17.72,45.94,01-Jan-2019 - 00:00,"NSIT Dwarka, Delhi - CPCB"
