from date,CO,Ozone,NO,NO2,NOx,SO2,PM2.5,AT,Rack Temp,Benzene,Toluene,Xylene,RH,WS,WD,SR,BP,VWS,to date,station
07-Sep-2018 - 00:00,0.27,20.33,2.75,21.17,13.5,8.4,21.48,25.92,30.41,0.34,1.51,0.02,62.36,2.15,165.46,164.94,706.93,0.71,08-Sep-2018 - 00:00,"Sanathnagar, Hyderabad - TSPCB"
08-Sep-2018 - 00:00,0.39,19.02,7.9,26.3,20.41,16.57,26.17,26.46,30.27,0.46,2.96,0.23,58.9,1.55,189.3,175.61,708.85,0.7,09-Sep-2018 - 00:00,"Sanathnagar, Hyderabad - TSPCB"
09-Sep-2018 - 00:00,0.44,26.67,8.77,29.31,22.73,11.16,36.59,27.01,30.3,1.06,13.3,0.38,58.11,1.2,156.42,177.42,710.49,0.7,10-Sep-2018 - 00:00,"Sanathnagar, Hyderabad - TSPCB"
10-Sep-2018 - 00:00,0.42,32.35,4.15,30.39,19.53,8.77,37.89,27.33,30.31,0.9,11.43,0.22,62.93,1.2,132.81,177.49,713.98,0.69,11-Sep-2018 - 00:00,"Sanathnagar, Hyderabad - TSPCB"
11-Sep-2018 - 00:00,0.63,28.02,8.44,35.16,25.53,7.34,35.69,25.9,29.84,0.96,10.68,0.52,72.15,1.01,151.47,144.62,714.57,0.69,12-Sep-2018 - 00:00,"Sanathnagar, Hyderabad - TSPCB"
12-Sep-2018 - 00:00,0.58,24.4,10.1,37.8,28.3,6.19,41.32,26.34,29.27,0.87,6.65,0.62,72.86,1.0,191.68,136.69,711.99,0.71,13-Sep-2018 - 00:00,"Sanathnagar, Hyderabad - TSPCB"
13-Sep-2018 - 00:00,0.73,31.34,12.53,39.25,31.05,6.72,44.84,27.53,29.35,1.69,9.09,0.81,66.15,0.9,155.03,164.9,709.82,0.71,14-Sep-2018 - 00:00,"Sanathnagar, Hyderabad - TSPCB"
14-Sep-2018 - 00:00,0.48,42.68,1.89,31.84,18.45,5.67,38.43,27.6,29.52,1.09,8.43,0.35,63.96,0.83,148.7,135.38,710.62,0.71,15-Sep-2018 - 00:00,"Sanathnagar, Hyderabad - TSPCB"
15-Sep-2018 - 00:00,0.43,35.43,2.77,31.81,19.1,6.75,43.86,27.92,29.47,0.89,12.32,0.43,61.39,1.19,136.06,171.26,711.44,0.71,16-Sep-2018 - 00:00,"Sanathnagar, Hyderabad - TSPCB"
16-Sep-2018 - 00:00,0.46,24.43,5.21,33.05,21.75,11.85,44.69,27.87,29.63,2.04,16.05,0.8,62.39,1.35,94.89,166.22,708.59,0.71,17-Sep-2018 - 00:00,"Sanathnagar, Hyderabad - TSPCB"
17-Sep-2018 - 00:00,0.3,21.2,2.01,25.23,15.01,7.8,29.08,25.27,28.78,0.68,9.2,0.06,74.0,1.35,133.3,84.81,706.82,0.73,18-Sep-2018 - 00:00,"Sanathnagar, Hyderabad - TSPCB"
18-Sep-2018 - 00:00,0.47,19.95,5.93,31.19,21.39,7.74,36.19,25.76,28.14,0.67,7.4,0.33,71.77,1.46,137.12,144.57,707.22,0.74,19-Sep-2018 - 00:00,"Sanathnagar, Hyderabad - TSPCB"
19-Sep-2018 - 00:00,0.38,21.92,2.62,29.18,17.65,7.65,33.25,25.42,28.14,0.67,6.22,0.23,70.21,1.69,130.72,93.0,706.5,0.75,20-Sep-2018 - 00:00,"Sanathnagar, Hyderabad - TSPCB"
20-Sep-2018 - 00:00,0.38,26.07,2.3,28.23,16.88,6.67,32.83,25.68,28.38,0.45,4.54,0.08,70.48,1.85,117.29,105.56,702.79,0.74,21-Sep-2018 - 00:00,"Sanathnagar, Hyderabad - TSPCB"
21-Sep-2018 - 00:00,0.4,20.29,1.97,27.66,16.31,8.97,34.46,23.7,28.62,0.51,3.53,0.06,79.25,1.64,204.78,29.47,702.11,0.73,22-Sep-2018 - 00:00,"Sanathnagar, Hyderabad - TSPCB"
22-Sep-2018 - 00:00,0.41,25.9,2.72,26.59,16.32,5.4,25.23,26.06,28.45,0.48,3.32,0.19,66.55,1.67,267.93,164.15,708.84,0.73,23-Sep-2018 - 00:00,"Sanathnagar, Hyderabad - TSPCB"
23-Sep-2018 - 00:00,0.41,30.51,1.44,21.34,12.5,4.91,30.01,26.33,28.38,0.63,8.17,0.22,70.73,1.03,179.09,149.25,714.74,0.73,24-Sep-2018 - 00:00,"Sanathnagar, Hyderabad - TSPCB"
24-Sep-2018 - 00:00,0.82,22.57,11.51,41.14,31.24,6.41,35.46,26.14,28.31,1.32,13.07,0.94,75.12,0.63,138.68,148.19,714.65,0.72,25-Sep-2018 - 00:00,"Sanathnagar, Hyderabad - TSPCB"
25-Sep-2018 - 00:00,0.84,24.91,19.38,47.12,40.83,8.45,42.27,26.84,28.76,1.95,14.45,1.1,71.59,0.8,151.49,138.79,712.89,0.71,26-Sep-2018 - 00:00,"Sanathnagar, Hyderabad - TSPCB"
26-Sep-2018 - 00:00,1.16,16.27,28.56,63.62,57.06,10.52,61.21,25.6,28.57,3.52,17.9,2.31,74.82,0.72,150.27,59.0,711.12,0.72,27-Sep-2018 - 00:00,"Sanathnagar, Hyderabad - TSPCB"
27-Sep-2018 - 00:00,0.52,28.53,6.67,37.45,25.31,5.87,36.76,26.28,28.47,1.21,11.68,0.59,68.24,0.97,155.52,158.56,711.59,0.73,28-Sep-2018 - 00:00,"Sanathnagar, Hyderabad - TSPCB"
