from date,AT,Benzene,BP,CO,NH3,NO,NO2,NOx,Ozone,PM10,PM2.5,RH,SO2,SR,VWS,WD,WS,Toluene,to date,station
28-Feb-2018 - 00:00,20.81,4.08,554.07,1.28,38.78,40.3,106.34,85.06,32.99,303.88,162.25,56.93,19.27,71.23,0.01,85.06,0.8,4.21,01-Mar-2018 - 00:00,"Punjabi Bagh, Delhi - DPCC"
01-Mar-2018 - 00:00,20.43,1.62,553.5,1.3,50.01,32.11,78.14,106.6,21.15,268.5,122.92,50.71,21.57,70.12,0.02,80.82,0.8,4.43,02-Mar-2018 - 00:00,"Punjabi Bagh, Delhi - DPCC"
02-Mar-2018 - 00:00,21.71,3.46,553.5,1.82,47.03,48.13,82.63,97.31,45.27,243.71,138.96,49.78,20.58,83.01,0.03,90.97,0.85,4.1,03-Mar-2018 - 00:00,"Punjabi Bagh, Delhi - DPCC"
03-Mar-2018 - 00:00,22.37,2.05,553.5,1.2,44.81,33.95,76.76,80.57,38.49,236.54,114.96,47.07,22.35,74.8,-0.0,88.12,0.79,2.69,04-Mar-2018 - 00:00,"Punjabi Bagh, Delhi - DPCC"
04-Mar-2018 - 00:00,20.83,0.94,553.5,0.71,43.25,18.1,67.1,65.52,29.32,172.96,76.67,47.22,22.93,73.24,0.02,62.75,1.15,1.65,05-Mar-2018 - 00:00,"Punjabi Bagh, Delhi - DPCC"
05-Mar-2018 - 00:00,19.94,0.75,553.5,0.68,42.26,10.32,61.05,65.51,32.14,155.54,83.71,48.8,25.49,88.72,0.0,69.66,1.18,1.88,06-Mar-2018 - 00:00,"Punjabi Bagh, Delhi - DPCC"
06-Mar-2018 - 00:00,19.43,1.83,553.5,0.79,39.89,4.69,60.68,60.13,33.19,163.79,85.83,47.73,28.78,90.1,-0.0,59.71,1.5,3.69,07-Mar-2018 - 00:00,"Punjabi Bagh, Delhi - DPCC"
07-Mar-2018 - 00:00,20.08,1.61,553.5,1.11,39.12,20.18,68.08,86.74,51.32,178.5,94.25,46.39,25.96,90.58,0.02,67.93,1.25,4.55,08-Mar-2018 - 00:00,"Punjabi Bagh, Delhi - DPCC"
08-Mar-2018 - 00:00,21.7,7.81,553.5,2.62,35.7,93.19,145.89,122.02,76.55,301.62,145.33,46.57,29.81,89.85,0.0,98.22,0.71,9.01,09-Mar-2018 - 00:00,"Punjabi Bagh, Delhi - DPCC"
09-Mar-2018 - 00:00,22.33,1.58,553.5,1.42,40.2,70.13,93.53,164.21,60.41,276.33,130.96,43.0,29.59,92.41,0.02,82.67,0.93,6.55,10-Mar-2018 - 00:00,"Punjabi Bagh, Delhi - DPCC"
10-Mar-2018 - 00:00,22.43,1.0,553.5,0.71,37.95,4.58,64.49,63.11,55.03,170.38,77.58,42.34,28.74,95.73,0.03,55.97,1.37,2.32,11-Mar-2018 - 00:00,"Punjabi Bagh, Delhi - DPCC"
11-Mar-2018 - 00:00,22.14,1.44,553.5,1.13,41.78,19.59,68.49,86.55,51.75,195.25,100.42,45.65,27.45,95.23,-0.01,75.5,1.05,3.52,12-Mar-2018 - 00:00,"Punjabi Bagh, Delhi - DPCC"
12-Mar-2018 - 00:00,23.63,1.53,553.5,0.95,40.41,14.49,74.58,81.99,71.17,216.62,112.0,42.78,30.9,95.58,-0.02,72.22,1.06,3.25,13-Mar-2018 - 00:00,"Punjabi Bagh, Delhi - DPCC"
13-Mar-2018 - 00:00,25.14,1.98,553.5,1.8,40.64,72.45,84.32,110.48,83.69,250.0,114.12,38.42,35.89,96.73,-0.01,90.63,0.96,6.62,14-Mar-2018 - 00:00,"Punjabi Bagh, Delhi - DPCC"
14-Mar-2018 - 00:00,24.69,1.81,553.5,1.77,34.2,82.4,90.64,153.26,57.74,291.17,88.46,31.26,28.15,88.94,-0.01,96.42,0.81,7.25,15-Mar-2018 - 00:00,"Punjabi Bagh, Delhi - DPCC"
15-Mar-2018 - 00:00,23.48,1.41,553.5,1.13,36.4,43.93,79.59,103.85,84.52,274.5,83.67,38.64,24.34,82.36,0.02,73.94,1.21,4.58,16-Mar-2018 - 00:00,"Punjabi Bagh, Delhi - DPCC"
16-Mar-2018 - 00:00,22.45,1.08,553.5,0.95,38.96,24.26,67.0,87.36,172.41,233.83,110.33,41.58,33.71,93.19,0.03,68.28,1.2,4.06,17-Mar-2018 - 00:00,"Punjabi Bagh, Delhi - DPCC"
17-Mar-2018 - 00:00,18.28,1.81,553.5,0.73,36.72,5.36,57.67,56.23,173.97,202.5,112.73,47.86,24.94,69.82,-0.01,56.16,1.17,3.06,18-Mar-2018 - 00:00,"Punjabi Bagh, Delhi - DPCC"
18-Mar-2018 - 00:00,26.02,0.59,553.5,0.64,29.39,5.57,60.43,61.83,84.86,139.36,57.14,26.22,23.83,134.97,0.03,53.22,1.56,2.03,19-Mar-2018 - 00:00,"Punjabi Bagh, Delhi - DPCC"
19-Mar-2018 - 00:00,23.75,0.92,553.5,0.88,30.53,17.26,70.28,83.78,80.19,178.09,77.71,34.01,24.5,92.61,0.01,89.87,1.0,3.73,20-Mar-2018 - 00:00,"Punjabi Bagh, Delhi - DPCC"
20-Mar-2018 - 00:00,23.47,1.63,553.5,1.79,34.48,58.51,95.62,154.84,74.64,267.46,122.67,39.05,36.02,75.56,-0.01,103.18,0.61,7.51,21-Mar-2018 - 00:00,"Punjabi Bagh, Delhi - DPCC"
21-Mar-2018 - 00:00,24.27,1.56,553.5,1.19,37.97,29.12,76.24,96.73,74.55,278.1,118.17,41.5,39.78,94.55,0.05,69.12,1.31,3.46,22-Mar-2018 - 00:00,"Punjabi Bagh, Delhi - DPCC"
22-Mar-2018 - 00:00,22.6,0.98,553.5,0.82,35.87,7.87,61.4,64.7,73.41,149.84,72.29,46.07,24.21,97.97,0.07,57.13,1.43,2.52,23-Mar-2018 - 00:00,"Punjabi Bagh, Delhi - DPCC"
23-Mar-2018 - 00:00,21.82,0.64,553.5,0.56,34.29,5.12,56.96,57.4,74.88,134.12,60.33,45.8,21.06,103.16,0.03,53.3,1.28,1.68,24-Mar-2018 - 00:00,"Punjabi Bagh, Delhi - DPCC"
24-Mar-2018 - 00:00,23.68,0.58,553.5,0.68,35.56,4.33,58.22,56.82,62.82,162.78,78.0,41.81,23.99,102.4,0.08,45.47,1.52,1.28,25-Mar-2018 - 00:00,"Punjabi Bagh, Delhi - DPCC"
25-Mar-2018 - 00:00,24.1,0.8,553.5,0.78,36.44,2.8,52.84,50.53,37.27,181.62,85.38,41.73,24.58,101.93,0.02,57.53,1.54,1.39,26-Mar-2018 - 00:00,"Punjabi Bagh, Delhi - DPCC"
26-Mar-2018 - 00:00,25.19,0.93,553.5,0.8,33.84,11.68,65.39,68.24,37.38,174.04,80.54,35.98,24.79,104.05,0.02,62.45,1.4,2.0,27-Mar-2018 - 00:00,"Punjabi Bagh, Delhi - DPCC"
27-Mar-2018 - 00:00,26.5,2.34,553.5,1.55,33.63,53.88,74.36,85.59,48.74,268.92,119.92,29.66,28.88,103.51,0.01,90.77,1.07,5.76,28-Mar-2018 - 00:00,"Punjabi Bagh, Delhi - DPCC"
28-Mar-2018 - 00:00,27.85,2.85,553.5,1.98,33.87,102.86,83.24,104.91,49.67,271.12,97.29,29.12,24.96,103.38,0.04,88.69,1.27,9.35,29-Mar-2018 - 00:00,"Punjabi Bagh, Delhi - DPCC"
29-Mar-2018 - 00:00,26.99,1.29,553.5,0.79,36.06,6.43,60.77,59.33,44.17,216.88,90.75,30.32,28.36,102.92,0.04,64.19,1.5,2.65,30-Mar-2018 - 00:00,"Punjabi Bagh, Delhi - DPCC"
30-Mar-2018 - 00:00,27.21,1.87,553.5,0.96,37.52,10.35,63.59,66.49,48.07,238.46,95.67,29.46,26.4,105.08,0.05,87.85,1.52,4.6,31-Mar-2018 - 00:00,"Punjabi Bagh, Delhi - DPCC"
31-Mar-2018 - 00:00,25.38,1.01,553.5,0.94,38.58,10.44,76.3,80.17,45.9,276.77,91.7,35.07,28.11,115.18,-0.01,104.87,1.27,3.18,01-Apr-2018 - 00:00,"Punjabi Bagh, Delhi - DPCC"
01-Apr-2018 - 00:00,28.06,0.59,553.5,0.95,39.61,11.21,72.05,80.2,45.93,176.28,61.33,33.07,23.43,136.09,-0.01,105.7,1.21,1.57,02-Apr-2018 - 00:00,"Punjabi Bagh, Delhi - DPCC"
02-Apr-2018 - 00:00,28.04,1.47,553.5,1.23,39.75,26.97,87.05,93.2,71.05,209.96,78.17,33.9,24.77,101.12,0.0,107.33,1.0,2.89,03-Apr-2018 - 00:00,"Punjabi Bagh, Delhi - DPCC"
03-Apr-2018 - 00:00,29.62,1.31,553.5,1.24,38.91,20.03,90.16,99.38,50.02,244.25,90.62,31.81,25.05,100.19,0.01,110.6,1.08,3.89,04-Apr-2018 - 00:00,"Punjabi Bagh, Delhi - DPCC"
04-Apr-2018 - 00:00,30.4,1.3,553.5,1.72,41.37,44.67,93.49,138.17,64.02,285.54,101.0,32.11,27.01,100.26,-0.0,100.64,0.77,5.21,05-Apr-2018 - 00:00,"Punjabi Bagh, Delhi - DPCC"
05-Apr-2018 - 00:00,30.03,1.79,553.5,1.39,47.37,37.75,89.96,127.46,31.52,355.04,164.58,33.3,46.15,97.74,0.02,76.42,0.88,4.9,06-Apr-2018 - 00:00,"Punjabi Bagh, Delhi - DPCC"
06-Apr-2018 - 00:00,27.14,0.85,554.53,0.82,39.79,17.84,79.12,90.84,36.31,184.61,74.54,37.08,34.37,79.8,0.03,96.98,1.25,2.25,07-Apr-2018 - 00:00,"Punjabi Bagh, Delhi - DPCC"
07-Apr-2018 - 00:00,26.96,0.6,553.5,0.63,42.31,15.56,72.4,86.76,31.3,142.79,43.67,39.8,17.42,28.0,-0.04,108.12,1.0,2.05,08-Apr-2018 - 00:00,"Punjabi Bagh, Delhi - DPCC"
08-Apr-2018 - 00:00,28.58,0.46,553.5,0.62,42.08,6.88,67.72,70.46,33.13,129.71,44.21,37.87,17.23,27.24,-0.04,103.39,1.13,1.25,09-Apr-2018 - 00:00,"Punjabi Bagh, Delhi - DPCC"
09-Apr-2018 - 00:00,23.51,0.76,554.02,1.11,41.18,32.84,62.49,101.66,27.52,116.67,48.78,56.07,21.04,28.24,-0.01,109.53,1.03,3.38,10-Apr-2018 - 00:00,"Punjabi Bagh, Delhi - DPCC"
10-Apr-2018 - 00:00,26.69,1.57,553.5,1.2,40.64,36.7,67.46,106.75,60.85,267.08,85.88,43.51,20.97,106.53,-0.0,106.47,0.56,4.35,11-Apr-2018 - 00:00,"Punjabi Bagh, Delhi - DPCC"
11-Apr-2018 - 00:00,24.56,0.64,553.5,0.61,37.61,14.61,62.56,73.47,24.75,130.38,42.54,46.77,22.39,96.78,-0.04,102.87,0.95,1.9,12-Apr-2018 - 00:00,"Punjabi Bagh, Delhi - DPCC"
12-Apr-2018 - 00:00,26.73,2.77,553.5,0.85,52.48,16.8,64.45,79.63,40.24,120.13,44.77,35.52,25.71,64.09,0.01,85.99,0.93,6.78,13-Apr-2018 - 00:00,"Punjabi Bagh, Delhi - DPCC"
13-Apr-2018 - 00:00,26.87,2.39,553.5,1.13,52.5,48.13,71.29,111.08,33.91,167.92,75.25,24.79,26.24,110.65,0.02,93.95,0.85,6.12,14-Apr-2018 - 00:00,"Punjabi Bagh, Delhi - DPCC"
14-Apr-2018 - 00:00,27.34,1.48,553.48,1.55,52.68,50.2,87.01,139.36,24.86,237.57,99.0,22.68,34.05,20.07,0.03,117.06,0.66,5.68,15-Apr-2018 - 00:00,"Punjabi Bagh, Delhi - DPCC"
15-Apr-2018 - 00:00,29.63,1.84,553.41,1.6,59.42,58.13,76.02,137.72,40.87,266.42,131.67,25.89,38.45,107.92,0.0,116.71,0.67,5.91,16-Apr-2018 - 00:00,"Punjabi Bagh, Delhi - DPCC"
16-Apr-2018 - 00:00,30.37,1.2,553.41,1.5,57.46,51.83,92.51,149.11,36.15,305.29,112.0,25.9,41.43,87.64,-0.02,130.12,0.75,4.65,17-Apr-2018 - 00:00,"Punjabi Bagh, Delhi - DPCC"
17-Apr-2018 - 00:00,30.96,1.08,553.5,0.9,54.77,38.35,73.48,116.45,32.12,223.62,67.04,23.45,30.79,103.46,0.02,88.43,0.94,3.54,18-Apr-2018 - 00:00,"Punjabi Bagh, Delhi - DPCC"
18-Apr-2018 - 00:00,30.63,0.77,553.5,0.55,51.36,5.43,60.81,61.36,32.26,243.54,64.79,20.2,36.28,105.33,0.06,54.44,1.51,2.25,19-Apr-2018 - 00:00,"Punjabi Bagh, Delhi - DPCC"
19-Apr-2018 - 00:00,31.44,1.42,553.5,0.79,51.82,11.04,67.05,74.38,38.26,266.04,97.33,19.87,36.29,105.79,0.01,80.94,0.91,3.31,20-Apr-2018 - 00:00,"Punjabi Bagh, Delhi - DPCC"
20-Apr-2018 - 00:00,31.24,0.84,553.5,0.49,50.24,9.23,52.62,58.96,38.47,364.26,98.57,18.92,35.66,103.83,0.06,108.82,1.99,2.21,21-Apr-2018 - 00:00,"Punjabi Bagh, Delhi - DPCC"
