from date,PM10,SO2,NO,NO2,NOx,NH3,CO,Ozone,Benzene,Eth-Benzene,SR,RH,RF,WD,WS,PM2.5,to date,station
25-Mar-2018 - 00:00,175.55,8.18,11.65,1.27,12.29,17.22,1.24,33.27,0.0,0.0,189.38,62.45,0.0,295.98,1.19,95.84,26-Mar-2018 - 00:00,"RIMT University, Mandi Gobindgarh - PPCB"
26-Mar-2018 - 00:00,236.52,16.03,11.96,1.21,12.88,17.37,1.29,32.5,0.0,0.0,188.89,62.31,0.0,266.57,0.99,41.44,27-Mar-2018 - 00:00,"RIMT University, Mandi Gobindgarh - PPCB"
27-Mar-2018 - 00:00,139.44,11.88,11.26,1.44,11.72,17.04,1.21,28.58,0.0,0.0,182.75,66.25,0.0,226.46,0.52,74.41,28-Mar-2018 - 00:00,"RIMT University, Mandi Gobindgarh - PPCB"
28-Mar-2018 - 00:00,129.89,10.67,9.78,1.58,10.68,16.65,1.2,31.01,0.0,0.0,203.59,56.67,0.0,282.77,1.04,66.74,29-Mar-2018 - 00:00,"RIMT University, Mandi Gobindgarh - PPCB"
29-Mar-2018 - 00:00,232.77,32.49,10.29,3.45,13.73,17.4,1.07,36.96,0.0,0.0,196.23,42.75,0.0,266.45,1.09,122.92,30-Mar-2018 - 00:00,"RIMT University, Mandi Gobindgarh - PPCB"
30-Mar-2018 - 00:00,191.13,14.26,9.99,1.95,11.84,16.94,1.12,35.21,0.0,0.0,182.86,57.42,0.0,152.76,0.71,107.27,31-Mar-2018 - 00:00,"RIMT University, Mandi Gobindgarh - PPCB"
31-Mar-2018 - 00:00,148.16,9.5,10.12,1.55,10.73,16.66,1.13,41.33,0.0,0.0,202.65,52.59,0.0,121.8,1.78,64.9,01-Apr-2018 - 00:00,"RIMT University, Mandi Gobindgarh - PPCB"
01-Apr-2018 - 00:00,74.75,18.61,9.53,0.99,10.19,16.51,1.15,33.22,0.0,0.0,209.0,50.67,0.0,120.87,0.95,32.58,02-Apr-2018 - 00:00,"RIMT University, Mandi Gobindgarh - PPCB"
02-Apr-2018 - 00:00,76.56,6.74,,,,,1.19,32.01,0.0,0.0,238.95,53.68,0.0,132.3,0.79,38.67,03-Apr-2018 - 00:00,"RIMT University, Mandi Gobindgarh - PPCB"
03-Apr-2018 - 00:00,87.67,4.33,,,,,1.22,31.44,0.0,0.0,220.96,55.5,0.0,176.84,0.5,44.24,04-Apr-2018 - 00:00,"RIMT University, Mandi Gobindgarh - PPCB"
04-Apr-2018 - 00:00,100.45,5.02,,,,,1.19,32.62,0.0,0.0,217.94,50.94,0.0,223.26,0.65,54.42,05-Apr-2018 - 00:00,"RIMT University, Mandi Gobindgarh - PPCB"
05-Apr-2018 - 00:00,112.39,9.25,,,,,1.29,28.58,0.0,0.0,204.0,51.49,0.0,223.21,0.67,60.74,06-Apr-2018 - 00:00,"RIMT University, Mandi Gobindgarh - PPCB"
06-Apr-2018 - 00:00,127.53,27.95,,,,,1.01,27.86,0.0,0.0,199.08,52.84,0.0,197.3,0.52,74.03,07-Apr-2018 - 00:00,"RIMT University, Mandi Gobindgarh - PPCB"
07-Apr-2018 - 00:00,76.31,11.61,9.25,1.1,10.28,17.66,1.23,39.54,0.0,0.0,231.6,48.01,0.0,130.69,0.51,41.52,08-Apr-2018 - 00:00,"RIMT University, Mandi Gobindgarh - PPCB"
08-Apr-2018 - 00:00,63.09,7.63,9.15,0.92,10.06,17.66,1.17,41.49,0.0,0.0,228.59,46.27,0.0,121.81,1.6,24.84,09-Apr-2018 - 00:00,"RIMT University, Mandi Gobindgarh - PPCB"
09-Apr-2018 - 00:00,63.13,15.71,9.48,5.88,14.61,16.56,1.18,30.59,0.52,0.89,248.44,57.49,0.05,165.46,0.95,31.44,10-Apr-2018 - 00:00,"RIMT University, Mandi Gobindgarh - PPCB"
10-Apr-2018 - 00:00,102.04,28.56,10.67,18.61,29.27,14.04,1.13,30.16,1.26,1.94,179.36,60.49,0.0,192.02,0.75,67.51,11-Apr-2018 - 00:00,"RIMT University, Mandi Gobindgarh - PPCB"
11-Apr-2018 - 00:00,42.94,9.89,,,,,1.21,15.18,1.28,1.96,157.96,81.77,0.16,141.0,1.17,20.6,12-Apr-2018 - 00:00,"RIMT University, Mandi Gobindgarh - PPCB"
12-Apr-2018 - 00:00,76.0,10.02,,,,,1.1,50.6,1.3,2.0,256.83,56.33,0.0,261.04,0.73,45.81,13-Apr-2018 - 00:00,"RIMT University, Mandi Gobindgarh - PPCB"
13-Apr-2018 - 00:00,56.07,8.68,10.5,25.76,36.29,13.58,1.59,51.11,1.3,2.0,245.85,35.75,0.0,309.38,0.88,31.29,14-Apr-2018 - 00:00,"RIMT University, Mandi Gobindgarh - PPCB"
14-Apr-2018 - 00:00,69.11,13.25,10.05,14.4,24.45,14.87,1.03,45.73,1.26,1.94,264.53,38.33,0.0,300.8,0.96,31.82,15-Apr-2018 - 00:00,"RIMT University, Mandi Gobindgarh - PPCB"
15-Apr-2018 - 00:00,80.36,12.26,,,,,1.22,28.59,1.26,1.94,107.25,43.19,0.0,236.18,0.42,51.62,16-Apr-2018 - 00:00,"RIMT University, Mandi Gobindgarh - PPCB"
16-Apr-2018 - 00:00,115.59,25.76,,,,,1.29,9.87,1.25,1.92,71.02,41.23,0.0,155.02,0.33,46.37,17-Apr-2018 - 00:00,"RIMT University, Mandi Gobindgarh - PPCB"
17-Apr-2018 - 00:00,77.45,13.52,12.31,32.61,44.78,12.92,1.23,31.23,1.27,1.96,167.88,39.26,0.05,257.79,0.87,35.54,18-Apr-2018 - 00:00,"RIMT University, Mandi Gobindgarh - PPCB"
18-Apr-2018 - 00:00,110.51,13.54,18.28,25.8,43.85,14.31,1.25,33.59,1.27,1.96,165.4,36.71,0.0,323.45,1.09,17.21,19-Apr-2018 - 00:00,"RIMT University, Mandi Gobindgarh - PPCB"
19-Apr-2018 - 00:00,122.26,28.46,22.3,57.13,47.95,13.24,1.24,28.82,1.25,1.92,177.42,37.94,0.0,261.01,0.57,0.01,20-Apr-2018 - 00:00,"RIMT University, Mandi Gobindgarh - PPCB"
20-Apr-2018 - 00:00,101.66,11.37,18.53,15.37,30.44,15.37,1.27,26.86,1.54,2.02,155.57,47.77,0.0,191.48,1.66,28.28,21-Apr-2018 - 00:00,"RIMT University, Mandi Gobindgarh - PPCB"
21-Apr-2018 - 00:00,106.67,12.42,,,,,1.38,38.56,1.49,2.14,215.02,43.03,0.0,331.28,1.28,57.62,22-Apr-2018 - 00:00,"RIMT University, Mandi Gobindgarh - PPCB"
22-Apr-2018 - 00:00,129.06,21.57,,,,,1.29,40.21,1.47,2.24,114.63,35.42,0.0,319.89,1.13,73.17,23-Apr-2018 - 00:00,"RIMT University, Mandi Gobindgarh - PPCB"
23-Apr-2018 - 00:00,223.17,55.99,14.17,7.2,20.56,16.41,1.46,42.49,1.44,2.21,169.63,22.73,0.0,315.95,1.14,143.67,24-Apr-2018 - 00:00,"RIMT University, Mandi Gobindgarh - PPCB"
24-Apr-2018 - 00:00,149.0,30.32,17.72,7.45,21.44,16.73,1.31,47.81,1.5,2.27,212.32,21.97,0.0,282.2,0.55,89.44,25-Apr-2018 - 00:00,"RIMT University, Mandi Gobindgarh - PPCB"
25-Apr-2018 - 00:00,150.9,,,,,,1.28,36.58,1.51,2.24,168.62,26.39,0.0,199.43,0.23,77.75,26-Apr-2018 - 00:00,"RIMT University, Mandi Gobindgarh - PPCB"
26-Apr-2018 - 00:00,145.79,26.77,15.49,7.0,21.65,16.73,1.5,22.02,1.66,2.51,190.93,23.47,0.0,163.29,0.59,67.72,27-Apr-2018 - 00:00,"RIMT University, Mandi Gobindgarh - PPCB"
27-Apr-2018 - 00:00,228.4,,15.55,18.8,34.4,16.37,1.65,9.15,2.0,2.85,130.68,36.82,0.0,119.65,1.84,77.66,28-Apr-2018 - 00:00,"RIMT University, Mandi Gobindgarh - PPCB"
28-Apr-2018 - 00:00,336.46,,,,,,1.07,6.86,2.04,2.92,151.11,33.07,0.0,124.21,1.99,59.45,29-Apr-2018 - 00:00,"RIMT University, Mandi Gobindgarh - PPCB"
29-Apr-2018 - 00:00,104.24,,,,,,1.23,12.27,2.1,3.0,201.84,32.83,0.0,182.1,0.71,42.6,30-Apr-2018 - 00:00,"RIMT University, Mandi Gobindgarh - PPCB"
30-Apr-2018 - 00:00,128.62,,15.0,5.48,18.12,16.58,1.19,16.46,2.1,3.0,202.97,30.98,0.0,152.96,1.41,56.37,01-May-2018 - 00:00,"RIMT University, Mandi Gobindgarh - PPCB"
