from date,Temp,RH,SR,WS,WD,NO,NO2,NOx,SO2,CO,Ozone,PM2.5,Benzene,Toluene,O Xylene,MP-Xylene,Eth-Benzene,VWS,to date,BP,station
04-May-2018 - 00:00,26.38,59.84,209.6,1.8,67.24,15.19,14.85,22.09,8.88,1.23,26.07,57.19,,,,,,0.0,05-May-2018 - 00:00,981.14,"MD University, Rohtak - HSPCB"
05-May-2018 - 00:00,28.83,57.66,192.32,0.8,103.18,15.32,14.97,22.0,12.85,1.19,26.43,134.82,,,,,,0.0,06-May-2018 - 00:00,980.47,"MD University, Rohtak - HSPCB"
06-May-2018 - 00:00,27.22,56.72,198.52,1.07,76.69,15.55,15.2,22.5,6.78,1.22,26.0,167.21,,,,,,0.0,07-May-2018 - 00:00,981.26,"MD University, Rohtak - HSPCB"
07-May-2018 - 00:00,27.74,56.96,182.7,0.78,165.71,15.39,15.04,22.14,17.37,1.17,26.85,147.41,,,,,,0.0,08-May-2018 - 00:00,979.52,"MD University, Rohtak - HSPCB"
08-May-2018 - 00:00,24.99,56.99,218.46,1.22,172.5,15.55,15.2,22.5,21.45,1.33,26.41,49.99,,,,,,0.0,09-May-2018 - 00:00,980.44,"MD University, Rohtak - HSPCB"
09-May-2018 - 00:00,22.85,62.91,146.64,0.67,112.8,,,,15.74,1.29,25.96,158.47,,,,,,0.0,10-May-2018 - 00:00,982.17,"MD University, Rohtak - HSPCB"
10-May-2018 - 00:00,26.35,59.34,219.66,0.73,165.47,,,,12.52,1.2,25.9,100.69,,,,,,-0.0,11-May-2018 - 00:00,982.61,"MD University, Rohtak - HSPCB"
11-May-2018 - 00:00,29.2,57.65,205.88,0.78,154.52,,,,10.75,1.2,27.28,100.12,,,,,,-0.04,12-May-2018 - 00:00,979.45,"MD University, Rohtak - HSPCB"
12-May-2018 - 00:00,30.11,57.45,174.69,0.95,107.8,20.03,5.1,22.14,16.24,1.23,26.76,135.22,,,,,,-0.03,13-May-2018 - 00:00,978.38,"MD University, Rohtak - HSPCB"
13-May-2018 - 00:00,26.51,59.83,173.45,1.43,73.06,12.99,4.01,17.0,17.87,1.31,25.16,62.02,,,,,,-0.02,14-May-2018 - 00:00,978.83,"MD University, Rohtak - HSPCB"
14-May-2018 - 00:00,24.21,60.89,187.6,1.32,69.95,,,,10.18,1.19,25.37,66.34,,,,,,-0.02,15-May-2018 - 00:00,980.35,"MD University, Rohtak - HSPCB"
15-May-2018 - 00:00,27.39,57.73,187.21,1.38,59.31,,,,7.37,1.29,25.36,140.42,,,,,,-0.02,16-May-2018 - 00:00,978.74,"MD University, Rohtak - HSPCB"
16-May-2018 - 00:00,30.03,56.61,220.2,0.98,161.9,,,,8.59,1.51,25.16,82.05,,,,,,-0.02,17-May-2018 - 00:00,978.18,"MD University, Rohtak - HSPCB"
17-May-2018 - 00:00,30.9,51.05,189.24,0.72,124.4,,,,12.13,1.14,24.66,67.04,,,,,,-0.02,18-May-2018 - 00:00,978.17,"MD University, Rohtak - HSPCB"
18-May-2018 - 00:00,30.53,53.7,201.48,0.63,125.94,,,,14.97,1.35,25.42,78.31,,,,,,-0.02,19-May-2018 - 00:00,978.02,"MD University, Rohtak - HSPCB"
19-May-2018 - 00:00,30.2,57.73,200.26,0.67,151.62,,,,10.7,1.25,25.48,115.02,,,,,,-0.02,20-May-2018 - 00:00,977.74,"MD University, Rohtak - HSPCB"
20-May-2018 - 00:00,30.19,55.68,196.12,0.45,172.02,,,,24.37,1.32,24.74,56.13,,,,,,-0.02,21-May-2018 - 00:00,979.27,"MD University, Rohtak - HSPCB"
21-May-2018 - 00:00,31.1,53.99,228.26,0.26,144.06,,,,19.75,1.32,25.2,56.6,,,,,,-0.02,22-May-2018 - 00:00,979.41,"MD University, Rohtak - HSPCB"
22-May-2018 - 00:00,32.3,52.8,218.7,0.49,139.04,,,,10.08,1.18,25.29,60.44,,,,,,-0.02,23-May-2018 - 00:00,978.07,"MD University, Rohtak - HSPCB"
23-May-2018 - 00:00,32.04,53.89,204.11,0.53,107.86,,,,20.39,1.31,25.81,66.52,,,,,,-0.02,24-May-2018 - 00:00,977.09,"MD University, Rohtak - HSPCB"
24-May-2018 - 00:00,31.9,53.92,223.66,0.5,162.41,,,,13.11,1.26,25.9,67.3,,,,,,-0.02,25-May-2018 - 00:00,976.44,"MD University, Rohtak - HSPCB"
25-May-2018 - 00:00,31.5,52.85,241.97,0.73,173.57,,,,9.13,1.23,25.67,53.25,,,,,,-0.02,26-May-2018 - 00:00,976.55,"MD University, Rohtak - HSPCB"
26-May-2018 - 00:00,31.9,52.61,234.78,0.69,165.59,,,,16.9,1.23,24.54,58.13,,,,,,-0.02,27-May-2018 - 00:00,975.33,"MD University, Rohtak - HSPCB"
27-May-2018 - 00:00,31.65,52.94,221.7,1.07,153.35,,,,10.38,1.26,24.33,68.52,,,,,,-0.02,28-May-2018 - 00:00,974.45,"MD University, Rohtak - HSPCB"
28-May-2018 - 00:00,31.6,53.42,189.04,0.61,115.55,,,,13.28,1.13,25.72,109.87,,,,,,-0.02,29-May-2018 - 00:00,973.32,"MD University, Rohtak - HSPCB"
29-May-2018 - 00:00,31.73,53.47,216.59,1.1,124.38,,,,17.29,0.9,25.52,85.68,,,,,,-0.02,30-May-2018 - 00:00,971.87,"MD University, Rohtak - HSPCB"
30-May-2018 - 00:00,30.84,53.98,198.32,1.79,109.34,,,,23.74,1.03,26.19,87.04,,,,,,-0.02,31-May-2018 - 00:00,973.32,"MD University, Rohtak - HSPCB"
31-May-2018 - 00:00,30.95,53.13,205.39,1.21,96.37,,,,16.58,0.82,25.46,85.8,,,,,,-0.02,01-Jun-2018 - 00:00,975.35,"MD University, Rohtak - HSPCB"
01-Jun-2018 - 00:00,29.91,53.72,202.71,1.91,72.51,,,,20.6,0.98,25.85,223.01,,,,,,-0.03,02-Jun-2018 - 00:00,976.32,"MD University, Rohtak - HSPCB"
02-Jun-2018 - 00:00,28.07,54.51,198.53,1.92,85.2,,,,10.67,0.9,25.67,68.14,,,,,,-0.03,03-Jun-2018 - 00:00,977.32,"MD University, Rohtak - HSPCB"
03-Jun-2018 - 00:00,29.21,56.11,200.1,1.61,74.46,,,,10.29,0.86,24.17,61.64,,,,,,-0.02,04-Jun-2018 - 00:00,975.01,"MD University, Rohtak - HSPCB"
04-Jun-2018 - 00:00,31.32,52.17,188.64,1.87,83.52,,,,12.52,0.95,25.2,200.72,,,,,,-0.02,05-Jun-2018 - 00:00,973.84,"MD University, Rohtak - HSPCB"
05-Jun-2018 - 00:00,31.99,52.45,190.37,1.96,77.45,,,,16.73,0.97,25.08,147.64,,,,,,-0.02,06-Jun-2018 - 00:00,976.1,"MD University, Rohtak - HSPCB"
06-Jun-2018 - 00:00,28.38,52.42,178.07,1.66,60.79,,,,18.35,0.82,26.85,58.47,,,,,,-0.03,07-Jun-2018 - 00:00,978.49,"MD University, Rohtak - HSPCB"
07-Jun-2018 - 00:00,30.48,55.79,192.84,1.28,81.64,,,,3.71,1.15,28.08,77.47,,,,,,-0.03,08-Jun-2018 - 00:00,973.94,"MD University, Rohtak - HSPCB"
08-Jun-2018 - 00:00,31.43,51.9,172.95,1.86,86.01,,,,9.41,0.89,25.79,183.64,,,,,,-0.02,09-Jun-2018 - 00:00,970.26,"MD University, Rohtak - HSPCB"
09-Jun-2018 - 00:00,28.41,53.05,147.16,1.41,94.33,6.63,8.83,14.59,13.16,1.02,23.93,243.53,,,,,,-0.03,10-Jun-2018 - 00:00,970.63,"MD University, Rohtak - HSPCB"
10-Jun-2018 - 00:00,29.9,55.81,179.51,0.61,145.01,,,,11.59,0.88,24.0,220.58,,,,,,-0.02,11-Jun-2018 - 00:00,971.34,"MD University, Rohtak - HSPCB"
11-Jun-2018 - 00:00,33.35,60.24,221.89,1.09,191.65,12.37,17.37,24.43,9.4,0.9,24.57,106.56,,,,,,-0.02,12-Jun-2018 - 00:00,969.28,"MD University, Rohtak - HSPCB"
12-Jun-2018 - 00:00,34.65,59.39,159.23,1.01,175.47,,,,9.84,0.82,25.76,90.62,,,,,,-0.02,13-Jun-2018 - 00:00,966.66,"MD University, Rohtak - HSPCB"
13-Jun-2018 - 00:00,35.77,57.82,158.66,1.73,184.16,,,,14.31,0.9,25.25,221.32,,,,,,-0.02,14-Jun-2018 - 00:00,966.69,"MD University, Rohtak - HSPCB"
14-Jun-2018 - 00:00,34.87,57.54,175.83,1.74,177.55,,,,11.91,0.9,25.78,172.85,,,,,,-0.03,15-Jun-2018 - 00:00,968.66,"MD University, Rohtak - HSPCB"
15-Jun-2018 - 00:00,33.97,57.66,178.0,1.77,166.41,,,,8.86,0.88,26.12,116.1,,,,,,-0.03,16-Jun-2018 - 00:00,970.88,"MD University, Rohtak - HSPCB"
16-Jun-2018 - 00:00,33.69,58.69,176.8,1.42,151.24,,,,10.87,0.89,26.17,64.22,,,,,,-0.03,17-Jun-2018 - 00:00,973.02,"MD University, Rohtak - HSPCB"
17-Jun-2018 - 00:00,29.52,61.89,195.36,1.21,72.94,,,,9.19,0.91,25.4,39.88,,,,,,-0.03,18-Jun-2018 - 00:00,974.8,"MD University, Rohtak - HSPCB"
18-Jun-2018 - 00:00,29.54,61.35,168.36,0.83,164.34,,,,12.57,1.0,25.55,30.79,,,,,,-0.03,19-Jun-2018 - 00:00,975.2,"MD University, Rohtak - HSPCB"
19-Jun-2018 - 00:00,31.56,60.56,243.47,0.67,142.12,,,,11.95,0.84,25.58,37.61,,,,,,2.49,20-Jun-2018 - 00:00,974.85,"MD University, Rohtak - HSPCB"
20-Jun-2018 - 00:00,34.3,55.62,224.04,0.67,111.3,,,,29.83,1.92,27.01,42.56,,,,,,4.29,21-Jun-2018 - 00:00,975.15,"MD University, Rohtak - HSPCB"
21-Jun-2018 - 00:00,34.77,50.73,208.91,0.45,135.21,,,,41.64,4.45,26.42,37.28,,,,,,4.29,22-Jun-2018 - 00:00,975.04,"MD University, Rohtak - HSPCB"
22-Jun-2018 - 00:00,36.62,50.96,268.79,0.53,111.72,,,,65.94,0.81,30.73,26.54,,,,,,4.29,23-Jun-2018 - 00:00,973.46,"MD University, Rohtak - HSPCB"
23-Jun-2018 - 00:00,35.53,51.47,202.43,0.49,132.73,,,,19.87,1.01,30.4,41.08,,,,,,4.28,24-Jun-2018 - 00:00,973.36,"MD University, Rohtak - HSPCB"
24-Jun-2018 - 00:00,36.92,52.65,215.27,0.5,162.76,,,,22.06,1.16,27.05,32.96,,,,,,4.29,25-Jun-2018 - 00:00,972.71,"MD University, Rohtak - HSPCB"
25-Jun-2018 - 00:00,38.25,52.99,210.46,1.21,187.78,,,,11.22,0.95,26.41,39.79,,,,,,4.29,26-Jun-2018 - 00:00,970.58,"MD University, Rohtak - HSPCB"
26-Jun-2018 - 00:00,32.19,56.13,78.2,1.06,130.58,,,,9.68,0.77,25.48,23.32,,,,,,4.29,27-Jun-2018 - 00:00,971.34,"MD University, Rohtak - HSPCB"
27-Jun-2018 - 00:00,28.43,62.38,137.24,1.39,102.44,,,,11.93,1.3,25.37,12.35,,,,,,4.3,28-Jun-2018 - 00:00,973.76,"MD University, Rohtak - HSPCB"
28-Jun-2018 - 00:00,27.99,61.54,196.12,1.23,94.41,,,,24.67,1.09,25.11,11.79,,,,,,4.3,29-Jun-2018 - 00:00,975.27,"MD University, Rohtak - HSPCB"
29-Jun-2018 - 00:00,29.33,63.19,166.15,1.98,76.01,,,,12.87,1.09,25.33,8.92,,,,,,3.8,30-Jun-2018 - 00:00,975.43,"MD University, Rohtak - HSPCB"
30-Jun-2018 - 00:00,30.68,50.45,180.84,0.69,134.57,,,,13.38,0.99,25.59,16.14,,,,,,1.86,01-Jul-2018 - 00:00,974.5,"MD University, Rohtak - HSPCB"
01-Jul-2018 - 00:00,31.88,51.95,199.12,1.35,169.98,,,,12.12,0.88,26.59,3.32,,,,,,1.66,02-Jul-2018 - 00:00,974.02,"MD University, Rohtak - HSPCB"
02-Jul-2018 - 00:00,32.58,55.94,169.78,1.45,154.9,,,,12.8,0.98,26.03,7.61,,,,,,1.67,03-Jul-2018 - 00:00,971.42,"MD University, Rohtak - HSPCB"
03-Jul-2018 - 00:00,32.18,56.28,193.31,1.26,74.21,,,,11.35,1.03,25.68,29.23,,,,,,1.66,04-Jul-2018 - 00:00,971.65,"MD University, Rohtak - HSPCB"
04-Jul-2018 - 00:00,31.99,55.93,220.11,1.15,83.47,,,,11.83,0.87,25.76,30.21,,,,,,1.66,05-Jul-2018 - 00:00,972.29,"MD University, Rohtak - HSPCB"
05-Jul-2018 - 00:00,32.53,54.23,210.51,0.87,107.64,,,,11.33,0.86,25.63,38.47,,,,,,1.66,06-Jul-2018 - 00:00,973.82,"MD University, Rohtak - HSPCB"
06-Jul-2018 - 00:00,33.97,51.71,234.73,0.63,159.82,,,,12.15,0.92,26.74,38.82,,,,,,1.66,07-Jul-2018 - 00:00,973.97,"MD University, Rohtak - HSPCB"
07-Jul-2018 - 00:00,34.87,53.8,242.5,0.54,151.11,,,,12.24,0.87,25.74,24.91,,,,,,1.66,08-Jul-2018 - 00:00,973.12,"MD University, Rohtak - HSPCB"
08-Jul-2018 - 00:00,36.04,53.68,258.08,0.61,119.21,,,,13.52,0.95,25.94,31.1,,,,,,1.66,09-Jul-2018 - 00:00,972.07,"MD University, Rohtak - HSPCB"
09-Jul-2018 - 00:00,35.91,51.51,236.26,1.41,82.71,,,,12.08,0.83,25.36,58.3,,,,,,1.66,10-Jul-2018 - 00:00,971.54,"MD University, Rohtak - HSPCB"
10-Jul-2018 - 00:00,35.1,55.01,219.07,1.54,78.88,,,,13.23,0.84,25.66,400.37,,,,,,1.66,11-Jul-2018 - 00:00,972.06,"MD University, Rohtak - HSPCB"
11-Jul-2018 - 00:00,34.12,52.35,211.09,1.31,116.29,,,,18.2,1.04,25.07,163.35,,,,,,2.02,12-Jul-2018 - 00:00,971.7,"MD University, Rohtak - HSPCB"
12-Jul-2018 - 00:00,32.77,56.28,207.77,1.09,128.88,,,,16.58,1.0,25.48,16.68,,,,,,1.66,13-Jul-2018 - 00:00,971.3,"MD University, Rohtak - HSPCB"
13-Jul-2018 - 00:00,29.34,64.42,155.1,1.12,92.72,,,,15.76,0.9,26.06,30.94,,,,,,2.02,14-Jul-2018 - 00:00,973.04,"MD University, Rohtak - HSPCB"
14-Jul-2018 - 00:00,29.28,61.5,176.05,1.05,73.9,,,,16.64,0.92,25.56,24.59,,,,,,2.42,15-Jul-2018 - 00:00,972.61,"MD University, Rohtak - HSPCB"
15-Jul-2018 - 00:00,31.79,57.09,256.75,1.36,76.95,,,,32.15,0.87,25.03,34.85,,,,,,2.94,16-Jul-2018 - 00:00,971.92,"MD University, Rohtak - HSPCB"
16-Jul-2018 - 00:00,30.47,61.92,89.55,1.11,68.43,,,,16.5,0.9,25.45,22.06,,,,,,1.77,17-Jul-2018 - 00:00,972.84,"MD University, Rohtak - HSPCB"
17-Jul-2018 - 00:00,24.73,62.01,108.72,0.64,86.17,,,,8.09,1.08,26.64,17.64,,,,,,1.74,18-Jul-2018 - 00:00,973.17,"MD University, Rohtak - HSPCB"
18-Jul-2018 - 00:00,27.31,61.42,183.97,1.07,80.79,,,,12.26,0.97,25.66,22.55,,,,,,1.99,19-Jul-2018 - 00:00,973.74,"MD University, Rohtak - HSPCB"
19-Jul-2018 - 00:00,29.34,60.03,142.92,0.68,118.85,,,,13.99,0.8,25.84,9.51,,,,,,1.85,20-Jul-2018 - 00:00,973.57,"MD University, Rohtak - HSPCB"
20-Jul-2018 - 00:00,27.61,65.09,177.91,0.66,137.65,,,,13.91,0.91,27.04,17.45,,,,,,1.66,21-Jul-2018 - 00:00,973.19,"MD University, Rohtak - HSPCB"
21-Jul-2018 - 00:00,27.38,63.94,169.57,0.78,108.95,,,,33.57,1.03,27.04,40.52,,,,,,1.67,22-Jul-2018 - 00:00,973.4,"MD University, Rohtak - HSPCB"
22-Jul-2018 - 00:00,20.63,65.28,182.25,0.88,99.47,,,,14.52,0.85,25.51,12.49,,,,,,1.66,23-Jul-2018 - 00:00,974.06,"MD University, Rohtak - HSPCB"
23-Jul-2018 - 00:00,28.16,65.15,146.73,0.54,113.51,,,,29.94,0.8,25.44,17.93,,,,,,1.66,24-Jul-2018 - 00:00,974.0,"MD University, Rohtak - HSPCB"
24-Jul-2018 - 00:00,33.53,62.94,101.4,0.75,119.01,,,,20.61,0.94,26.26,37.96,,,,,,-2.63,25-Jul-2018 - 00:00,973.07,"MD University, Rohtak - HSPCB"
25-Jul-2018 - 00:00,29.47,67.51,129.05,1.22,152.01,,,,19.83,0.71,26.87,28.74,,,,,,-2.63,26-Jul-2018 - 00:00,973.54,"MD University, Rohtak - HSPCB"
26-Jul-2018 - 00:00,25.45,67.84,116.01,0.55,144.92,,,,38.01,0.91,26.61,30.4,,,,,,-1.05,27-Jul-2018 - 00:00,974.1,"MD University, Rohtak - HSPCB"
27-Jul-2018 - 00:00,17.35,67.48,74.64,0.68,56.86,,,,21.47,0.75,25.11,47.98,,,,,,0.21,28-Jul-2018 - 00:00,973.42,"MD University, Rohtak - HSPCB"
28-Jul-2018 - 00:00,18.99,66.43,198.16,0.75,167.72,,,,17.57,0.81,25.99,50.32,,,,,,-0.11,29-Jul-2018 - 00:00,973.84,"MD University, Rohtak - HSPCB"
29-Jul-2018 - 00:00,29.65,64.19,306.21,0.84,176.8,,,,13.31,0.72,26.15,29.69,,,,,,1.63,30-Jul-2018 - 00:00,973.93,"MD University, Rohtak - HSPCB"
30-Jul-2018 - 00:00,29.63,63.38,170.78,0.98,181.44,,,,15.21,0.84,26.5,45.33,,,,,,1.63,31-Jul-2018 - 00:00,973.51,"MD University, Rohtak - HSPCB"
31-Jul-2018 - 00:00,30.49,62.51,223.58,1.0,168.1,,,,12.24,0.73,25.8,65.61,,,,,,1.63,01-Aug-2018 - 00:00,972.55,"MD University, Rohtak - HSPCB"
01-Aug-2018 - 00:00,30.15,62.82,241.11,1.08,158.95,,,,14.19,0.74,25.43,86.24,,,,,,1.63,02-Aug-2018 - 00:00,973.13,"MD University, Rohtak - HSPCB"
02-Aug-2018 - 00:00,30.11,61.49,212.14,1.33,171.17,,,,15.08,0.83,26.18,65.12,,,,,,1.63,03-Aug-2018 - 00:00,974.44,"MD University, Rohtak - HSPCB"
03-Aug-2018 - 00:00,29.15,60.96,235.19,1.51,175.68,,,,16.01,1.07,24.67,61.13,,,,,,1.63,04-Aug-2018 - 00:00,974.93,"MD University, Rohtak - HSPCB"
04-Aug-2018 - 00:00,27.78,61.3,208.62,1.39,166.8,,,,12.4,1.05,24.55,63.74,,,,,,1.63,05-Aug-2018 - 00:00,974.52,"MD University, Rohtak - HSPCB"
05-Aug-2018 - 00:00,29.56,61.77,152.27,1.64,149.25,,,,12.43,0.84,25.61,64.13,,,,,,1.63,06-Aug-2018 - 00:00,974.59,"MD University, Rohtak - HSPCB"
06-Aug-2018 - 00:00,27.36,64.06,92.81,1.22,83.49,,,,18.04,1.14,26.66,77.58,,,,,,1.63,07-Aug-2018 - 00:00,975.14,"MD University, Rohtak - HSPCB"
07-Aug-2018 - 00:00,27.07,64.87,130.91,0.69,72.05,,,,14.86,1.23,25.9,36.64,,,,,,1.63,08-Aug-2018 - 00:00,975.49,"MD University, Rohtak - HSPCB"
08-Aug-2018 - 00:00,27.77,66.24,157.41,0.99,105.17,,,,17.35,0.9,26.04,49.62,,,,,,1.63,09-Aug-2018 - 00:00,975.77,"MD University, Rohtak - HSPCB"
09-Aug-2018 - 00:00,30.37,63.45,219.83,1.17,77.01,,,,10.22,0.91,26.66,37.68,,,,,,1.63,10-Aug-2018 - 00:00,977.81,"MD University, Rohtak - HSPCB"
10-Aug-2018 - 00:00,31.71,63.84,219.83,0.74,148.38,,,,22.21,0.85,25.96,48.82,,,,,,1.63,11-Aug-2018 - 00:00,976.6,"MD University, Rohtak - HSPCB"
11-Aug-2018 - 00:00,31.52,63.62,230.01,1.34,177.2,,,,13.34,0.89,27.06,50.61,,,,,,1.63,12-Aug-2018 - 00:00,973.07,"MD University, Rohtak - HSPCB"
12-Aug-2018 - 00:00,30.15,62.95,133.46,1.22,157.16,,,,11.33,0.82,25.07,46.88,,,,,,1.63,13-Aug-2018 - 00:00,971.29,"MD University, Rohtak - HSPCB"
13-Aug-2018 - 00:00,30.03,62.97,166.84,1.07,121.79,,,,16.45,0.83,25.48,46.23,,,,,,1.63,14-Aug-2018 - 00:00,972.71,"MD University, Rohtak - HSPCB"
14-Aug-2018 - 00:00,31.47,63.21,196.1,0.56,121.34,,,,19.08,0.97,25.45,48.88,,,,,,1.63,15-Aug-2018 - 00:00,973.71,"MD University, Rohtak - HSPCB"
15-Aug-2018 - 00:00,31.15,63.38,229.91,0.92,112.93,,,,13.2,0.48,26.57,41.69,,,,,,1.63,16-Aug-2018 - 00:00,975.25,"MD University, Rohtak - HSPCB"
16-Aug-2018 - 00:00,22.78,56.46,171.0,1.07,73.32,,,,14.26,2.04,26.76,47.71,,,,,,1.63,17-Aug-2018 - 00:00,977.01,"MD University, Rohtak - HSPCB"
17-Aug-2018 - 00:00,22.79,64.89,216.4,1.4,68.7,,,,22.47,0.88,25.5,51.76,,,,,,1.63,18-Aug-2018 - 00:00,974.81,"MD University, Rohtak - HSPCB"
18-Aug-2018 - 00:00,14.75,65.94,286.75,1.31,96.69,,,,23.82,0.69,24.81,18.46,,,,,,1.63,19-Aug-2018 - 00:00,974.53,"MD University, Rohtak - HSPCB"
19-Aug-2018 - 00:00,,,,,,,,,,,,,,,,,,,20-Aug-2018 - 00:00,,"MD University, Rohtak - HSPCB"
20-Aug-2018 - 00:00,32.01,62.95,226.2,1.07,69.23,,,,32.32,0.58,25.46,55.36,,,,,,-2.62,21-Aug-2018 - 00:00,975.58,"MD University, Rohtak - HSPCB"
21-Aug-2018 - 00:00,30.64,64.61,217.09,1.11,87.57,,,,19.6,0.82,25.32,39.82,,,,,,-2.62,22-Aug-2018 - 00:00,975.48,"MD University, Rohtak - HSPCB"
22-Aug-2018 - 00:00,29.09,65.94,102.67,0.96,106.88,,,,31.43,0.73,25.78,28.5,,,,,,-2.62,23-Aug-2018 - 00:00,975.15,"MD University, Rohtak - HSPCB"
23-Aug-2018 - 00:00,27.47,66.87,106.3,1.2,156.88,,,,9.65,0.92,25.29,43.42,,,,,,-2.62,24-Aug-2018 - 00:00,975.94,"MD University, Rohtak - HSPCB"
24-Aug-2018 - 00:00,20.07,63.82,194.83,1.19,181.21,,,,19.53,1.01,25.94,46.94,,,,,,-2.63,25-Aug-2018 - 00:00,975.05,"MD University, Rohtak - HSPCB"
25-Aug-2018 - 00:00,29.37,62.68,169.86,1.39,175.85,,,,30.9,0.99,25.26,15.37,,,,,,-2.63,26-Aug-2018 - 00:00,974.47,"MD University, Rohtak - HSPCB"
26-Aug-2018 - 00:00,30.11,63.55,206.66,0.93,142.18,,,,31.59,0.85,24.64,16.85,,,,,,-2.63,27-Aug-2018 - 00:00,974.27,"MD University, Rohtak - HSPCB"
27-Aug-2018 - 00:00,30.22,65.34,158.55,0.67,125.47,,,,23.64,0.93,25.04,50.96,,,,,,-2.63,28-Aug-2018 - 00:00,975.79,"MD University, Rohtak - HSPCB"
28-Aug-2018 - 00:00,27.94,67.45,82.63,0.91,57.02,,,,16.19,0.75,25.53,23.27,,,,,,-2.63,29-Aug-2018 - 00:00,977.24,"MD University, Rohtak - HSPCB"
29-Aug-2018 - 00:00,28.02,67.87,142.81,1.02,95.07,,,,3.05,0.94,24.8,29.0,,,,,,-2.63,30-Aug-2018 - 00:00,978.11,"MD University, Rohtak - HSPCB"
30-Aug-2018 - 00:00,30.52,65.84,218.99,0.83,165.19,,,,11.84,0.89,25.22,28.35,,,,,,-2.63,31-Aug-2018 - 00:00,975.74,"MD University, Rohtak - HSPCB"
31-Aug-2018 - 00:00,30.87,64.69,174.08,1.12,150.12,,,,6.8,0.86,25.73,40.17,,,,,,-2.63,01-Sep-2018 - 00:00,975.85,"MD University, Rohtak - HSPCB"
01-Sep-2018 - 00:00,29.43,66.84,100.92,0.68,130.03,,,,21.51,0.89,25.93,26.58,,,,,,-2.63,02-Sep-2018 - 00:00,978.02,"MD University, Rohtak - HSPCB"
02-Sep-2018 - 00:00,27.2,68.01,100.64,0.75,122.54,,,,21.05,0.81,24.7,39.98,,,,,,-2.63,03-Sep-2018 - 00:00,978.27,"MD University, Rohtak - HSPCB"
03-Sep-2018 - 00:00,27.72,66.97,124.48,0.59,88.61,,,,24.31,0.85,25.0,25.06,,,,,,-2.63,04-Sep-2018 - 00:00,978.26,"MD University, Rohtak - HSPCB"
04-Sep-2018 - 00:00,27.76,67.21,90.89,0.59,152.39,,,,14.49,0.82,25.0,58.29,,,,,,-2.62,05-Sep-2018 - 00:00,978.92,"MD University, Rohtak - HSPCB"
05-Sep-2018 - 00:00,27.51,67.12,102.41,0.81,158.85,,,,20.79,0.95,25.23,17.85,,,,,,-2.62,06-Sep-2018 - 00:00,978.21,"MD University, Rohtak - HSPCB"
06-Sep-2018 - 00:00,28.87,64.45,212.69,0.93,171.23,,,,14.09,0.99,24.99,42.26,,,,,,-2.62,07-Sep-2018 - 00:00,977.44,"MD University, Rohtak - HSPCB"
07-Sep-2018 - 00:00,27.67,64.99,192.8,0.8,102.54,,,,15.75,1.0,25.78,50.13,,,,,,-2.62,08-Sep-2018 - 00:00,979.29,"MD University, Rohtak - HSPCB"
08-Sep-2018 - 00:00,27.83,60.09,144.03,1.14,71.38,,,,21.23,0.96,25.16,29.16,,,0.0,0.0,0.0,-2.62,09-Sep-2018 - 00:00,979.83,"MD University, Rohtak - HSPCB"
09-Sep-2018 - 00:00,28.38,60.9,171.94,1.42,83.64,,,,28.95,0.81,25.16,30.22,,,,,,-2.62,10-Sep-2018 - 00:00,980.84,"MD University, Rohtak - HSPCB"
10-Sep-2018 - 00:00,29.41,62.28,184.15,1.09,117.05,,,,23.18,0.85,25.42,62.78,,,,,,-2.63,11-Sep-2018 - 00:00,982.35,"MD University, Rohtak - HSPCB"
11-Sep-2018 - 00:00,30.97,62.2,180.14,1.06,174.32,,,,18.61,1.01,24.99,29.2,,,,,,-2.63,12-Sep-2018 - 00:00,981.74,"MD University, Rohtak - HSPCB"
12-Sep-2018 - 00:00,31.35,63.44,210.99,1.42,179.7,,,,23.32,0.81,25.31,67.22,,,,,,-2.63,13-Sep-2018 - 00:00,979.03,"MD University, Rohtak - HSPCB"
13-Sep-2018 - 00:00,30.89,62.09,218.68,1.57,175.17,,,,21.05,0.88,24.95,54.51,,,,,,-2.62,14-Sep-2018 - 00:00,978.88,"MD University, Rohtak - HSPCB"
14-Sep-2018 - 00:00,30.17,62.46,197.22,0.94,170.28,,,,21.34,0.93,24.93,96.07,,,,,,-2.62,15-Sep-2018 - 00:00,981.34,"MD University, Rohtak - HSPCB"
15-Sep-2018 - 00:00,30.71,61.62,213.26,0.81,171.97,,,,27.24,,24.83,256.13,,,,,,-2.62,16-Sep-2018 - 00:00,983.03,"MD University, Rohtak - HSPCB"
16-Sep-2018 - 00:00,31.64,58.59,211.65,0.74,161.97,,,,27.76,0.88,24.7,256.13,,,,,,-2.62,17-Sep-2018 - 00:00,981.8,"MD University, Rohtak - HSPCB"
17-Sep-2018 - 00:00,31.66,60.31,186.3,0.56,175.99,,,,17.24,0.95,24.4,161.31,,,,,,-2.62,18-Sep-2018 - 00:00,980.81,"MD University, Rohtak - HSPCB"
18-Sep-2018 - 00:00,31.7,59.58,202.22,0.62,156.34,,,,24.28,0.9,25.09,75.06,,,,,,-2.62,19-Sep-2018 - 00:00,980.8,"MD University, Rohtak - HSPCB"
