from date,SO2,CO,Ozone,PM2.5,Benzene,Toluene,O Xylene,MP-Xylene,AT,RH,VWS,BP,SR,Eth-Benzene,RF,WS,WD,NO,NO2,NOx,to date,station
17-Aug-2018 - 00:00,6.74,0.47,21.32,41.93,3.68,,,,32.87,57.23,-0.57,738.35,300.59,,0.0,0.67,84.11,20.89,16.51,25.19,18-Aug-2018 - 00:00,"Vikas Sadan, Gurugram - HSPCB"
18-Aug-2018 - 00:00,5.82,0.61,22.88,45.41,2.06,,,,33.29,57.08,-0.23,738.13,268.16,,0.05,0.48,120.17,14.27,14.64,19.08,19-Aug-2018 - 00:00,"Vikas Sadan, Gurugram - HSPCB"
19-Aug-2018 - 00:00,6.49,0.56,20.57,54.39,2.23,,,,31.32,57.48,0.24,738.73,149.48,,0.0,0.28,184.17,19.3,13.99,22.78,20-Aug-2018 - 00:00,"Vikas Sadan, Gurugram - HSPCB"
20-Aug-2018 - 00:00,6.53,0.56,28.62,89.63,2.49,,,,32.11,58.13,0.26,739.69,203.22,,0.0,0.35,139.63,20.85,27.75,29.6,21-Aug-2018 - 00:00,"Vikas Sadan, Gurugram - HSPCB"
21-Aug-2018 - 00:00,6.03,0.57,18.44,56.24,1.4,,,,31.59,57.92,0.11,739.38,252.85,,0.0,0.57,124.55,11.12,24.23,19.46,22-Aug-2018 - 00:00,"Vikas Sadan, Gurugram - HSPCB"
22-Aug-2018 - 00:00,4.72,0.51,20.41,48.13,1.52,,,,31.18,57.68,-0.17,739.04,224.39,,0.0,0.45,155.65,10.79,22.23,18.16,23-Aug-2018 - 00:00,"Vikas Sadan, Gurugram - HSPCB"
23-Aug-2018 - 00:00,4.94,0.54,15.9,43.57,0.72,,,,29.76,58.41,-0.34,740.12,197.49,,0.01,0.44,260.1,6.31,16.9,11.79,24-Aug-2018 - 00:00,"Vikas Sadan, Gurugram - HSPCB"
24-Aug-2018 - 00:00,5.36,0.59,17.04,48.53,1.09,,,,32.45,57.1,0.03,739.4,167.45,,0.0,0.4,258.04,9.23,19.45,15.37,25-Aug-2018 - 00:00,"Vikas Sadan, Gurugram - HSPCB"
25-Aug-2018 - 00:00,5.51,0.43,14.71,47.97,0.56,,,,37.58,57.52,0.11,738.79,191.14,,0.0,0.49,262.79,6.69,21.49,14.5,26-Aug-2018 - 00:00,"Vikas Sadan, Gurugram - HSPCB"
26-Aug-2018 - 00:00,5.18,0.46,18.88,42.39,0.45,,,,43.39,57.05,-0.56,738.06,309.24,,0.0,0.6,246.55,3.8,18.17,10.42,27-Aug-2018 - 00:00,"Vikas Sadan, Gurugram - HSPCB"
27-Aug-2018 - 00:00,7.32,0.49,24.64,36.43,2.56,,,,37.89,58.54,-4.23,740.31,142.88,,0.11,0.29,162.61,19.76,30.6,29.71,28-Aug-2018 - 00:00,"Vikas Sadan, Gurugram - HSPCB"
28-Aug-2018 - 00:00,4.92,0.58,16.33,45.25,1.65,,,,30.13,59.39,-8.49,741.58,155.93,,1.27,0.49,161.71,12.65,25.62,21.41,29-Aug-2018 - 00:00,"Vikas Sadan, Gurugram - HSPCB"
29-Aug-2018 - 00:00,5.98,0.59,12.09,31.84,1.55,,,,29.24,60.01,0.27,742.51,144.82,,0.04,0.5,130.61,18.91,20.48,22.84,30-Aug-2018 - 00:00,"Vikas Sadan, Gurugram - HSPCB"
30-Aug-2018 - 00:00,5.61,0.58,14.24,55.13,1.71,,,,31.4,58.22,0.64,739.81,287.37,,0.0,0.26,233.52,24.13,18.59,26.82,31-Aug-2018 - 00:00,"Vikas Sadan, Gurugram - HSPCB"
31-Aug-2018 - 00:00,6.04,0.58,16.18,71.92,0.7,,,,31.82,58.2,0.51,739.8,336.48,,0.0,0.46,260.63,13.49,19.63,18.74,01-Sep-2018 - 00:00,"Vikas Sadan, Gurugram - HSPCB"
01-Sep-2018 - 00:00,9.55,0.54,13.16,44.24,1.56,,,,28.67,61.14,0.36,744.2,174.1,,0.07,0.26,229.29,23.12,19.66,26.67,02-Sep-2018 - 00:00,"Vikas Sadan, Gurugram - HSPCB"
02-Sep-2018 - 00:00,5.59,0.15,19.13,16.01,0.0,,,,27.89,59.95,0.15,742.45,196.67,,0.0,0.57,252.5,5.11,12.48,2.64,03-Sep-2018 - 00:00,"Vikas Sadan, Gurugram - HSPCB"
03-Sep-2018 - 00:00,5.83,0.05,20.43,6.72,0.29,,,,29.17,60.58,0.06,743.37,336.52,,0.0,0.23,198.27,15.13,24.34,2.44,04-Sep-2018 - 00:00,"Vikas Sadan, Gurugram - HSPCB"
04-Sep-2018 - 00:00,7.42,0.28,11.38,34.79,1.92,,,,27.25,60.93,0.45,744.15,92.48,,0.38,0.14,203.47,16.3,23.53,23.25,05-Sep-2018 - 00:00,"Vikas Sadan, Gurugram - HSPCB"
05-Sep-2018 - 00:00,6.89,0.7,,61.8,1.8,,,,27.81,60.23,0.5,743.07,111.03,,0.24,0.22,191.17,31.16,17.93,30.82,06-Sep-2018 - 00:00,"Vikas Sadan, Gurugram - HSPCB"
06-Sep-2018 - 00:00,7.35,0.57,4.34,66.01,0.37,,,,29.25,55.93,0.55,741.8,278.28,,0.04,0.37,250.71,21.42,20.88,25.59,07-Sep-2018 - 00:00,"Vikas Sadan, Gurugram - HSPCB"
07-Sep-2018 - 00:00,8.42,0.65,21.5,27.46,2.69,,,,29.19,49.15,0.04,744.05,206.71,,0.0,0.15,128.07,36.81,30.5,44.0,08-Sep-2018 - 00:00,"Vikas Sadan, Gurugram - HSPCB"
08-Sep-2018 - 00:00,5.27,0.28,8.91,29.45,4.06,,,,31.43,43.88,-0.11,744.48,183.66,,0.14,1.0,101.31,31.01,24.0,36.81,09-Sep-2018 - 00:00,"Vikas Sadan, Gurugram - HSPCB"
09-Sep-2018 - 00:00,3.29,0.59,10.87,19.52,2.13,,,,28.22,37.34,-0.11,746.01,205.52,,0.0,1.14,120.7,18.41,15.74,22.96,10-Sep-2018 - 00:00,"Vikas Sadan, Gurugram - HSPCB"
10-Sep-2018 - 00:00,5.01,0.49,4.1,30.36,2.12,,,,30.67,48.05,-0.09,747.73,152.06,,0.0,0.23,202.26,27.96,20.04,32.37,11-Sep-2018 - 00:00,"Vikas Sadan, Gurugram - HSPCB"
11-Sep-2018 - 00:00,7.69,0.48,5.02,35.92,2.23,,,,35.82,63.04,-0.05,747.05,223.46,,0.0,0.31,259.01,24.02,16.67,27.93,12-Sep-2018 - 00:00,"Vikas Sadan, Gurugram - HSPCB"
12-Sep-2018 - 00:00,7.36,0.36,7.91,39.17,2.33,,,,35.15,60.99,-0.04,743.98,213.44,,0.0,0.47,262.44,21.51,19.54,27.43,13-Sep-2018 - 00:00,"Vikas Sadan, Gurugram - HSPCB"
13-Sep-2018 - 00:00,6.95,0.53,6.67,42.89,2.76,,,,26.89,60.83,-0.04,743.73,270.01,,0.0,0.46,250.95,21.24,19.64,27.33,14-Sep-2018 - 00:00,"Vikas Sadan, Gurugram - HSPCB"
14-Sep-2018 - 00:00,5.31,0.41,9.73,36.48,2.05,,,,25.14,59.99,-0.13,745.88,347.89,,0.0,0.46,268.19,17.87,19.94,23.3,15-Sep-2018 - 00:00,"Vikas Sadan, Gurugram - HSPCB"
15-Sep-2018 - 00:00,,,,,,,,,,,,,,,,,,,,,16-Sep-2018 - 00:00,"Vikas Sadan, Gurugram - HSPCB"
16-Sep-2018 - 00:00,,,,,,,,,,,,,,,,,,,,,17-Sep-2018 - 00:00,"Vikas Sadan, Gurugram - HSPCB"
17-Sep-2018 - 00:00,7.4,0.33,34.23,79.87,2.67,,,,31.36,36.56,-0.04,744.83,252.35,,0.0,0.58,284.56,9.86,20.33,19.22,18-Sep-2018 - 00:00,"Vikas Sadan, Gurugram - HSPCB"
18-Sep-2018 - 00:00,7.66,0.52,28.17,223.43,2.23,,,,30.63,37.01,-0.04,745.51,241.03,,0.0,0.38,231.01,9.18,22.71,19.05,19-Sep-2018 - 00:00,"Vikas Sadan, Gurugram - HSPCB"
19-Sep-2018 - 00:00,7.14,0.53,29.55,106.3,2.67,,,,31.08,36.85,-0.02,745.28,239.23,,0.0,0.41,188.11,19.58,32.25,32.53,20-Sep-2018 - 00:00,"Vikas Sadan, Gurugram - HSPCB"
20-Sep-2018 - 00:00,7.18,0.29,39.28,151.47,2.54,,,,31.32,37.0,-0.3,745.5,258.23,,0.0,0.17,153.68,37.44,39.59,35.03,21-Sep-2018 - 00:00,"Vikas Sadan, Gurugram - HSPCB"
21-Sep-2018 - 00:00,5.88,0.3,23.1,25.59,0.2,,,,30.5,38.82,-0.36,748.23,223.22,,0.03,1.32,109.83,11.97,21.46,10.48,22-Sep-2018 - 00:00,"Vikas Sadan, Gurugram - HSPCB"
22-Sep-2018 - 00:00,7.67,0.47,15.77,43.64,0.23,,,,20.84,39.4,0.08,749.1,90.07,,0.13,1.11,112.38,11.45,19.92,19.57,23-Sep-2018 - 00:00,"Vikas Sadan, Gurugram - HSPCB"
23-Sep-2018 - 00:00,6.21,0.37,22.27,59.6,0.04,,,,21.99,38.91,0.08,748.37,141.91,,0.65,1.37,113.46,9.18,18.81,17.19,24-Sep-2018 - 00:00,"Vikas Sadan, Gurugram - HSPCB"
24-Sep-2018 - 00:00,6.01,0.41,5.67,34.09,0.69,,,,22.83,38.0,0.07,746.99,100.22,,0.08,0.36,126.24,17.38,18.34,23.5,25-Sep-2018 - 00:00,"Vikas Sadan, Gurugram - HSPCB"
25-Sep-2018 - 00:00,5.92,0.72,22.79,52.78,0.61,,,,23.95,38.88,-0.06,748.33,225.6,,0.0,0.39,236.94,11.99,16.65,16.56,26-Sep-2018 - 00:00,"Vikas Sadan, Gurugram - HSPCB"
26-Sep-2018 - 00:00,6.92,0.46,21.37,47.24,0.98,,,,24.5,38.66,0.09,747.99,254.42,,0.0,0.21,229.46,15.34,23.78,23.12,27-Sep-2018 - 00:00,"Vikas Sadan, Gurugram - HSPCB"
27-Sep-2018 - 00:00,8.68,0.64,22.57,96.28,3.62,,,,24.26,38.99,0.09,748.48,238.52,,0.0,0.21,171.83,79.27,26.99,75.09,28-Sep-2018 - 00:00,"Vikas Sadan, Gurugram - HSPCB"
28-Sep-2018 - 00:00,7.77,0.48,18.03,125.47,3.91,,,,24.48,39.36,0.07,749.03,246.3,,0.0,0.18,206.39,91.05,30.72,88.42,29-Sep-2018 - 00:00,"Vikas Sadan, Gurugram - HSPCB"
29-Sep-2018 - 00:00,7.84,0.17,31.77,133.8,2.1,,,,27.73,39.91,0.08,749.85,240.99,,0.0,0.23,218.58,53.47,29.03,54.71,30-Sep-2018 - 00:00,"Vikas Sadan, Gurugram - HSPCB"
30-Sep-2018 - 00:00,3.41,0.39,42.08,85.69,0.99,,,,27.46,39.65,0.07,749.47,234.82,,0.0,0.32,260.54,2.83,25.18,14.05,01-Oct-2018 - 00:00,"Vikas Sadan, Gurugram - HSPCB"
01-Oct-2018 - 00:00,4.57,0.53,35.8,75.93,1.56,,,,28.2,39.38,0.07,749.06,225.74,,0.0,0.21,235.74,5.41,38.04,23.13,02-Oct-2018 - 00:00,"Vikas Sadan, Gurugram - HSPCB"
02-Oct-2018 - 00:00,4.19,0.48,43.36,113.49,1.58,,,,28.92,39.74,-0.16,749.6,233.14,,0.0,0.22,181.55,13.33,34.53,27.94,03-Oct-2018 - 00:00,"Vikas Sadan, Gurugram - HSPCB"
03-Oct-2018 - 00:00,6.03,0.47,42.23,107.57,2.48,,,,28.65,39.39,-0.17,749.09,220.27,,0.0,0.18,171.78,14.12,21.64,8.11,04-Oct-2018 - 00:00,"Vikas Sadan, Gurugram - HSPCB"
04-Oct-2018 - 00:00,6.83,1.56,34.02,140.27,3.42,,,,30.04,40.36,-0.09,750.53,183.8,,0.0,0.2,148.3,,,0.0,05-Oct-2018 - 00:00,"Vikas Sadan, Gurugram - HSPCB"
05-Oct-2018 - 00:00,10.56,1.89,53.99,193.89,3.98,,,,32.07,40.9,-0.08,751.35,217.29,,0.0,0.26,129.81,,,0.0,06-Oct-2018 - 00:00,"Vikas Sadan, Gurugram - HSPCB"
06-Oct-2018 - 00:00,8.65,0.64,31.5,136.73,2.21,,,,29.53,41.03,-0.1,751.54,201.38,,0.0,0.2,198.1,,,0.0,07-Oct-2018 - 00:00,"Vikas Sadan, Gurugram - HSPCB"
07-Oct-2018 - 00:00,14.22,0.58,50.39,127.1,2.92,,,,26.75,40.55,-0.07,750.82,204.88,,0.0,0.24,123.16,,,0.0,08-Oct-2018 - 00:00,"Vikas Sadan, Gurugram - HSPCB"
08-Oct-2018 - 00:00,8.25,0.67,49.85,134.2,2.49,,,,30.14,38.26,-0.11,747.4,194.48,,0.0,0.19,162.24,,,0.0,09-Oct-2018 - 00:00,"Vikas Sadan, Gurugram - HSPCB"
09-Oct-2018 - 00:00,8.05,0.84,56.39,154.45,3.0,,,,29.49,38.68,-0.0,748.02,209.83,,0.0,0.32,131.52,,,0.0,10-Oct-2018 - 00:00,"Vikas Sadan, Gurugram - HSPCB"
10-Oct-2018 - 00:00,7.8,0.48,53.34,31.14,2.68,,,,29.14,38.59,-0.02,747.88,181.11,,0.0,0.59,126.84,,,0.0,11-Oct-2018 - 00:00,"Vikas Sadan, Gurugram - HSPCB"
11-Oct-2018 - 00:00,4.68,0.5,27.08,141.7,2.75,,,,23.0,40.62,0.19,750.93,116.72,,0.0,0.54,150.08,,,0.0,12-Oct-2018 - 00:00,"Vikas Sadan, Gurugram - HSPCB"
12-Oct-2018 - 00:00,6.88,0.88,36.01,196.72,2.61,,,,22.65,42.22,-0.07,753.33,199.45,,0.0,0.24,141.75,18.68,41.51,18.36,13-Oct-2018 - 00:00,"Vikas Sadan, Gurugram - HSPCB"
13-Oct-2018 - 00:00,8.74,0.57,44.86,147.98,2.72,,,,35.77,42.55,-0.07,753.83,197.76,,0.0,0.23,229.31,27.17,32.07,37.82,14-Oct-2018 - 00:00,"Vikas Sadan, Gurugram - HSPCB"
14-Oct-2018 - 00:00,6.13,0.57,53.29,180.03,1.63,,,,51.05,41.88,-0.05,752.82,239.34,,0.0,0.25,245.49,20.42,35.86,33.31,15-Oct-2018 - 00:00,"Vikas Sadan, Gurugram - HSPCB"
15-Oct-2018 - 00:00,8.42,0.38,20.74,183.91,2.64,,,,36.18,42.28,-0.07,753.45,561.8,,0.0,0.15,163.57,21.46,92.44,37.7,16-Oct-2018 - 00:00,"Vikas Sadan, Gurugram - HSPCB"
16-Oct-2018 - 00:00,,,,,,,,,,,,,,,,,,,,,17-Oct-2018 - 00:00,"Vikas Sadan, Gurugram - HSPCB"
17-Oct-2018 - 00:00,10.65,1.52,22.33,181.63,4.71,4.97,3.39,0.0,,39.86,-0.11,749.78,180.86,3.08,0.0,0.2,166.28,164.19,70.58,157.72,18-Oct-2018 - 00:00,"Vikas Sadan, Gurugram - HSPCB"
18-Oct-2018 - 00:00,9.24,0.64,19.68,193.73,3.83,3.94,3.02,0.0,,40.41,-0.12,750.62,148.19,2.65,0.0,0.21,144.87,95.76,73.89,115.99,19-Oct-2018 - 00:00,"Vikas Sadan, Gurugram - HSPCB"
19-Oct-2018 - 00:00,7.38,0.83,38.71,180.96,2.81,2.44,1.44,0.0,,41.6,-0.12,752.41,169.57,1.25,0.0,0.18,197.61,16.05,54.06,41.03,20-Oct-2018 - 00:00,"Vikas Sadan, Gurugram - HSPCB"
20-Oct-2018 - 00:00,10.95,0.81,30.29,189.67,5.84,4.05,2.22,0.0,,43.1,-0.14,754.65,170.77,1.79,0.0,0.19,132.54,41.6,64.56,67.16,21-Oct-2018 - 00:00,"Vikas Sadan, Gurugram - HSPCB"
21-Oct-2018 - 00:00,8.61,0.82,33.2,336.79,3.35,3.3,1.53,0.26,,43.76,-0.07,755.63,173.21,1.22,0.0,0.23,169.74,19.34,39.69,36.18,22-Oct-2018 - 00:00,"Vikas Sadan, Gurugram - HSPCB"
22-Oct-2018 - 00:00,8.79,1.14,31.74,141.21,2.55,2.55,1.6,3.16,,43.22,-0.05,754.83,185.38,1.33,0.0,0.27,235.47,38.87,44.79,54.54,23-Oct-2018 - 00:00,"Vikas Sadan, Gurugram - HSPCB"
23-Oct-2018 - 00:00,14.96,0.67,23.32,170.75,4.72,7.04,6.08,14.04,,42.89,-0.15,754.34,178.29,4.27,0.0,0.16,203.64,110.73,68.3,124.46,24-Oct-2018 - 00:00,"Vikas Sadan, Gurugram - HSPCB"
24-Oct-2018 - 00:00,9.54,0.44,32.67,209.29,4.48,3.98,2.48,2.99,,42.71,-0.16,754.07,162.45,2.1,0.0,0.17,149.36,95.68,69.3,112.92,25-Oct-2018 - 00:00,"Vikas Sadan, Gurugram - HSPCB"
25-Oct-2018 - 00:00,12.82,0.56,36.84,210.28,5.17,4.16,3.28,3.36,,43.57,-0.12,755.36,152.35,2.75,0.0,0.24,153.3,81.0,81.52,107.44,26-Oct-2018 - 00:00,"Vikas Sadan, Gurugram - HSPCB"
26-Oct-2018 - 00:00,14.68,1.0,22.84,229.51,6.6,5.05,4.39,4.54,,45.06,-0.18,757.59,123.23,3.7,0.0,0.16,137.84,135.74,105.87,163.9,27-Oct-2018 - 00:00,"Vikas Sadan, Gurugram - HSPCB"
27-Oct-2018 - 00:00,12.4,0.97,32.87,245.53,7.31,4.83,5.11,4.52,,45.22,-0.17,757.82,133.84,4.2,0.0,0.18,138.92,164.69,88.45,184.25,28-Oct-2018 - 00:00,"Vikas Sadan, Gurugram - HSPCB"
28-Oct-2018 - 00:00,11.98,0.62,33.68,250.05,5.25,4.84,4.81,5.69,,45.02,-0.12,757.53,140.73,3.6,0.0,0.2,181.34,75.58,65.1,94.66,29-Oct-2018 - 00:00,"Vikas Sadan, Gurugram - HSPCB"
29-Oct-2018 - 00:00,12.74,0.74,27.87,255.97,5.87,6.42,4.31,6.8,,44.53,-0.16,756.8,125.49,3.45,0.0,0.17,216.59,65.48,67.8,87.97,30-Oct-2018 - 00:00,"Vikas Sadan, Gurugram - HSPCB"
30-Oct-2018 - 00:00,16.42,1.33,26.43,298.05,6.49,8.17,6.86,11.32,,44.32,-0.19,756.48,114.27,5.69,0.0,0.15,170.33,144.0,101.11,168.36,31-Oct-2018 - 00:00,"Vikas Sadan, Gurugram - HSPCB"
31-Oct-2018 - 00:00,11.46,0.98,21.86,281.49,6.17,4.15,3.68,3.01,,44.66,-0.19,756.99,115.74,3.31,0.0,0.15,148.49,113.39,94.26,140.23,01-Nov-2018 - 00:00,"Vikas Sadan, Gurugram - HSPCB"
01-Nov-2018 - 00:00,13.81,1.42,25.04,272.07,6.56,5.1,4.43,4.22,,43.84,-0.18,755.76,119.48,3.79,0.0,0.15,145.99,133.57,82.6,150.05,02-Nov-2018 - 00:00,"Vikas Sadan, Gurugram - HSPCB"
02-Nov-2018 - 00:00,10.02,0.51,34.37,218.86,2.55,3.66,2.55,1.91,,42.57,-0.06,753.85,110.46,2.5,0.0,0.28,138.91,17.73,63.79,53.13,03-Nov-2018 - 00:00,"Vikas Sadan, Gurugram - HSPCB"
03-Nov-2018 - 00:00,7.57,1.04,55.27,155.96,3.54,4.95,2.05,2.25,,41.57,0.27,752.36,109.69,2.77,0.0,0.78,113.23,5.44,20.28,17.27,04-Nov-2018 - 00:00,"Vikas Sadan, Gurugram - HSPCB"
04-Nov-2018 - 00:00,9.23,0.82,61.72,90.1,1.48,2.07,0.14,0.38,,42.94,0.21,754.41,140.78,0.34,0.0,0.55,188.86,6.64,10.3,5.9,05-Nov-2018 - 00:00,"Vikas Sadan, Gurugram - HSPCB"
05-Nov-2018 - 00:00,12.91,0.53,30.09,153.64,2.93,6.43,0.42,0.22,,44.3,-0.05,756.45,77.97,1.37,0.0,0.24,264.26,13.03,41.48,23.49,06-Nov-2018 - 00:00,"Vikas Sadan, Gurugram - HSPCB"
06-Nov-2018 - 00:00,9.78,1.36,41.9,112.36,1.81,4.38,0.18,0.11,,44.44,0.05,756.71,145.12,0.92,0.0,0.37,285.2,12.51,33.23,20.46,07-Nov-2018 - 00:00,"Vikas Sadan, Gurugram - HSPCB"
07-Nov-2018 - 00:00,9.66,1.51,44.04,121.34,2.92,5.76,0.58,0.53,,45.02,-0.14,757.53,136.98,1.75,0.0,0.21,229.17,44.97,47.1,54.52,08-Nov-2018 - 00:00,"Vikas Sadan, Gurugram - HSPCB"
08-Nov-2018 - 00:00,20.18,2.59,22.36,301.92,7.69,14.61,3.28,3.2,,45.05,0.05,757.58,108.66,8.1,0.0,0.17,130.9,130.78,91.33,144.67,09-Nov-2018 - 00:00,"Vikas Sadan, Gurugram - HSPCB"
09-Nov-2018 - 00:00,12.51,0.94,26.81,248.3,9.68,20.44,3.94,3.47,,43.82,0.03,755.74,113.95,9.26,0.0,0.12,161.33,142.94,78.74,150.2,10-Nov-2018 - 00:00,"Vikas Sadan, Gurugram - HSPCB"
10-Nov-2018 - 00:00,10.22,0.53,26.77,203.22,7.01,19.06,3.22,2.77,,44.19,0.05,756.29,108.37,6.01,0.0,0.17,155.0,98.35,97.05,124.01,11-Nov-2018 - 00:00,"Vikas Sadan, Gurugram - HSPCB"
11-Nov-2018 - 00:00,12.51,1.03,32.97,158.26,4.75,11.6,1.51,0.39,,44.23,0.05,756.35,115.1,2.2,0.0,0.13,158.68,75.21,96.24,104.89,12-Nov-2018 - 00:00,"Vikas Sadan, Gurugram - HSPCB"
12-Nov-2018 - 00:00,14.87,1.17,28.95,106.82,6.5,17.78,3.06,2.38,,42.79,0.05,754.19,112.17,7.03,0.0,0.14,157.48,118.93,123.71,154.34,13-Nov-2018 - 00:00,"Vikas Sadan, Gurugram - HSPCB"
13-Nov-2018 - 00:00,10.05,0.9,23.8,167.71,5.38,14.54,2.4,2.7,,41.2,0.17,751.8,82.51,6.22,0.03,0.29,145.2,57.73,105.68,94.84,14-Nov-2018 - 00:00,"Vikas Sadan, Gurugram - HSPCB"
14-Nov-2018 - 00:00,8.17,1.16,18.16,93.67,3.19,10.8,1.06,1.31,,41.89,0.22,752.83,94.1,3.47,0.1,0.25,131.5,25.91,64.67,48.98,15-Nov-2018 - 00:00,"Vikas Sadan, Gurugram - HSPCB"
15-Nov-2018 - 00:00,7.33,1.14,26.19,81.05,2.52,8.61,0.5,0.75,,44.28,0.22,756.43,110.42,1.96,0.0,0.29,230.76,15.37,40.28,27.78,16-Nov-2018 - 00:00,"Vikas Sadan, Gurugram - HSPCB"
16-Nov-2018 - 00:00,8.15,0.93,40.89,103.86,2.21,5.75,0.13,0.14,,44.27,0.21,756.41,102.64,0.78,0.0,0.37,280.77,8.49,26.96,14.61,17-Nov-2018 - 00:00,"Vikas Sadan, Gurugram - HSPCB"
17-Nov-2018 - 00:00,11.26,1.08,35.8,100.0,2.98,10.08,1.52,2.12,,43.2,0.14,754.81,103.73,3.34,0.0,0.21,228.05,38.7,43.2,47.94,18-Nov-2018 - 00:00,"Vikas Sadan, Gurugram - HSPCB"
18-Nov-2018 - 00:00,11.28,0.99,27.75,111.16,3.88,14.05,2.41,4.36,,43.49,0.15,755.23,100.6,5.53,0.0,0.24,118.46,110.41,56.11,110.58,19-Nov-2018 - 00:00,"Vikas Sadan, Gurugram - HSPCB"
19-Nov-2018 - 00:00,13.07,0.96,65.97,114.59,2.29,6.46,0.26,0.38,,44.42,0.47,756.63,102.52,1.08,0.0,0.61,87.14,7.61,27.79,15.03,20-Nov-2018 - 00:00,"Vikas Sadan, Gurugram - HSPCB"
20-Nov-2018 - 00:00,10.37,1.11,39.92,155.34,3.85,9.79,0.86,1.21,,45.1,0.11,757.66,95.74,2.47,0.0,0.18,222.75,13.48,39.57,25.72,21-Nov-2018 - 00:00,"Vikas Sadan, Gurugram - HSPCB"
21-Nov-2018 - 00:00,11.64,1.02,27.3,157.67,4.44,13.3,1.59,2.53,,45.74,0.1,758.61,94.34,3.99,0.0,0.18,227.3,37.31,46.7,48.73,22-Nov-2018 - 00:00,"Vikas Sadan, Gurugram - HSPCB"
22-Nov-2018 - 00:00,13.0,1.38,21.38,116.0,5.52,23.03,5.11,9.36,,46.03,0.06,759.05,102.05,11.82,0.0,0.13,174.55,129.96,67.26,142.1,23-Nov-2018 - 00:00,"Vikas Sadan, Gurugram - HSPCB"
23-Nov-2018 - 00:00,9.33,0.45,47.11,134.5,5.7,18.73,3.48,4.34,,47.15,0.22,760.73,69.15,8.14,0.0,0.31,246.66,69.01,38.75,86.13,24-Nov-2018 - 00:00,"Vikas Sadan, Gurugram - HSPCB"
24-Nov-2018 - 00:00,9.29,0.58,57.95,83.85,1.85,4.89,0.12,0.16,,46.0,0.42,759.0,107.83,0.62,0.0,0.51,297.12,8.17,16.24,9.43,25-Nov-2018 - 00:00,"Vikas Sadan, Gurugram - HSPCB"
25-Nov-2018 - 00:00,13.13,0.24,62.29,68.67,2.72,5.62,1.07,0.77,,45.29,-0.01,757.93,114.12,2.9,0.0,0.23,239.52,77.6,50.87,71.73,26-Nov-2018 - 00:00,"Vikas Sadan, Gurugram - HSPCB"
26-Nov-2018 - 00:00,15.12,0.63,34.19,118.12,1.61,2.54,0.83,0.52,,45.63,0.08,758.46,97.36,1.85,0.0,0.19,205.08,134.59,57.49,125.28,27-Nov-2018 - 00:00,"Vikas Sadan, Gurugram - HSPCB"
27-Nov-2018 - 00:00,13.4,1.37,26.88,123.92,0.0,0.0,0.0,0.0,,46.28,0.09,759.42,83.7,0.0,0.0,0.12,144.04,162.91,50.0,149.25,28-Nov-2018 - 00:00,"Vikas Sadan, Gurugram - HSPCB"
28-Nov-2018 - 00:00,12.43,1.53,27.85,97.51,0.0,0.0,0.0,0.0,,46.8,0.06,760.2,72.63,0.0,0.0,0.14,158.01,71.81,36.13,70.43,29-Nov-2018 - 00:00,"Vikas Sadan, Gurugram - HSPCB"
29-Nov-2018 - 00:00,10.73,0.37,34.79,98.64,0.0,0.0,0.0,0.0,,47.19,0.11,760.79,85.12,0.0,0.0,0.2,229.26,48.02,27.14,46.02,30-Nov-2018 - 00:00,"Vikas Sadan, Gurugram - HSPCB"
30-Nov-2018 - 00:00,9.63,0.69,35.75,78.31,0.0,0.0,0.0,0.0,,47.01,0.13,760.51,74.81,0.0,0.0,0.21,225.03,24.02,24.59,26.06,01-Dec-2018 - 00:00,"Vikas Sadan, Gurugram - HSPCB"
01-Dec-2018 - 00:00,13.43,1.31,31.08,72.84,0.0,0.0,0.0,0.0,,45.4,0.1,758.1,77.24,0.0,0.0,0.19,215.63,66.86,23.34,57.01,02-Dec-2018 - 00:00,"Vikas Sadan, Gurugram - HSPCB"
02-Dec-2018 - 00:00,11.05,0.48,32.84,79.43,0.0,0.0,0.0,0.0,,44.78,0.06,757.16,82.41,0.0,0.0,0.14,175.6,114.73,24.22,96.97,03-Dec-2018 - 00:00,"Vikas Sadan, Gurugram - HSPCB"
03-Dec-2018 - 00:00,14.15,0.73,30.33,91.37,0.0,0.0,0.0,0.0,,45.5,-0.0,758.26,79.66,0.0,0.0,0.16,173.47,86.54,25.38,74.71,04-Dec-2018 - 00:00,"Vikas Sadan, Gurugram - HSPCB"
04-Dec-2018 - 00:00,20.17,1.52,28.57,122.82,0.0,0.0,0.0,0.0,,46.68,0.06,760.01,78.69,0.0,0.0,0.16,183.3,110.3,26.22,94.41,05-Dec-2018 - 00:00,"Vikas Sadan, Gurugram - HSPCB"
05-Dec-2018 - 00:00,12.01,0.33,24.02,54.79,0.0,0.0,0.0,0.0,,45.72,0.03,758.59,105.1,0.0,0.0,0.16,204.66,72.26,19.86,35.32,06-Dec-2018 - 00:00,"Vikas Sadan, Gurugram - HSPCB"
06-Dec-2018 - 00:00,21.61,0.46,18.21,26.31,0.0,0.0,0.0,0.0,,44.91,-0.17,757.36,94.41,0.0,0.0,0.13,159.98,138.9,19.84,41.38,07-Dec-2018 - 00:00,"Vikas Sadan, Gurugram - HSPCB"
