from date,CO,SO2,NO,NO2,NOx,Ozone,WS,WD,Rack Temp,RH,BP,SR,RF,VWS,Benzene,Toluene,Xylene,PM2.5,AT,to date,station
23-Feb-2018 - 00:00,0.0,25.2,123.19,71.07,137.96,34.76,0.32,156.7,27.86,55.07,731.13,86.88,0.0,-0.12,12.63,41.68,0.46,215.54,24.42,24-Feb-2018 - 00:00,"Sector- 16A, Faridabad - HSPCB"
24-Feb-2018 - 00:00,0.0,14.67,59.54,53.55,76.89,35.99,0.53,128.79,27.76,56.67,733.11,104.44,0.0,-0.12,8.76,29.95,1.69,183.25,24.25,25-Feb-2018 - 00:00,"Sector- 16A, Faridabad - HSPCB"
25-Feb-2018 - 00:00,0.0,16.61,59.32,47.6,73.55,36.1,1.31,218.67,27.09,54.09,736.22,123.27,0.0,-0.21,6.11,16.92,0.49,121.25,23.84,26-Feb-2018 - 00:00,"Sector- 16A, Faridabad - HSPCB"
26-Feb-2018 - 00:00,0.0,6.37,42.75,44.75,58.5,37.29,3.01,268.6,27.95,55.74,734.33,146.68,0.0,-0.4,3.27,9.76,0.68,64.54,21.79,27-Feb-2018 - 00:00,"Sector- 16A, Faridabad - HSPCB"
27-Feb-2018 - 00:00,0.0,5.28,50.05,60.69,73.83,32.55,1.33,263.16,27.2,55.58,733.72,133.79,0.0,-0.25,4.29,13.61,1.26,73.83,23.47,28-Feb-2018 - 00:00,"Sector- 16A, Faridabad - HSPCB"
28-Feb-2018 - 00:00,0.0,20.43,72.06,61.7,93.41,41.79,0.41,233.74,29.26,55.89,733.86,110.55,0.0,-0.15,8.54,25.56,3.57,135.41,24.48,01-Mar-2018 - 00:00,"Sector- 16A, Faridabad - HSPCB"
01-Mar-2018 - 00:00,0.0,22.87,87.55,64.06,105.51,49.08,0.67,226.71,28.92,51.33,732.19,111.02,0.0,-0.18,8.97,30.23,2.06,193.8,24.55,02-Mar-2018 - 00:00,"Sector- 16A, Faridabad - HSPCB"
02-Mar-2018 - 00:00,0.0,14.01,62.53,46.64,75.64,37.84,1.16,242.18,25.76,51.23,730.5,134.46,0.0,-0.21,7.93,22.62,0.43,130.08,24.95,03-Mar-2018 - 00:00,"Sector- 16A, Faridabad - HSPCB"
03-Mar-2018 - 00:00,0.0,14.74,50.59,42.61,63.26,29.75,0.45,199.92,28.17,51.93,728.51,125.93,0.0,-0.14,5.77,14.73,0.94,100.62,25.67,04-Mar-2018 - 00:00,"Sector- 16A, Faridabad - HSPCB"
04-Mar-2018 - 00:00,0.0,13.67,41.58,36.86,53.41,26.2,1.04,232.73,24.61,51.71,729.73,85.97,0.0,-0.2,4.8,14.5,0.11,75.46,23.69,05-Mar-2018 - 00:00,"Sector- 16A, Faridabad - HSPCB"
05-Mar-2018 - 00:00,0.0,11.06,46.33,44.39,62.54,29.77,1.29,257.42,26.92,51.88,733.71,155.85,0.0,-0.24,4.24,14.22,0.47,76.21,22.94,06-Mar-2018 - 00:00,"Sector- 16A, Faridabad - HSPCB"
06-Mar-2018 - 00:00,0.0,8.68,30.04,54.48,54.46,38.86,2.18,265.31,27.8,52.32,734.5,157.34,0.0,-0.32,3.55,11.09,0.51,63.12,22.46,07-Mar-2018 - 00:00,"Sector- 16A, Faridabad - HSPCB"
07-Mar-2018 - 00:00,0.0,9.53,39.14,64.04,66.75,45.46,1.66,264.42,29.13,51.08,733.56,163.95,0.0,-0.29,4.46,10.85,0.85,85.54,23.16,08-Mar-2018 - 00:00,"Sector- 16A, Faridabad - HSPCB"
