from date,BP,PM10,PM2.5,RF,WD,WS,Benzene,Eth-Benzene,MP-Xylene,O Xylene,CO,NH3,NO,NO2,NOx,Ozone,SO2,to date,station
01-Jan-2018 - 00:00,751.92,180.41,61.34,0.0,125.06,0.73,7.69,1.54,5.85,0.97,1.07,8.63,12.94,32.92,45.85,52.03,7.65,02-Jan-2018 - 00:00,"Adarsh Nagar, Jaipur - RSPCB"
02-Jan-2018 - 00:00,752.69,207.47,68.53,0.0,132.47,0.56,8.27,1.56,5.52,1.5,1.06,8.63,13.34,33.44,46.78,54.13,11.48,03-Jan-2018 - 00:00,"Adarsh Nagar, Jaipur - RSPCB"
03-Jan-2018 - 00:00,753.46,250.56,88.33,0.0,163.56,0.48,13.81,3.43,11.48,5.27,1.48,10.45,24.84,45.91,70.75,37.94,11.17,04-Jan-2018 - 00:00,"Adarsh Nagar, Jaipur - RSPCB"
04-Jan-2018 - 00:00,752.91,163.78,59.02,0.0,124.96,0.46,8.86,1.31,5.24,1.86,0.65,8.33,16.92,30.4,46.45,56.7,5.58,05-Jan-2018 - 00:00,"Adarsh Nagar, Jaipur - RSPCB"
05-Jan-2018 - 00:00,752.5,144.3,60.89,,86.9,0.66,7.26,0.97,3.6,1.05,1.08,7.48,10.82,23.35,34.16,66.41,9.35,06-Jan-2018 - 00:00,"Adarsh Nagar, Jaipur - RSPCB"
06-Jan-2018 - 00:00,752.0,180.63,67.1,0.0,158.19,0.84,10.24,2.0,6.56,2.41,1.2,9.05,17.73,34.62,52.35,40.87,8.8,07-Jan-2018 - 00:00,"Adarsh Nagar, Jaipur - RSPCB"
07-Jan-2018 - 00:00,752.99,154.26,59.91,0.0,143.07,0.83,8.35,1.97,6.23,1.92,1.03,8.07,15.97,30.1,46.07,51.81,22.29,08-Jan-2018 - 00:00,"Adarsh Nagar, Jaipur - RSPCB"
08-Jan-2018 - 00:00,754.46,186.92,63.85,0.0,145.77,0.52,10.65,3.45,10.33,3.64,1.5,9.83,25.76,43.5,69.26,28.37,11.24,09-Jan-2018 - 00:00,"Adarsh Nagar, Jaipur - RSPCB"
09-Jan-2018 - 00:00,755.95,197.14,71.79,0.0,136.49,0.56,10.26,4.03,12.42,5.26,1.66,9.83,24.96,40.09,65.05,48.83,8.32,10-Jan-2018 - 00:00,"Adarsh Nagar, Jaipur - RSPCB"
10-Jan-2018 - 00:00,755.99,199.18,69.5,0.0,185.53,0.5,11.75,4.51,15.14,5.71,0.96,10.51,28.0,43.97,71.97,33.06,9.86,11-Jan-2018 - 00:00,"Adarsh Nagar, Jaipur - RSPCB"
11-Jan-2018 - 00:00,755.12,181.0,60.36,0.0,221.68,0.54,10.55,5.8,11.56,6.65,0.0,14.87,26.89,54.0,80.85,22.37,13.28,12-Jan-2018 - 00:00,"Adarsh Nagar, Jaipur - RSPCB"
12-Jan-2018 - 00:00,754.18,216.46,78.75,0.0,201.61,0.45,4.95,1.32,4.12,1.33,0.0,38.86,48.6,42.3,90.85,27.58,12.6,13-Jan-2018 - 00:00,"Adarsh Nagar, Jaipur - RSPCB"
13-Jan-2018 - 00:00,754.35,202.05,73.74,0.0,159.73,0.34,3.64,1.08,3.71,0.62,0.0,40.96,76.36,56.27,132.64,27.14,9.08,14-Jan-2018 - 00:00,"Adarsh Nagar, Jaipur - RSPCB"
14-Jan-2018 - 00:00,753.55,200.84,74.51,0.0,229.83,0.69,3.71,0.59,2.11,0.4,0.0,21.21,45.12,27.94,63.58,41.09,11.55,15-Jan-2018 - 00:00,"Adarsh Nagar, Jaipur - RSPCB"
15-Jan-2018 - 00:00,754.32,162.21,62.78,0.0,197.82,0.55,3.28,0.87,2.77,0.45,0.0,38.28,52.93,8.05,53.4,29.5,9.35,16-Jan-2018 - 00:00,"Adarsh Nagar, Jaipur - RSPCB"
16-Jan-2018 - 00:00,757.03,118.45,52.64,0.0,188.58,0.49,1.77,0.43,1.81,0.34,0.0,48.11,25.5,16.94,42.44,46.87,4.2,17-Jan-2018 - 00:00,"Adarsh Nagar, Jaipur - RSPCB"
17-Jan-2018 - 00:00,762.73,83.45,46.89,0.0,106.86,0.73,0.83,0.08,0.29,0.05,0.0,32.76,14.8,15.21,30.78,71.96,7.37,18-Jan-2018 - 00:00,"Adarsh Nagar, Jaipur - RSPCB"
18-Jan-2018 - 00:00,763.74,159.8,64.74,0.0,142.4,0.62,2.65,0.84,2.53,0.36,0.0,37.43,27.9,12.91,40.44,46.3,11.02,19-Jan-2018 - 00:00,"Adarsh Nagar, Jaipur - RSPCB"
19-Jan-2018 - 00:00,764.31,143.45,58.33,0.0,125.44,0.81,1.56,0.38,1.58,0.16,0.0,38.23,28.09,14.71,42.79,41.74,7.28,20-Jan-2018 - 00:00,"Adarsh Nagar, Jaipur - RSPCB"
20-Jan-2018 - 00:00,764.04,171.42,63.58,0.0,175.4,0.66,1.93,0.41,1.45,0.13,0.0,28.95,15.78,18.0,33.76,50.6,9.98,21-Jan-2018 - 00:00,"Adarsh Nagar, Jaipur - RSPCB"
21-Jan-2018 - 00:00,758.24,140.07,59.33,0.0,157.23,0.29,1.7,0.21,0.8,0.11,0.0,35.25,23.12,12.37,34.0,42.9,7.42,22-Jan-2018 - 00:00,"Adarsh Nagar, Jaipur - RSPCB"
22-Jan-2018 - 00:00,761.01,149.21,51.95,0.0,129.91,0.85,1.26,3.31,3.55,0.52,0.61,19.46,13.02,17.99,30.97,56.7,11.05,23-Jan-2018 - 00:00,"Adarsh Nagar, Jaipur - RSPCB"
23-Jan-2018 - 00:00,759.91,137.61,49.72,0.01,180.23,0.85,1.1,4.94,5.3,4.13,0.62,18.22,11.59,15.45,26.82,44.52,7.8,24-Jan-2018 - 00:00,"Adarsh Nagar, Jaipur - RSPCB"
24-Jan-2018 - 00:00,762.43,142.93,51.46,0.0,235.19,0.89,1.24,0.23,0.74,0.38,0.91,29.21,12.63,13.67,26.3,59.79,7.62,25-Jan-2018 - 00:00,"Adarsh Nagar, Jaipur - RSPCB"
25-Jan-2018 - 00:00,762.22,129.14,50.05,0.0,172.85,0.71,2.32,0.51,1.74,0.86,1.32,32.68,30.43,14.22,33.69,40.14,5.66,26-Jan-2018 - 00:00,"Adarsh Nagar, Jaipur - RSPCB"
26-Jan-2018 - 00:00,762.34,153.48,53.41,0.0,176.3,0.68,2.52,0.58,2.1,1.04,1.44,33.63,48.27,11.84,40.02,42.58,13.53,27-Jan-2018 - 00:00,"Adarsh Nagar, Jaipur - RSPCB"
27-Jan-2018 - 00:00,762.23,134.85,53.57,0.0,164.74,0.59,2.01,0.39,1.25,0.62,1.14,28.17,22.51,20.91,43.13,58.19,23.27,28-Jan-2018 - 00:00,"Adarsh Nagar, Jaipur - RSPCB"
28-Jan-2018 - 00:00,762.94,138.47,50.23,0.0,144.46,0.74,2.04,0.34,1.19,0.61,1.28,29.58,21.08,24.12,45.19,58.21,27.36,29-Jan-2018 - 00:00,"Adarsh Nagar, Jaipur - RSPCB"
29-Jan-2018 - 00:00,764.37,142.63,51.6,0.0,136.86,0.65,2.37,0.49,1.52,0.77,1.5,24.35,19.23,24.14,43.37,66.8,23.46,30-Jan-2018 - 00:00,"Adarsh Nagar, Jaipur - RSPCB"
30-Jan-2018 - 00:00,764.63,218.92,56.07,0.0,219.65,0.64,3.03,0.96,2.96,1.44,2.11,25.74,29.84,20.55,48.76,37.79,14.52,31-Jan-2018 - 00:00,"Adarsh Nagar, Jaipur - RSPCB"
31-Jan-2018 - 00:00,764.06,223.14,56.91,0.0,241.04,0.82,2.47,1.0,2.88,1.41,1.92,22.08,26.58,17.14,36.1,40.41,14.22,01-Feb-2018 - 00:00,"Adarsh Nagar, Jaipur - RSPCB"
01-Feb-2018 - 00:00,763.64,209.3,56.94,0.0,196.05,0.51,3.72,1.16,3.69,1.81,1.82,26.56,42.94,16.7,43.13,31.44,10.74,02-Feb-2018 - 00:00,"Adarsh Nagar, Jaipur - RSPCB"
02-Feb-2018 - 00:00,762.04,182.45,60.19,0.0,173.29,0.67,1.7,0.54,2.12,1.02,0.95,20.86,19.73,12.63,31.84,33.89,9.98,03-Feb-2018 - 00:00,"Adarsh Nagar, Jaipur - RSPCB"
03-Feb-2018 - 00:00,763.64,185.58,39.56,0.0,106.56,1.4,0.69,0.16,0.59,0.29,1.12,14.54,8.01,11.93,19.94,64.07,24.58,04-Feb-2018 - 00:00,"Adarsh Nagar, Jaipur - RSPCB"
04-Feb-2018 - 00:00,764.36,170.7,58.75,0.0,89.83,1.16,1.03,0.17,0.59,0.3,1.3,16.26,8.43,10.37,18.8,75.45,16.05,05-Feb-2018 - 00:00,"Adarsh Nagar, Jaipur - RSPCB"
05-Feb-2018 - 00:00,765.59,174.16,67.46,0.0,68.11,0.84,1.11,0.08,0.29,0.16,0.95,11.08,7.47,10.54,18.01,66.99,14.63,06-Feb-2018 - 00:00,"Adarsh Nagar, Jaipur - RSPCB"
06-Feb-2018 - 00:00,765.6,166.52,54.86,0.0,55.74,1.05,0.89,0.14,0.59,0.29,1.1,13.05,8.42,12.88,21.3,47.37,23.92,07-Feb-2018 - 00:00,"Adarsh Nagar, Jaipur - RSPCB"
07-Feb-2018 - 00:00,763.67,165.41,47.96,0.0,134.28,0.7,1.52,0.36,1.24,0.62,1.01,13.8,14.92,12.19,26.76,50.25,18.33,08-Feb-2018 - 00:00,"Adarsh Nagar, Jaipur - RSPCB"
08-Feb-2018 - 00:00,762.58,162.98,37.76,0.0,86.75,0.79,1.04,0.21,0.8,0.4,0.65,11.29,11.06,19.03,30.04,67.22,10.97,09-Feb-2018 - 00:00,"Adarsh Nagar, Jaipur - RSPCB"
09-Feb-2018 - 00:00,762.76,181.72,47.73,0.0,138.76,0.64,1.28,0.2,0.8,0.4,1.0,12.55,15.38,18.56,33.0,56.25,11.9,10-Feb-2018 - 00:00,"Adarsh Nagar, Jaipur - RSPCB"
10-Feb-2018 - 00:00,763.89,160.95,44.88,0.0,76.47,1.05,1.06,0.09,0.23,0.14,0.68,8.71,6.88,14.33,21.21,86.96,10.69,11-Feb-2018 - 00:00,"Adarsh Nagar, Jaipur - RSPCB"
11-Feb-2018 - 00:00,763.2,167.25,40.92,0.0,101.46,1.46,0.73,0.05,0.1,0.07,0.52,7.9,6.57,9.91,16.47,92.38,11.35,12-Feb-2018 - 00:00,"Adarsh Nagar, Jaipur - RSPCB"
12-Feb-2018 - 00:00,764.47,126.49,39.62,0.0,156.46,0.82,0.93,0.13,0.42,0.23,0.76,7.38,8.29,17.15,25.44,59.2,9.49,13-Feb-2018 - 00:00,"Adarsh Nagar, Jaipur - RSPCB"
13-Feb-2018 - 00:00,768.45,137.81,44.89,0.0,129.35,1.02,0.97,0.14,0.46,0.25,0.66,5.16,7.89,20.03,27.92,57.49,5.17,14-Feb-2018 - 00:00,"Adarsh Nagar, Jaipur - RSPCB"
14-Feb-2018 - 00:00,769.15,121.07,37.22,0.0,162.16,1.09,0.94,0.25,0.95,0.53,0.78,6.43,9.66,19.79,29.44,51.65,7.05,15-Feb-2018 - 00:00,"Adarsh Nagar, Jaipur - RSPCB"
15-Feb-2018 - 00:00,767.8,153.65,51.89,0.0,209.98,0.75,1.74,0.42,1.58,0.8,0.99,11.36,15.45,11.71,26.96,35.89,8.53,16-Feb-2018 - 00:00,"Adarsh Nagar, Jaipur - RSPCB"
16-Feb-2018 - 00:00,766.16,165.84,56.55,0.0,135.77,0.31,2.24,0.55,2.09,1.03,1.3,10.87,24.39,23.92,40.79,26.32,6.46,17-Feb-2018 - 00:00,"Adarsh Nagar, Jaipur - RSPCB"
17-Feb-2018 - 00:00,761.97,259.51,68.96,23.46,237.89,0.75,4.44,0.98,2.89,1.49,1.19,4.08,21.41,35.17,55.85,32.01,10.17,18-Feb-2018 - 00:00,"Adarsh Nagar, Jaipur - RSPCB"
18-Feb-2018 - 00:00,761.91,289.54,70.5,,107.41,0.74,1.23,0.26,0.92,0.48,0.59,3.85,9.14,23.12,32.26,55.23,9.44,19-Feb-2018 - 00:00,"Adarsh Nagar, Jaipur - RSPCB"
19-Feb-2018 - 00:00,760.49,232.78,55.23,0.0,125.62,0.73,1.3,0.31,1.09,0.5,0.77,4.97,10.98,23.55,34.53,77.49,13.78,20-Feb-2018 - 00:00,"Adarsh Nagar, Jaipur - RSPCB"
20-Feb-2018 - 00:00,757.05,188.88,53.59,0.0,155.85,0.63,1.38,0.26,1.47,0.52,0.91,12.09,15.73,42.45,58.17,64.01,4.81,21-Feb-2018 - 00:00,"Adarsh Nagar, Jaipur - RSPCB"
21-Feb-2018 - 00:00,760.63,231.67,68.56,0.0,206.01,0.69,2.37,0.67,2.17,1.11,1.56,61.61,64.69,64.13,128.82,41.03,8.65,22-Feb-2018 - 00:00,"Adarsh Nagar, Jaipur - RSPCB"
22-Feb-2018 - 00:00,759.8,257.91,82.9,0.0,153.14,0.45,3.71,1.14,3.82,2.03,1.23,70.49,62.06,63.41,125.47,40.3,7.51,23-Feb-2018 - 00:00,"Adarsh Nagar, Jaipur - RSPCB"
23-Feb-2018 - 00:00,759.77,201.83,67.06,,195.37,0.52,1.92,0.59,2.11,1.12,0.68,55.78,43.46,59.75,103.2,43.46,7.15,24-Feb-2018 - 00:00,"Adarsh Nagar, Jaipur - RSPCB"
24-Feb-2018 - 00:00,761.41,213.76,74.05,,187.92,0.63,1.86,0.41,1.43,0.8,1.06,51.4,39.82,59.38,99.2,37.16,10.56,25-Feb-2018 - 00:00,"Adarsh Nagar, Jaipur - RSPCB"
25-Feb-2018 - 00:00,763.7,155.7,46.74,,54.84,1.57,0.88,0.18,0.49,0.39,0.47,29.67,9.33,35.29,44.62,57.95,7.02,26-Feb-2018 - 00:00,"Adarsh Nagar, Jaipur - RSPCB"
26-Feb-2018 - 00:00,763.0,138.81,45.43,,215.72,0.98,0.89,0.31,0.92,0.53,0.76,31.15,12.96,44.45,57.07,46.63,7.3,27-Feb-2018 - 00:00,"Adarsh Nagar, Jaipur - RSPCB"
27-Feb-2018 - 00:00,762.22,158.81,51.52,,201.59,0.85,1.07,0.26,0.96,0.59,0.73,33.29,11.79,44.22,56.01,45.37,7.15,28-Feb-2018 - 00:00,"Adarsh Nagar, Jaipur - RSPCB"
28-Feb-2018 - 00:00,761.99,142.41,62.82,,122.32,0.65,1.81,0.12,0.43,0.41,0.92,33.48,14.49,42.82,57.31,55.05,7.27,01-Mar-2018 - 00:00,"Adarsh Nagar, Jaipur - RSPCB"
01-Mar-2018 - 00:00,760.69,147.91,62.68,,127.36,0.94,1.37,0.16,0.41,0.28,0.43,24.95,6.94,28.6,35.55,77.03,9.5,02-Mar-2018 - 00:00,"Adarsh Nagar, Jaipur - RSPCB"
02-Mar-2018 - 00:00,760.15,123.08,53.46,,204.66,0.67,1.13,0.18,0.55,0.32,0.47,22.97,7.15,30.73,37.88,57.72,5.02,03-Mar-2018 - 00:00,"Adarsh Nagar, Jaipur - RSPCB"
03-Mar-2018 - 00:00,758.63,123.55,50.08,,195.88,0.97,0.67,0.16,0.54,0.31,0.33,23.98,9.1,37.39,46.49,52.41,4.47,04-Mar-2018 - 00:00,"Adarsh Nagar, Jaipur - RSPCB"
04-Mar-2018 - 00:00,759.28,142.57,57.46,,158.68,1.18,0.88,0.18,0.58,0.33,0.39,30.07,15.74,40.88,56.62,49.46,5.66,05-Mar-2018 - 00:00,"Adarsh Nagar, Jaipur - RSPCB"
05-Mar-2018 - 00:00,761.96,77.72,29.64,,143.7,1.04,0.56,0.17,0.52,0.28,0.34,24.62,9.25,37.45,46.7,59.49,5.12,06-Mar-2018 - 00:00,"Adarsh Nagar, Jaipur - RSPCB"
06-Mar-2018 - 00:00,762.87,81.59,32.02,,171.62,0.88,0.85,0.25,0.76,0.43,0.4,30.02,16.31,47.69,64.0,55.84,5.67,07-Mar-2018 - 00:00,"Adarsh Nagar, Jaipur - RSPCB"
07-Mar-2018 - 00:00,762.07,86.75,43.27,,124.02,0.63,1.19,0.23,0.76,0.46,0.47,30.6,14.96,51.38,66.33,57.6,5.27,08-Mar-2018 - 00:00,"Adarsh Nagar, Jaipur - RSPCB"
08-Mar-2018 - 00:00,762.26,70.6,26.4,,110.93,0.73,0.79,0.1,0.28,0.18,0.36,19.5,6.83,26.2,33.03,77.27,5.91,09-Mar-2018 - 00:00,"Adarsh Nagar, Jaipur - RSPCB"
09-Mar-2018 - 00:00,762.18,85.05,31.27,,153.17,0.84,0.77,0.12,0.38,0.23,0.55,21.34,7.19,28.58,35.78,80.69,6.98,10-Mar-2018 - 00:00,"Adarsh Nagar, Jaipur - RSPCB"
10-Mar-2018 - 00:00,761.87,105.57,49.62,,99.28,1.11,0.85,0.15,0.39,0.3,0.56,22.62,8.52,36.64,45.16,80.03,8.1,11-Mar-2018 - 00:00,"Adarsh Nagar, Jaipur - RSPCB"
11-Mar-2018 - 00:00,761.27,97.16,20.05,,131.63,0.73,1.1,0.14,0.53,0.37,0.77,27.86,17.01,41.96,58.97,65.52,8.68,12-Mar-2018 - 00:00,"Adarsh Nagar, Jaipur - RSPCB"
12-Mar-2018 - 00:00,761.65,119.38,33.98,,169.8,0.45,1.37,0.11,0.57,0.44,0.82,29.68,17.61,47.06,64.67,60.39,7.33,13-Mar-2018 - 00:00,"Adarsh Nagar, Jaipur - RSPCB"
13-Mar-2018 - 00:00,760.49,126.76,48.17,,186.65,0.48,1.74,0.22,0.82,0.53,0.96,31.13,18.29,63.26,81.54,55.84,8.21,14-Mar-2018 - 00:00,"Adarsh Nagar, Jaipur - RSPCB"
14-Mar-2018 - 00:00,759.0,147.4,43.41,,207.21,0.98,0.69,0.21,0.75,0.53,0.74,20.9,11.78,46.2,57.97,35.16,7.97,15-Mar-2018 - 00:00,"Adarsh Nagar, Jaipur - RSPCB"
15-Mar-2018 - 00:00,759.19,155.22,47.23,,208.24,0.89,1.36,0.43,1.11,0.75,1.16,25.32,20.1,50.27,70.37,36.26,7.77,16-Mar-2018 - 00:00,"Adarsh Nagar, Jaipur - RSPCB"
16-Mar-2018 - 00:00,759.62,151.27,45.16,,129.03,0.96,1.2,0.34,1.0,0.64,0.65,20.09,10.96,39.84,50.27,55.83,9.32,17-Mar-2018 - 00:00,"Adarsh Nagar, Jaipur - RSPCB"
17-Mar-2018 - 00:00,760.72,113.02,35.8,,134.49,1.04,0.74,0.17,0.51,0.37,0.72,19.4,10.72,48.06,58.85,63.12,11.25,18-Mar-2018 - 00:00,"Adarsh Nagar, Jaipur - RSPCB"
18-Mar-2018 - 00:00,761.63,107.29,32.56,,128.4,0.85,1.3,0.11,0.29,0.26,0.68,16.14,7.28,37.8,45.08,75.07,12.23,19-Mar-2018 - 00:00,"Adarsh Nagar, Jaipur - RSPCB"
19-Mar-2018 - 00:00,762.65,116.41,39.12,,109.59,0.95,1.15,0.06,0.13,0.15,0.71,12.84,6.46,21.6,28.06,85.9,11.67,20-Mar-2018 - 00:00,"Adarsh Nagar, Jaipur - RSPCB"
20-Mar-2018 - 00:00,760.63,102.82,35.09,,203.68,1.14,0.54,0.15,0.55,0.3,0.71,16.61,8.76,44.64,53.4,66.22,8.38,21-Mar-2018 - 00:00,"Adarsh Nagar, Jaipur - RSPCB"
21-Mar-2018 - 00:00,759.17,186.03,69.15,,200.96,1.08,0.45,0.14,0.5,0.26,0.68,14.87,12.53,43.26,55.79,48.82,5.72,22-Mar-2018 - 00:00,"Adarsh Nagar, Jaipur - RSPCB"
22-Mar-2018 - 00:00,759.61,136.92,56.15,,194.32,1.18,0.51,0.15,0.46,0.24,0.61,18.07,9.23,32.33,41.57,67.98,8.56,23-Mar-2018 - 00:00,"Adarsh Nagar, Jaipur - RSPCB"
23-Mar-2018 - 00:00,760.64,105.43,38.89,,162.88,1.27,0.69,0.1,1.25,0.43,0.86,18.83,9.3,40.72,50.02,68.48,4.8,24-Mar-2018 - 00:00,"Adarsh Nagar, Jaipur - RSPCB"
24-Mar-2018 - 00:00,762.43,103.64,45.63,,123.94,0.94,0.77,0.05,2.4,0.4,0.73,18.9,9.83,53.18,63.18,64.1,9.32,25-Mar-2018 - 00:00,"Adarsh Nagar, Jaipur - RSPCB"
25-Mar-2018 - 00:00,763.42,125.42,53.86,,201.97,0.95,0.89,0.06,2.45,0.42,0.7,20.12,11.4,53.44,64.84,69.03,10.35,26-Mar-2018 - 00:00,"Adarsh Nagar, Jaipur - RSPCB"
26-Mar-2018 - 00:00,762.39,128.54,58.67,,202.09,0.8,2.09,0.5,3.62,1.01,1.59,32.21,33.05,71.59,104.64,45.54,7.18,27-Mar-2018 - 00:00,"Adarsh Nagar, Jaipur - RSPCB"
27-Mar-2018 - 00:00,759.77,158.1,67.71,,188.12,0.55,3.2,1.3,5.29,2.12,1.24,37.43,48.96,56.13,105.09,36.73,6.91,28-Mar-2018 - 00:00,"Adarsh Nagar, Jaipur - RSPCB"
28-Mar-2018 - 00:00,759.13,135.72,50.83,,209.41,0.8,1.33,0.31,1.45,0.83,0.8,29.58,13.74,46.13,59.87,41.63,10.44,29-Mar-2018 - 00:00,"Adarsh Nagar, Jaipur - RSPCB"
29-Mar-2018 - 00:00,758.96,139.59,48.76,,191.41,0.85,1.47,0.34,1.18,0.8,1.16,27.54,21.34,41.46,62.8,55.29,10.51,30-Mar-2018 - 00:00,"Adarsh Nagar, Jaipur - RSPCB"
30-Mar-2018 - 00:00,757.58,164.8,54.19,,209.42,1.0,0.97,0.14,1.02,0.63,0.67,22.01,13.73,41.73,55.47,56.22,11.07,31-Mar-2018 - 00:00,"Adarsh Nagar, Jaipur - RSPCB"
31-Mar-2018 - 00:00,757.57,133.71,46.81,,124.4,1.18,0.84,0.06,0.19,0.22,0.54,14.85,7.21,24.53,31.73,83.98,11.6,01-Apr-2018 - 00:00,"Adarsh Nagar, Jaipur - RSPCB"
01-Apr-2018 - 00:00,758.94,150.53,58.85,,95.79,0.85,1.44,0.04,0.12,0.19,0.71,15.27,6.47,20.82,27.29,101.92,10.31,02-Apr-2018 - 00:00,"Adarsh Nagar, Jaipur - RSPCB"
02-Apr-2018 - 00:00,759.38,163.85,68.96,,149.42,0.9,2.14,0.38,1.14,0.66,0.92,19.39,16.32,26.96,43.28,88.69,10.74,03-Apr-2018 - 00:00,"Adarsh Nagar, Jaipur - RSPCB"
03-Apr-2018 - 00:00,758.79,155.1,53.79,,189.45,0.61,1.47,0.27,0.99,0.45,0.88,16.64,8.78,33.7,42.48,68.45,7.25,04-Apr-2018 - 00:00,"Adarsh Nagar, Jaipur - RSPCB"
04-Apr-2018 - 00:00,757.15,166.13,55.96,,224.65,0.55,2.05,0.8,2.38,1.06,1.52,23.75,24.9,39.3,64.2,36.25,11.94,05-Apr-2018 - 00:00,"Adarsh Nagar, Jaipur - RSPCB"
05-Apr-2018 - 00:00,756.02,169.94,52.58,,135.95,1.05,1.23,0.36,1.28,0.4,0.46,18.1,9.62,32.52,42.14,69.04,10.0,06-Apr-2018 - 00:00,"Adarsh Nagar, Jaipur - RSPCB"
06-Apr-2018 - 00:00,757.17,154.59,48.85,,93.82,1.19,0.77,0.11,0.33,0.11,0.64,15.03,6.7,19.97,26.67,86.34,9.41,07-Apr-2018 - 00:00,"Adarsh Nagar, Jaipur - RSPCB"
07-Apr-2018 - 00:00,758.77,129.0,43.59,,173.67,0.7,1.28,0.22,0.71,0.31,0.84,19.91,8.44,31.93,40.38,77.61,7.33,08-Apr-2018 - 00:00,"Adarsh Nagar, Jaipur - RSPCB"
08-Apr-2018 - 00:00,758.85,136.7,35.88,,93.21,0.77,1.56,0.07,0.18,0.1,0.68,17.81,6.46,16.51,22.98,106.06,7.3,09-Apr-2018 - 00:00,"Adarsh Nagar, Jaipur - RSPCB"
09-Apr-2018 - 00:00,759.71,118.77,33.18,,95.06,1.08,0.76,0.05,0.14,0.07,0.71,15.39,7.32,16.8,24.12,93.55,8.26,10-Apr-2018 - 00:00,"Adarsh Nagar, Jaipur - RSPCB"
10-Apr-2018 - 00:00,759.04,136.11,51.77,,107.46,0.99,0.94,0.15,0.7,0.27,0.6,14.69,7.13,17.09,24.22,78.32,6.65,11-Apr-2018 - 00:00,"Adarsh Nagar, Jaipur - RSPCB"
11-Apr-2018 - 00:00,758.21,108.13,46.11,,134.58,1.13,1.15,0.14,0.43,0.25,0.64,15.19,7.21,18.95,26.16,65.91,7.82,12-Apr-2018 - 00:00,"Adarsh Nagar, Jaipur - RSPCB"
12-Apr-2018 - 00:00,758.17,57.05,28.15,,86.26,1.22,0.71,0.08,0.24,0.13,0.47,15.55,7.01,17.31,24.32,58.08,5.43,13-Apr-2018 - 00:00,"Adarsh Nagar, Jaipur - RSPCB"
13-Apr-2018 - 00:00,758.73,65.61,27.22,,91.85,0.81,0.69,0.18,0.6,0.31,0.51,14.1,7.9,28.25,36.14,58.17,6.42,14-Apr-2018 - 00:00,"Adarsh Nagar, Jaipur - RSPCB"
14-Apr-2018 - 00:00,757.89,96.94,20.69,,91.23,0.87,0.83,0.13,0.37,0.22,0.58,12.06,6.67,23.38,30.06,76.1,10.77,15-Apr-2018 - 00:00,"Adarsh Nagar, Jaipur - RSPCB"
15-Apr-2018 - 00:00,757.4,114.72,25.35,,139.19,0.88,0.69,0.11,0.39,0.21,0.55,11.88,7.19,19.81,27.0,70.66,8.25,16-Apr-2018 - 00:00,"Adarsh Nagar, Jaipur - RSPCB"
16-Apr-2018 - 00:00,757.92,190.01,47.54,,236.83,0.64,0.78,0.24,0.94,0.49,0.66,17.63,10.7,35.56,46.24,32.53,6.68,17-Apr-2018 - 00:00,"Adarsh Nagar, Jaipur - RSPCB"
17-Apr-2018 - 00:00,758.83,173.43,47.52,,252.89,0.65,0.8,0.28,0.94,0.49,0.77,16.65,11.53,32.42,43.96,31.22,11.12,18-Apr-2018 - 00:00,"Adarsh Nagar, Jaipur - RSPCB"
18-Apr-2018 - 00:00,758.67,158.59,47.77,,174.81,1.16,0.63,0.18,0.7,0.36,0.48,14.18,8.13,28.58,36.71,49.86,9.33,19-Apr-2018 - 00:00,"Adarsh Nagar, Jaipur - RSPCB"
19-Apr-2018 - 00:00,756.12,171.01,47.07,,209.96,0.92,1.02,0.26,0.99,0.51,0.72,16.58,12.6,38.11,50.71,37.68,7.98,20-Apr-2018 - 00:00,"Adarsh Nagar, Jaipur - RSPCB"
20-Apr-2018 - 00:00,755.65,305.83,71.63,,216.72,1.7,0.6,0.17,0.59,0.31,0.56,14.53,11.66,29.13,40.8,38.4,6.66,21-Apr-2018 - 00:00,"Adarsh Nagar, Jaipur - RSPCB"
21-Apr-2018 - 00:00,758.47,479.3,107.63,,152.95,1.28,0.43,0.13,0.46,0.23,0.52,9.88,7.91,25.16,33.07,62.94,4.29,22-Apr-2018 - 00:00,"Adarsh Nagar, Jaipur - RSPCB"
22-Apr-2018 - 00:00,759.31,128.13,40.73,,182.35,1.35,0.42,0.11,0.36,0.19,0.47,10.95,7.28,25.51,32.78,69.55,9.68,23-Apr-2018 - 00:00,"Adarsh Nagar, Jaipur - RSPCB"
23-Apr-2018 - 00:00,759.17,115.92,38.28,,225.4,1.05,0.75,0.2,0.72,0.37,0.65,13.18,7.94,33.05,40.99,64.61,8.01,24-Apr-2018 - 00:00,"Adarsh Nagar, Jaipur - RSPCB"
24-Apr-2018 - 00:00,758.16,144.75,46.35,,211.96,0.68,1.92,0.7,2.25,1.01,1.14,24.21,31.29,52.4,83.69,35.91,8.05,25-Apr-2018 - 00:00,"Adarsh Nagar, Jaipur - RSPCB"
25-Apr-2018 - 00:00,756.54,142.93,47.77,,229.03,0.67,1.71,0.68,2.25,0.91,0.74,19.65,17.16,44.65,61.81,34.15,8.74,26-Apr-2018 - 00:00,"Adarsh Nagar, Jaipur - RSPCB"
