from date,BP,PM10,PM2.5,RF,WD,WS,Benzene,Eth-Benzene,MP-Xylene,O Xylene,CO,NH3,NO,NO2,NOx,Ozone,SO2,to date,station
26-Jul-2018 - 00:00,751.97,178.46,47.77,,217.48,1.19,0.43,0.15,0.64,0.45,0.6,9.91,11.59,17.51,29.1,9.77,7.39,27-Jul-2018 - 00:00,"Adarsh Nagar, Jaipur - RSPCB"
27-Jul-2018 - 00:00,750.96,139.74,46.77,,213.57,1.28,0.38,0.11,0.5,0.38,0.6,9.24,9.88,15.81,25.69,16.39,9.34,28-Jul-2018 - 00:00,"Adarsh Nagar, Jaipur - RSPCB"
28-Jul-2018 - 00:00,751.76,115.39,46.43,,216.24,1.37,0.38,0.1,0.44,0.33,0.72,9.23,10.62,17.81,28.43,19.43,9.27,29-Jul-2018 - 00:00,"Adarsh Nagar, Jaipur - RSPCB"
29-Jul-2018 - 00:00,752.14,127.13,48.43,,222.27,1.14,0.28,0.07,0.23,0.19,0.53,8.32,10.3,16.06,26.36,22.92,8.92,30-Jul-2018 - 00:00,"Adarsh Nagar, Jaipur - RSPCB"
30-Jul-2018 - 00:00,752.47,101.92,37.35,,233.51,0.78,0.35,0.13,0.46,0.32,0.64,14.35,8.14,24.14,32.29,20.31,10.53,31-Jul-2018 - 00:00,"Adarsh Nagar, Jaipur - RSPCB"
31-Jul-2018 - 00:00,751.89,147.04,51.02,,225.53,1.16,0.33,0.07,0.27,0.18,0.6,15.97,3.15,27.38,30.52,23.6,9.65,01-Aug-2018 - 00:00,"Adarsh Nagar, Jaipur - RSPCB"
01-Aug-2018 - 00:00,751.97,183.8,52.53,,218.07,1.77,0.27,0.07,0.27,0.17,0.57,15.18,2.43,23.71,26.13,30.81,7.87,02-Aug-2018 - 00:00,"Adarsh Nagar, Jaipur - RSPCB"
02-Aug-2018 - 00:00,752.98,179.46,47.0,,217.85,1.84,0.25,0.06,0.23,0.14,0.56,10.55,2.91,30.21,33.12,36.97,6.59,03-Aug-2018 - 00:00,"Adarsh Nagar, Jaipur - RSPCB"
03-Aug-2018 - 00:00,752.89,199.09,61.61,,223.42,1.63,0.26,0.06,0.27,0.15,0.72,11.24,4.88,43.36,48.23,30.86,6.6,04-Aug-2018 - 00:00,"Adarsh Nagar, Jaipur - RSPCB"
04-Aug-2018 - 00:00,752.08,183.94,47.72,,218.59,1.94,0.21,0.05,0.2,0.12,0.46,15.01,5.13,35.89,41.02,27.54,7.71,05-Aug-2018 - 00:00,"Adarsh Nagar, Jaipur - RSPCB"
05-Aug-2018 - 00:00,752.51,171.39,47.21,,216.72,1.66,0.26,0.07,0.25,0.16,0.6,14.74,5.5,34.36,39.85,24.24,6.88,06-Aug-2018 - 00:00,"Adarsh Nagar, Jaipur - RSPCB"
06-Aug-2018 - 00:00,751.72,133.87,43.55,,215.58,1.45,0.3,0.07,0.3,0.17,0.6,15.23,5.87,33.65,39.51,22.4,4.77,07-Aug-2018 - 00:00,"Adarsh Nagar, Jaipur - RSPCB"
07-Aug-2018 - 00:00,752.15,113.9,45.36,,183.32,0.71,0.69,0.16,0.64,0.37,0.82,16.88,6.26,38.05,44.29,26.62,7.49,08-Aug-2018 - 00:00,"Adarsh Nagar, Jaipur - RSPCB"
08-Aug-2018 - 00:00,752.51,69.69,36.45,,84.48,0.67,0.49,0.12,0.42,0.24,0.82,16.18,5.99,34.81,40.8,23.91,8.84,09-Aug-2018 - 00:00,"Adarsh Nagar, Jaipur - RSPCB"
09-Aug-2018 - 00:00,754.63,43.43,22.78,,100.11,0.94,0.47,0.1,0.34,0.23,0.69,14.93,7.44,30.03,37.47,26.31,10.55,10-Aug-2018 - 00:00,"Adarsh Nagar, Jaipur - RSPCB"
10-Aug-2018 - 00:00,754.18,69.43,30.44,,241.99,0.71,0.71,0.18,0.68,0.42,0.78,21.09,15.1,31.31,46.01,23.84,9.43,11-Aug-2018 - 00:00,"Adarsh Nagar, Jaipur - RSPCB"
11-Aug-2018 - 00:00,751.9,72.97,42.59,,216.45,1.19,0.4,0.1,0.38,0.25,0.54,11.28,13.15,31.44,44.59,23.1,9.14,12-Aug-2018 - 00:00,"Adarsh Nagar, Jaipur - RSPCB"
12-Aug-2018 - 00:00,749.9,65.46,22.31,,218.49,1.6,0.3,0.06,0.21,0.15,0.45,7.8,11.62,27.21,38.83,24.19,9.08,13-Aug-2018 - 00:00,"Adarsh Nagar, Jaipur - RSPCB"
13-Aug-2018 - 00:00,750.15,88.98,33.14,,200.62,0.93,0.35,0.1,0.28,0.16,0.45,7.7,10.69,26.62,37.3,31.08,8.69,14-Aug-2018 - 00:00,"Adarsh Nagar, Jaipur - RSPCB"
14-Aug-2018 - 00:00,752.31,113.76,39.49,,186.59,0.64,0.62,0.14,0.53,0.34,0.68,18.53,8.74,31.8,40.54,26.38,9.42,15-Aug-2018 - 00:00,"Adarsh Nagar, Jaipur - RSPCB"
15-Aug-2018 - 00:00,754.67,172.89,57.03,,208.73,0.73,0.4,0.08,0.28,0.18,0.54,21.68,5.04,26.46,31.5,23.99,9.35,16-Aug-2018 - 00:00,"Adarsh Nagar, Jaipur - RSPCB"
