from date,AT,Benzene,BP,CO,NH3,NO,NO2,NOx,Ozone,PM10,PM2.5,P-Xylene,RH,SO2,SR,WD,WS,VWS,Toluene,to date,station
09-Dec-2018 - 00:00,11.91,,990.04,3.52,43.38,193.59,110.84,256.9,26.84,484.98,286.52,,67.4,7.84,66.34,181.94,0.42,0.0,102.02,10-Dec-2018 - 00:00,"R K Puram, Delhi - DPCC"
10-Dec-2018 - 00:00,11.72,,990.37,2.59,45.55,173.24,98.11,229.71,25.37,516.05,328.22,,72.23,5.8,57.66,172.46,0.6,0.06,100.6,11-Dec-2018 - 00:00,"R K Puram, Delhi - DPCC"
11-Dec-2018 - 00:00,11.75,,994.04,3.69,45.56,206.22,99.35,241.7,35.43,506.73,321.78,,73.88,10.61,49.5,155.22,0.5,0.03,100.6,12-Dec-2018 - 00:00,"R K Puram, Delhi - DPCC"
12-Dec-2018 - 00:00,12.99,,990.17,2.23,43.31,130.4,80.72,149.26,37.57,297.49,196.67,,70.42,12.67,49.86,149.47,0.87,0.2,,13-Dec-2018 - 00:00,"R K Puram, Delhi - DPCC"
13-Dec-2018 - 00:00,12.29,,990.0,1.8,35.3,62.6,74.15,90.47,34.83,197.12,106.16,,67.7,13.93,69.04,203.68,0.58,,,14-Dec-2018 - 00:00,"R K Puram, Delhi - DPCC"
14-Dec-2018 - 00:00,11.08,,990.26,1.51,34.55,77.16,77.47,104.1,35.07,243.61,128.53,,68.78,14.33,73.82,209.45,0.69,,,15-Dec-2018 - 00:00,"R K Puram, Delhi - DPCC"
15-Dec-2018 - 00:00,10.92,,990.03,0.88,34.26,51.62,77.81,83.48,35.36,231.06,136.36,,66.3,15.0,75.17,214.69,0.76,,,16-Dec-2018 - 00:00,"R K Puram, Delhi - DPCC"
16-Dec-2018 - 00:00,11.42,,990.11,,35.4,110.62,81.39,133.47,36.52,285.85,168.59,,62.35,16.28,81.48,207.99,0.63,,,17-Dec-2018 - 00:00,"R K Puram, Delhi - DPCC"
17-Dec-2018 - 00:00,9.63,,990.96,4.03,39.02,138.14,98.33,177.41,55.26,391.15,227.21,,64.54,19.43,67.39,200.52,0.58,,,18-Dec-2018 - 00:00,"R K Puram, Delhi - DPCC"
18-Dec-2018 - 00:00,11.8,,990.01,1.51,39.82,73.83,102.64,114.78,88.23,325.54,190.46,,54.11,24.18,97.33,212.36,0.87,,,19-Dec-2018 - 00:00,"R K Puram, Delhi - DPCC"
19-Dec-2018 - 00:00,10.04,,990.12,2.37,38.24,137.4,102.75,174.07,90.08,368.62,175.34,,61.45,23.78,74.53,202.81,0.61,,,20-Dec-2018 - 00:00,"R K Puram, Delhi - DPCC"
20-Dec-2018 - 00:00,9.36,,995.34,3.03,39.12,222.44,98.83,237.99,108.25,422.3,266.55,,63.61,21.33,72.77,194.17,0.47,,,21-Dec-2018 - 00:00,"R K Puram, Delhi - DPCC"
21-Dec-2018 - 00:00,8.93,,990.54,3.0,45.47,124.67,100.23,152.76,111.56,421.72,297.15,,64.98,19.5,73.4,205.94,0.63,,,22-Dec-2018 - 00:00,"R K Puram, Delhi - DPCC"
22-Dec-2018 - 00:00,8.68,,990.54,3.45,45.11,143.65,129.75,207.57,118.09,540.46,362.99,,66.1,22.13,66.74,183.11,0.47,0.03,,23-Dec-2018 - 00:00,"R K Puram, Delhi - DPCC"
23-Dec-2018 - 00:00,8.64,,,2.29,47.53,199.21,85.85,226.31,136.25,543.8,447.97,,70.35,20.33,63.19,165.25,0.58,0.08,,24-Dec-2018 - 00:00,"R K Puram, Delhi - DPCC"
24-Dec-2018 - 00:00,9.11,,999.11,3.45,43.77,249.27,98.71,260.68,125.91,579.45,412.67,,68.64,19.15,60.37,194.06,0.44,,,25-Dec-2018 - 00:00,"R K Puram, Delhi - DPCC"
25-Dec-2018 - 00:00,8.66,,994.2,1.22,41.6,69.75,87.68,103.51,85.06,412.56,291.65,,68.7,15.42,63.33,204.68,0.69,,,26-Dec-2018 - 00:00,"R K Puram, Delhi - DPCC"
26-Dec-2018 - 00:00,8.4,,990.29,2.6,33.67,87.79,90.46,126.5,74.76,330.7,258.48,,63.11,20.9,70.28,202.68,0.61,,,27-Dec-2018 - 00:00,"R K Puram, Delhi - DPCC"
27-Dec-2018 - 00:00,8.48,,992.6,2.79,29.48,173.6,78.71,183.41,76.98,409.72,273.17,,62.45,19.11,61.88,196.14,0.63,0.02,,28-Dec-2018 - 00:00,"R K Puram, Delhi - DPCC"
28-Dec-2018 - 00:00,7.81,,989.98,0.68,29.62,45.56,60.62,69.38,60.39,386.25,260.29,,64.77,19.29,64.63,208.98,0.91,,,29-Dec-2018 - 00:00,"R K Puram, Delhi - DPCC"
29-Dec-2018 - 00:00,7.84,,990.12,1.16,24.61,90.98,59.49,105.81,71.48,356.16,269.62,,60.67,22.81,71.62,209.31,0.73,,,30-Dec-2018 - 00:00,"R K Puram, Delhi - DPCC"
30-Dec-2018 - 00:00,8.46,,990.72,3.33,25.5,161.8,62.26,165.02,78.54,527.19,353.85,,62.77,22.24,70.3,197.09,0.51,,,31-Dec-2018 - 00:00,"R K Puram, Delhi - DPCC"
31-Dec-2018 - 00:00,3.5,,990.75,4.4,25.05,279.3,46.3,252.35,99.55,847.0,620.0,,81.2,21.95,3.75,210.0,0.3,,,01-Jan-2019 - 00:00,"R K Puram, Delhi - DPCC"
