from date,AT,Benzene,BP,CO,NH3,NO,NO2,NOx,Ozone,PM10,PM2.5,P-Xylene,RH,SO2,SR,WD,WS,VWS,Toluene,to date,station
22-Feb-2018 - 00:00,19.67,15.98,742.98,3.07,41.5,176.67,87.95,202.31,35.7,346.83,168.04,18.74,56.41,33.35,96.91,217.81,0.59,-0.12,33.97,23-Feb-2018 - 00:00,"R K Puram, Delhi - DPCC"
23-Feb-2018 - 00:00,20.55,17.62,742.97,2.65,43.88,162.5,123.08,220.76,17.12,364.25,169.0,20.28,56.46,27.23,86.45,191.79,0.35,-0.1,31.21,24-Feb-2018 - 00:00,"R K Puram, Delhi - DPCC"
24-Feb-2018 - 00:00,21.28,12.77,742.98,1.9,50.21,84.9,89.67,180.82,35.64,362.21,184.54,14.97,55.56,18.74,90.68,158.32,0.69,-0.04,28.78,25-Feb-2018 - 00:00,"R K Puram, Delhi - DPCC"
25-Feb-2018 - 00:00,20.57,13.01,742.98,0.74,33.09,51.24,59.07,93.38,14.81,208.12,101.88,7.86,52.33,17.13,103.53,227.09,0.78,-0.11,14.1,26-Feb-2018 - 00:00,"R K Puram, Delhi - DPCC"
26-Feb-2018 - 00:00,18.43,8.85,742.99,0.61,34.21,22.93,46.63,46.41,28.42,208.62,82.88,1.75,56.44,11.48,115.6,234.98,1.21,-0.22,10.18,27-Feb-2018 - 00:00,"R K Puram, Delhi - DPCC"
27-Feb-2018 - 00:00,19.78,12.67,742.99,1.37,29.81,55.0,66.54,107.54,37.09,190.79,85.96,7.51,55.61,11.73,109.24,227.08,0.85,-0.14,9.14,28-Feb-2018 - 00:00,"R K Puram, Delhi - DPCC"
28-Feb-2018 - 00:00,20.55,11.28,742.96,1.68,43.13,103.16,90.38,168.88,43.29,278.29,148.88,11.49,59.64,26.71,104.59,227.64,0.56,-0.12,25.0,01-Mar-2018 - 00:00,"R K Puram, Delhi - DPCC"
01-Mar-2018 - 00:00,19.98,11.01,742.99,1.9,43.02,148.47,96.7,186.61,40.15,277.33,129.33,12.41,54.82,30.14,100.25,224.74,0.58,-0.12,28.35,02-Mar-2018 - 00:00,"R K Puram, Delhi - DPCC"
02-Mar-2018 - 00:00,21.07,13.9,743.0,1.15,36.86,121.12,85.92,186.93,8.86,248.04,133.08,16.47,53.32,12.16,110.88,225.91,0.72,-0.13,20.08,03-Mar-2018 - 00:00,"R K Puram, Delhi - DPCC"
03-Mar-2018 - 00:00,22.08,7.47,742.99,1.44,42.92,62.92,83.44,157.02,39.19,206.21,113.78,7.64,50.04,23.15,105.09,208.55,0.65,-0.13,18.86,04-Mar-2018 - 00:00,"R K Puram, Delhi - DPCC"
04-Mar-2018 - 00:00,20.82,5.85,742.99,1.05,36.15,40.28,70.08,109.99,41.03,190.29,75.92,5.52,48.36,21.59,98.67,219.3,0.73,-0.11,17.72,05-Mar-2018 - 00:00,"R K Puram, Delhi - DPCC"
05-Mar-2018 - 00:00,19.56,5.46,742.99,1.27,35.25,43.79,74.35,120.67,43.89,186.58,91.22,5.27,50.66,19.93,118.99,233.33,0.88,-0.14,18.14,06-Mar-2018 - 00:00,"R K Puram, Delhi - DPCC"
06-Mar-2018 - 00:00,18.83,3.62,742.99,0.97,33.37,17.74,71.17,88.51,44.97,179.62,80.7,2.86,50.25,27.72,119.5,228.44,1.12,-0.18,15.52,07-Mar-2018 - 00:00,"R K Puram, Delhi - DPCC"
07-Mar-2018 - 00:00,19.13,9.78,742.98,0.78,34.45,49.41,78.88,90.02,44.67,203.71,110.39,2.87,50.38,19.65,123.0,224.97,0.84,-0.17,16.01,08-Mar-2018 - 00:00,"R K Puram, Delhi - DPCC"
08-Mar-2018 - 00:00,20.55,21.3,742.97,0.59,30.66,86.7,110.54,92.32,55.68,260.0,128.29,10.72,52.22,18.5,118.36,205.02,0.5,-0.1,22.04,09-Mar-2018 - 00:00,"R K Puram, Delhi - DPCC"
09-Mar-2018 - 00:00,21.5,19.73,742.99,1.09,27.31,68.72,80.74,104.17,50.56,254.62,129.17,11.12,49.51,35.7,115.57,226.06,0.52,-0.13,27.14,10-Mar-2018 - 00:00,"R K Puram, Delhi - DPCC"
10-Mar-2018 - 00:00,22.02,5.6,742.98,0.87,31.48,17.19,71.15,81.91,48.13,162.92,80.45,5.08,44.61,26.98,124.24,234.47,0.84,-0.17,20.83,11-Mar-2018 - 00:00,"R K Puram, Delhi - DPCC"
11-Mar-2018 - 00:00,21.79,5.8,742.98,1.53,33.29,48.12,69.85,127.91,55.85,193.29,101.42,5.36,47.78,33.58,122.13,226.97,0.61,-0.15,18.32,12-Mar-2018 - 00:00,"R K Puram, Delhi - DPCC"
12-Mar-2018 - 00:00,22.8,7.96,742.98,1.57,32.43,65.91,81.15,143.41,52.92,229.96,131.09,9.24,45.04,33.88,121.8,223.14,0.81,-0.17,20.96,13-Mar-2018 - 00:00,"R K Puram, Delhi - DPCC"
13-Mar-2018 - 00:00,23.92,9.15,742.95,2.13,34.0,70.96,84.62,134.76,57.03,277.29,132.55,11.78,42.91,36.07,122.38,225.78,0.79,-0.16,24.25,14-Mar-2018 - 00:00,"R K Puram, Delhi - DPCC"
14-Mar-2018 - 00:00,23.19,10.77,742.99,2.05,31.2,145.19,85.56,171.67,40.04,321.42,108.3,14.72,37.96,28.96,111.87,207.06,0.52,-0.13,23.95,15-Mar-2018 - 00:00,"R K Puram, Delhi - DPCC"
15-Mar-2018 - 00:00,22.55,6.1,742.99,1.29,34.88,91.57,77.84,135.7,29.39,315.38,105.39,6.18,43.62,28.1,114.5,217.48,0.98,-0.18,17.96,16-Mar-2018 - 00:00,"R K Puram, Delhi - DPCC"
