from date,AT,BP,PM2.5,PM10,RF,RH,SR,Temp,VWS,WD,WS,Benzene,MP-Xylene,Xylene,Toluene,CO,NH3,NO,NO2,NOx,Ozone,SO2,to date,station
06-Apr-2018 - 00:00,32.34,751.3,28.0,71.21,0.0,71.33,198.39,28.04,0.03,167.09,2.63,0.08,0.07,0.08,0.93,0.75,21.14,2.89,16.92,11.44,39.26,9.16,07-Apr-2018 - 00:00,"Anand Kala Kshetram, Rajamahendravaram - APPCB"
07-Apr-2018 - 00:00,31.94,752.55,22.32,68.39,0.01,72.15,199.27,28.34,-0.0,199.55,2.98,0.08,0.07,0.09,0.77,0.86,18.42,3.42,16.21,11.49,45.25,8.51,08-Apr-2018 - 00:00,"Anand Kala Kshetram, Rajamahendravaram - APPCB"
08-Apr-2018 - 00:00,31.07,753.88,24.41,54.03,0.04,71.0,203.81,27.96,0.01,175.61,3.25,0.12,0.07,0.12,0.93,0.69,17.5,2.19,21.0,12.95,69.11,9.48,09-Apr-2018 - 00:00,"Anand Kala Kshetram, Rajamahendravaram - APPCB"
09-Apr-2018 - 00:00,32.31,754.08,29.28,69.62,0.01,69.42,200.68,28.18,0.05,122.3,2.77,0.16,0.07,0.2,1.15,0.97,20.66,2.95,21.28,13.71,59.72,9.98,10-Apr-2018 - 00:00,"Anand Kala Kshetram, Rajamahendravaram - APPCB"
10-Apr-2018 - 00:00,32.07,753.07,25.88,66.73,0.0,65.49,205.09,28.21,0.05,128.91,2.85,0.2,0.09,0.16,1.19,0.73,18.08,3.47,20.1,13.6,46.0,11.49,11-Apr-2018 - 00:00,"Anand Kala Kshetram, Rajamahendravaram - APPCB"
11-Apr-2018 - 00:00,32.42,752.82,16.75,47.16,0.0,67.46,206.36,28.14,0.02,174.68,2.76,0.11,0.1,0.14,0.87,0.7,16.37,4.44,18.41,13.49,36.62,8.18,12-Apr-2018 - 00:00,"Anand Kala Kshetram, Rajamahendravaram - APPCB"
12-Apr-2018 - 00:00,32.83,751.85,12.69,40.12,0.0,65.85,204.88,28.19,0.02,162.62,2.62,0.11,0.08,0.13,0.89,0.61,16.05,2.95,15.2,10.49,47.56,8.24,13-Apr-2018 - 00:00,"Anand Kala Kshetram, Rajamahendravaram - APPCB"
13-Apr-2018 - 00:00,32.93,752.53,10.57,36.41,0.0,64.03,203.29,28.3,0.04,155.98,2.83,0.11,0.07,0.09,0.9,0.9,13.22,2.91,16.37,11.17,49.82,7.89,14-Apr-2018 - 00:00,"Anand Kala Kshetram, Rajamahendravaram - APPCB"
14-Apr-2018 - 00:00,33.42,751.89,9.16,33.19,0.0,68.56,204.84,28.23,0.02,210.47,2.58,0.07,0.08,0.12,0.84,0.58,14.52,3.75,15.25,11.16,32.58,8.46,15-Apr-2018 - 00:00,"Anand Kala Kshetram, Rajamahendravaram - APPCB"
15-Apr-2018 - 00:00,33.64,752.44,7.11,25.09,0.0,66.31,201.3,28.42,0.04,158.31,3.05,0.08,0.07,0.08,0.67,0.53,13.52,2.21,12.17,8.27,35.07,6.86,16-Apr-2018 - 00:00,"Anand Kala Kshetram, Rajamahendravaram - APPCB"
16-Apr-2018 - 00:00,33.49,752.48,10.66,42.0,0.0,69.1,201.35,28.45,0.0,214.04,2.64,0.09,0.1,0.27,0.84,0.76,15.26,3.74,16.19,11.66,44.93,8.2,17-Apr-2018 - 00:00,"Anand Kala Kshetram, Rajamahendravaram - APPCB"
17-Apr-2018 - 00:00,33.27,753.29,16.82,58.99,0.0,68.85,206.25,28.78,0.02,190.18,2.91,0.14,0.08,0.38,1.07,0.89,20.38,5.34,19.56,14.75,29.72,9.49,18-Apr-2018 - 00:00,"Anand Kala Kshetram, Rajamahendravaram - APPCB"
18-Apr-2018 - 00:00,33.23,751.98,7.11,27.89,0.0,69.86,201.92,30.31,0.02,199.78,3.58,0.11,0.07,0.16,0.81,0.8,15.96,3.27,12.16,9.13,36.05,8.28,19-Apr-2018 - 00:00,"Anand Kala Kshetram, Rajamahendravaram - APPCB"
19-Apr-2018 - 00:00,33.23,750.05,8.1,33.02,0.0,68.46,203.51,30.06,0.03,205.44,3.63,0.1,0.08,0.15,0.74,0.84,14.05,2.89,11.09,8.34,41.92,8.36,20-Apr-2018 - 00:00,"Anand Kala Kshetram, Rajamahendravaram - APPCB"
20-Apr-2018 - 00:00,33.25,750.05,8.28,34.31,0.0,70.2,199.41,30.24,0.04,169.21,3.71,0.1,0.05,0.23,1.01,0.73,13.56,2.62,10.77,7.94,48.25,9.05,21-Apr-2018 - 00:00,"Anand Kala Kshetram, Rajamahendravaram - APPCB"
21-Apr-2018 - 00:00,33.51,750.26,16.08,46.92,0.0,67.88,202.15,30.16,0.03,173.2,3.16,0.11,0.07,0.26,0.92,0.68,12.8,2.94,16.24,11.03,53.07,9.44,22-Apr-2018 - 00:00,"Anand Kala Kshetram, Rajamahendravaram - APPCB"
22-Apr-2018 - 00:00,34.74,750.64,6.24,29.65,0.0,65.81,244.82,30.6,0.03,190.04,3.53,0.06,0.09,0.12,0.57,0.43,13.17,2.51,10.13,7.43,45.82,7.53,23-Apr-2018 - 00:00,"Anand Kala Kshetram, Rajamahendravaram - APPCB"
23-Apr-2018 - 00:00,36.17,749.75,13.48,46.33,0.0,60.67,200.88,29.91,0.04,187.71,3.71,0.12,0.07,0.41,1.26,0.0,,,,,60.37,15.76,24-Apr-2018 - 00:00,"Anand Kala Kshetram, Rajamahendravaram - APPCB"
24-Apr-2018 - 00:00,30.99,751.35,17.71,51.28,0.02,77.64,175.03,31.01,0.02,192.11,3.35,0.15,0.1,0.45,1.17,0.45,14.63,3.05,23.23,14.84,52.98,10.32,25-Apr-2018 - 00:00,"Anand Kala Kshetram, Rajamahendravaram - APPCB"
25-Apr-2018 - 00:00,31.68,750.34,15.54,40.93,0.01,68.09,204.6,31.94,0.02,208.07,2.82,0.17,0.06,0.4,1.37,0.58,19.84,3.11,19.27,12.77,47.73,8.2,26-Apr-2018 - 00:00,"Anand Kala Kshetram, Rajamahendravaram - APPCB"
26-Apr-2018 - 00:00,32.4,749.8,14.71,39.39,0.01,70.69,205.39,31.82,0.03,194.34,2.73,0.17,0.07,0.42,1.33,0.56,19.51,2.56,16.22,10.72,45.39,8.14,27-Apr-2018 - 00:00,"Anand Kala Kshetram, Rajamahendravaram - APPCB"
27-Apr-2018 - 00:00,33.58,751.57,9.51,31.02,0.0,68.54,204.19,29.58,0.05,152.4,2.77,0.14,0.08,0.22,0.9,0.77,14.65,2.71,11.76,8.55,44.02,6.82,28-Apr-2018 - 00:00,"Anand Kala Kshetram, Rajamahendravaram - APPCB"
28-Apr-2018 - 00:00,33.59,751.99,9.26,32.6,0.0,65.91,206.7,29.51,0.03,170.99,3.14,0.12,0.08,0.24,0.89,0.68,12.79,3.03,12.32,9.1,35.46,7.09,29-Apr-2018 - 00:00,"Anand Kala Kshetram, Rajamahendravaram - APPCB"
29-Apr-2018 - 00:00,32.97,750.52,8.39,32.27,0.0,69.44,205.54,29.63,0.04,163.59,2.97,0.1,0.07,0.2,0.72,0.41,12.26,2.3,10.78,7.61,34.75,6.94,30-Apr-2018 - 00:00,"Anand Kala Kshetram, Rajamahendravaram - APPCB"
30-Apr-2018 - 00:00,33.56,748.77,12.45,45.14,0.0,72.86,203.1,29.42,0.06,170.68,3.29,0.15,0.07,0.27,1.03,0.76,11.61,3.15,13.47,9.82,39.21,7.41,01-May-2018 - 00:00,"Anand Kala Kshetram, Rajamahendravaram - APPCB"
01-May-2018 - 00:00,31.51,750.51,15.06,57.48,0.0,73.98,192.67,29.72,0.06,125.92,3.58,0.16,0.05,0.31,1.02,0.46,12.97,2.56,16.49,10.94,57.23,7.69,02-May-2018 - 00:00,"Anand Kala Kshetram, Rajamahendravaram - APPCB"
02-May-2018 - 00:00,33.13,750.12,18.15,45.05,0.0,66.53,205.79,29.49,0.03,167.94,3.17,0.14,0.05,0.3,1.07,0.73,13.46,2.43,14.64,9.85,66.27,8.08,03-May-2018 - 00:00,"Anand Kala Kshetram, Rajamahendravaram - APPCB"
03-May-2018 - 00:00,30.77,752.55,13.71,33.39,0.0,75.05,249.9,29.52,0.03,164.24,3.87,0.13,0.05,0.2,0.75,0.73,12.17,3.62,16.26,11.74,71.12,9.82,04-May-2018 - 00:00,"Anand Kala Kshetram, Rajamahendravaram - APPCB"
04-May-2018 - 00:00,,,,,,,,,,,,,,,,,,,,,,,05-May-2018 - 00:00,"Anand Kala Kshetram, Rajamahendravaram - APPCB"
05-May-2018 - 00:00,,,,,,,,,,,,,,,,,,,,,,,06-May-2018 - 00:00,"Anand Kala Kshetram, Rajamahendravaram - APPCB"
06-May-2018 - 00:00,,,,,,,,,,,,,,,,,,,,,,,07-May-2018 - 00:00,"Anand Kala Kshetram, Rajamahendravaram - APPCB"
07-May-2018 - 00:00,,,,,,,,,,,,,,,,,,,,,,,08-May-2018 - 00:00,"Anand Kala Kshetram, Rajamahendravaram - APPCB"
08-May-2018 - 00:00,,,,,,,,,,,,,,,,,,,,,,,09-May-2018 - 00:00,"Anand Kala Kshetram, Rajamahendravaram - APPCB"
09-May-2018 - 00:00,,,,,,,,,,,,,,,,,,,,,,,10-May-2018 - 00:00,"Anand Kala Kshetram, Rajamahendravaram - APPCB"
10-May-2018 - 00:00,,,,,,,,,,,,,,,,,,,,,,,11-May-2018 - 00:00,"Anand Kala Kshetram, Rajamahendravaram - APPCB"
11-May-2018 - 00:00,,,,,,,,,,,,,,,,,,,,,,,12-May-2018 - 00:00,"Anand Kala Kshetram, Rajamahendravaram - APPCB"
12-May-2018 - 00:00,36.46,749.31,11.16,30.17,0.0,58.57,240.95,26.94,0.03,190.07,4.35,0.07,0.08,0.19,1.04,0.76,12.36,2.94,12.79,9.18,43.69,8.46,13-May-2018 - 00:00,"Anand Kala Kshetram, Rajamahendravaram - APPCB"
13-May-2018 - 00:00,34.52,750.3,12.43,37.21,0.0,67.66,208.6,27.5,0.01,193.94,3.44,0.05,0.09,0.12,0.59,0.23,13.37,2.21,13.39,8.92,49.13,9.03,14-May-2018 - 00:00,"Anand Kala Kshetram, Rajamahendravaram - APPCB"
14-May-2018 - 00:00,32.5,751.2,13.34,38.1,0.0,71.89,197.57,27.74,0.01,162.28,3.18,0.11,0.07,0.34,0.84,0.5,13.28,2.57,16.57,10.99,52.53,7.89,15-May-2018 - 00:00,"Anand Kala Kshetram, Rajamahendravaram - APPCB"
15-May-2018 - 00:00,33.43,750.21,17.8,46.74,0.0,61.85,205.35,27.85,-0.02,212.53,2.66,0.12,0.1,0.46,0.81,0.83,15.21,2.88,17.68,11.83,62.69,10.38,16-May-2018 - 00:00,"Anand Kala Kshetram, Rajamahendravaram - APPCB"
16-May-2018 - 00:00,34.34,748.95,18.84,47.5,0.0,65.5,209.78,27.67,0.0,218.82,2.78,0.09,0.06,0.26,0.81,0.58,17.07,2.95,16.39,11.22,43.2,8.62,17-May-2018 - 00:00,"Anand Kala Kshetram, Rajamahendravaram - APPCB"
17-May-2018 - 00:00,35.0,750.94,8.99,29.26,0.0,68.22,206.55,28.45,0.02,198.51,3.07,0.06,0.07,0.17,0.64,0.77,14.53,2.81,9.55,7.36,34.39,7.18,18-May-2018 - 00:00,"Anand Kala Kshetram, Rajamahendravaram - APPCB"
18-May-2018 - 00:00,34.68,748.27,15.65,40.45,0.0,64.78,207.28,30.64,0.0,185.74,3.35,0.14,0.08,0.19,0.79,0.45,15.54,2.53,12.5,8.79,48.72,10.73,19-May-2018 - 00:00,"Anand Kala Kshetram, Rajamahendravaram - APPCB"
19-May-2018 - 00:00,34.76,747.55,17.28,48.77,0.0,67.98,203.74,30.93,0.04,171.45,2.98,0.18,0.08,0.34,0.95,0.52,14.15,2.54,11.66,8.36,52.33,8.88,20-May-2018 - 00:00,"Anand Kala Kshetram, Rajamahendravaram - APPCB"
20-May-2018 - 00:00,34.89,748.01,19.07,58.75,0.0,64.18,206.42,31.09,0.04,162.2,2.91,0.13,0.08,0.27,0.7,0.41,13.22,2.14,11.8,8.01,54.08,10.22,21-May-2018 - 00:00,"Anand Kala Kshetram, Rajamahendravaram - APPCB"
21-May-2018 - 00:00,34.54,748.78,17.57,54.81,0.0,67.71,198.41,30.77,0.06,147.21,2.99,0.16,0.09,0.35,0.83,0.66,13.06,2.43,11.18,8.01,48.87,9.75,22-May-2018 - 00:00,"Anand Kala Kshetram, Rajamahendravaram - APPCB"
22-May-2018 - 00:00,34.66,748.72,17.52,49.48,0.0,68.14,204.44,30.66,0.04,156.45,2.75,0.15,0.08,0.32,0.83,0.63,12.91,2.57,11.41,8.25,46.03,9.44,23-May-2018 - 00:00,"Anand Kala Kshetram, Rajamahendravaram - APPCB"
23-May-2018 - 00:00,33.46,748.49,20.36,51.3,0.0,70.46,193.92,30.57,0.03,160.31,2.71,0.2,0.14,0.56,1.17,0.72,12.78,2.68,20.42,13.13,53.86,8.74,24-May-2018 - 00:00,"Anand Kala Kshetram, Rajamahendravaram - APPCB"
24-May-2018 - 00:00,34.55,747.49,33.56,66.24,0.0,68.39,209.7,30.65,0.03,160.16,2.29,0.24,0.09,0.43,1.29,0.87,18.26,3.91,21.99,14.96,41.01,10.38,25-May-2018 - 00:00,"Anand Kala Kshetram, Rajamahendravaram - APPCB"
25-May-2018 - 00:00,34.58,747.06,20.59,42.74,0.0,67.55,202.41,30.7,0.05,137.2,2.76,0.22,0.1,0.4,1.08,0.81,16.43,3.24,14.71,10.45,37.46,11.41,26-May-2018 - 00:00,"Anand Kala Kshetram, Rajamahendravaram - APPCB"
26-May-2018 - 00:00,34.67,747.28,16.84,38.2,0.0,67.07,208.4,30.71,0.06,130.34,2.95,0.2,0.09,0.41,1.13,0.87,14.83,3.42,15.84,11.29,35.03,8.75,27-May-2018 - 00:00,"Anand Kala Kshetram, Rajamahendravaram - APPCB"
27-May-2018 - 00:00,35.22,746.82,15.27,38.52,0.0,64.79,209.71,30.66,0.01,185.15,2.56,0.11,0.06,0.16,0.68,0.54,14.2,2.33,11.95,8.25,46.0,9.35,28-May-2018 - 00:00,"Anand Kala Kshetram, Rajamahendravaram - APPCB"
28-May-2018 - 00:00,34.77,745.21,14.31,36.21,0.0,67.88,207.96,30.76,0.05,163.05,3.25,0.14,0.07,0.23,0.81,0.73,13.68,2.56,11.39,8.14,47.02,10.87,29-May-2018 - 00:00,"Anand Kala Kshetram, Rajamahendravaram - APPCB"
29-May-2018 - 00:00,34.7,743.76,20.86,59.52,0.0,69.71,201.27,30.75,0.03,179.94,2.57,0.17,0.12,0.28,0.93,0.81,12.39,2.24,12.96,8.8,59.83,10.41,30-May-2018 - 00:00,"Anand Kala Kshetram, Rajamahendravaram - APPCB"
30-May-2018 - 00:00,35.61,744.38,32.48,71.69,0.0,68.41,207.1,30.69,0.03,167.11,2.92,0.13,0.09,0.21,0.77,1.12,15.02,2.27,12.36,8.41,82.75,11.83,31-May-2018 - 00:00,"Anand Kala Kshetram, Rajamahendravaram - APPCB"
31-May-2018 - 00:00,32.9,746.9,30.33,66.35,0.01,77.28,171.34,30.09,0.02,166.45,2.95,0.19,0.13,0.45,1.13,1.22,15.17,2.58,19.37,12.49,74.23,12.55,01-Jun-2018 - 00:00,"Anand Kala Kshetram, Rajamahendravaram - APPCB"
01-Jun-2018 - 00:00,34.5,747.97,28.27,65.06,0.0,69.65,203.96,29.68,0.04,148.9,2.41,0.28,0.08,0.55,1.32,1.34,17.69,2.65,20.43,13.03,51.3,9.4,02-Jun-2018 - 00:00,"Anand Kala Kshetram, Rajamahendravaram - APPCB"
02-Jun-2018 - 00:00,32.32,748.09,21.79,50.34,0.13,76.31,189.78,31.28,0.0,169.1,2.39,0.22,0.17,0.81,1.39,0.93,17.02,2.91,19.5,12.83,51.81,8.91,03-Jun-2018 - 00:00,"Anand Kala Kshetram, Rajamahendravaram - APPCB"
03-Jun-2018 - 00:00,33.87,746.01,24.08,50.5,0.0,68.31,208.97,31.31,0.02,210.73,2.53,0.14,0.08,0.33,0.86,0.33,18.74,2.07,15.57,9.97,81.62,11.17,04-Jun-2018 - 00:00,"Anand Kala Kshetram, Rajamahendravaram - APPCB"
04-Jun-2018 - 00:00,34.87,744.15,34.61,69.94,0.0,64.46,204.94,31.3,0.01,190.04,2.65,0.2,0.07,0.39,0.99,0.76,19.41,2.3,15.59,10.16,110.54,12.23,05-Jun-2018 - 00:00,"Anand Kala Kshetram, Rajamahendravaram - APPCB"
05-Jun-2018 - 00:00,33.72,745.59,44.19,80.24,0.0,65.97,203.22,31.49,0.03,142.38,2.5,0.29,0.09,0.64,1.45,1.01,20.95,2.35,24.23,14.89,98.91,12.37,06-Jun-2018 - 00:00,"Anand Kala Kshetram, Rajamahendravaram - APPCB"
06-Jun-2018 - 00:00,30.69,747.69,17.15,34.6,0.01,81.45,190.54,31.56,0.01,180.59,2.15,0.23,0.13,0.69,1.28,1.19,17.2,2.29,19.48,12.31,76.2,9.84,07-Jun-2018 - 00:00,"Anand Kala Kshetram, Rajamahendravaram - APPCB"
07-Jun-2018 - 00:00,32.62,745.39,21.18,40.24,0.0,75.09,203.53,31.4,-0.03,232.03,3.45,0.14,0.08,0.26,0.77,1.02,18.05,2.16,15.01,9.81,95.57,9.4,08-Jun-2018 - 00:00,"Anand Kala Kshetram, Rajamahendravaram - APPCB"
08-Jun-2018 - 00:00,32.47,743.21,14.81,31.53,0.01,76.68,201.06,31.44,-0.02,209.29,4.08,0.11,0.09,0.28,0.72,0.36,17.24,2.35,13.65,9.26,77.25,9.19,09-Jun-2018 - 00:00,"Anand Kala Kshetram, Rajamahendravaram - APPCB"
09-Jun-2018 - 00:00,32.32,741.52,14.24,27.86,0.04,77.02,194.93,31.43,-0.03,223.2,3.16,0.15,0.1,0.34,0.78,0.81,17.67,2.75,17.16,11.36,64.51,9.35,10-Jun-2018 - 00:00,"Anand Kala Kshetram, Rajamahendravaram - APPCB"
10-Jun-2018 - 00:00,32.87,741.89,19.08,41.58,0.0,75.11,205.05,31.34,-0.08,266.57,4.13,0.14,0.09,0.23,0.65,0.61,18.26,2.17,16.76,10.68,59.81,12.47,11-Jun-2018 - 00:00,"Anand Kala Kshetram, Rajamahendravaram - APPCB"
11-Jun-2018 - 00:00,31.76,742.82,16.0,44.17,0.11,78.79,184.43,31.63,-0.1,257.36,4.71,0.1,0.08,0.15,0.53,0.5,13.54,2.14,13.96,9.16,61.99,7.93,12-Jun-2018 - 00:00,"Anand Kala Kshetram, Rajamahendravaram - APPCB"
12-Jun-2018 - 00:00,30.85,743.55,17.1,46.28,0.08,84.83,192.48,31.46,-0.03,204.82,3.04,0.14,0.09,0.43,0.88,1.02,14.38,2.83,15.52,10.65,49.07,7.37,13-Jun-2018 - 00:00,"Anand Kala Kshetram, Rajamahendravaram - APPCB"
13-Jun-2018 - 00:00,33.14,743.91,19.08,57.45,0.0,72.6,208.9,31.4,-0.01,186.64,4.14,0.12,0.09,0.24,0.68,0.87,14.97,2.86,14.18,9.87,61.55,6.87,14-Jun-2018 - 00:00,"Anand Kala Kshetram, Rajamahendravaram - APPCB"
14-Jun-2018 - 00:00,35.01,744.66,30.93,106.82,0.0,65.41,208.77,31.16,-0.03,188.96,3.42,0.17,0.13,0.38,0.86,0.84,15.98,2.81,17.82,11.85,62.03,9.64,15-Jun-2018 - 00:00,"Anand Kala Kshetram, Rajamahendravaram - APPCB"
15-Jun-2018 - 00:00,35.65,745.47,37.73,127.36,0.0,62.34,209.95,31.06,-0.03,183.97,3.12,0.17,0.14,0.51,1.02,0.85,17.31,2.88,20.64,13.41,73.86,10.1,16-Jun-2018 - 00:00,"Anand Kala Kshetram, Rajamahendravaram - APPCB"
16-Jun-2018 - 00:00,35.62,746.61,32.0,92.16,0.0,54.94,210.04,31.35,-0.04,194.14,3.51,0.21,0.12,0.45,0.94,1.47,17.47,3.09,22.88,14.78,64.63,10.23,17-Jun-2018 - 00:00,"Anand Kala Kshetram, Rajamahendravaram - APPCB"
17-Jun-2018 - 00:00,35.95,746.27,27.7,86.43,0.0,54.93,210.75,31.33,-0.04,191.86,3.8,0.13,0.11,0.33,0.76,0.78,17.26,2.21,17.35,11.03,69.43,11.71,18-Jun-2018 - 00:00,"Anand Kala Kshetram, Rajamahendravaram - APPCB"
18-Jun-2018 - 00:00,35.67,745.46,23.35,76.6,0.0,51.44,211.89,31.56,-0.04,181.58,4.33,0.15,0.11,0.36,0.83,0.86,16.04,2.79,18.83,12.38,54.73,9.69,19-Jun-2018 - 00:00,"Anand Kala Kshetram, Rajamahendravaram - APPCB"
19-Jun-2018 - 00:00,35.15,745.3,15.89,77.78,0.0,57.32,209.15,31.38,-0.04,199.24,4.37,0.11,0.1,0.23,0.58,0.5,16.13,2.66,13.85,9.52,55.43,7.52,20-Jun-2018 - 00:00,"Anand Kala Kshetram, Rajamahendravaram - APPCB"
20-Jun-2018 - 00:00,33.19,746.48,21.54,69.67,0.0,74.63,197.91,31.42,-0.02,223.54,2.8,0.05,0.09,0.05,0.26,0.81,18.23,1.8,11.42,7.53,66.41,7.85,21-Jun-2018 - 00:00,"Anand Kala Kshetram, Rajamahendravaram - APPCB"
21-Jun-2018 - 00:00,34.78,745.17,14.76,55.36,0.0,60.77,213.69,31.13,-0.0,187.54,2.84,0.16,0.08,0.51,1.16,0.21,12.49,3.39,18.44,12.54,68.09,11.34,22-Jun-2018 - 00:00,"Anand Kala Kshetram, Rajamahendravaram - APPCB"
22-Jun-2018 - 00:00,32.99,745.89,30.11,70.51,0.01,76.22,196.59,31.24,0.03,155.51,2.38,0.23,0.09,0.61,1.21,0.68,16.75,2.51,19.38,12.45,61.6,11.23,23-Jun-2018 - 00:00,"Anand Kala Kshetram, Rajamahendravaram - APPCB"
23-Jun-2018 - 00:00,33.03,746.11,18.35,49.5,0.0,75.26,200.27,31.27,0.02,183.35,2.39,0.17,0.07,0.34,0.79,0.67,15.68,2.59,16.41,10.93,66.63,8.19,24-Jun-2018 - 00:00,"Anand Kala Kshetram, Rajamahendravaram - APPCB"
24-Jun-2018 - 00:00,33.98,745.99,18.58,49.59,0.0,67.76,203.74,31.31,-0.02,221.29,3.13,0.12,0.07,0.26,0.64,0.62,15.08,2.05,14.95,9.59,66.55,9.08,25-Jun-2018 - 00:00,"Anand Kala Kshetram, Rajamahendravaram - APPCB"
25-Jun-2018 - 00:00,34.76,744.78,17.39,58.31,0.0,62.08,209.98,31.22,-0.03,215.72,4.73,0.07,0.09,0.2,0.51,0.72,13.67,2.51,12.97,9.04,61.1,6.64,26-Jun-2018 - 00:00,"Anand Kala Kshetram, Rajamahendravaram - APPCB"
26-Jun-2018 - 00:00,34.76,743.64,17.83,59.88,0.0,61.79,203.56,31.25,-0.06,237.1,4.15,0.13,0.14,0.48,0.84,0.88,12.66,3.12,17.65,12.01,52.59,7.13,27-Jun-2018 - 00:00,"Anand Kala Kshetram, Rajamahendravaram - APPCB"
27-Jun-2018 - 00:00,30.63,743.82,15.81,38.18,0.49,80.61,200.12,31.39,-0.03,218.23,3.32,0.14,0.13,0.51,0.96,1.03,13.19,3.03,17.99,12.03,49.75,6.05,28-Jun-2018 - 00:00,"Anand Kala Kshetram, Rajamahendravaram - APPCB"
28-Jun-2018 - 00:00,29.23,746.18,12.41,27.48,0.25,87.98,193.7,31.36,0.0,195.07,2.15,0.2,0.18,0.83,1.34,0.82,13.42,3.02,18.32,12.2,53.96,7.15,29-Jun-2018 - 00:00,"Anand Kala Kshetram, Rajamahendravaram - APPCB"
29-Jun-2018 - 00:00,30.77,747.21,26.74,61.99,0.14,84.88,196.83,31.57,0.0,129.34,1.49,0.48,0.27,1.7,2.8,1.1,18.67,5.96,32.42,22.18,36.23,10.1,30-Jun-2018 - 00:00,"Anand Kala Kshetram, Rajamahendravaram - APPCB"
30-Jun-2018 - 00:00,31.71,747.77,22.17,52.18,0.15,80.55,187.17,31.41,-0.01,189.61,1.92,0.2,0.11,0.76,1.46,0.67,23.31,3.27,22.46,14.69,53.4,10.1,01-Jul-2018 - 00:00,"Anand Kala Kshetram, Rajamahendravaram - APPCB"
01-Jul-2018 - 00:00,31.03,748.41,,32.61,0.01,83.9,209.39,31.36,0.02,190.41,2.46,0.13,0.06,0.39,0.88,0.5,18.67,2.27,15.06,9.86,53.89,7.99,02-Jul-2018 - 00:00,"Anand Kala Kshetram, Rajamahendravaram - APPCB"
02-Jul-2018 - 00:00,32.26,747.38,19.44,44.17,0.01,78.07,202.02,31.26,-0.01,202.82,2.53,0.16,0.1,0.57,1.12,0.55,18.18,2.76,17.42,11.6,58.96,9.24,03-Jul-2018 - 00:00,"Anand Kala Kshetram, Rajamahendravaram - APPCB"
03-Jul-2018 - 00:00,30.71,747.51,13.72,35.96,0.79,83.38,174.79,31.3,-0.03,207.4,2.74,0.24,0.22,1.02,1.61,0.64,15.96,3.99,21.72,14.9,51.54,6.02,04-Jul-2018 - 00:00,"Anand Kala Kshetram, Rajamahendravaram - APPCB"
04-Jul-2018 - 00:00,32.83,747.19,18.16,63.56,0.0,74.33,201.74,31.79,-0.01,198.48,3.04,0.18,0.14,0.66,1.23,0.84,16.33,2.65,17.42,11.51,54.12,7.03,05-Jul-2018 - 00:00,"Anand Kala Kshetram, Rajamahendravaram - APPCB"
05-Jul-2018 - 00:00,32.37,746.58,15.79,52.01,0.01,73.88,207.59,32.07,-0.04,237.38,3.2,0.14,0.11,0.5,0.97,0.51,17.04,2.99,16.73,11.42,47.04,6.77,06-Jul-2018 - 00:00,"Anand Kala Kshetram, Rajamahendravaram - APPCB"
06-Jul-2018 - 00:00,31.25,745.19,13.39,35.48,0.08,80.69,207.75,30.87,-0.07,240.91,4.53,0.06,0.08,0.13,0.44,0.47,13.71,2.76,12.26,8.86,44.1,9.85,07-Jul-2018 - 00:00,"Anand Kala Kshetram, Rajamahendravaram - APPCB"
07-Jul-2018 - 00:00,29.6,743.33,14.43,32.05,0.21,88.55,186.98,30.07,-0.07,230.44,4.31,0.06,0.08,0.09,0.38,0.51,11.34,2.67,11.11,8.17,48.39,6.97,08-Jul-2018 - 00:00,"Anand Kala Kshetram, Rajamahendravaram - APPCB"
08-Jul-2018 - 00:00,30.69,742.42,9.64,27.41,0.04,86.78,194.86,30.08,-0.09,236.04,4.83,0.04,0.08,0.08,0.42,0.46,11.17,2.41,11.27,7.95,45.03,7.95,09-Jul-2018 - 00:00,"Anand Kala Kshetram, Rajamahendravaram - APPCB"
09-Jul-2018 - 00:00,30.98,742.32,13.41,38.23,0.17,83.1,203.02,30.57,-0.05,230.92,3.59,0.1,0.07,0.14,0.54,0.58,11.8,3.06,12.87,9.34,43.8,8.56,10-Jul-2018 - 00:00,"Anand Kala Kshetram, Rajamahendravaram - APPCB"
10-Jul-2018 - 00:00,29.78,744.29,12.77,36.1,0.21,92.0,186.05,30.3,-0.02,215.75,2.84,0.17,0.19,0.76,1.22,0.63,13.01,4.67,17.82,13.37,36.88,8.37,11-Jul-2018 - 00:00,"Anand Kala Kshetram, Rajamahendravaram - APPCB"
11-Jul-2018 - 00:00,29.86,744.75,11.79,34.8,0.14,87.1,196.36,30.26,-0.06,227.62,4.31,0.04,0.08,0.09,0.32,0.32,14.35,2.91,10.72,8.16,39.94,7.76,12-Jul-2018 - 00:00,"Anand Kala Kshetram, Rajamahendravaram - APPCB"
12-Jul-2018 - 00:00,29.22,743.84,6.71,18.73,0.19,87.0,202.94,30.12,-0.12,238.69,6.24,0.01,0.1,0.04,0.2,0.45,10.45,2.46,6.9,5.77,46.07,5.82,13-Jul-2018 - 00:00,"Anand Kala Kshetram, Rajamahendravaram - APPCB"
