from date,Benzene,MP-Xylene,O Xylene,Toluene,CO,NO2,NO,NOx,NH3,Ozone,PM10,PM2.5,SR,Temp,WD,WS,SO2,to date,station
12-Feb-2018 - 00:00,6.06,10.95,0.56,0.28,3.47,78.81,49.45,62.46,46.01,36.25,90.96,24.14,330.83,22.88,199.27,1.49,25.4,13-Feb-2018 - 00:00,"Pimpleshwar Mandir, Thane - MPCB"
13-Feb-2018 - 00:00,9.93,11.42,1.28,0.53,2.6,113.65,82.83,94.96,56.59,46.23,183.71,52.64,315.46,23.26,205.12,1.33,46.35,14-Feb-2018 - 00:00,"Pimpleshwar Mandir, Thane - MPCB"
14-Feb-2018 - 00:00,9.52,14.31,11.53,0.92,2.28,132.38,71.76,102.38,64.0,23.28,210.74,53.44,278.64,26.89,107.24,1.35,85.17,15-Feb-2018 - 00:00,"Pimpleshwar Mandir, Thane - MPCB"
15-Feb-2018 - 00:00,6.79,9.6,1.18,0.21,1.79,75.28,26.9,50.58,42.09,49.02,141.65,35.75,274.1,28.62,141.4,1.51,67.85,16-Feb-2018 - 00:00,"Pimpleshwar Mandir, Thane - MPCB"
16-Feb-2018 - 00:00,7.79,15.1,1.98,0.6,3.31,97.62,64.39,77.88,50.8,47.55,233.34,47.97,271.06,27.87,181.61,1.31,49.07,17-Feb-2018 - 00:00,"Pimpleshwar Mandir, Thane - MPCB"
17-Feb-2018 - 00:00,9.56,19.39,2.12,0.74,1.83,126.22,87.55,103.68,58.18,55.18,254.1,56.02,288.91,26.91,210.67,1.45,40.89,18-Feb-2018 - 00:00,"Pimpleshwar Mandir, Thane - MPCB"
18-Feb-2018 - 00:00,11.21,19.29,3.42,0.61,2.67,105.82,49.08,74.86,50.78,55.5,195.44,44.98,285.56,26.95,201.33,1.43,50.65,19-Feb-2018 - 00:00,"Pimpleshwar Mandir, Thane - MPCB"
19-Feb-2018 - 00:00,17.26,17.82,3.4,1.01,2.21,137.56,86.49,109.0,64.42,52.47,359.02,59.83,303.32,26.72,202.88,1.34,44.9,20-Feb-2018 - 00:00,"Pimpleshwar Mandir, Thane - MPCB"
20-Feb-2018 - 00:00,17.43,15.2,1.19,0.94,1.96,138.04,71.02,102.61,68.14,29.24,362.71,67.66,270.79,26.6,216.48,1.53,51.07,21-Feb-2018 - 00:00,"Pimpleshwar Mandir, Thane - MPCB"
21-Feb-2018 - 00:00,13.91,14.52,1.9,0.69,4.45,97.17,60.47,77.85,71.89,24.85,280.53,66.46,278.59,27.14,234.56,1.27,38.07,22-Feb-2018 - 00:00,"Pimpleshwar Mandir, Thane - MPCB"
