from date,PM2.5,PM10,RH,SR,Temp,BP,WD,VWS,WS,RF,CO,Ozone,NO2,NO,NOx,NH3,SO2,Benzene,Toluene,Xylene,to date,station
16-Feb-2018 - 00:00,42.06,101.71,46.74,156.09,27.86,718.68,158.26,-0.02,1.35,0.0,0.86,55.54,58.15,2.37,33.55,18.52,17.13,7.77,25.67,6.76,17-Feb-2018 - 00:00,"Central University, Hyderabad - TSPCB"
17-Feb-2018 - 00:00,42.6,119.0,41.5,166.41,28.53,718.39,168.93,-0.02,1.33,0.0,0.98,55.17,69.06,2.94,39.96,19.6,19.15,11.27,37.4,9.78,18-Feb-2018 - 00:00,"Central University, Hyderabad - TSPCB"
18-Feb-2018 - 00:00,52.03,128.99,47.83,153.86,28.14,718.23,206.66,-0.07,1.33,0.0,1.23,67.07,76.9,8.83,49.1,24.32,6.41,11.67,27.63,14.31,19-Feb-2018 - 00:00,"Central University, Hyderabad - TSPCB"
19-Feb-2018 - 00:00,41.21,103.3,49.92,139.64,28.33,718.15,224.99,-0.08,1.88,0.0,0.86,76.8,43.92,1.46,25.06,22.02,4.78,6.59,12.93,6.83,20-Feb-2018 - 00:00,"Central University, Hyderabad - TSPCB"
20-Feb-2018 - 00:00,41.33,99.86,50.73,149.45,28.02,718.18,233.12,-0.07,1.59,0.0,0.8,68.59,47.09,1.44,26.75,20.53,3.92,6.08,20.57,6.67,21-Feb-2018 - 00:00,"Central University, Hyderabad - TSPCB"
21-Feb-2018 - 00:00,48.9,112.28,51.41,148.12,28.59,718.29,238.24,-0.06,1.56,0.0,0.95,67.59,52.04,1.58,29.56,21.33,5.01,7.44,23.72,8.34,22-Feb-2018 - 00:00,"Central University, Hyderabad - TSPCB"
22-Feb-2018 - 00:00,51.06,128.47,48.28,137.36,28.79,718.18,235.7,-0.07,1.49,0.0,1.08,66.47,60.19,2.05,34.36,20.17,7.3,7.99,21.91,10.04,23-Feb-2018 - 00:00,"Central University, Hyderabad - TSPCB"
23-Feb-2018 - 00:00,45.82,124.08,46.84,153.82,28.57,718.02,227.11,-0.08,1.88,0.0,1.03,64.81,58.3,1.95,33.26,19.73,5.29,7.59,17.5,9.79,24-Feb-2018 - 00:00,"Central University, Hyderabad - TSPCB"
24-Feb-2018 - 00:00,35.95,103.64,42.91,167.61,29.16,718.19,195.7,-0.08,2.12,0.0,0.82,59.19,53.42,2.64,31.2,15.96,2.63,5.42,11.36,6.86,25-Feb-2018 - 00:00,"Central University, Hyderabad - TSPCB"
25-Feb-2018 - 00:00,31.93,95.38,45.93,175.2,28.29,718.58,179.49,-0.04,1.69,0.0,0.71,44.99,68.89,4.5,41.16,16.59,3.84,7.03,16.16,10.03,26-Feb-2018 - 00:00,"Central University, Hyderabad - TSPCB"
26-Feb-2018 - 00:00,40.93,110.35,42.25,165.53,29.25,718.1,205.35,-0.06,1.31,0.0,1.14,55.82,81.86,13.65,55.78,16.97,5.39,10.1,23.29,13.51,27-Feb-2018 - 00:00,"Central University, Hyderabad - TSPCB"
27-Feb-2018 - 00:00,40.55,108.16,37.81,160.07,28.84,717.44,180.51,-0.06,1.29,0.0,1.15,54.99,85.09,8.16,52.99,16.56,8.14,10.36,27.25,15.53,28-Feb-2018 - 00:00,"Central University, Hyderabad - TSPCB"
28-Feb-2018 - 00:00,52.6,123.91,39.21,150.67,29.42,717.23,190.45,-0.05,1.29,0.0,1.17,67.73,78.8,4.86,46.84,19.53,7.35,10.39,23.12,14.35,01-Mar-2018 - 00:00,"Central University, Hyderabad - TSPCB"
01-Mar-2018 - 00:00,44.91,116.01,39.11,162.9,29.19,717.39,211.55,-0.07,1.27,0.0,1.04,61.41,72.13,4.06,42.51,17.77,6.76,9.44,23.03,12.44,02-Mar-2018 - 00:00,"Central University, Hyderabad - TSPCB"
02-Mar-2018 - 00:00,40.6,97.58,38.89,161.08,28.56,717.17,211.39,-0.07,1.4,0.0,1.0,77.9,47.53,1.27,26.86,16.96,6.72,7.01,18.33,8.31,03-Mar-2018 - 00:00,"Central University, Hyderabad - TSPCB"
03-Mar-2018 - 00:00,41.91,98.34,38.04,157.67,28.9,717.09,204.89,-0.08,1.31,0.0,0.94,80.69,47.79,2.68,28.17,16.06,6.64,6.06,10.93,7.47,04-Mar-2018 - 00:00,"Central University, Hyderabad - TSPCB"
