from date,NO2,NH3,CO,Ozone,SO2,Benzene,PM10,PM2.5,NOx,NO,WS,WD,AT,RH,SR,RF,O Xylene,MP-Xylene,Eth-Benzene,Toluene,to date,station
09-May-2018 - 00:00,22.42,25.41,1.75,35.45,33.38,0.0,166.38,66.78,23.97,15.91,2.95,221.74,32.88,62.45,192.63,0.0,0.0,0.0,0.27,0.0,10-May-2018 - 00:00,"Talcher Coalfields,Talcher - OSPCB"
10-May-2018 - 00:00,28.04,26.03,1.75,34.19,41.28,0.0,166.54,60.43,34.42,25.33,2.7,209.98,32.34,51.57,211.43,0.01,0.0,0.0,0.3,0.0,11-May-2018 - 00:00,"Talcher Coalfields,Talcher - OSPCB"
11-May-2018 - 00:00,16.22,41.01,1.57,30.04,36.36,0.0,109.63,32.89,36.79,33.67,2.51,224.71,31.31,61.53,180.5,0.07,0.0,0.0,0.21,0.0,12-May-2018 - 00:00,"Talcher Coalfields,Talcher - OSPCB"
12-May-2018 - 00:00,16.18,25.2,1.71,29.83,26.02,0.0,115.5,42.51,17.71,14.01,2.81,227.51,31.02,57.12,177.49,0.08,0.0,0.0,0.23,0.0,13-May-2018 - 00:00,"Talcher Coalfields,Talcher - OSPCB"
13-May-2018 - 00:00,5.2,26.06,1.87,32.53,37.36,0.0,92.88,52.22,12.03,14.74,2.79,206.56,30.31,62.4,169.52,0.05,0.0,0.0,0.29,0.0,14-May-2018 - 00:00,"Talcher Coalfields,Talcher - OSPCB"
14-May-2018 - 00:00,6.88,28.45,1.62,20.3,42.06,0.0,72.41,35.54,25.08,25.49,2.5,204.35,24.64,76.11,67.92,0.01,0.0,0.0,0.09,0.0,15-May-2018 - 00:00,"Talcher Coalfields,Talcher - OSPCB"
15-May-2018 - 00:00,17.61,28.78,2.07,18.6,48.07,0.0,142.21,74.76,40.43,28.55,2.68,227.33,27.9,68.14,177.66,0.0,0.0,0.0,0.09,0.0,16-May-2018 - 00:00,"Talcher Coalfields,Talcher - OSPCB"
16-May-2018 - 00:00,9.49,25.23,1.81,24.53,32.01,0.0,128.54,67.59,12.54,11.84,2.46,221.73,29.98,70.35,149.76,0.09,0.0,0.0,0.3,0.0,17-May-2018 - 00:00,"Talcher Coalfields,Talcher - OSPCB"
17-May-2018 - 00:00,1.95,26.51,1.72,26.98,33.95,0.0,106.44,47.73,8.61,17.02,2.98,228.03,30.32,65.46,206.78,0.0,0.0,0.0,0.19,0.0,18-May-2018 - 00:00,"Talcher Coalfields,Talcher - OSPCB"
18-May-2018 - 00:00,12.45,27.57,1.87,20.63,33.48,0.0,162.57,60.39,14.93,20.58,2.96,184.77,31.32,65.13,184.47,0.06,0.0,0.0,0.33,0.0,19-May-2018 - 00:00,"Talcher Coalfields,Talcher - OSPCB"
19-May-2018 - 00:00,12.72,27.75,1.88,18.48,43.16,0.0,120.5,68.86,23.66,21.1,2.44,222.23,29.62,64.21,200.67,0.0,0.0,0.0,0.21,0.0,20-May-2018 - 00:00,"Talcher Coalfields,Talcher - OSPCB"
20-May-2018 - 00:00,8.64,26.64,1.66,22.1,31.54,0.0,93.74,38.71,9.58,20.43,2.44,226.28,31.78,68.04,229.35,0.0,0.0,0.0,0.14,0.0,21-May-2018 - 00:00,"Talcher Coalfields,Talcher - OSPCB"
21-May-2018 - 00:00,9.4,20.41,2.13,27.45,42.4,0.0,142.86,51.72,23.71,32.48,2.88,186.97,29.34,70.57,144.32,0.0,0.01,0.0,0.36,0.0,22-May-2018 - 00:00,"Talcher Coalfields,Talcher - OSPCB"
22-May-2018 - 00:00,7.39,13.59,1.98,22.57,32.57,0.0,148.51,77.44,8.1,13.08,2.83,215.05,31.55,69.95,179.89,0.0,0.0,0.0,0.29,0.0,23-May-2018 - 00:00,"Talcher Coalfields,Talcher - OSPCB"
23-May-2018 - 00:00,10.48,13.88,1.75,14.78,28.37,0.0,75.56,35.0,7.91,13.8,2.66,231.07,27.17,79.62,38.67,0.0,0.0,0.0,0.17,0.0,24-May-2018 - 00:00,"Talcher Coalfields,Talcher - OSPCB"
24-May-2018 - 00:00,13.38,14.51,1.7,12.82,29.78,0.0,85.81,33.62,9.34,16.48,2.78,238.45,30.53,71.86,181.95,0.18,0.01,0.0,0.14,0.0,25-May-2018 - 00:00,"Talcher Coalfields,Talcher - OSPCB"
25-May-2018 - 00:00,9.89,14.17,1.68,9.56,27.76,0.0,84.75,26.13,11.78,18.25,2.46,238.1,31.23,71.25,208.84,0.09,0.0,0.0,0.11,0.0,26-May-2018 - 00:00,"Talcher Coalfields,Talcher - OSPCB"
26-May-2018 - 00:00,25.2,18.21,1.67,6.39,28.21,0.0,87.61,22.3,28.78,39.83,2.54,245.27,29.8,75.98,213.28,0.03,0.0,0.0,0.12,0.0,27-May-2018 - 00:00,"Talcher Coalfields,Talcher - OSPCB"
27-May-2018 - 00:00,12.71,14.28,1.72,10.37,27.79,0.0,99.79,32.42,17.63,21.82,2.39,244.52,31.19,68.6,200.36,0.07,0.0,0.0,0.12,0.0,28-May-2018 - 00:00,"Talcher Coalfields,Talcher - OSPCB"
28-May-2018 - 00:00,21.09,12.83,1.73,11.2,30.18,0.0,106.53,38.34,19.53,17.9,2.74,233.18,31.18,69.73,179.88,0.25,0.0,0.0,0.11,0.0,29-May-2018 - 00:00,"Talcher Coalfields,Talcher - OSPCB"
29-May-2018 - 00:00,14.21,12.62,1.78,23.16,26.22,0.0,110.54,38.86,11.0,12.7,2.45,225.12,30.95,67.49,156.06,0.01,0.0,0.0,0.12,0.0,30-May-2018 - 00:00,"Talcher Coalfields,Talcher - OSPCB"
30-May-2018 - 00:00,12.55,12.42,1.87,22.36,36.06,0.0,73.07,25.06,13.99,16.91,2.41,226.77,31.64,70.72,198.05,0.05,0.0,0.0,0.15,0.0,31-May-2018 - 00:00,"Talcher Coalfields,Talcher - OSPCB"
31-May-2018 - 00:00,24.57,11.33,2.33,22.43,32.01,0.0,170.84,83.03,28.5,16.38,2.63,175.45,28.05,74.9,70.72,0.01,0.0,0.0,0.36,0.0,01-Jun-2018 - 00:00,"Talcher Coalfields,Talcher - OSPCB"
01-Jun-2018 - 00:00,8.51,13.36,1.9,11.61,42.0,0.0,106.31,50.07,16.41,17.61,2.97,219.52,28.58,78.1,128.54,0.12,0.0,0.0,0.28,0.0,02-Jun-2018 - 00:00,"Talcher Coalfields,Talcher - OSPCB"
02-Jun-2018 - 00:00,14.22,12.79,1.98,10.15,35.65,0.0,104.18,54.55,20.16,17.39,2.5,207.73,27.65,80.48,119.97,0.01,0.0,0.0,0.19,0.0,03-Jun-2018 - 00:00,"Talcher Coalfields,Talcher - OSPCB"
03-Jun-2018 - 00:00,8.89,13.63,2.3,15.48,47.7,0.0,208.37,102.88,14.86,16.78,2.47,207.05,27.73,78.75,87.51,0.0,0.01,0.0,0.28,0.0,04-Jun-2018 - 00:00,"Talcher Coalfields,Talcher - OSPCB"
04-Jun-2018 - 00:00,17.9,10.02,2.12,22.0,51.5,0.0,163.62,68.45,24.52,11.83,2.8,207.4,29.29,69.09,142.2,0.03,0.0,0.0,0.2,0.0,05-Jun-2018 - 00:00,"Talcher Coalfields,Talcher - OSPCB"
05-Jun-2018 - 00:00,12.66,12.99,1.84,15.33,37.06,0.0,105.68,53.37,11.77,11.37,2.37,240.96,29.77,77.19,166.81,0.06,0.0,0.0,0.13,0.0,06-Jun-2018 - 00:00,"Talcher Coalfields,Talcher - OSPCB"
06-Jun-2018 - 00:00,16.32,14.09,1.86,9.17,46.39,0.0,113.2,57.88,8.91,11.92,2.74,229.58,30.06,75.37,171.52,0.07,0.02,0.0,0.14,0.0,07-Jun-2018 - 00:00,"Talcher Coalfields,Talcher - OSPCB"
07-Jun-2018 - 00:00,,,1.92,,62.85,0.0,116.41,60.16,0.0,,2.99,216.83,29.54,81.26,181.59,0.28,0.0,0.0,0.12,0.0,08-Jun-2018 - 00:00,"Talcher Coalfields,Talcher - OSPCB"
08-Jun-2018 - 00:00,,,,,,,,,,,,,,,,,,,,,09-Jun-2018 - 00:00,"Talcher Coalfields,Talcher - OSPCB"
09-Jun-2018 - 00:00,,,,,,,,,,,,,,,,,,,,,10-Jun-2018 - 00:00,"Talcher Coalfields,Talcher - OSPCB"
10-Jun-2018 - 00:00,,,,,,,,,,,,,,,,,,,,,11-Jun-2018 - 00:00,"Talcher Coalfields,Talcher - OSPCB"
11-Jun-2018 - 00:00,,,,,,,,,,,,,,,,,,,,,12-Jun-2018 - 00:00,"Talcher Coalfields,Talcher - OSPCB"
12-Jun-2018 - 00:00,,,,,,,,,,,,,,,,,,,,,13-Jun-2018 - 00:00,"Talcher Coalfields,Talcher - OSPCB"
13-Jun-2018 - 00:00,,,,,,,,,,,,,,,,,,,,,14-Jun-2018 - 00:00,"Talcher Coalfields,Talcher - OSPCB"
14-Jun-2018 - 00:00,,,,,,,,,,,,,,,,,,,,,15-Jun-2018 - 00:00,"Talcher Coalfields,Talcher - OSPCB"
15-Jun-2018 - 00:00,,,,,,,,,,,,,,,,,,,,,16-Jun-2018 - 00:00,"Talcher Coalfields,Talcher - OSPCB"
16-Jun-2018 - 00:00,,,,,,,,,,,,,,,,,,,,,17-Jun-2018 - 00:00,"Talcher Coalfields,Talcher - OSPCB"
17-Jun-2018 - 00:00,,,,,,,,,,,,,,,,,,,,,18-Jun-2018 - 00:00,"Talcher Coalfields,Talcher - OSPCB"
18-Jun-2018 - 00:00,,,2.2,,46.7,0.0,285.14,31.29,0.0,,2.38,155.81,35.25,42.55,76.72,0.0,0.0,0.0,0.42,0.0,19-Jun-2018 - 00:00,"Talcher Coalfields,Talcher - OSPCB"
19-Jun-2018 - 00:00,,,2.16,,46.9,0.0,196.07,23.48,0.0,,2.4,170.27,34.14,45.23,198.62,0.0,0.0,0.0,0.31,0.0,20-Jun-2018 - 00:00,"Talcher Coalfields,Talcher - OSPCB"
20-Jun-2018 - 00:00,,,2.2,,46.71,0.0,193.98,29.69,0.0,,2.61,174.9,31.4,63.01,106.96,0.03,0.0,0.02,0.33,0.0,21-Jun-2018 - 00:00,"Talcher Coalfields,Talcher - OSPCB"
21-Jun-2018 - 00:00,,,2.39,,51.47,0.0,172.1,45.89,0.0,,2.38,189.42,28.4,76.86,77.85,0.21,0.0,0.0,0.31,0.0,22-Jun-2018 - 00:00,"Talcher Coalfields,Talcher - OSPCB"
22-Jun-2018 - 00:00,,,2.39,,60.1,0.0,146.15,28.35,0.0,,3.86,184.85,29.7,73.53,157.72,0.05,0.0,0.0,0.36,0.0,23-Jun-2018 - 00:00,"Talcher Coalfields,Talcher - OSPCB"
23-Jun-2018 - 00:00,,,2.1,,50.53,0.0,108.87,18.99,0.0,,2.4,194.17,30.37,71.75,104.17,0.08,0.0,0.0,0.25,0.0,24-Jun-2018 - 00:00,"Talcher Coalfields,Talcher - OSPCB"
24-Jun-2018 - 00:00,,,2.06,,43.87,0.0,124.5,24.0,0.0,,2.59,206.0,30.27,73.56,96.32,0.0,0.0,0.0,0.19,0.0,25-Jun-2018 - 00:00,"Talcher Coalfields,Talcher - OSPCB"
25-Jun-2018 - 00:00,,,2.15,,42.43,0.0,120.69,22.26,0.0,,2.29,207.06,29.57,81.07,62.4,0.09,0.0,0.0,0.26,0.0,26-Jun-2018 - 00:00,"Talcher Coalfields,Talcher - OSPCB"
26-Jun-2018 - 00:00,,,2.28,,43.47,0.0,143.1,36.2,0.0,,2.6,201.9,27.18,83.65,29.74,0.17,0.0,0.0,0.23,0.0,27-Jun-2018 - 00:00,"Talcher Coalfields,Talcher - OSPCB"
27-Jun-2018 - 00:00,,,2.25,,44.66,0.0,78.0,24.59,0.0,,2.83,203.5,25.23,91.91,19.55,0.02,0.0,0.0,0.25,0.0,28-Jun-2018 - 00:00,"Talcher Coalfields,Talcher - OSPCB"
28-Jun-2018 - 00:00,10.97,18.96,2.0,15.56,41.9,0.02,53.44,14.9,11.83,18.33,2.53,215.72,26.16,86.06,62.11,0.0,0.0,0.0,0.13,0.0,29-Jun-2018 - 00:00,"Talcher Coalfields,Talcher - OSPCB"
29-Jun-2018 - 00:00,12.3,19.5,2.15,16.76,39.96,0.0,90.73,22.35,33.57,28.67,2.43,195.86,25.59,87.33,62.98,0.0,0.0,0.0,0.22,0.0,30-Jun-2018 - 00:00,"Talcher Coalfields,Talcher - OSPCB"
30-Jun-2018 - 00:00,15.2,20.91,2.4,19.48,45.61,0.0,128.31,26.37,36.1,34.79,2.67,180.84,28.2,76.7,137.96,0.0,0.0,0.0,0.27,0.0,01-Jul-2018 - 00:00,"Talcher Coalfields,Talcher - OSPCB"
01-Jul-2018 - 00:00,13.57,20.44,2.16,20.43,43.68,0.0,121.9,23.58,28.52,25.91,2.47,185.77,28.63,78.11,104.26,0.3,0.0,0.0,0.19,0.0,02-Jul-2018 - 00:00,"Talcher Coalfields,Talcher - OSPCB"
02-Jul-2018 - 00:00,7.26,22.09,2.38,20.7,52.04,0.0,105.44,20.91,27.82,30.66,2.64,176.82,28.9,77.74,111.83,0.0,0.0,0.0,0.28,0.0,03-Jul-2018 - 00:00,"Talcher Coalfields,Talcher - OSPCB"
03-Jul-2018 - 00:00,6.37,21.65,2.3,18.8,47.56,0.0,125.37,20.74,26.64,28.15,2.4,169.07,28.37,77.54,80.25,0.02,0.0,0.0,0.27,0.0,04-Jul-2018 - 00:00,"Talcher Coalfields,Talcher - OSPCB"
04-Jul-2018 - 00:00,5.73,22.35,2.4,19.46,56.35,0.0,172.08,28.81,37.2,46.29,2.2,165.48,29.05,74.07,75.45,0.0,0.0,0.0,0.33,0.0,05-Jul-2018 - 00:00,"Talcher Coalfields,Talcher - OSPCB"
05-Jul-2018 - 00:00,3.97,21.81,2.29,19.08,53.13,0.0,154.38,23.81,35.34,44.77,2.21,168.98,28.88,74.44,80.8,0.06,0.0,0.0,0.29,0.0,06-Jul-2018 - 00:00,"Talcher Coalfields,Talcher - OSPCB"
06-Jul-2018 - 00:00,3.82,21.21,2.28,20.83,53.28,0.0,143.47,25.19,36.45,47.21,2.45,181.16,30.05,70.57,118.99,0.04,0.0,0.0,0.26,0.0,07-Jul-2018 - 00:00,"Talcher Coalfields,Talcher - OSPCB"
07-Jul-2018 - 00:00,5.47,19.82,2.29,20.73,51.6,0.01,141.1,24.44,27.42,24.67,2.25,164.99,27.7,80.91,72.2,0.06,0.01,0.03,0.14,0.05,08-Jul-2018 - 00:00,"Talcher Coalfields,Talcher - OSPCB"
08-Jul-2018 - 00:00,4.97,19.69,2.3,21.51,53.85,0.0,103.82,23.07,22.58,21.98,2.23,191.13,28.1,81.28,76.78,0.0,0.03,0.01,0.01,0.01,09-Jul-2018 - 00:00,"Talcher Coalfields,Talcher - OSPCB"
09-Jul-2018 - 00:00,1.34,19.26,2.05,22.17,42.88,0.0,56.74,13.06,14.27,17.29,2.36,222.38,28.91,81.46,106.19,0.01,0.0,0.0,0.01,0.0,10-Jul-2018 - 00:00,"Talcher Coalfields,Talcher - OSPCB"
10-Jul-2018 - 00:00,3.64,19.36,2.16,20.76,37.22,0.0,88.87,16.54,21.51,24.81,2.48,196.76,28.5,82.66,79.69,0.05,0.0,0.0,0.0,0.0,11-Jul-2018 - 00:00,"Talcher Coalfields,Talcher - OSPCB"
11-Jul-2018 - 00:00,3.29,20.07,2.4,19.49,44.0,0.0,115.58,24.59,27.34,31.69,2.57,183.6,28.2,83.83,60.4,0.01,0.0,0.0,0.0,0.0,12-Jul-2018 - 00:00,"Talcher Coalfields,Talcher - OSPCB"
12-Jul-2018 - 00:00,3.58,20.23,2.44,19.65,48.52,0.0,62.37,17.52,23.27,27.91,2.16,171.28,27.17,87.45,63.37,0.01,0.0,0.0,0.0,0.0,13-Jul-2018 - 00:00,"Talcher Coalfields,Talcher - OSPCB"
13-Jul-2018 - 00:00,2.61,20.8,2.41,20.91,53.42,0.0,81.49,16.49,21.78,26.79,2.39,174.72,28.17,82.74,79.71,0.07,0.0,0.0,0.0,0.0,14-Jul-2018 - 00:00,"Talcher Coalfields,Talcher - OSPCB"
14-Jul-2018 - 00:00,2.5,19.72,2.5,20.43,53.42,0.0,59.28,17.52,19.53,23.47,2.37,168.37,27.31,87.92,56.17,0.06,0.0,0.0,0.0,0.0,15-Jul-2018 - 00:00,"Talcher Coalfields,Talcher - OSPCB"
15-Jul-2018 - 00:00,2.11,23.72,2.48,19.55,57.98,0.0,45.83,8.05,29.98,38.81,2.27,161.96,27.17,88.98,43.5,0.13,0.0,0.0,0.0,0.0,16-Jul-2018 - 00:00,"Talcher Coalfields,Talcher - OSPCB"
16-Jul-2018 - 00:00,0.05,19.43,2.42,18.39,57.75,0.0,36.59,12.2,23.03,30.53,2.16,172.94,26.03,91.56,27.42,0.01,0.0,0.0,0.0,0.0,17-Jul-2018 - 00:00,"Talcher Coalfields,Talcher - OSPCB"
17-Jul-2018 - 00:00,1.41,24.61,2.35,16.47,53.57,0.0,32.07,7.86,41.27,50.55,2.36,207.59,27.05,88.11,43.56,0.0,0.0,0.0,0.0,0.0,18-Jul-2018 - 00:00,"Talcher Coalfields,Talcher - OSPCB"
18-Jul-2018 - 00:00,3.17,21.05,2.6,19.34,53.73,0.0,124.44,23.99,36.16,49.97,2.28,182.58,28.05,84.05,53.24,0.07,0.0,0.0,0.0,0.0,19-Jul-2018 - 00:00,"Talcher Coalfields,Talcher - OSPCB"
19-Jul-2018 - 00:00,2.91,21.28,2.51,19.69,63.02,0.0,95.08,21.97,26.41,32.9,2.88,166.01,28.57,84.6,72.34,0.17,0.0,0.0,0.0,0.0,20-Jul-2018 - 00:00,"Talcher Coalfields,Talcher - OSPCB"
20-Jul-2018 - 00:00,4.39,21.19,2.61,20.83,71.37,0.0,81.88,25.27,24.87,26.2,2.1,163.94,28.31,89.47,29.3,0.09,0.0,0.0,0.0,0.0,21-Jul-2018 - 00:00,"Talcher Coalfields,Talcher - OSPCB"
21-Jul-2018 - 00:00,3.79,20.39,2.28,20.44,69.59,0.0,27.52,9.99,15.52,15.07,2.38,159.06,26.2,90.49,23.12,0.11,0.0,0.0,0.0,0.0,22-Jul-2018 - 00:00,"Talcher Coalfields,Talcher - OSPCB"
22-Jul-2018 - 00:00,1.62,20.03,2.28,18.58,54.04,0.0,23.38,9.57,17.59,25.17,2.7,164.39,25.11,93.99,16.83,0.05,0.0,0.0,0.0,0.0,23-Jul-2018 - 00:00,"Talcher Coalfields,Talcher - OSPCB"
23-Jul-2018 - 00:00,2.38,21.62,2.46,17.64,52.37,0.0,94.59,18.8,31.72,45.78,2.82,186.5,28.15,82.17,78.43,0.0,0.0,0.0,0.0,0.0,24-Jul-2018 - 00:00,"Talcher Coalfields,Talcher - OSPCB"
24-Jul-2018 - 00:00,0.93,23.74,2.64,18.42,56.91,0.0,162.31,26.07,42.57,60.61,2.66,171.51,28.28,77.78,70.59,0.0,0.0,0.0,0.0,0.0,25-Jul-2018 - 00:00,"Talcher Coalfields,Talcher - OSPCB"
25-Jul-2018 - 00:00,,23.12,1.46,17.64,58.62,0.0,140.05,19.86,23.83,67.08,2.64,188.22,28.5,79.96,70.62,0.08,0.0,0.0,0.0,0.0,26-Jul-2018 - 00:00,"Talcher Coalfields,Talcher - OSPCB"
26-Jul-2018 - 00:00,,,0.0,,,0.0,85.47,17.73,0.0,,2.92,168.54,27.53,82.38,48.26,0.2,0.0,0.0,0.0,0.0,27-Jul-2018 - 00:00,"Talcher Coalfields,Talcher - OSPCB"
27-Jul-2018 - 00:00,,,0.0,,,0.0,146.2,21.82,0.0,,2.38,157.11,28.39,74.27,98.45,0.0,0.0,0.0,0.0,0.0,28-Jul-2018 - 00:00,"Talcher Coalfields,Talcher - OSPCB"
28-Jul-2018 - 00:00,,,0.0,,,0.0,156.86,23.11,0.0,,2.32,161.97,28.65,74.77,100.01,0.06,0.0,0.0,0.0,0.0,29-Jul-2018 - 00:00,"Talcher Coalfields,Talcher - OSPCB"
29-Jul-2018 - 00:00,,,0.0,,,0.0,128.13,23.47,0.0,,2.49,171.21,27.81,80.3,70.52,0.0,0.0,0.0,0.0,0.0,30-Jul-2018 - 00:00,"Talcher Coalfields,Talcher - OSPCB"
30-Jul-2018 - 00:00,,,0.0,,,0.0,94.79,28.58,0.0,,2.66,176.76,26.39,88.73,35.13,0.01,0.0,0.0,0.0,0.0,31-Jul-2018 - 00:00,"Talcher Coalfields,Talcher - OSPCB"
31-Jul-2018 - 00:00,,,0.0,,,0.0,160.98,29.69,0.0,,2.67,176.61,26.85,85.7,42.49,0.0,0.0,0.0,0.0,0.0,01-Aug-2018 - 00:00,"Talcher Coalfields,Talcher - OSPCB"
01-Aug-2018 - 00:00,,,0.0,,,0.0,177.01,23.71,0.0,,2.66,165.86,26.48,85.28,52.82,0.0,0.0,0.0,0.0,0.0,02-Aug-2018 - 00:00,"Talcher Coalfields,Talcher - OSPCB"
02-Aug-2018 - 00:00,,,0.0,,,0.0,117.02,28.58,0.0,,2.98,175.28,26.01,88.0,59.08,0.01,0.0,0.0,0.0,0.0,03-Aug-2018 - 00:00,"Talcher Coalfields,Talcher - OSPCB"
03-Aug-2018 - 00:00,,,0.0,,,0.0,141.07,21.99,0.0,,2.65,164.32,27.39,79.62,106.58,0.0,0.0,0.0,0.0,0.0,04-Aug-2018 - 00:00,"Talcher Coalfields,Talcher - OSPCB"
04-Aug-2018 - 00:00,,,0.0,,,0.0,198.5,31.78,0.0,,2.44,169.3,28.71,74.57,118.04,0.04,0.0,0.0,0.0,0.0,05-Aug-2018 - 00:00,"Talcher Coalfields,Talcher - OSPCB"
05-Aug-2018 - 00:00,,,0.0,,,0.0,171.33,31.22,0.0,,2.45,170.85,28.29,79.51,78.65,0.11,0.0,0.0,0.0,0.0,06-Aug-2018 - 00:00,"Talcher Coalfields,Talcher - OSPCB"
06-Aug-2018 - 00:00,,,0.0,,,0.0,101.27,12.53,0.0,,2.4,164.28,26.5,89.71,33.15,0.01,0.0,0.0,0.0,0.0,07-Aug-2018 - 00:00,"Talcher Coalfields,Talcher - OSPCB"
07-Aug-2018 - 00:00,,,0.0,,,0.0,53.17,2.53,0.0,,2.58,170.29,25.31,93.57,20.13,0.02,0.0,0.0,0.0,0.0,08-Aug-2018 - 00:00,"Talcher Coalfields,Talcher - OSPCB"
08-Aug-2018 - 00:00,,,0.0,,,0.0,36.31,8.63,0.0,,2.76,205.54,26.36,88.31,65.8,0.01,0.0,0.0,0.0,0.0,09-Aug-2018 - 00:00,"Talcher Coalfields,Talcher - OSPCB"
09-Aug-2018 - 00:00,,,0.0,,,0.0,,29.0,0.0,,2.83,185.12,27.91,82.78,85.23,0.04,0.0,0.0,0.0,0.0,10-Aug-2018 - 00:00,"Talcher Coalfields,Talcher - OSPCB"
10-Aug-2018 - 00:00,,,,,,,,,,,,,,,,,,,,,11-Aug-2018 - 00:00,"Talcher Coalfields,Talcher - OSPCB"
11-Aug-2018 - 00:00,,,,,,,,,,,,,,,,,,,,,12-Aug-2018 - 00:00,"Talcher Coalfields,Talcher - OSPCB"
12-Aug-2018 - 00:00,,,,,,,,,,,,,,,,,,,,,13-Aug-2018 - 00:00,"Talcher Coalfields,Talcher - OSPCB"
13-Aug-2018 - 00:00,4.3,23.51,2.65,25.85,7.04,0.0,,13.28,35.36,46.11,2.66,185.53,28.4,85.79,7.88,0.0,0.0,0.0,0.0,0.0,14-Aug-2018 - 00:00,"Talcher Coalfields,Talcher - OSPCB"
14-Aug-2018 - 00:00,4.0,21.89,2.69,21.19,5.32,0.0,,18.01,25.94,29.43,2.55,167.86,27.61,86.68,57.05,0.0,0.0,0.0,0.0,0.0,15-Aug-2018 - 00:00,"Talcher Coalfields,Talcher - OSPCB"
15-Aug-2018 - 00:00,0.09,21.07,2.61,21.96,2.53,0.0,,13.71,14.93,22.28,2.69,204.45,27.48,88.34,56.29,0.01,0.0,0.0,0.0,0.0,16-Aug-2018 - 00:00,"Talcher Coalfields,Talcher - OSPCB"
16-Aug-2018 - 00:00,2.95,20.57,2.31,21.93,0.51,0.0,,39.06,12.86,16.03,2.93,220.23,27.59,85.79,77.1,0.01,0.0,0.0,0.0,0.0,17-Aug-2018 - 00:00,"Talcher Coalfields,Talcher - OSPCB"
17-Aug-2018 - 00:00,,20.05,2.27,20.42,,0.0,,7.24,5.52,13.46,2.55,213.03,26.43,90.95,4.56,0.0,0.0,0.0,0.0,0.0,18-Aug-2018 - 00:00,"Talcher Coalfields,Talcher - OSPCB"
18-Aug-2018 - 00:00,8.94,18.68,2.67,36.71,,0.0,,0.0,22.14,13.2,2.28,195.22,31.39,65.98,228.72,0.0,0.0,0.0,0.0,0.0,19-Aug-2018 - 00:00,"Talcher Coalfields,Talcher - OSPCB"
19-Aug-2018 - 00:00,,,,,,,,,,,,,,,,,,,,,20-Aug-2018 - 00:00,"Talcher Coalfields,Talcher - OSPCB"
20-Aug-2018 - 00:00,1.97,21.6,2.51,22.64,19.79,0.0,23.66,18.94,19.21,21.35,2.73,194.63,26.79,90.3,9.78,0.0,0.0,0.0,0.0,0.0,21-Aug-2018 - 00:00,"Talcher Coalfields,Talcher - OSPCB"
21-Aug-2018 - 00:00,6.9,21.91,2.66,24.17,19.25,0.0,29.43,24.75,26.34,32.77,2.81,191.09,27.57,85.27,55.81,0.0,0.0,0.0,0.0,0.0,22-Aug-2018 - 00:00,"Talcher Coalfields,Talcher - OSPCB"
22-Aug-2018 - 00:00,,23.12,2.61,22.02,18.44,0.0,12.49,19.88,25.38,36.88,2.68,165.09,26.95,79.29,47.24,0.04,0.0,0.0,0.0,0.0,23-Aug-2018 - 00:00,"Talcher Coalfields,Talcher - OSPCB"
23-Aug-2018 - 00:00,1.14,21.63,2.6,23.48,17.83,0.0,18.22,27.7,26.4,38.06,2.47,167.4,27.47,79.0,76.75,0.53,0.0,0.0,0.0,0.0,24-Aug-2018 - 00:00,"Talcher Coalfields,Talcher - OSPCB"
24-Aug-2018 - 00:00,,,,,,,,,,,,,,,,,,,,,25-Aug-2018 - 00:00,"Talcher Coalfields,Talcher - OSPCB"
25-Aug-2018 - 00:00,,,,,,,,,,,,,,,,,,,,,26-Aug-2018 - 00:00,"Talcher Coalfields,Talcher - OSPCB"
26-Aug-2018 - 00:00,,,,,,,,,,,,,,,,,,,,,27-Aug-2018 - 00:00,"Talcher Coalfields,Talcher - OSPCB"
27-Aug-2018 - 00:00,,,,,,,,,,,,,,,,,,,,,28-Aug-2018 - 00:00,"Talcher Coalfields,Talcher - OSPCB"
28-Aug-2018 - 00:00,1.68,19.0,2.65,25.29,15.2,0.0,16.04,10.04,23.58,23.72,2.73,170.69,25.38,93.85,6.45,0.0,0.0,0.0,0.0,0.0,29-Aug-2018 - 00:00,"Talcher Coalfields,Talcher - OSPCB"
29-Aug-2018 - 00:00,,,,,,,,,,,,,,,,,,,,,30-Aug-2018 - 00:00,"Talcher Coalfields,Talcher - OSPCB"
30-Aug-2018 - 00:00,,21.24,2.81,22.71,14.61,0.0,98.08,23.79,42.9,56.13,2.63,168.94,28.28,82.42,3.05,0.0,0.0,0.0,0.0,0.0,31-Aug-2018 - 00:00,"Talcher Coalfields,Talcher - OSPCB"
31-Aug-2018 - 00:00,,23.44,2.77,19.91,14.88,0.0,26.67,11.4,36.14,52.77,2.85,212.79,27.22,86.33,2.72,0.0,0.0,0.0,0.0,0.0,01-Sep-2018 - 00:00,"Talcher Coalfields,Talcher - OSPCB"
01-Sep-2018 - 00:00,,,,,,,,,,,,,,,,,,,,,02-Sep-2018 - 00:00,"Talcher Coalfields,Talcher - OSPCB"
02-Sep-2018 - 00:00,,,,,,,,,,,,,,,,,,,,,03-Sep-2018 - 00:00,"Talcher Coalfields,Talcher - OSPCB"
03-Sep-2018 - 00:00,,,,,,,,,,,,,,,,,,,,,04-Sep-2018 - 00:00,"Talcher Coalfields,Talcher - OSPCB"
