from date,CH4,WD,BP,SR,NMHC,NO2,NOx,NO,CO,VWS,PM2.5,RH,WS,AT,THC,Temp,NH3,SO2,to date,station
24-Mar-2018 - 00:00,151.09,325.21,752.76,148.16,258.32,40.52,30.31,10.95,0.57,-3.6,80.04,50.09,1.56,28.14,298.53,,39.03,14.38,25-Mar-2018 - 00:00,"IHBAS, Dilshad Garden, Delhi - CPCB"
25-Mar-2018 - 00:00,0.0,308.34,753.28,154.82,254.88,39.33,29.04,10.15,0.76,-3.85,108.94,49.98,1.58,28.49,225.48,,43.92,14.62,26-Mar-2018 - 00:00,"IHBAS, Dilshad Garden, Delhi - CPCB"
26-Mar-2018 - 00:00,0.0,318.03,752.49,147.87,295.57,47.48,33.93,10.84,0.83,-1.47,99.26,42.59,1.49,29.56,266.53,,46.37,16.66,27-Mar-2018 - 00:00,"IHBAS, Dilshad Garden, Delhi - CPCB"
27-Mar-2018 - 00:00,0.0,268.8,751.04,188.08,375.9,63.33,49.42,18.32,2.27,-0.87,101.25,32.28,1.28,30.88,296.26,,46.59,19.28,28-Mar-2018 - 00:00,"IHBAS, Dilshad Garden, Delhi - CPCB"
28-Mar-2018 - 00:00,18.62,276.44,750.62,221.04,471.65,53.3,67.13,24.87,0.9,1.27,84.53,23.02,1.79,33.8,393.28,,47.24,15.54,29-Mar-2018 - 00:00,"IHBAS, Dilshad Garden, Delhi - CPCB"
29-Mar-2018 - 00:00,584.28,307.61,750.28,138.78,347.4,46.4,33.06,10.47,0.7,0.82,93.78,33.47,1.52,31.03,251.69,,45.57,8.17,30-Mar-2018 - 00:00,"IHBAS, Dilshad Garden, Delhi - CPCB"
30-Mar-2018 - 00:00,0.0,278.13,749.32,142.12,389.64,55.98,39.02,11.55,0.54,0.22,97.92,33.86,1.57,30.96,252.89,,45.53,12.92,31-Mar-2018 - 00:00,"IHBAS, Dilshad Garden, Delhi - CPCB"
31-Mar-2018 - 00:00,0.0,116.48,734.3,143.7,319.57,42.98,31.27,10.51,0.55,0.19,107.86,45.44,1.41,27.73,544.42,,48.31,14.75,01-Apr-2018 - 00:00,"IHBAS, Dilshad Garden, Delhi - CPCB"
01-Apr-2018 - 00:00,576.5,116.98,751.25,140.71,309.04,43.37,31.47,10.5,0.5,0.19,72.23,45.16,1.19,29.68,446.9,,48.28,12.06,02-Apr-2018 - 00:00,"IHBAS, Dilshad Garden, Delhi - CPCB"
02-Apr-2018 - 00:00,766.84,107.39,751.43,131.54,376.56,56.41,39.53,11.91,0.65,0.19,90.69,44.67,0.98,30.36,247.36,,52.81,18.2,03-Apr-2018 - 00:00,"IHBAS, Dilshad Garden, Delhi - CPCB"
03-Apr-2018 - 00:00,0.0,128.04,750.73,120.63,363.59,55.73,37.91,10.92,0.73,0.19,87.8,40.92,0.9,32.04,227.21,,53.27,37.83,04-Apr-2018 - 00:00,"IHBAS, Dilshad Garden, Delhi - CPCB"
04-Apr-2018 - 00:00,0.0,119.24,749.67,116.62,470.09,65.66,45.28,12.94,0.93,0.2,102.52,44.44,0.68,31.99,220.89,,67.08,18.87,05-Apr-2018 - 00:00,"IHBAS, Dilshad Garden, Delhi - CPCB"
05-Apr-2018 - 00:00,0.0,127.32,749.11,113.8,481.36,62.38,45.58,16.5,1.11,0.2,133.67,45.56,0.79,32.06,201.48,,70.7,22.82,06-Apr-2018 - 00:00,"IHBAS, Dilshad Garden, Delhi - CPCB"
06-Apr-2018 - 00:00,0.0,129.79,750.04,87.6,342.26,50.22,36.22,12.5,0.43,0.21,99.87,40.82,1.78,30.9,325.21,,52.64,20.74,07-Apr-2018 - 00:00,"IHBAS, Dilshad Garden, Delhi - CPCB"
