from date,CH4,WD,BP,SR,NMHC,NO2,NOx,NO,CO,VWS,PM2.5,RH,WS,AT,THC,Temp,NH3,SO2,to date,station
07-Aug-2018 - 00:00,,85.97,746.78,85.41,188.8,22.23,16.76,6.17,0.56,0.66,40.62,80.69,1.79,30.3,598.23,,57.64,10.5,08-Aug-2018 - 00:00,"IHBAS, Dilshad Garden, Delhi - CPCB"
08-Aug-2018 - 00:00,,102.59,747.22,115.88,223.74,21.57,18.77,9.11,0.53,-0.36,38.95,78.91,1.96,31.08,685.25,,43.9,10.77,09-Aug-2018 - 00:00,"IHBAS, Dilshad Garden, Delhi - CPCB"
09-Aug-2018 - 00:00,,117.03,748.22,152.51,218.09,20.94,17.35,7.76,0.56,0.27,38.28,69.47,2.49,32.69,721.5,,28.29,8.72,10-Aug-2018 - 00:00,"IHBAS, Dilshad Garden, Delhi - CPCB"
10-Aug-2018 - 00:00,,180.14,747.76,77.18,358.91,24.81,20.76,9.45,0.6,0.42,62.71,71.4,2.01,32.68,,,27.18,11.98,11-Aug-2018 - 00:00,"IHBAS, Dilshad Garden, Delhi - CPCB"
11-Aug-2018 - 00:00,,260.18,746.04,117.97,244.95,34.48,25.17,8.54,0.38,0.2,50.03,65.51,3.27,33.56,915.8,,22.77,8.76,12-Aug-2018 - 00:00,"IHBAS, Dilshad Garden, Delhi - CPCB"
12-Aug-2018 - 00:00,,193.61,745.49,59.57,260.34,13.2,11.79,5.95,0.51,0.18,49.25,74.29,2.45,31.34,,,8.82,7.39,13-Aug-2018 - 00:00,"IHBAS, Dilshad Garden, Delhi - CPCB"
13-Aug-2018 - 00:00,,135.18,746.15,79.66,275.38,14.91,14.01,7.61,0.56,0.59,54.22,78.5,1.41,31.06,981.27,,5.47,10.0,14-Aug-2018 - 00:00,"IHBAS, Dilshad Garden, Delhi - CPCB"
14-Aug-2018 - 00:00,,140.5,746.42,116.2,274.21,13.65,12.17,6.15,0.54,0.74,64.18,73.88,1.52,32.5,892.01,,3.54,9.97,15-Aug-2018 - 00:00,"IHBAS, Dilshad Garden, Delhi - CPCB"
15-Aug-2018 - 00:00,,174.72,746.89,120.9,224.79,,,,0.72,0.78,63.71,70.21,2.4,32.18,917.7,,,3.94,16-Aug-2018 - 00:00,"IHBAS, Dilshad Garden, Delhi - CPCB"
16-Aug-2018 - 00:00,,91.36,747.61,98.19,283.08,24.79,27.68,17.72,0.62,0.38,57.95,77.15,1.67,31.65,984.2,,34.95,7.45,17-Aug-2018 - 00:00,"IHBAS, Dilshad Garden, Delhi - CPCB"
17-Aug-2018 - 00:00,,103.52,746.67,126.02,201.04,31.48,23.74,8.82,0.76,0.12,42.14,76.22,2.46,32.52,884.7,,17.43,8.68,18-Aug-2018 - 00:00,"IHBAS, Dilshad Garden, Delhi - CPCB"
18-Aug-2018 - 00:00,,130.16,746.71,110.56,235.2,26.63,21.13,8.71,0.4,0.05,40.04,79.16,2.34,31.67,956.99,,20.3,8.29,19-Aug-2018 - 00:00,"IHBAS, Dilshad Garden, Delhi - CPCB"
19-Aug-2018 - 00:00,,148.4,746.42,50.31,359.59,33.46,31.4,17.0,0.54,-0.01,57.09,87.9,1.5,30.43,,,32.03,10.42,20-Aug-2018 - 00:00,"IHBAS, Dilshad Garden, Delhi - CPCB"
20-Aug-2018 - 00:00,,118.82,746.92,110.67,395.6,27.19,37.43,28.72,0.65,-0.42,55.56,79.26,1.7,32.01,,,26.72,15.04,21-Aug-2018 - 00:00,"IHBAS, Dilshad Garden, Delhi - CPCB"
21-Aug-2018 - 00:00,,124.62,746.78,125.24,220.07,39.16,28.2,9.21,0.46,-0.39,32.89,73.32,1.99,32.41,,,12.13,9.26,22-Aug-2018 - 00:00,"IHBAS, Dilshad Garden, Delhi - CPCB"
22-Aug-2018 - 00:00,,149.74,746.47,83.43,221.89,28.16,20.68,7.12,0.52,-0.61,38.07,74.24,2.34,32.23,984.77,,16.13,8.48,23-Aug-2018 - 00:00,"IHBAS, Dilshad Garden, Delhi - CPCB"
23-Aug-2018 - 00:00,,248.64,747.4,85.96,248.38,22.0,17.86,7.69,0.6,-0.38,39.8,81.66,2.57,30.78,951.49,,18.84,7.27,24-Aug-2018 - 00:00,"IHBAS, Dilshad Garden, Delhi - CPCB"
24-Aug-2018 - 00:00,,265.64,746.36,78.66,283.81,26.26,23.58,12.01,0.58,-0.08,36.66,71.83,2.24,31.72,958.85,,19.48,7.87,25-Aug-2018 - 00:00,"IHBAS, Dilshad Garden, Delhi - CPCB"
25-Aug-2018 - 00:00,,279.44,746.19,110.23,191.43,29.13,22.01,8.14,0.65,0.41,25.18,68.28,2.93,31.22,804.66,,25.25,13.51,26-Aug-2018 - 00:00,"IHBAS, Dilshad Garden, Delhi - CPCB"
26-Aug-2018 - 00:00,,,,,,,,,,,,,,,,,,,27-Aug-2018 - 00:00,"IHBAS, Dilshad Garden, Delhi - CPCB"
27-Aug-2018 - 00:00,,,,,,,,,,,,,,,,,,,28-Aug-2018 - 00:00,"IHBAS, Dilshad Garden, Delhi - CPCB"
28-Aug-2018 - 00:00,,88.76,747.87,6.94,394.83,79.37,87.11,58.31,1.19,-2.83,36.95,95.6,2.87,29.08,18.86,,97.05,2.99,29-Aug-2018 - 00:00,"IHBAS, Dilshad Garden, Delhi - CPCB"
29-Aug-2018 - 00:00,,133.83,747.78,62.93,260.53,45.82,32.87,10.62,1.64,0.11,52.11,88.18,2.24,30.05,261.48,,64.87,4.9,30-Aug-2018 - 00:00,"IHBAS, Dilshad Garden, Delhi - CPCB"
30-Aug-2018 - 00:00,,250.47,746.57,115.73,343.63,17.27,15.79,8.24,0.32,1.68,37.79,77.5,1.24,31.97,927.73,,22.8,7.4,31-Aug-2018 - 00:00,"IHBAS, Dilshad Garden, Delhi - CPCB"
31-Aug-2018 - 00:00,,223.49,746.78,79.3,304.61,26.69,19.84,7.05,0.49,0.07,41.19,74.8,1.61,31.99,739.94,,12.78,10.82,01-Sep-2018 - 00:00,"IHBAS, Dilshad Garden, Delhi - CPCB"
01-Sep-2018 - 00:00,,185.99,750.45,37.47,402.67,21.57,17.97,8.12,0.58,0.06,45.76,89.1,1.08,29.08,889.3,,12.43,15.47,02-Sep-2018 - 00:00,"IHBAS, Dilshad Garden, Delhi - CPCB"
02-Sep-2018 - 00:00,,164.2,751.2,35.86,316.9,17.75,15.14,7.12,0.71,0.18,,94.77,1.21,28.42,946.14,,5.58,15.85,03-Sep-2018 - 00:00,"IHBAS, Dilshad Garden, Delhi - CPCB"
03-Sep-2018 - 00:00,,97.15,751.14,38.64,367.83,20.05,19.35,10.85,0.59,0.26,8.55,96.58,0.78,28.2,,,48.66,14.34,04-Sep-2018 - 00:00,"IHBAS, Dilshad Garden, Delhi - CPCB"
04-Sep-2018 - 00:00,,155.39,751.04,67.5,559.72,23.22,30.58,22.8,0.65,0.04,58.77,87.96,1.39,29.17,981.35,,34.6,23.27,05-Sep-2018 - 00:00,"IHBAS, Dilshad Garden, Delhi - CPCB"
05-Sep-2018 - 00:00,,258.54,751.14,92.45,447.73,25.81,24.77,13.8,0.71,0.25,48.38,85.98,1.69,29.47,841.81,,24.3,11.21,06-Sep-2018 - 00:00,"IHBAS, Dilshad Garden, Delhi - CPCB"
06-Sep-2018 - 00:00,,258.45,750.87,133.06,423.12,28.52,31.01,19.8,0.56,0.71,41.31,79.66,1.73,30.51,740.68,,21.05,11.25,07-Sep-2018 - 00:00,"IHBAS, Dilshad Garden, Delhi - CPCB"
07-Sep-2018 - 00:00,,145.72,750.94,72.44,449.23,32.1,32.48,19.26,0.65,0.17,67.68,84.95,1.43,29.41,743.98,,18.27,11.95,08-Sep-2018 - 00:00,"IHBAS, Dilshad Garden, Delhi - CPCB"
08-Sep-2018 - 00:00,,66.92,751.53,92.77,273.97,23.83,20.9,10.56,0.58,0.24,47.64,84.0,1.97,29.71,684.0,,13.87,8.51,09-Sep-2018 - 00:00,"IHBAS, Dilshad Garden, Delhi - CPCB"
09-Sep-2018 - 00:00,,142.95,754.15,116.29,251.0,43.39,29.33,7.82,0.66,0.44,30.06,78.79,2.43,29.74,656.87,,21.48,2.8,10-Sep-2018 - 00:00,"IHBAS, Dilshad Garden, Delhi - CPCB"
10-Sep-2018 - 00:00,,170.85,754.66,70.9,308.6,24.67,19.28,7.7,0.78,0.27,35.66,79.67,1.83,30.06,862.9,,20.14,3.77,11-Sep-2018 - 00:00,"IHBAS, Dilshad Garden, Delhi - CPCB"
11-Sep-2018 - 00:00,,256.05,752.79,121.32,315.36,20.47,17.08,7.74,0.8,0.14,30.22,76.08,2.02,31.13,810.54,,15.8,12.09,12-Sep-2018 - 00:00,"IHBAS, Dilshad Garden, Delhi - CPCB"
12-Sep-2018 - 00:00,,264.87,748.2,135.39,302.22,21.41,16.82,6.79,0.72,0.03,36.9,69.03,2.6,31.64,659.72,,13.77,14.42,13-Sep-2018 - 00:00,"IHBAS, Dilshad Garden, Delhi - CPCB"
13-Sep-2018 - 00:00,,273.35,747.98,135.18,309.18,20.4,16.54,7.12,0.7,0.07,34.56,60.73,2.75,31.73,601.67,,13.88,14.11,14-Sep-2018 - 00:00,"IHBAS, Dilshad Garden, Delhi - CPCB"
14-Sep-2018 - 00:00,,300.44,748.96,136.69,290.66,20.75,15.81,5.97,0.62,0.13,34.74,60.87,2.32,31.53,717.46,,14.01,14.17,15-Sep-2018 - 00:00,"IHBAS, Dilshad Garden, Delhi - CPCB"
15-Sep-2018 - 00:00,,303.82,749.64,146.13,314.76,26.11,20.21,7.88,0.64,-0.38,33.86,55.67,2.52,31.86,720.5,,12.24,13.35,16-Sep-2018 - 00:00,"IHBAS, Dilshad Garden, Delhi - CPCB"
16-Sep-2018 - 00:00,,276.81,749.07,138.86,303.02,23.56,17.58,6.31,0.51,-0.53,48.72,59.25,2.91,31.83,568.84,,19.76,9.23,17-Sep-2018 - 00:00,"IHBAS, Dilshad Garden, Delhi - CPCB"
17-Sep-2018 - 00:00,,290.2,749.18,132.31,297.72,22.78,16.9,5.97,0.67,-0.18,52.78,64.06,2.49,31.43,886.73,,19.95,8.61,18-Sep-2018 - 00:00,"IHBAS, Dilshad Garden, Delhi - CPCB"
18-Sep-2018 - 00:00,,309.99,749.67,137.19,258.69,24.63,18.21,6.4,0.84,-0.11,57.26,56.65,2.54,31.84,732.71,,22.56,10.88,19-Sep-2018 - 00:00,"IHBAS, Dilshad Garden, Delhi - CPCB"
19-Sep-2018 - 00:00,,178.95,748.34,137.43,292.63,39.42,28.58,9.52,0.87,-0.05,46.84,56.52,1.52,31.56,853.44,,34.9,11.31,20-Sep-2018 - 00:00,"IHBAS, Dilshad Garden, Delhi - CPCB"
20-Sep-2018 - 00:00,,119.2,747.83,128.97,307.19,30.7,23.11,8.47,0.69,-0.05,57.27,59.56,0.56,31.82,876.9,,19.09,12.18,21-Sep-2018 - 00:00,"IHBAS, Dilshad Garden, Delhi - CPCB"
21-Sep-2018 - 00:00,,137.68,749.0,112.15,184.52,21.58,17.23,7.23,0.62,-0.04,44.85,68.16,1.44,30.22,164.17,,13.41,13.36,22-Sep-2018 - 00:00,"IHBAS, Dilshad Garden, Delhi - CPCB"
22-Sep-2018 - 00:00,,111.41,750.64,37.99,164.04,19.43,16.39,7.56,0.63,-0.03,27.18,87.24,1.56,27.51,432.59,,12.98,9.9,23-Sep-2018 - 00:00,"IHBAS, Dilshad Garden, Delhi - CPCB"
23-Sep-2018 - 00:00,,137.05,750.43,57.01,182.9,21.98,17.47,7.23,0.49,0.01,32.27,88.52,1.71,28.22,822.01,,10.66,10.25,24-Sep-2018 - 00:00,"IHBAS, Dilshad Garden, Delhi - CPCB"
24-Sep-2018 - 00:00,,187.3,750.3,28.7,289.09,21.34,17.91,8.2,0.59,0.0,31.94,93.84,1.44,26.98,850.9,,20.25,11.7,25-Sep-2018 - 00:00,"IHBAS, Dilshad Garden, Delhi - CPCB"
25-Sep-2018 - 00:00,,275.2,751.53,39.99,302.16,27.24,23.25,10.95,0.58,0.06,17.44,91.0,1.29,26.05,928.18,,37.71,10.88,26-Sep-2018 - 00:00,"IHBAS, Dilshad Garden, Delhi - CPCB"
26-Sep-2018 - 00:00,,206.06,751.63,170.0,371.81,36.57,29.4,12.43,0.79,0.04,17.71,72.22,0.95,29.96,967.45,,36.73,12.94,27-Sep-2018 - 00:00,"IHBAS, Dilshad Garden, Delhi - CPCB"
27-Sep-2018 - 00:00,,183.86,751.64,130.95,466.89,28.36,32.12,21.29,0.8,0.05,40.36,71.78,0.7,29.44,959.87,,43.41,15.99,28-Sep-2018 - 00:00,"IHBAS, Dilshad Garden, Delhi - CPCB"
28-Sep-2018 - 00:00,,208.7,750.44,144.58,543.82,41.89,47.1,31.02,0.93,0.23,80.18,61.83,0.78,30.77,,,46.88,19.11,29-Sep-2018 - 00:00,"IHBAS, Dilshad Garden, Delhi - CPCB"
29-Sep-2018 - 00:00,,197.45,750.31,118.27,501.18,52.9,48.45,25.39,1.26,0.31,116.75,69.7,0.74,29.75,,,58.69,18.24,30-Sep-2018 - 00:00,"IHBAS, Dilshad Garden, Delhi - CPCB"
30-Sep-2018 - 00:00,,244.92,749.15,145.07,244.05,26.98,15.06,5.43,0.63,0.48,30.39,47.76,0.88,31.65,493.72,,50.63,8.97,01-Oct-2018 - 00:00,"IHBAS, Dilshad Garden, Delhi - CPCB"
01-Oct-2018 - 00:00,,208.85,750.93,143.11,330.4,32.19,22.55,6.78,0.69,0.62,40.85,53.34,0.64,31.02,,,42.82,14.27,02-Oct-2018 - 00:00,"IHBAS, Dilshad Garden, Delhi - CPCB"
02-Oct-2018 - 00:00,,196.43,752.4,110.63,362.06,39.38,29.25,10.7,0.5,0.46,51.63,54.28,0.53,30.83,677.03,,47.32,16.37,03-Oct-2018 - 00:00,"IHBAS, Dilshad Garden, Delhi - CPCB"
03-Oct-2018 - 00:00,,160.89,752.06,116.68,429.8,43.92,39.96,20.74,0.76,0.74,54.07,47.02,0.38,31.1,,,54.35,20.29,04-Oct-2018 - 00:00,"IHBAS, Dilshad Garden, Delhi - CPCB"
04-Oct-2018 - 00:00,,113.81,752.83,103.35,432.09,47.66,37.36,15.02,1.01,0.45,88.99,57.1,0.46,30.4,,,53.47,20.91,05-Oct-2018 - 00:00,"IHBAS, Dilshad Garden, Delhi - CPCB"
05-Oct-2018 - 00:00,,70.84,753.39,141.54,523.83,41.46,42.74,25.85,1.16,0.11,104.95,55.04,0.68,30.34,951.36,,60.85,25.98,06-Oct-2018 - 00:00,"IHBAS, Dilshad Garden, Delhi - CPCB"
06-Oct-2018 - 00:00,,186.8,753.17,127.34,377.14,39.38,26.37,6.79,0.64,0.1,44.54,43.45,0.99,30.59,925.94,,46.93,18.93,07-Oct-2018 - 00:00,"IHBAS, Dilshad Garden, Delhi - CPCB"
07-Oct-2018 - 00:00,,154.36,752.78,118.13,361.21,40.45,26.16,5.8,2.2,0.23,59.09,41.38,1.25,30.06,939.71,,55.37,15.0,08-Oct-2018 - 00:00,"IHBAS, Dilshad Garden, Delhi - CPCB"
08-Oct-2018 - 00:00,,140.29,752.27,118.18,368.95,48.29,30.23,5.68,1.89,0.22,91.89,46.14,0.64,29.85,,,49.16,18.24,09-Oct-2018 - 00:00,"IHBAS, Dilshad Garden, Delhi - CPCB"
09-Oct-2018 - 00:00,,160.21,751.69,123.19,442.4,47.07,39.74,18.38,2.09,0.16,64.07,51.35,1.07,29.79,,,48.45,22.47,10-Oct-2018 - 00:00,"IHBAS, Dilshad Garden, Delhi - CPCB"
10-Oct-2018 - 00:00,,148.86,752.07,113.38,330.71,44.57,29.35,7.05,0.75,0.08,61.38,58.65,1.6,29.9,,,44.85,19.81,11-Oct-2018 - 00:00,"IHBAS, Dilshad Garden, Delhi - CPCB"
11-Oct-2018 - 00:00,,143.48,753.02,94.86,275.71,38.28,25.29,6.16,0.66,0.09,44.63,56.59,1.8,27.57,780.58,,49.57,11.6,12-Oct-2018 - 00:00,"IHBAS, Dilshad Garden, Delhi - CPCB"
12-Oct-2018 - 00:00,,98.35,753.87,119.17,305.82,39.29,26.71,7.49,0.8,0.09,56.02,42.21,0.48,27.24,843.02,,27.67,7.38,13-Oct-2018 - 00:00,"IHBAS, Dilshad Garden, Delhi - CPCB"
13-Oct-2018 - 00:00,,176.31,753.94,113.24,388.14,52.54,36.88,11.17,0.87,0.1,92.59,47.49,0.7,26.99,874.95,,33.92,11.44,14-Oct-2018 - 00:00,"IHBAS, Dilshad Garden, Delhi - CPCB"
14-Oct-2018 - 00:00,,284.07,753.3,116.11,386.55,52.53,34.9,9.06,0.75,0.12,51.47,38.46,0.73,28.19,865.04,,32.58,13.07,15-Oct-2018 - 00:00,"IHBAS, Dilshad Garden, Delhi - CPCB"
15-Oct-2018 - 00:00,,169.75,753.61,106.55,419.78,57.82,43.44,15.85,1.04,0.17,76.51,45.61,0.96,27.72,967.3,,39.44,14.7,16-Oct-2018 - 00:00,"IHBAS, Dilshad Garden, Delhi - CPCB"
16-Oct-2018 - 00:00,,155.69,753.17,83.26,600.21,72.94,60.51,27.14,1.32,0.17,77.68,50.89,1.07,28.16,963.97,,52.56,19.25,17-Oct-2018 - 00:00,"IHBAS, Dilshad Garden, Delhi - CPCB"
17-Oct-2018 - 00:00,,144.44,752.39,141.0,335.21,57.5,37.35,41.79,0.91,0.08,34.23,36.66,0.97,30.01,0.0,,47.34,13.96,18-Oct-2018 - 00:00,"IHBAS, Dilshad Garden, Delhi - CPCB"
18-Oct-2018 - 00:00,,170.89,752.33,95.68,626.8,65.34,70.67,44.89,1.31,0.12,89.94,55.74,0.99,27.69,919.97,,51.65,21.55,19-Oct-2018 - 00:00,"IHBAS, Dilshad Garden, Delhi - CPCB"
19-Oct-2018 - 00:00,,130.86,753.33,87.51,539.35,62.67,59.2,32.33,1.28,0.12,73.65,47.51,0.91,28.04,,,51.77,23.69,20-Oct-2018 - 00:00,"IHBAS, Dilshad Garden, Delhi - CPCB"
20-Oct-2018 - 00:00,,87.25,754.37,96.52,371.86,49.21,31.08,6.13,0.84,-0.18,88.23,34.4,0.95,27.98,948.12,,33.04,17.8,21-Oct-2018 - 00:00,"IHBAS, Dilshad Garden, Delhi - CPCB"
21-Oct-2018 - 00:00,,108.74,754.61,86.64,405.77,57.52,37.85,9.06,1.01,-0.17,74.21,33.96,1.46,27.37,942.14,,36.54,18.29,22-Oct-2018 - 00:00,"IHBAS, Dilshad Garden, Delhi - CPCB"
22-Oct-2018 - 00:00,,276.4,754.15,100.92,498.68,70.41,48.34,13.62,1.03,0.3,51.52,32.83,1.87,27.26,728.35,,48.0,16.25,23-Oct-2018 - 00:00,"IHBAS, Dilshad Garden, Delhi - CPCB"
23-Oct-2018 - 00:00,,248.04,753.88,94.16,589.15,80.99,65.8,28.41,1.13,0.47,55.74,37.39,0.94,26.91,962.77,,55.03,18.99,24-Oct-2018 - 00:00,"IHBAS, Dilshad Garden, Delhi - CPCB"
24-Oct-2018 - 00:00,,118.2,753.96,79.83,701.01,78.08,76.7,43.96,1.42,0.14,85.4,49.28,0.55,26.0,986.17,,48.64,26.98,25-Oct-2018 - 00:00,"IHBAS, Dilshad Garden, Delhi - CPCB"
25-Oct-2018 - 00:00,,120.55,754.67,91.97,607.26,48.65,44.65,23.89,1.4,0.11,71.55,53.41,0.54,25.32,806.3,,37.68,25.32,26-Oct-2018 - 00:00,"IHBAS, Dilshad Garden, Delhi - CPCB"
26-Oct-2018 - 00:00,,116.43,755.59,73.05,772.41,53.4,53.49,31.58,1.76,0.21,97.0,53.13,0.71,24.98,944.96,,53.49,26.23,27-Oct-2018 - 00:00,"IHBAS, Dilshad Garden, Delhi - CPCB"
27-Oct-2018 - 00:00,,134.99,755.56,72.63,,69.44,92.26,70.91,1.73,0.18,111.54,59.38,0.84,25.15,764.63,,68.46,30.26,28-Oct-2018 - 00:00,"IHBAS, Dilshad Garden, Delhi - CPCB"
28-Oct-2018 - 00:00,,194.7,755.39,91.64,764.46,48.21,44.4,23.44,0.39,0.15,110.31,56.23,0.9,25.69,787.2,,45.34,18.98,29-Oct-2018 - 00:00,"IHBAS, Dilshad Garden, Delhi - CPCB"
29-Oct-2018 - 00:00,,186.72,755.09,75.4,809.63,60.85,64.22,39.81,0.93,0.09,99.21,57.79,0.64,25.58,866.09,,50.34,32.8,30-Oct-2018 - 00:00,"IHBAS, Dilshad Garden, Delhi - CPCB"
30-Oct-2018 - 00:00,,176.46,755.05,61.48,968.74,101.65,90.12,45.07,1.44,0.13,162.25,63.61,0.51,25.22,673.65,,77.28,33.64,31-Oct-2018 - 00:00,"IHBAS, Dilshad Garden, Delhi - CPCB"
31-Oct-2018 - 00:00,,146.27,755.28,79.65,840.49,77.4,91.5,62.89,1.16,-0.13,183.08,63.89,0.91,25.0,706.98,,68.84,33.03,01-Nov-2018 - 00:00,"IHBAS, Dilshad Garden, Delhi - CPCB"
01-Nov-2018 - 00:00,,137.78,754.77,74.57,693.57,65.08,79.53,53.12,0.98,0.0,185.21,62.0,1.19,25.21,737.06,,94.81,32.1,02-Nov-2018 - 00:00,"IHBAS, Dilshad Garden, Delhi - CPCB"
02-Nov-2018 - 00:00,,140.54,754.07,78.92,413.79,68.5,52.55,20.15,0.93,-0.06,158.81,55.51,0.95,25.71,663.0,,69.38,21.2,03-Nov-2018 - 00:00,"IHBAS, Dilshad Garden, Delhi - CPCB"
03-Nov-2018 - 00:00,,126.51,753.48,71.58,148.09,47.3,30.39,7.22,0.8,-0.04,116.04,54.28,1.51,26.14,406.59,,55.47,10.05,04-Nov-2018 - 00:00,"IHBAS, Dilshad Garden, Delhi - CPCB"
04-Nov-2018 - 00:00,,210.97,754.27,93.17,124.53,23.7,14.86,4.82,0.63,0.01,68.32,51.04,1.69,25.09,233.16,,42.15,8.81,05-Nov-2018 - 00:00,"IHBAS, Dilshad Garden, Delhi - CPCB"
05-Nov-2018 - 00:00,,283.91,754.49,56.1,430.93,39.49,25.71,5.74,1.07,-0.16,241.75,55.47,1.73,23.96,800.68,,36.97,18.85,06-Nov-2018 - 00:00,"IHBAS, Dilshad Garden, Delhi - CPCB"
06-Nov-2018 - 00:00,,329.96,754.78,113.89,287.02,44.66,29.35,6.99,0.76,-0.16,137.36,30.41,2.12,24.28,580.44,,35.99,21.95,07-Nov-2018 - 00:00,"IHBAS, Dilshad Garden, Delhi - CPCB"
07-Nov-2018 - 00:00,,264.51,755.03,99.33,354.66,52.28,48.56,25.93,1.4,0.17,153.22,29.95,1.43,23.0,721.47,,58.89,29.79,08-Nov-2018 - 00:00,"IHBAS, Dilshad Garden, Delhi - CPCB"
08-Nov-2018 - 00:00,,154.34,755.13,67.59,899.49,71.8,91.11,66.15,0.88,0.25,402.31,54.79,0.32,21.28,883.99,,76.56,41.61,09-Nov-2018 - 00:00,"IHBAS, Dilshad Garden, Delhi - CPCB"
09-Nov-2018 - 00:00,,189.01,754.34,86.13,882.98,70.87,81.61,54.89,2.25,0.22,246.91,57.35,0.86,22.16,950.93,,75.37,34.62,10-Nov-2018 - 00:00,"IHBAS, Dilshad Garden, Delhi - CPCB"
10-Nov-2018 - 00:00,,153.86,754.32,62.43,960.77,90.68,96.25,60.02,2.35,-1.44,225.06,65.74,0.72,22.06,461.92,,87.72,20.39,11-Nov-2018 - 00:00,"IHBAS, Dilshad Garden, Delhi - CPCB"
11-Nov-2018 - 00:00,,171.71,754.75,77.46,758.09,73.73,75.46,45.3,2.02,-2.97,194.1,63.59,0.48,22.95,480.33,,79.36,15.09,12-Nov-2018 - 00:00,"IHBAS, Dilshad Garden, Delhi - CPCB"
12-Nov-2018 - 00:00,,125.91,753.91,76.41,615.61,65.47,71.78,46.2,2.09,-1.56,190.94,68.04,0.26,23.39,224.92,,81.74,20.53,13-Nov-2018 - 00:00,"IHBAS, Dilshad Garden, Delhi - CPCB"
13-Nov-2018 - 00:00,,127.82,752.93,53.36,760.98,88.41,103.8,70.97,2.36,-0.02,219.28,70.65,0.43,23.23,637.7,,100.41,40.54,14-Nov-2018 - 00:00,"IHBAS, Dilshad Garden, Delhi - CPCB"
14-Nov-2018 - 00:00,,164.37,753.31,76.22,413.12,64.27,55.12,26.91,1.34,0.09,121.57,66.62,0.94,24.29,395.58,,82.93,26.76,15-Nov-2018 - 00:00,"IHBAS, Dilshad Garden, Delhi - CPCB"
15-Nov-2018 - 00:00,,147.59,754.95,88.68,294.15,45.35,30.62,9.01,0.82,0.04,75.96,59.09,1.17,24.23,226.65,,63.29,16.1,16-Nov-2018 - 00:00,"IHBAS, Dilshad Garden, Delhi - CPCB"
16-Nov-2018 - 00:00,,320.98,754.42,94.91,296.74,43.84,27.53,5.28,0.74,-0.34,87.74,43.27,1.53,23.36,,,46.22,11.33,17-Nov-2018 - 00:00,"IHBAS, Dilshad Garden, Delhi - CPCB"
17-Nov-2018 - 00:00,,278.66,753.68,83.3,437.33,55.01,44.18,18.64,1.17,-0.95,104.72,47.42,1.08,22.74,,,52.59,11.87,18-Nov-2018 - 00:00,"IHBAS, Dilshad Garden, Delhi - CPCB"
18-Nov-2018 - 00:00,,162.95,754.1,78.69,708.48,77.27,83.99,53.6,1.0,-0.86,148.11,55.77,0.74,22.9,,,72.51,14.77,19-Nov-2018 - 00:00,"IHBAS, Dilshad Garden, Delhi - CPCB"
19-Nov-2018 - 00:00,,150.5,755.14,57.11,319.32,61.19,37.35,6.0,0.3,-0.55,148.59,52.86,1.23,23.85,,,53.83,13.4,20-Nov-2018 - 00:00,"IHBAS, Dilshad Garden, Delhi - CPCB"
20-Nov-2018 - 00:00,,179.41,755.25,76.57,563.1,79.64,62.07,25.62,1.7,0.31,170.36,59.9,1.06,23.86,0.0,,65.96,14.85,21-Nov-2018 - 00:00,"IHBAS, Dilshad Garden, Delhi - CPCB"
21-Nov-2018 - 00:00,,299.47,755.51,102.34,461.67,69.87,49.47,15.38,0.95,0.11,156.66,43.81,1.65,24.07,505.91,,56.59,12.97,22-Nov-2018 - 00:00,"IHBAS, Dilshad Garden, Delhi - CPCB"
22-Nov-2018 - 00:00,,173.02,755.61,81.74,672.26,80.97,65.59,52.26,1.55,0.11,94.24,41.78,0.49,22.21,296.17,24.45,62.48,12.77,23-Nov-2018 - 00:00,"IHBAS, Dilshad Garden, Delhi - CPCB"
23-Nov-2018 - 00:00,,252.38,756.24,70.02,616.47,70.37,60.84,29.26,1.31,0.35,127.48,34.02,1.7,,692.55,24.17,53.45,14.37,24-Nov-2018 - 00:00,"IHBAS, Dilshad Garden, Delhi - CPCB"
24-Nov-2018 - 00:00,,307.83,755.65,87.3,475.79,54.27,40.06,13.99,0.97,0.18,86.92,35.14,1.52,,740.82,23.64,40.59,15.07,25-Nov-2018 - 00:00,"IHBAS, Dilshad Garden, Delhi - CPCB"
25-Nov-2018 - 00:00,,260.06,755.43,75.35,656.88,69.48,64.77,36.74,1.34,0.06,106.25,46.32,0.63,,710.67,21.94,51.62,20.4,26-Nov-2018 - 00:00,"IHBAS, Dilshad Garden, Delhi - CPCB"
26-Nov-2018 - 00:00,,176.73,755.07,65.01,987.86,78.52,100.6,76.69,2.17,-0.07,125.76,60.1,0.53,,686.41,21.27,74.73,26.66,27-Nov-2018 - 00:00,"IHBAS, Dilshad Garden, Delhi - CPCB"
27-Nov-2018 - 00:00,,167.44,756.0,71.11,,121.73,223.1,201.13,3.19,-0.09,173.36,63.12,0.65,,694.85,22.36,152.58,47.41,28-Nov-2018 - 00:00,"IHBAS, Dilshad Garden, Delhi - CPCB"
28-Nov-2018 - 00:00,,153.4,756.51,54.1,,96.87,132.58,101.31,2.3,-0.08,173.83,70.63,0.27,,936.73,22.24,104.91,33.78,29-Nov-2018 - 00:00,"IHBAS, Dilshad Garden, Delhi - CPCB"
