from date,WS,WD,Gust,Variance,AT,RH,SR,BP,Power,PM10,PM2.5,NO,NO2,NOx,CO,CO2,Ozone,Black Carbon,Benzene,Toluene,Eth-Benzene,Xylene,to date,station
04-Mar-2018 - 00:00,,,,,,,,,,143.86,53.65,57.24,16.27,73.51,1.61,,23.12,0.0,0.0,0.0,,0.0,05-Mar-2018 - 00:00,"Lodhi Road, Delhi - IMD"
05-Mar-2018 - 00:00,,,,,,,,,,122.9,46.76,63.54,19.19,82.53,1.54,0.0,25.96,0.0,0.0,0.0,,0.0,06-Mar-2018 - 00:00,"Lodhi Road, Delhi - IMD"
06-Mar-2018 - 00:00,,,,,,,,,,107.55,45.22,42.41,22.23,64.62,1.59,,27.27,0.0,0.0,0.0,,0.0,07-Mar-2018 - 00:00,"Lodhi Road, Delhi - IMD"
07-Mar-2018 - 00:00,,,,,,,,,,140.46,53.66,74.43,26.47,100.69,1.76,0.0,27.66,0.0,0.0,0.0,,0.0,08-Mar-2018 - 00:00,"Lodhi Road, Delhi - IMD"
08-Mar-2018 - 00:00,,,,,,,,,,201.16,87.42,166.89,37.15,203.88,2.57,,35.97,0.0,0.0,0.0,,0.0,09-Mar-2018 - 00:00,"Lodhi Road, Delhi - IMD"
09-Mar-2018 - 00:00,,,,,,,,,,205.94,93.55,134.58,33.65,162.7,2.28,0.0,26.34,0.0,0.0,0.0,,0.0,10-Mar-2018 - 00:00,"Lodhi Road, Delhi - IMD"
10-Mar-2018 - 00:00,,,,,,,,,,121.21,49.05,50.6,23.86,74.46,1.5,,24.55,0.0,0.0,0.0,,0.0,11-Mar-2018 - 00:00,"Lodhi Road, Delhi - IMD"
11-Mar-2018 - 00:00,,,,,,,,,,141.76,56.49,61.37,24.97,86.31,1.58,,29.06,0.0,0.0,0.0,,0.0,12-Mar-2018 - 00:00,"Lodhi Road, Delhi - IMD"
12-Mar-2018 - 00:00,,,,,,,,,,144.83,52.29,77.8,27.91,105.44,2.02,0.0,26.29,0.0,0.0,0.0,,0.0,13-Mar-2018 - 00:00,"Lodhi Road, Delhi - IMD"
13-Mar-2018 - 00:00,,,,,,,,,,189.45,70.58,117.74,30.0,147.62,3.09,0.0,25.06,0.0,0.0,0.0,,0.0,14-Mar-2018 - 00:00,"Lodhi Road, Delhi - IMD"
14-Mar-2018 - 00:00,,,,,,,,,,267.22,76.66,136.78,28.48,165.11,3.54,0.0,24.18,0.0,0.0,0.0,,0.0,15-Mar-2018 - 00:00,"Lodhi Road, Delhi - IMD"
15-Mar-2018 - 00:00,,,,,,,,,,228.94,34.19,72.27,23.45,95.47,2.92,0.0,19.81,0.0,0.0,0.0,,0.0,16-Mar-2018 - 00:00,"Lodhi Road, Delhi - IMD"
