from date,PM2.5,SR,RH,Temp,WS,WD,RF,PM10,CO,Ozone,Benzene,Toluene,O Xylene,NO,NO2,NH3,NOx,SO2,to date,station
28-Feb-2018 - 00:00,29.57,201.04,39.2,28.04,0.7,170.9,0.0,102.42,0.96,61.06,2.58,10.38,1.81,5.89,13.09,1.0,11.56,2.13,01-Mar-2018 - 00:00,"MIDC Khutala, Chandrapur - MPCB"
01-Mar-2018 - 00:00,36.41,186.01,41.61,27.9,0.84,145.17,0.0,124.62,0.98,61.56,3.34,12.1,2.15,5.63,13.07,1.17,11.32,1.76,02-Mar-2018 - 00:00,"MIDC Khutala, Chandrapur - MPCB"
02-Mar-2018 - 00:00,41.81,202.34,39.64,28.65,0.75,157.41,0.0,119.78,0.9,76.24,3.84,11.13,1.79,5.88,11.5,1.38,10.73,1.32,03-Mar-2018 - 00:00,"MIDC Khutala, Chandrapur - MPCB"
03-Mar-2018 - 00:00,43.63,181.91,39.03,28.97,1.06,199.61,0.0,127.83,0.96,75.26,3.19,9.74,1.69,5.68,12.17,1.35,10.92,1.39,04-Mar-2018 - 00:00,"MIDC Khutala, Chandrapur - MPCB"
04-Mar-2018 - 00:00,51.85,177.83,40.67,28.94,0.82,147.38,0.0,167.96,0.92,92.02,3.92,11.42,1.88,5.91,11.94,1.38,10.98,1.64,05-Mar-2018 - 00:00,"MIDC Khutala, Chandrapur - MPCB"
05-Mar-2018 - 00:00,38.31,178.17,36.77,29.24,1.0,127.91,0.0,124.69,0.95,89.51,2.34,8.44,1.03,6.33,11.27,1.14,10.92,1.8,06-Mar-2018 - 00:00,"MIDC Khutala, Chandrapur - MPCB"
06-Mar-2018 - 00:00,42.8,197.91,38.32,29.19,1.02,112.49,0.0,147.83,0.97,91.48,2.52,8.01,1.03,8.22,11.42,0.69,12.55,2.55,07-Mar-2018 - 00:00,"MIDC Khutala, Chandrapur - MPCB"
07-Mar-2018 - 00:00,48.05,178.02,39.26,28.79,1.06,119.98,0.0,321.82,1.05,93.2,2.97,8.96,2.03,7.16,10.74,0.78,11.37,1.53,08-Mar-2018 - 00:00,"MIDC Khutala, Chandrapur - MPCB"
08-Mar-2018 - 00:00,52.65,172.51,42.31,28.42,0.71,138.54,0.0,168.02,0.89,77.92,4.63,14.35,4.06,8.33,12.55,0.55,13.22,2.3,09-Mar-2018 - 00:00,"MIDC Khutala, Chandrapur - MPCB"
09-Mar-2018 - 00:00,45.66,178.15,41.45,28.33,0.83,128.31,0.0,153.91,0.96,76.91,3.33,10.63,3.21,8.94,12.42,0.47,13.64,4.75,10-Mar-2018 - 00:00,"MIDC Khutala, Chandrapur - MPCB"
10-Mar-2018 - 00:00,47.31,161.87,46.47,28.49,0.72,164.07,0.0,162.79,0.96,77.24,4.07,15.72,3.71,6.03,9.48,0.85,9.78,1.7,11-Mar-2018 - 00:00,"MIDC Khutala, Chandrapur - MPCB"
11-Mar-2018 - 00:00,40.75,117.46,45.56,28.77,1.28,177.2,0.0,144.59,0.97,87.64,3.26,9.28,1.53,6.75,9.55,0.73,10.4,2.42,12-Mar-2018 - 00:00,"MIDC Khutala, Chandrapur - MPCB"
12-Mar-2018 - 00:00,31.98,215.0,48.42,27.83,0.97,180.97,0.0,116.27,0.93,71.57,3.82,13.69,2.76,6.94,11.21,0.55,11.08,1.47,13-Mar-2018 - 00:00,"MIDC Khutala, Chandrapur - MPCB"
