from date,AT,BP,RH,SR,WD,WS,PM10,PM2.5,VWS,Benzene,Toluene,P-Xylene,NH3,NO,NOx,NO2,SO2,Ozone,CO,to date,station
15-Mar-2018 - 00:00,25.4,979.89,43.83,148.55,256.75,2.1,400.53,,0.0,1.11,0.88,0.65,28.9,27.85,75.26,75.71,32.44,42.19,1.4,16-Mar-2018 - 00:00,"Dr. Karni Singh Shooting Range, Delhi - DPCC"
16-Mar-2018 - 00:00,24.52,981.17,47.52,153.64,299.06,1.66,165.18,46.11,0.0,0.86,1.03,0.68,34.23,27.99,98.34,72.96,38.11,52.3,1.38,17-Mar-2018 - 00:00,"Dr. Karni Singh Shooting Range, Delhi - DPCC"
17-Mar-2018 - 00:00,22.17,982.35,48.9,212.41,300.92,2.4,207.88,56.0,0.0,0.87,0.36,0.43,34.0,7.74,50.69,47.87,39.52,51.39,0.97,18-Mar-2018 - 00:00,"Dr. Karni Singh Shooting Range, Delhi - DPCC"
18-Mar-2018 - 00:00,28.39,984.07,25.94,281.49,310.03,2.25,120.71,35.11,0.0,0.41,0.5,0.65,24.35,13.32,72.75,59.85,28.32,94.81,1.11,19-Mar-2018 - 00:00,"Dr. Karni Singh Shooting Range, Delhi - DPCC"
19-Mar-2018 - 00:00,25.87,985.16,36.57,188.0,281.23,1.44,136.89,37.9,0.0,1.34,0.97,0.7,27.19,29.93,92.0,81.04,28.6,63.21,1.31,20-Mar-2018 - 00:00,"Dr. Karni Singh Shooting Range, Delhi - DPCC"
20-Mar-2018 - 00:00,26.92,982.3,39.95,176.7,200.09,1.15,166.86,42.34,0.0,1.0,1.41,0.76,30.97,24.2,74.57,75.12,30.44,71.65,1.3,21-Mar-2018 - 00:00,"Dr. Karni Singh Shooting Range, Delhi - DPCC"
21-Mar-2018 - 00:00,26.21,979.98,48.89,148.13,220.91,1.65,191.25,50.8,0.0,1.25,1.15,0.64,38.53,25.45,85.06,60.15,37.47,66.07,1.41,22-Mar-2018 - 00:00,"Dr. Karni Singh Shooting Range, Delhi - DPCC"
22-Mar-2018 - 00:00,24.83,980.84,52.27,151.39,260.7,1.52,120.8,50.8,0.0,0.24,0.31,0.35,34.76,10.29,58.13,51.15,34.38,70.61,1.04,23-Mar-2018 - 00:00,"Dr. Karni Singh Shooting Range, Delhi - DPCC"
23-Mar-2018 - 00:00,24.37,982.12,49.64,204.12,314.97,1.88,108.19,44.96,0.0,0.78,0.36,0.89,28.95,22.37,51.41,72.6,27.93,73.91,1.2,24-Mar-2018 - 00:00,"Dr. Karni Singh Shooting Range, Delhi - DPCC"
24-Mar-2018 - 00:00,26.11,984.58,46.11,205.15,313.15,2.17,127.98,36.34,0.0,0.51,0.57,0.82,31.96,9.05,61.68,55.86,31.15,75.36,1.12,25-Mar-2018 - 00:00,"Dr. Karni Singh Shooting Range, Delhi - DPCC"
25-Mar-2018 - 00:00,26.48,985.76,45.23,201.64,305.67,2.5,126.27,38.08,0.0,0.27,0.35,0.55,31.36,5.28,51.68,48.66,34.9,86.1,1.14,26-Mar-2018 - 00:00,"Dr. Karni Singh Shooting Range, Delhi - DPCC"
26-Mar-2018 - 00:00,27.01,984.03,40.74,196.29,305.26,2.38,134.36,42.44,0.0,0.81,0.58,1.01,30.04,18.21,73.36,59.99,36.27,80.24,1.35,27-Mar-2018 - 00:00,"Dr. Karni Singh Shooting Range, Delhi - DPCC"
27-Mar-2018 - 00:00,28.42,980.77,31.34,207.03,245.16,1.76,152.06,33.37,0.0,1.47,1.37,1.09,29.11,32.81,95.39,96.89,37.41,57.8,1.49,28-Mar-2018 - 00:00,"Dr. Karni Singh Shooting Range, Delhi - DPCC"
28-Mar-2018 - 00:00,29.99,979.91,26.84,207.32,261.58,1.75,125.81,38.98,0.0,0.35,0.78,0.55,26.91,7.04,57.34,56.75,34.6,82.21,1.09,29-Mar-2018 - 00:00,"Dr. Karni Singh Shooting Range, Delhi - DPCC"
29-Mar-2018 - 00:00,29.1,979.18,32.68,204.66,305.72,2.46,144.47,38.2,0.0,0.66,0.54,1.2,28.53,20.47,70.54,64.56,30.81,79.11,1.37,30-Mar-2018 - 00:00,"Dr. Karni Singh Shooting Range, Delhi - DPCC"
