from date,PM10,Xylene,VWS,WD,RH,BP,SR,NO,NO2,NOx,Ozone,PM2.5,CO,AT,WS,SO2,Benzene,Toluene,NH3,to date,station
02-Mar-2018 - 00:00,279.07,,-0.02,255.62,56.07,743.38,113.37,40.98,50.48,97.39,24.31,130.46,1.67,20.73,1.13,15.03,2.11,6.69,21.01,03-Mar-2018 - 00:00,"Mandir Marg, Delhi - DPCC"
03-Mar-2018 - 00:00,176.11,,-0.01,252.84,52.15,743.14,102.63,18.05,45.51,62.54,20.52,96.54,1.16,22.15,0.96,12.87,2.19,5.76,19.95,04-Mar-2018 - 00:00,"Mandir Marg, Delhi - DPCC"
04-Mar-2018 - 00:00,158.0,,-0.01,244.77,50.26,743.03,101.57,15.24,40.74,48.2,19.33,68.0,0.82,21.28,1.47,8.57,2.15,4.2,18.35,05-Mar-2018 - 00:00,"Mandir Marg, Delhi - DPCC"
05-Mar-2018 - 00:00,127.62,,-0.02,255.72,53.23,743.27,118.57,12.41,38.81,48.91,25.72,69.62,0.88,19.73,1.51,8.13,1.59,4.67,18.45,06-Mar-2018 - 00:00,"Mandir Marg, Delhi - DPCC"
06-Mar-2018 - 00:00,152.04,,-0.04,247.76,51.48,743.16,119.47,5.31,35.76,39.22,29.38,74.96,0.81,19.76,1.79,9.5,1.29,5.07,18.87,07-Mar-2018 - 00:00,"Mandir Marg, Delhi - DPCC"
07-Mar-2018 - 00:00,151.79,,-0.04,257.08,49.73,743.04,119.21,10.77,41.81,52.27,30.75,75.71,1.06,19.99,1.58,17.93,1.5,6.75,17.71,08-Mar-2018 - 00:00,"Mandir Marg, Delhi - DPCC"
08-Mar-2018 - 00:00,235.17,,0.0,238.31,54.04,743.26,114.46,88.51,85.19,187.25,34.77,115.88,2.26,20.21,0.86,31.73,3.4,16.03,17.71,09-Mar-2018 - 00:00,"Mandir Marg, Delhi - DPCC"
09-Mar-2018 - 00:00,258.5,,-0.03,273.01,48.3,743.13,115.3,43.56,69.72,112.71,28.18,143.83,1.37,21.94,1.27,37.73,3.65,12.22,19.97,10-Mar-2018 - 00:00,"Mandir Marg, Delhi - DPCC"
10-Mar-2018 - 00:00,154.88,,-0.05,252.98,44.12,742.84,119.76,5.53,42.68,44.43,27.87,68.04,0.84,23.24,1.89,25.49,1.43,6.26,18.28,11-Mar-2018 - 00:00,"Mandir Marg, Delhi - DPCC"
11-Mar-2018 - 00:00,163.25,,-0.03,264.36,48.11,742.97,116.47,20.09,42.93,65.96,31.88,81.42,1.32,22.47,1.3,22.32,1.59,6.43,20.19,12-Mar-2018 - 00:00,"Mandir Marg, Delhi - DPCC"
