from date,NO2,NH3,NOx,NO,SO2,CO,Ozone,PM2.5,PM10,Benzene,WS,WD,RH,BP,Toluene,Temp,to date,station
07-Jul-2018 - 00:00,9.23,6.78,7.32,2.98,13.5,0.43,23.2,11.59,30.16,0.43,,232.65,75.89,704.02,6.79,26.45,08-Jul-2018 - 00:00,"Jayanagar 5th Block, Bengaluru - KSPCB"
08-Jul-2018 - 00:00,7.01,7.33,7.06,4.09,9.97,0.5,18.84,13.65,38.27,0.44,1.5,235.47,80.89,703.58,7.57,26.27,09-Jul-2018 - 00:00,"Jayanagar 5th Block, Bengaluru - KSPCB"
09-Jul-2018 - 00:00,12.61,5.92,11.32,5.68,10.98,0.58,16.52,17.36,42.14,0.52,,235.15,80.68,703.51,8.13,26.19,10-Jul-2018 - 00:00,"Jayanagar 5th Block, Bengaluru - KSPCB"
10-Jul-2018 - 00:00,13.35,6.39,11.4,5.29,13.65,0.53,16.69,15.12,44.7,0.48,,227.7,80.4,704.47,7.82,26.39,11-Jul-2018 - 00:00,"Jayanagar 5th Block, Bengaluru - KSPCB"
11-Jul-2018 - 00:00,5.22,9.82,6.43,4.5,10.64,0.48,17.82,13.85,43.35,0.46,,231.46,76.51,704.82,7.52,26.2,12-Jul-2018 - 00:00,"Jayanagar 5th Block, Bengaluru - KSPCB"
12-Jul-2018 - 00:00,1.25,10.52,3.15,4.06,16.73,0.42,19.98,13.45,42.68,0.37,,234.21,74.89,704.04,6.64,26.36,13-Jul-2018 - 00:00,"Jayanagar 5th Block, Bengaluru - KSPCB"
13-Jul-2018 - 00:00,16.43,7.69,12.05,4.7,13.38,0.44,20.38,14.82,42.92,0.38,,236.39,75.84,703.86,6.55,26.16,14-Jul-2018 - 00:00,"Jayanagar 5th Block, Bengaluru - KSPCB"
14-Jul-2018 - 00:00,13.45,7.53,10.68,4.33,8.63,0.42,17.65,16.21,52.34,0.37,,236.8,76.8,703.21,7.11,27.0,15-Jul-2018 - 00:00,"Jayanagar 5th Block, Bengaluru - KSPCB"
15-Jul-2018 - 00:00,10.18,7.33,8.08,3.28,8.83,0.35,19.02,15.18,58.11,0.3,,238.78,71.1,702.8,5.9,26.93,16-Jul-2018 - 00:00,"Jayanagar 5th Block, Bengaluru - KSPCB"
16-Jul-2018 - 00:00,13.09,7.63,11.64,5.75,8.36,0.43,14.45,12.79,38.05,0.39,,234.97,75.89,703.59,6.36,27.04,17-Jul-2018 - 00:00,"Jayanagar 5th Block, Bengaluru - KSPCB"
17-Jul-2018 - 00:00,12.53,7.22,10.14,4.27,9.12,0.4,19.66,12.92,52.54,0.34,,238.44,73.98,704.15,6.03,26.78,18-Jul-2018 - 00:00,"Jayanagar 5th Block, Bengaluru - KSPCB"
18-Jul-2018 - 00:00,12.68,7.0,9.91,3.91,10.47,0.4,20.04,13.89,48.41,0.37,,236.0,71.34,704.49,5.82,26.78,19-Jul-2018 - 00:00,"Jayanagar 5th Block, Bengaluru - KSPCB"
19-Jul-2018 - 00:00,13.39,6.87,10.28,3.98,10.99,0.43,21.15,12.36,38.17,0.37,,237.96,75.21,704.75,6.62,26.87,20-Jul-2018 - 00:00,"Jayanagar 5th Block, Bengaluru - KSPCB"
20-Jul-2018 - 00:00,12.23,6.23,9.2,3.46,9.61,0.41,25.65,12.63,39.39,0.32,,240.09,73.01,704.87,5.28,26.44,21-Jul-2018 - 00:00,"Jayanagar 5th Block, Bengaluru - KSPCB"
21-Jul-2018 - 00:00,14.58,6.44,11.15,4.57,11.55,0.45,23.55,16.0,45.31,0.37,,241.89,77.64,705.77,5.26,26.13,22-Jul-2018 - 00:00,"Jayanagar 5th Block, Bengaluru - KSPCB"
22-Jul-2018 - 00:00,11.13,6.22,8.2,2.88,13.09,0.39,23.8,17.54,56.23,0.34,,237.79,72.69,705.61,5.59,25.83,23-Jul-2018 - 00:00,"Jayanagar 5th Block, Bengaluru - KSPCB"
23-Jul-2018 - 00:00,16.47,6.6,14.97,7.65,13.16,0.6,17.04,17.66,43.73,0.53,,243.11,77.59,705.18,6.42,25.92,24-Jul-2018 - 00:00,"Jayanagar 5th Block, Bengaluru - KSPCB"
24-Jul-2018 - 00:00,10.48,7.34,9.12,4.36,10.55,0.47,16.54,13.48,40.8,0.44,,240.3,73.99,706.33,7.21,25.86,25-Jul-2018 - 00:00,"Jayanagar 5th Block, Bengaluru - KSPCB"
25-Jul-2018 - 00:00,5.48,9.66,7.34,5.44,13.21,0.53,14.16,12.98,37.29,0.45,,240.96,76.25,706.59,6.01,25.77,26-Jul-2018 - 00:00,"Jayanagar 5th Block, Bengaluru - KSPCB"
26-Jul-2018 - 00:00,0.79,10.5,3.04,4.13,13.7,0.49,16.35,17.39,45.4,0.45,,234.76,73.96,706.91,6.94,25.96,27-Jul-2018 - 00:00,"Jayanagar 5th Block, Bengaluru - KSPCB"
27-Jul-2018 - 00:00,16.46,9.24,12.48,4.59,14.37,0.48,16.69,19.76,56.75,0.44,,234.59,73.92,706.68,9.05,25.95,28-Jul-2018 - 00:00,"Jayanagar 5th Block, Bengaluru - KSPCB"
28-Jul-2018 - 00:00,12.31,11.72,10.32,4.64,11.78,0.56,16.43,18.23,55.83,0.5,,232.79,74.66,706.06,6.66,25.92,29-Jul-2018 - 00:00,"Jayanagar 5th Block, Bengaluru - KSPCB"
29-Jul-2018 - 00:00,10.66,8.48,8.77,3.98,12.39,0.54,16.82,17.33,47.36,0.49,,240.57,73.03,705.4,8.05,26.01,30-Jul-2018 - 00:00,"Jayanagar 5th Block, Bengaluru - KSPCB"
30-Jul-2018 - 00:00,11.91,8.12,10.26,4.83,12.47,0.55,16.71,17.61,52.69,0.48,,242.46,71.74,705.34,6.69,25.91,31-Jul-2018 - 00:00,"Jayanagar 5th Block, Bengaluru - KSPCB"
31-Jul-2018 - 00:00,12.18,6.47,9.98,4.3,10.12,0.47,17.8,17.5,53.19,0.42,,235.5,72.88,706.07,6.09,25.72,01-Aug-2018 - 00:00,"Jayanagar 5th Block, Bengaluru - KSPCB"
01-Aug-2018 - 00:00,16.03,6.16,13.76,6.44,9.3,0.58,16.47,17.41,53.92,0.5,,238.53,74.98,706.97,7.11,25.45,02-Aug-2018 - 00:00,"Jayanagar 5th Block, Bengaluru - KSPCB"
02-Aug-2018 - 00:00,11.22,5.95,10.31,5.34,7.37,0.56,15.25,17.61,59.55,0.52,,239.91,71.53,707.36,6.41,25.4,03-Aug-2018 - 00:00,"Jayanagar 5th Block, Bengaluru - KSPCB"
03-Aug-2018 - 00:00,11.16,2.83,9.5,4.37,11.29,0.52,13.26,18.7,49.23,0.49,,237.3,74.39,707.93,6.27,25.44,04-Aug-2018 - 00:00,"Jayanagar 5th Block, Bengaluru - KSPCB"
04-Aug-2018 - 00:00,11.25,2.44,9.16,3.9,10.06,0.49,14.87,19.7,60.18,0.46,,240.81,73.93,707.74,5.74,25.5,05-Aug-2018 - 00:00,"Jayanagar 5th Block, Bengaluru - KSPCB"
05-Aug-2018 - 00:00,7.7,2.24,6.42,2.86,9.16,0.44,15.65,16.53,69.14,0.41,,246.74,69.2,707.53,5.93,25.5,06-Aug-2018 - 00:00,"Jayanagar 5th Block, Bengaluru - KSPCB"
06-Aug-2018 - 00:00,9.51,2.2,8.06,3.68,9.01,0.49,16.07,14.96,54.82,0.41,,241.65,71.03,706.21,5.65,25.59,07-Aug-2018 - 00:00,"Jayanagar 5th Block, Bengaluru - KSPCB"
07-Aug-2018 - 00:00,12.77,2.01,10.36,4.39,9.47,0.45,14.38,13.94,37.78,0.4,,236.74,75.78,704.59,5.26,25.56,08-Aug-2018 - 00:00,"Jayanagar 5th Block, Bengaluru - KSPCB"
08-Aug-2018 - 00:00,10.06,2.09,9.16,4.68,9.8,0.54,18.23,10.16,23.96,0.43,,235.28,78.81,704.32,6.13,26.24,09-Aug-2018 - 00:00,"Jayanagar 5th Block, Bengaluru - KSPCB"
09-Aug-2018 - 00:00,7.84,2.18,7.94,4.65,6.41,0.54,22.36,13.38,34.6,0.48,,241.93,74.31,706.52,7.47,26.09,10-Aug-2018 - 00:00,"Jayanagar 5th Block, Bengaluru - KSPCB"
10-Aug-2018 - 00:00,13.75,1.88,11.14,4.72,12.25,0.47,14.54,12.85,34.27,0.42,,242.67,75.53,707.56,5.61,26.49,11-Aug-2018 - 00:00,"Jayanagar 5th Block, Bengaluru - KSPCB"
11-Aug-2018 - 00:00,12.73,1.76,10.51,4.61,10.54,0.47,16.85,10.1,24.55,0.4,,248.19,77.22,706.44,6.35,26.37,12-Aug-2018 - 00:00,"Jayanagar 5th Block, Bengaluru - KSPCB"
12-Aug-2018 - 00:00,10.08,1.64,8.66,4.04,10.87,0.43,14.79,9.18,18.24,0.36,,250.44,80.51,705.27,6.74,26.21,13-Aug-2018 - 00:00,"Jayanagar 5th Block, Bengaluru - KSPCB"
13-Aug-2018 - 00:00,12.78,1.52,10.51,4.58,7.69,0.41,14.72,8.9,21.72,0.34,,241.74,78.94,704.93,5.69,26.71,14-Aug-2018 - 00:00,"Jayanagar 5th Block, Bengaluru - KSPCB"
14-Aug-2018 - 00:00,13.12,1.5,12.43,6.7,8.98,0.51,13.06,9.27,19.8,0.42,,239.7,82.84,703.81,5.93,27.59,15-Aug-2018 - 00:00,"Jayanagar 5th Block, Bengaluru - KSPCB"
15-Aug-2018 - 00:00,11.69,1.66,10.16,4.84,8.94,0.51,14.69,10.98,21.1,0.43,,242.18,81.84,703.38,6.65,28.18,16-Aug-2018 - 00:00,"Jayanagar 5th Block, Bengaluru - KSPCB"
16-Aug-2018 - 00:00,15.26,1.54,10.81,3.29,6.45,0.45,20.85,10.15,26.51,0.39,,236.76,75.75,703.44,5.73,27.94,17-Aug-2018 - 00:00,"Jayanagar 5th Block, Bengaluru - KSPCB"
17-Aug-2018 - 00:00,10.99,1.59,8.17,2.87,7.4,0.44,19.05,11.15,31.16,0.37,,241.43,74.5,703.42,6.17,28.12,18-Aug-2018 - 00:00,"Jayanagar 5th Block, Bengaluru - KSPCB"
18-Aug-2018 - 00:00,12.33,1.61,8.65,2.58,9.72,0.43,20.14,14.2,42.72,0.36,,242.5,72.93,703.97,5.5,28.19,19-Aug-2018 - 00:00,"Jayanagar 5th Block, Bengaluru - KSPCB"
19-Aug-2018 - 00:00,11.63,1.48,8.26,2.57,8.29,0.42,20.97,10.03,34.55,0.34,,250.08,73.16,704.27,5.53,28.13,20-Aug-2018 - 00:00,"Jayanagar 5th Block, Bengaluru - KSPCB"
20-Aug-2018 - 00:00,11.89,1.64,8.78,3.04,10.12,0.4,20.51,15.63,46.74,0.32,,243.18,74.55,704.94,5.16,28.32,21-Aug-2018 - 00:00,"Jayanagar 5th Block, Bengaluru - KSPCB"
21-Aug-2018 - 00:00,,,,,,,,,,,,,,,,,22-Aug-2018 - 00:00,"Jayanagar 5th Block, Bengaluru - KSPCB"
22-Aug-2018 - 00:00,,,,,,,,,,,,,,,,,23-Aug-2018 - 00:00,"Jayanagar 5th Block, Bengaluru - KSPCB"
23-Aug-2018 - 00:00,14.58,1.71,13.01,8.4,12.77,0.76,5.71,11.64,38.05,0.56,,244.88,79.75,707.5,7.98,28.99,24-Aug-2018 - 00:00,"Jayanagar 5th Block, Bengaluru - KSPCB"
24-Aug-2018 - 00:00,8.64,1.7,8.77,5.14,9.43,0.37,13.07,12.11,35.48,0.36,,254.25,78.48,707.48,6.25,30.3,25-Aug-2018 - 00:00,"Jayanagar 5th Block, Bengaluru - KSPCB"
25-Aug-2018 - 00:00,,,,,,,,,,,,,,,,,26-Aug-2018 - 00:00,"Jayanagar 5th Block, Bengaluru - KSPCB"
26-Aug-2018 - 00:00,12.52,2.13,7.85,3.48,5.22,1.69,2.58,5.0,38.0,,,234.0,85.0,704.17,,29.6,27-Aug-2018 - 00:00,"Jayanagar 5th Block, Bengaluru - KSPCB"
27-Aug-2018 - 00:00,,,,,,,,,,,,,,,,,28-Aug-2018 - 00:00,"Jayanagar 5th Block, Bengaluru - KSPCB"
28-Aug-2018 - 00:00,15.82,1.44,14.97,8.05,7.19,0.98,17.88,15.86,40.3,0.45,,240.93,71.43,705.54,5.69,26.99,29-Aug-2018 - 00:00,"Jayanagar 5th Block, Bengaluru - KSPCB"
29-Aug-2018 - 00:00,15.0,1.71,16.68,10.71,9.06,0.71,12.81,14.73,35.17,0.49,,240.12,77.08,706.83,5.97,27.35,30-Aug-2018 - 00:00,"Jayanagar 5th Block, Bengaluru - KSPCB"
30-Aug-2018 - 00:00,16.26,1.43,14.99,7.82,12.12,0.62,12.93,14.49,44.66,0.42,,247.7,74.44,706.38,5.54,27.4,31-Aug-2018 - 00:00,"Jayanagar 5th Block, Bengaluru - KSPCB"
31-Aug-2018 - 00:00,21.95,30.17,21.45,12.02,9.15,0.63,15.5,12.03,34.57,0.47,,246.64,75.29,706.6,5.09,27.69,01-Sep-2018 - 00:00,"Jayanagar 5th Block, Bengaluru - KSPCB"
01-Sep-2018 - 00:00,25.23,21.5,20.25,8.4,9.77,0.56,18.02,16.21,48.61,0.38,,244.82,69.78,707.44,4.7,27.45,02-Sep-2018 - 00:00,"Jayanagar 5th Block, Bengaluru - KSPCB"
02-Sep-2018 - 00:00,24.09,16.45,18.29,6.73,11.87,0.49,21.46,17.86,54.0,0.35,,251.59,67.21,707.51,4.43,27.39,03-Sep-2018 - 00:00,"Jayanagar 5th Block, Bengaluru - KSPCB"
03-Sep-2018 - 00:00,29.67,15.74,30.64,18.28,12.84,0.69,18.88,20.68,57.48,0.48,,258.83,60.34,707.56,5.08,27.27,04-Sep-2018 - 00:00,"Jayanagar 5th Block, Bengaluru - KSPCB"
04-Sep-2018 - 00:00,32.66,16.64,31.69,17.62,15.73,0.75,21.31,22.72,61.95,0.55,,244.25,60.06,707.99,6.28,27.35,05-Sep-2018 - 00:00,"Jayanagar 5th Block, Bengaluru - KSPCB"
05-Sep-2018 - 00:00,24.0,15.82,18.95,7.6,9.79,0.51,22.17,18.04,52.57,0.41,,250.95,62.2,707.62,4.79,27.45,06-Sep-2018 - 00:00,"Jayanagar 5th Block, Bengaluru - KSPCB"
06-Sep-2018 - 00:00,24.4,13.86,19.59,8.14,11.78,0.51,20.63,15.2,50.82,0.36,,250.42,63.89,706.27,4.47,27.43,07-Sep-2018 - 00:00,"Jayanagar 5th Block, Bengaluru - KSPCB"
07-Sep-2018 - 00:00,25.49,12.8,20.8,8.92,7.13,0.54,19.83,14.69,42.81,0.37,,244.74,65.58,706.89,4.06,27.38,08-Sep-2018 - 00:00,"Jayanagar 5th Block, Bengaluru - KSPCB"
08-Sep-2018 - 00:00,25.58,13.4,22.14,10.49,7.18,0.57,18.84,12.41,35.55,0.38,,247.95,64.72,707.22,3.99,26.37,09-Sep-2018 - 00:00,"Jayanagar 5th Block, Bengaluru - KSPCB"
09-Sep-2018 - 00:00,32.64,16.57,28.91,14.24,8.45,0.75,21.14,21.02,57.49,0.5,,233.94,61.62,707.12,4.48,24.36,10-Sep-2018 - 00:00,"Jayanagar 5th Block, Bengaluru - KSPCB"
10-Sep-2018 - 00:00,50.16,22.48,38.81,14.93,8.71,1.24,18.95,34.39,73.92,0.95,,204.61,65.93,709.01,6.11,24.14,11-Sep-2018 - 00:00,"Jayanagar 5th Block, Bengaluru - KSPCB"
11-Sep-2018 - 00:00,51.27,23.01,40.53,16.3,7.25,0.97,33.34,27.58,61.2,0.76,,210.57,65.24,709.31,5.84,24.74,12-Sep-2018 - 00:00,"Jayanagar 5th Block, Bengaluru - KSPCB"
12-Sep-2018 - 00:00,75.23,19.98,70.84,37.93,9.33,1.35,37.91,28.43,68.48,0.92,,197.91,60.7,708.03,5.94,24.47,13-Sep-2018 - 00:00,"Jayanagar 5th Block, Bengaluru - KSPCB"
13-Sep-2018 - 00:00,62.13,25.97,53.61,25.29,9.66,1.0,25.72,27.7,54.92,0.84,,205.12,69.35,707.05,6.3,24.12,14-Sep-2018 - 00:00,"Jayanagar 5th Block, Bengaluru - KSPCB"
14-Sep-2018 - 00:00,71.74,25.92,61.65,28.91,10.99,1.19,40.37,29.18,60.89,0.94,,185.69,68.25,707.35,6.59,24.9,15-Sep-2018 - 00:00,"Jayanagar 5th Block, Bengaluru - KSPCB"
15-Sep-2018 - 00:00,63.32,21.46,53.01,23.78,10.14,1.1,34.27,26.05,47.84,0.72,,207.92,73.7,708.22,6.47,24.59,16-Sep-2018 - 00:00,"Jayanagar 5th Block, Bengaluru - KSPCB"
16-Sep-2018 - 00:00,70.64,20.2,85.41,58.85,12.51,1.28,23.0,27.76,47.26,0.91,,214.57,75.37,706.62,7.35,24.36,17-Sep-2018 - 00:00,"Jayanagar 5th Block, Bengaluru - KSPCB"
17-Sep-2018 - 00:00,40.69,15.4,34.04,15.26,5.63,0.66,11.13,13.09,33.62,0.49,,243.1,71.48,706.29,4.41,24.21,18-Sep-2018 - 00:00,"Jayanagar 5th Block, Bengaluru - KSPCB"
18-Sep-2018 - 00:00,38.14,12.91,29.27,11.04,7.02,0.5,14.59,10.98,33.9,0.35,,252.8,66.26,706.22,3.56,24.07,19-Sep-2018 - 00:00,"Jayanagar 5th Block, Bengaluru - KSPCB"
19-Sep-2018 - 00:00,44.8,13.98,29.84,7.4,11.38,0.62,22.03,16.12,48.1,0.39,,234.37,61.77,705.08,4.02,23.83,20-Sep-2018 - 00:00,"Jayanagar 5th Block, Bengaluru - KSPCB"
20-Sep-2018 - 00:00,54.7,14.62,51.59,27.67,8.22,1.03,21.65,22.44,55.17,0.6,,248.66,72.66,704.06,4.89,24.11,21-Sep-2018 - 00:00,"Jayanagar 5th Block, Bengaluru - KSPCB"
21-Sep-2018 - 00:00,50.78,13.51,37.59,13.02,7.6,0.65,18.51,22.47,61.11,0.5,,234.49,70.98,704.76,4.47,23.83,22-Sep-2018 - 00:00,"Jayanagar 5th Block, Bengaluru - KSPCB"
22-Sep-2018 - 00:00,53.34,13.79,66.29,46.64,8.52,0.76,23.77,19.9,64.32,0.64,,224.62,61.97,707.5,6.56,23.82,23-Sep-2018 - 00:00,"Jayanagar 5th Block, Bengaluru - KSPCB"
23-Sep-2018 - 00:00,70.61,18.83,60.88,28.7,8.98,1.22,27.04,32.28,68.4,0.79,,160.17,69.55,709.1,6.32,24.34,24-Sep-2018 - 00:00,"Jayanagar 5th Block, Bengaluru - KSPCB"
24-Sep-2018 - 00:00,67.91,18.11,59.43,28.68,8.16,1.14,28.6,19.24,44.98,0.79,,212.77,78.91,709.62,5.69,26.27,25-Sep-2018 - 00:00,"Jayanagar 5th Block, Bengaluru - KSPCB"
25-Sep-2018 - 00:00,60.89,13.69,42.87,12.91,9.24,0.74,35.69,18.2,38.2,0.63,,202.79,73.97,708.48,5.1,24.41,26-Sep-2018 - 00:00,"Jayanagar 5th Block, Bengaluru - KSPCB"
26-Sep-2018 - 00:00,,,,,,,,,,,,,,,,,27-Sep-2018 - 00:00,"Jayanagar 5th Block, Bengaluru - KSPCB"
27-Sep-2018 - 00:00,,,,,,,,,,,,,,,,,28-Sep-2018 - 00:00,"Jayanagar 5th Block, Bengaluru - KSPCB"
28-Sep-2018 - 00:00,,,,,,,,,,,,,,,,,29-Sep-2018 - 00:00,"Jayanagar 5th Block, Bengaluru - KSPCB"
29-Sep-2018 - 00:00,,,,,,,,,,,,,,,,,30-Sep-2018 - 00:00,"Jayanagar 5th Block, Bengaluru - KSPCB"
30-Sep-2018 - 00:00,,,,,,,,,,,,,,,,,01-Oct-2018 - 00:00,"Jayanagar 5th Block, Bengaluru - KSPCB"
01-Oct-2018 - 00:00,,,,,,,,,,,,,,,,,02-Oct-2018 - 00:00,"Jayanagar 5th Block, Bengaluru - KSPCB"
02-Oct-2018 - 00:00,,,,,,,,,,,,,,,,,03-Oct-2018 - 00:00,"Jayanagar 5th Block, Bengaluru - KSPCB"
03-Oct-2018 - 00:00,,,,,,,,,,,,,,,,,04-Oct-2018 - 00:00,"Jayanagar 5th Block, Bengaluru - KSPCB"
04-Oct-2018 - 00:00,,,,,,,,,,,,,,,,,05-Oct-2018 - 00:00,"Jayanagar 5th Block, Bengaluru - KSPCB"
05-Oct-2018 - 00:00,,,,,,,,,,,,,,,,,06-Oct-2018 - 00:00,"Jayanagar 5th Block, Bengaluru - KSPCB"
06-Oct-2018 - 00:00,,,,,,,,,,,,,,,,,07-Oct-2018 - 00:00,"Jayanagar 5th Block, Bengaluru - KSPCB"
07-Oct-2018 - 00:00,,,,,,,,,,,,,,,,,08-Oct-2018 - 00:00,"Jayanagar 5th Block, Bengaluru - KSPCB"
08-Oct-2018 - 00:00,,,,,,,,,,,,,,,,,09-Oct-2018 - 00:00,"Jayanagar 5th Block, Bengaluru - KSPCB"
09-Oct-2018 - 00:00,,,,,,,,,,,,,,,,,10-Oct-2018 - 00:00,"Jayanagar 5th Block, Bengaluru - KSPCB"
10-Oct-2018 - 00:00,,,,,,,,,,,,,,,,,11-Oct-2018 - 00:00,"Jayanagar 5th Block, Bengaluru - KSPCB"
11-Oct-2018 - 00:00,71.95,6.1,81.14,52.71,12.27,2.4,21.73,97.41,85.0,2.09,,229.89,47.11,706.33,15.41,24.09,12-Oct-2018 - 00:00,"Jayanagar 5th Block, Bengaluru - KSPCB"
12-Oct-2018 - 00:00,54.12,6.79,59.43,38.72,9.83,1.8,24.52,83.39,195.34,1.3,,222.4,59.17,707.34,9.31,23.16,13-Oct-2018 - 00:00,"Jayanagar 5th Block, Bengaluru - KSPCB"
13-Oct-2018 - 00:00,55.51,5.91,40.62,13.64,8.26,1.25,27.53,205.48,184.12,1.06,,209.18,64.76,708.76,6.88,23.82,14-Oct-2018 - 00:00,"Jayanagar 5th Block, Bengaluru - KSPCB"
14-Oct-2018 - 00:00,35.02,9.06,22.17,4.35,9.4,0.67,38.65,65.58,97.24,0.91,,196.09,72.35,709.58,6.03,23.68,15-Oct-2018 - 00:00,"Jayanagar 5th Block, Bengaluru - KSPCB"
15-Oct-2018 - 00:00,52.93,5.06,42.83,18.05,10.65,3.64,12.07,55.78,97.12,1.14,,197.78,80.5,710.06,7.97,25.74,16-Oct-2018 - 00:00,"Jayanagar 5th Block, Bengaluru - KSPCB"
16-Oct-2018 - 00:00,36.31,7.87,25.47,7.58,6.11,1.89,24.4,55.7,100.61,1.22,,127.07,77.74,710.65,8.07,26.81,17-Oct-2018 - 00:00,"Jayanagar 5th Block, Bengaluru - KSPCB"
17-Oct-2018 - 00:00,,,,,,,,,,,,,,,,,18-Oct-2018 - 00:00,"Jayanagar 5th Block, Bengaluru - KSPCB"
18-Oct-2018 - 00:00,,,,,,,,,,,,,,,,,19-Oct-2018 - 00:00,"Jayanagar 5th Block, Bengaluru - KSPCB"
19-Oct-2018 - 00:00,,,,,,,,,,,,,,,,,20-Oct-2018 - 00:00,"Jayanagar 5th Block, Bengaluru - KSPCB"
20-Oct-2018 - 00:00,,,,,,,,,,,,,,,,,21-Oct-2018 - 00:00,"Jayanagar 5th Block, Bengaluru - KSPCB"
21-Oct-2018 - 00:00,,,,,,,,,,,,,,,,,22-Oct-2018 - 00:00,"Jayanagar 5th Block, Bengaluru - KSPCB"
22-Oct-2018 - 00:00,56.38,4.89,42.62,15.56,14.41,1.62,20.92,52.41,116.59,1.32,,99.25,46.95,714.8,7.62,27.96,23-Oct-2018 - 00:00,"Jayanagar 5th Block, Bengaluru - KSPCB"
23-Oct-2018 - 00:00,53.33,8.58,37.93,11.77,9.49,1.64,23.66,64.28,133.18,1.07,,92.85,50.83,715.23,6.25,27.18,24-Oct-2018 - 00:00,"Jayanagar 5th Block, Bengaluru - KSPCB"
24-Oct-2018 - 00:00,53.26,11.65,40.8,15.36,12.75,1.69,18.95,56.64,117.24,0.92,,96.3,41.57,714.37,5.61,27.48,25-Oct-2018 - 00:00,"Jayanagar 5th Block, Bengaluru - KSPCB"
25-Oct-2018 - 00:00,51.61,12.0,38.97,14.16,8.43,1.88,21.64,57.54,116.78,1.15,,99.22,53.52,715.8,6.71,25.11,26-Oct-2018 - 00:00,"Jayanagar 5th Block, Bengaluru - KSPCB"
26-Oct-2018 - 00:00,47.65,13.48,35.62,12.64,11.11,1.65,26.76,64.75,124.12,1.03,,94.73,58.74,716.25,6.23,25.37,27-Oct-2018 - 00:00,"Jayanagar 5th Block, Bengaluru - KSPCB"
27-Oct-2018 - 00:00,51.7,12.89,39.66,14.95,10.03,1.9,27.88,59.58,120.79,1.14,,90.35,51.84,715.9,6.71,25.38,28-Oct-2018 - 00:00,"Jayanagar 5th Block, Bengaluru - KSPCB"
28-Oct-2018 - 00:00,51.45,13.31,38.25,13.38,16.61,1.62,31.37,54.25,106.54,1.11,,108.04,43.45,714.81,6.38,25.31,29-Oct-2018 - 00:00,"Jayanagar 5th Block, Bengaluru - KSPCB"
29-Oct-2018 - 00:00,55.83,9.78,43.0,16.37,14.74,1.92,30.62,51.85,105.53,1.23,,144.58,42.88,713.53,6.89,25.27,30-Oct-2018 - 00:00,"Jayanagar 5th Block, Bengaluru - KSPCB"
30-Oct-2018 - 00:00,59.92,6.64,45.35,16.57,11.59,2.08,20.79,53.47,109.66,1.34,,114.93,48.56,712.77,7.48,25.36,31-Oct-2018 - 00:00,"Jayanagar 5th Block, Bengaluru - KSPCB"
31-Oct-2018 - 00:00,56.25,10.03,43.4,16.57,9.74,2.16,21.94,57.58,106.18,1.31,,102.72,63.96,712.77,6.99,25.44,01-Nov-2018 - 00:00,"Jayanagar 5th Block, Bengaluru - KSPCB"
01-Nov-2018 - 00:00,45.04,12.53,35.09,13.7,10.75,1.71,19.97,34.14,75.6,1.03,,100.55,65.83,713.06,5.73,25.31,02-Nov-2018 - 00:00,"Jayanagar 5th Block, Bengaluru - KSPCB"
02-Nov-2018 - 00:00,41.93,12.62,32.31,13.44,11.12,1.63,14.77,27.32,62.04,0.98,,102.23,75.55,713.57,5.29,25.65,03-Nov-2018 - 00:00,"Jayanagar 5th Block, Bengaluru - KSPCB"
03-Nov-2018 - 00:00,41.83,12.94,22.8,12.69,10.14,1.15,22.22,22.77,53.83,1.01,,102.07,73.09,714.11,6.26,26.6,04-Nov-2018 - 00:00,"Jayanagar 5th Block, Bengaluru - KSPCB"
04-Nov-2018 - 00:00,45.33,11.53,25.09,14.44,10.41,0.97,24.16,28.27,63.25,0.83,,98.61,71.36,714.77,4.86,25.39,05-Nov-2018 - 00:00,"Jayanagar 5th Block, Bengaluru - KSPCB"
05-Nov-2018 - 00:00,41.77,12.96,31.95,14.42,10.84,1.46,19.84,23.27,65.96,0.92,,98.75,61.94,714.74,5.52,25.56,06-Nov-2018 - 00:00,"Jayanagar 5th Block, Bengaluru - KSPCB"
06-Nov-2018 - 00:00,41.0,12.7,30.36,10.53,9.91,1.49,22.2,50.49,87.12,0.88,,99.43,64.35,715.18,5.32,25.61,07-Nov-2018 - 00:00,"Jayanagar 5th Block, Bengaluru - KSPCB"
07-Nov-2018 - 00:00,41.17,12.11,30.3,10.33,13.45,1.65,27.04,86.48,120.28,0.84,,93.62,56.49,715.2,4.93,25.36,08-Nov-2018 - 00:00,"Jayanagar 5th Block, Bengaluru - KSPCB"
08-Nov-2018 - 00:00,42.57,11.79,31.08,10.37,12.38,1.35,23.5,74.52,109.02,0.87,,94.84,56.77,714.42,4.81,24.88,09-Nov-2018 - 00:00,"Jayanagar 5th Block, Bengaluru - KSPCB"
09-Nov-2018 - 00:00,44.76,10.72,33.62,12.08,7.15,1.48,23.54,41.83,82.11,0.85,,95.2,59.9,713.68,5.12,25.16,10-Nov-2018 - 00:00,"Jayanagar 5th Block, Bengaluru - KSPCB"
10-Nov-2018 - 00:00,52.58,9.47,39.49,14.16,3.13,1.78,25.54,62.22,103.98,1.04,,107.47,55.56,714.34,6.0,25.4,11-Nov-2018 - 00:00,"Jayanagar 5th Block, Bengaluru - KSPCB"
