from date,PM2.5,PM10,NO2,NO,NOx,NH3,SO2,CO,Ozone,Benzene,Toluene,Eth-Benzene,MP-Xylene,to date,station
14-Jun-2018 - 00:00,,,,,,,,,,,,,,15-Jun-2018 - 00:00,"Sector-2 IMT, Manesar - HSPCB"
15-Jun-2018 - 00:00,,,,,,,,,,,,,,16-Jun-2018 - 00:00,"Sector-2 IMT, Manesar - HSPCB"
16-Jun-2018 - 00:00,,,,,,,,,,,,,,17-Jun-2018 - 00:00,"Sector-2 IMT, Manesar - HSPCB"
17-Jun-2018 - 00:00,,,,,,,,,,,,,,18-Jun-2018 - 00:00,"Sector-2 IMT, Manesar - HSPCB"
18-Jun-2018 - 00:00,,,,,,,,,,,,,,19-Jun-2018 - 00:00,"Sector-2 IMT, Manesar - HSPCB"
19-Jun-2018 - 00:00,,,,,,,,,,,,,,20-Jun-2018 - 00:00,"Sector-2 IMT, Manesar - HSPCB"
20-Jun-2018 - 00:00,,,,,,,,,,,,,,21-Jun-2018 - 00:00,"Sector-2 IMT, Manesar - HSPCB"
21-Jun-2018 - 00:00,,,,,,,,,,,,,,22-Jun-2018 - 00:00,"Sector-2 IMT, Manesar - HSPCB"
22-Jun-2018 - 00:00,,,,,,,,,,,,,,23-Jun-2018 - 00:00,"Sector-2 IMT, Manesar - HSPCB"
23-Jun-2018 - 00:00,,,,,,,,,,,,,,24-Jun-2018 - 00:00,"Sector-2 IMT, Manesar - HSPCB"
24-Jun-2018 - 00:00,,,,,,,,,,,,,,25-Jun-2018 - 00:00,"Sector-2 IMT, Manesar - HSPCB"
25-Jun-2018 - 00:00,,,,,,,,,,,,,,26-Jun-2018 - 00:00,"Sector-2 IMT, Manesar - HSPCB"
26-Jun-2018 - 00:00,,,,,,,,,,,,,,27-Jun-2018 - 00:00,"Sector-2 IMT, Manesar - HSPCB"
27-Jun-2018 - 00:00,,,,,,,,,,,,,,28-Jun-2018 - 00:00,"Sector-2 IMT, Manesar - HSPCB"
28-Jun-2018 - 00:00,,,,,,,,,,,,,,29-Jun-2018 - 00:00,"Sector-2 IMT, Manesar - HSPCB"
29-Jun-2018 - 00:00,,,,,,,,,,,,,,30-Jun-2018 - 00:00,"Sector-2 IMT, Manesar - HSPCB"
30-Jun-2018 - 00:00,,,,,,,,,,,,,,01-Jul-2018 - 00:00,"Sector-2 IMT, Manesar - HSPCB"
01-Jul-2018 - 00:00,,,,,,,,,,,,,,02-Jul-2018 - 00:00,"Sector-2 IMT, Manesar - HSPCB"
02-Jul-2018 - 00:00,,,,,,,,,,,,,,03-Jul-2018 - 00:00,"Sector-2 IMT, Manesar - HSPCB"
03-Jul-2018 - 00:00,,,,,,,,,,,,,,04-Jul-2018 - 00:00,"Sector-2 IMT, Manesar - HSPCB"
04-Jul-2018 - 00:00,,,,,,,,,,,,,,05-Jul-2018 - 00:00,"Sector-2 IMT, Manesar - HSPCB"
05-Jul-2018 - 00:00,,,,,,,,,,,,,,06-Jul-2018 - 00:00,"Sector-2 IMT, Manesar - HSPCB"
06-Jul-2018 - 00:00,,,,,,,,,,,,,,07-Jul-2018 - 00:00,"Sector-2 IMT, Manesar - HSPCB"
07-Jul-2018 - 00:00,,,,,,,,,,,,,,08-Jul-2018 - 00:00,"Sector-2 IMT, Manesar - HSPCB"
08-Jul-2018 - 00:00,,,,,,,,,,,,,,09-Jul-2018 - 00:00,"Sector-2 IMT, Manesar - HSPCB"
09-Jul-2018 - 00:00,,,,,,,,,,,,,,10-Jul-2018 - 00:00,"Sector-2 IMT, Manesar - HSPCB"
10-Jul-2018 - 00:00,,,,,,,,,,,,,,11-Jul-2018 - 00:00,"Sector-2 IMT, Manesar - HSPCB"
11-Jul-2018 - 00:00,,,,,,,,,,,,,,12-Jul-2018 - 00:00,"Sector-2 IMT, Manesar - HSPCB"
12-Jul-2018 - 00:00,,,,,,,,,,,,,,13-Jul-2018 - 00:00,"Sector-2 IMT, Manesar - HSPCB"
13-Jul-2018 - 00:00,,,,,,,,,,,,,,14-Jul-2018 - 00:00,"Sector-2 IMT, Manesar - HSPCB"
14-Jul-2018 - 00:00,,,,,,,,,,,,,,15-Jul-2018 - 00:00,"Sector-2 IMT, Manesar - HSPCB"
15-Jul-2018 - 00:00,,,,,,,,,,,,,,16-Jul-2018 - 00:00,"Sector-2 IMT, Manesar - HSPCB"
16-Jul-2018 - 00:00,,,,,,,,,,,,,,17-Jul-2018 - 00:00,"Sector-2 IMT, Manesar - HSPCB"
17-Jul-2018 - 00:00,,,,,,,,,,,,,,18-Jul-2018 - 00:00,"Sector-2 IMT, Manesar - HSPCB"
18-Jul-2018 - 00:00,,,,,,,,,,,,,,19-Jul-2018 - 00:00,"Sector-2 IMT, Manesar - HSPCB"
19-Jul-2018 - 00:00,,,,,,,,,,,,,,20-Jul-2018 - 00:00,"Sector-2 IMT, Manesar - HSPCB"
20-Jul-2018 - 00:00,,,,,,,,,,,,,,21-Jul-2018 - 00:00,"Sector-2 IMT, Manesar - HSPCB"
21-Jul-2018 - 00:00,,,,,,,,,,,,,,22-Jul-2018 - 00:00,"Sector-2 IMT, Manesar - HSPCB"
22-Jul-2018 - 00:00,,,,,,,,,,,,,,23-Jul-2018 - 00:00,"Sector-2 IMT, Manesar - HSPCB"
23-Jul-2018 - 00:00,,,,,,,,,,,,,,24-Jul-2018 - 00:00,"Sector-2 IMT, Manesar - HSPCB"
24-Jul-2018 - 00:00,,,,,,,,,,,,,,25-Jul-2018 - 00:00,"Sector-2 IMT, Manesar - HSPCB"
