from date,SR,Temp,VWS,NO,NO2,NOx,WS,CO,WD,Ozone,PM10,PM2.5,Benzene,Toluene,O Xylene,Eth-Benzene,MP-Xylene,BP,RH,SO2,to date,station
15-Feb-2018 - 00:00,84.45,25.42,1.17,68.24,80.46,74.86,0.46,1.22,96.75,13.03,254.11,99.4,0.0,0.0,0.0,0.0,0.0,748.87,38.69,9.24,16-Feb-2018 - 00:00,"Collectorate, Jodhpur - RSPCB"
16-Feb-2018 - 00:00,94.37,26.62,1.09,120.11,102.43,148.72,0.36,0.82,136.94,34.89,319.85,137.75,0.01,0.0,0.0,0.0,0.0,750.63,37.89,8.02,17-Feb-2018 - 00:00,"Collectorate, Jodhpur - RSPCB"
17-Feb-2018 - 00:00,76.4,26.73,1.25,130.25,100.91,157.86,0.53,1.19,210.6,51.96,333.55,129.55,0.03,0.0,0.0,0.0,0.0,754.02,39.19,9.21,18-Feb-2018 - 00:00,"Collectorate, Jodhpur - RSPCB"
18-Feb-2018 - 00:00,76.6,27.49,1.25,68.1,84.32,97.41,0.39,1.01,121.74,46.95,329.5,102.73,0.0,0.0,0.0,0.0,0.0,755.96,35.18,11.73,19-Feb-2018 - 00:00,"Collectorate, Jodhpur - RSPCB"
19-Feb-2018 - 00:00,75.65,27.74,1.13,65.02,83.07,98.25,0.31,1.37,139.28,52.62,310.09,127.4,0.0,0.0,0.0,0.0,0.02,755.49,35.1,9.17,20-Feb-2018 - 00:00,"Collectorate, Jodhpur - RSPCB"
20-Feb-2018 - 00:00,81.03,27.93,1.13,88.86,86.69,115.03,0.3,0.92,170.85,65.42,372.01,158.81,0.0,0.0,0.0,0.0,0.0,755.21,37.39,7.65,21-Feb-2018 - 00:00,"Collectorate, Jodhpur - RSPCB"
21-Feb-2018 - 00:00,81.81,29.62,1.05,62.76,72.68,83.75,0.59,0.89,209.46,62.75,330.68,142.75,0.0,0.0,0.0,0.0,0.0,756.95,36.82,8.5,22-Feb-2018 - 00:00,"Collectorate, Jodhpur - RSPCB"
22-Feb-2018 - 00:00,107.52,30.67,1.19,19.02,47.28,39.06,0.9,0.98,207.03,65.58,290.13,116.92,0.0,0.0,0.0,0.0,0.0,758.23,34.56,8.93,23-Feb-2018 - 00:00,"Collectorate, Jodhpur - RSPCB"
23-Feb-2018 - 00:00,69.33,29.03,0.84,24.42,45.11,43.47,0.75,0.92,194.05,82.89,278.4,111.52,0.0,0.0,0.0,0.0,0.0,757.53,37.32,11.02,24-Feb-2018 - 00:00,"Collectorate, Jodhpur - RSPCB"
24-Feb-2018 - 00:00,169.89,29.25,0.78,10.32,30.14,22.54,1.21,1.07,242.07,65.7,247.15,96.61,0.0,0.0,0.0,0.0,0.0,755.98,37.67,10.72,25-Feb-2018 - 00:00,"Collectorate, Jodhpur - RSPCB"
25-Feb-2018 - 00:00,210.45,28.92,1.11,8.34,35.68,23.57,1.32,0.81,53.24,46.62,215.22,79.32,0.0,0.0,0.0,0.0,0.0,753.29,38.96,9.96,26-Feb-2018 - 00:00,"Collectorate, Jodhpur - RSPCB"
26-Feb-2018 - 00:00,186.04,28.44,1.13,20.15,37.48,35.82,0.87,1.13,148.29,50.52,214.47,79.97,0.05,0.12,0.0,0.02,0.07,753.99,39.25,8.65,27-Feb-2018 - 00:00,"Collectorate, Jodhpur - RSPCB"
27-Feb-2018 - 00:00,183.84,29.43,1.23,91.95,68.55,108.37,0.32,1.31,146.67,59.81,311.69,122.53,0.41,0.82,0.0,0.11,0.43,755.22,38.44,7.2,28-Feb-2018 - 00:00,"Collectorate, Jodhpur - RSPCB"
28-Feb-2018 - 00:00,160.08,30.75,1.21,70.47,65.82,89.82,0.42,1.29,155.46,70.57,309.07,121.68,0.0,0.0,0.0,0.0,0.0,756.32,35.65,7.48,01-Mar-2018 - 00:00,"Collectorate, Jodhpur - RSPCB"
01-Mar-2018 - 00:00,166.51,8.52,0.49,91.84,73.12,110.95,0.77,1.01,195.41,60.39,311.39,127.7,0.0,0.0,0.0,0.0,0.0,757.43,34.75,8.59,02-Mar-2018 - 00:00,"Collectorate, Jodhpur - RSPCB"
02-Mar-2018 - 00:00,184.67,0.0,0.15,,,,0.7,1.2,189.35,65.94,239.98,97.07,0.0,0.0,0.0,0.0,0.0,757.45,34.02,10.3,03-Mar-2018 - 00:00,"Collectorate, Jodhpur - RSPCB"
03-Mar-2018 - 00:00,188.06,18.97,0.22,11.07,14.74,16.22,1.44,0.85,227.14,49.1,230.76,86.05,0.0,0.0,0.0,0.0,0.0,759.17,34.41,10.39,04-Mar-2018 - 00:00,"Collectorate, Jodhpur - RSPCB"
04-Mar-2018 - 00:00,172.15,30.1,0.19,14.84,29.51,27.32,0.87,1.01,193.5,47.86,215.7,78.67,0.0,0.0,0.0,0.0,0.0,758.57,37.98,11.08,05-Mar-2018 - 00:00,"Collectorate, Jodhpur - RSPCB"
05-Mar-2018 - 00:00,194.52,29.92,0.18,14.01,33.08,28.55,0.84,0.97,163.59,33.58,191.0,67.87,0.0,0.0,0.0,0.0,0.0,756.02,37.5,7.62,06-Mar-2018 - 00:00,"Collectorate, Jodhpur - RSPCB"
06-Mar-2018 - 00:00,216.68,29.78,0.16,31.57,45.66,49.17,0.73,1.29,101.22,37.7,207.18,76.93,0.0,0.0,0.0,0.0,0.0,754.81,33.14,5.94,07-Mar-2018 - 00:00,"Collectorate, Jodhpur - RSPCB"
07-Mar-2018 - 00:00,213.95,30.32,0.16,30.21,54.78,52.83,0.52,1.02,59.87,57.12,235.43,90.33,0.0,0.0,0.0,0.0,0.0,756.17,32.04,5.68,08-Mar-2018 - 00:00,"Collectorate, Jodhpur - RSPCB"
08-Mar-2018 - 00:00,208.83,30.68,0.18,35.31,57.52,58.34,0.49,1.14,151.97,62.75,252.31,97.91,0.0,0.0,0.0,0.0,0.0,756.86,32.04,4.89,09-Mar-2018 - 00:00,"Collectorate, Jodhpur - RSPCB"
09-Mar-2018 - 00:00,196.73,31.9,0.22,26.7,59.57,59.07,0.47,1.13,109.81,59.15,223.68,106.31,0.0,0.0,0.0,0.0,0.0,757.22,32.94,5.91,10-Mar-2018 - 00:00,"Collectorate, Jodhpur - RSPCB"
10-Mar-2018 - 00:00,211.15,31.35,0.21,37.11,62.78,60.75,0.54,1.07,136.83,51.22,243.03,100.74,0.0,0.01,0.0,0.0,0.01,756.87,33.7,6.23,11-Mar-2018 - 00:00,"Collectorate, Jodhpur - RSPCB"
11-Mar-2018 - 00:00,204.29,31.6,0.14,19.51,46.92,38.23,0.65,1.03,189.93,41.48,236.66,98.08,0.0,0.0,0.0,0.0,0.0,757.13,33.03,5.37,12-Mar-2018 - 00:00,"Collectorate, Jodhpur - RSPCB"
12-Mar-2018 - 00:00,208.19,31.69,0.19,27.2,58.75,50.58,0.63,1.09,171.79,56.22,245.28,99.58,0.0,0.0,0.0,0.0,0.0,757.14,32.86,5.02,13-Mar-2018 - 00:00,"Collectorate, Jodhpur - RSPCB"
13-Mar-2018 - 00:00,210.28,31.53,0.29,11.95,43.36,30.35,1.2,0.82,190.71,60.55,240.73,99.84,0.0,0.0,0.0,0.0,0.0,758.08,32.58,5.45,14-Mar-2018 - 00:00,"Collectorate, Jodhpur - RSPCB"
