from date,AT,Benzene,BP,CO,NO,NO2,NOx,Ozone,PM2.5,RF,RH,SO2,SR,Toluene,VWS,WD,WS,Xylene,to date,station
23-Feb-2018 - 00:00,24.53,8.54,746.88,1.78,21.77,45.32,42.7,79.39,119.27,0.0,45.94,10.13,114.26,30.54,0.0,200.3,0.81,35.99,24-Feb-2018 - 00:00,"Collectorate, Gaya - BSPCB"
24-Feb-2018 - 00:00,25.53,6.75,747.0,1.46,17.62,43.71,38.38,80.62,145.34,0.0,47.17,9.59,115.3,24.47,0.0,177.72,0.49,25.41,25-Feb-2018 - 00:00,"Collectorate, Gaya - BSPCB"
25-Feb-2018 - 00:00,25.01,6.15,747.0,1.46,9.96,39.77,29.88,103.16,113.2,0.0,54.16,10.03,88.1,17.82,0.0,99.73,0.67,19.4,26-Feb-2018 - 00:00,"Collectorate, Gaya - BSPCB"
26-Feb-2018 - 00:00,23.6,3.92,747.0,1.3,15.55,41.51,35.45,78.97,84.92,0.0,50.0,9.87,101.25,25.55,0.01,173.7,1.63,28.21,27-Feb-2018 - 00:00,"Collectorate, Gaya - BSPCB"
27-Feb-2018 - 00:00,22.69,5.09,747.0,1.42,20.49,40.63,39.08,76.48,98.83,0.0,45.65,9.99,130.59,21.8,0.0,149.2,1.16,23.45,28-Feb-2018 - 00:00,"Collectorate, Gaya - BSPCB"
28-Feb-2018 - 00:00,23.16,6.31,747.0,1.55,16.39,47.86,39.6,79.29,91.33,0.0,48.22,9.95,117.07,21.07,0.0,323.34,0.91,24.87,01-Mar-2018 - 00:00,"Collectorate, Gaya - BSPCB"
01-Mar-2018 - 00:00,24.91,5.63,747.0,1.52,14.79,38.31,33.1,98.74,130.73,0.0,47.42,10.06,121.32,24.42,0.0,336.22,1.27,26.65,02-Mar-2018 - 00:00,"Collectorate, Gaya - BSPCB"
02-Mar-2018 - 00:00,26.4,3.38,746.47,1.13,6.01,31.96,22.35,97.51,104.83,0.0,42.46,9.93,125.34,6.61,0.01,320.46,1.37,4.41,03-Mar-2018 - 00:00,"Collectorate, Gaya - BSPCB"
03-Mar-2018 - 00:00,26.83,0.18,746.04,0.65,5.14,37.14,24.97,128.23,76.58,0.0,40.09,9.45,127.81,0.42,0.02,210.8,2.24,0.17,04-Mar-2018 - 00:00,"Collectorate, Gaya - BSPCB"
04-Mar-2018 - 00:00,28.59,3.39,746.28,1.01,16.73,45.1,38.39,100.0,74.89,0.0,36.34,10.83,154.69,13.37,0.0,12.12,1.34,14.83,05-Mar-2018 - 00:00,"Collectorate, Gaya - BSPCB"
05-Mar-2018 - 00:00,24.63,3.63,746.96,1.1,17.28,45.7,39.16,81.31,71.82,0.0,44.48,9.55,65.82,13.04,0.0,15.14,1.53,9.63,06-Mar-2018 - 00:00,"Collectorate, Gaya - BSPCB"
06-Mar-2018 - 00:00,24.23,1.87,747.0,0.84,7.27,41.0,28.31,107.11,90.41,0.0,41.21,9.93,157.29,10.94,0.01,168.44,2.69,8.61,07-Mar-2018 - 00:00,"Collectorate, Gaya - BSPCB"
07-Mar-2018 - 00:00,23.64,5.14,747.0,1.09,16.77,48.13,40.07,96.99,82.55,0.0,36.52,9.82,176.69,21.27,0.01,264.71,1.68,20.2,08-Mar-2018 - 00:00,"Collectorate, Gaya - BSPCB"
08-Mar-2018 - 00:00,23.68,7.89,747.0,1.2,16.24,46.72,38.87,86.41,82.68,0.0,39.7,9.71,149.6,21.39,-0.0,244.46,0.87,17.44,09-Mar-2018 - 00:00,"Collectorate, Gaya - BSPCB"
09-Mar-2018 - 00:00,24.11,7.38,747.0,1.18,16.11,43.62,37.07,59.83,91.11,0.0,41.28,10.02,161.82,25.96,0.0,325.43,1.19,21.15,10-Mar-2018 - 00:00,"Collectorate, Gaya - BSPCB"
10-Mar-2018 - 00:00,25.86,5.55,747.0,1.15,13.02,39.55,32.3,94.76,85.35,0.0,37.14,9.22,159.4,18.33,0.01,309.74,1.59,13.19,11-Mar-2018 - 00:00,"Collectorate, Gaya - BSPCB"
11-Mar-2018 - 00:00,26.52,6.35,747.0,1.37,28.1,46.58,48.63,70.4,100.22,0.0,36.51,10.18,159.72,21.13,0.0,315.06,1.3,19.61,12-Mar-2018 - 00:00,"Collectorate, Gaya - BSPCB"
12-Mar-2018 - 00:00,26.44,8.56,746.86,1.45,25.91,45.98,46.48,69.26,122.32,0.0,37.83,10.06,146.16,24.55,0.0,278.88,1.32,23.4,13-Mar-2018 - 00:00,"Collectorate, Gaya - BSPCB"
13-Mar-2018 - 00:00,27.5,5.91,746.8,1.15,20.69,47.14,42.79,86.83,157.82,0.0,35.33,9.37,161.89,22.8,0.01,308.77,1.79,19.25,14-Mar-2018 - 00:00,"Collectorate, Gaya - BSPCB"
14-Mar-2018 - 00:00,27.95,9.52,746.42,1.66,36.14,49.25,56.76,58.16,127.18,0.0,35.31,10.38,158.73,29.03,0.0,311.26,1.12,28.69,15-Mar-2018 - 00:00,"Collectorate, Gaya - BSPCB"
15-Mar-2018 - 00:00,26.36,8.39,746.27,1.45,10.53,38.26,29.52,97.99,127.7,0.0,39.77,10.96,85.78,16.99,0.0,284.21,1.22,13.11,16-Mar-2018 - 00:00,"Collectorate, Gaya - BSPCB"
16-Mar-2018 - 00:00,27.62,2.56,746.32,0.7,7.04,35.25,24.73,136.41,97.03,0.0,39.09,12.78,179.01,10.66,0.01,287.84,2.31,8.56,17-Mar-2018 - 00:00,"Collectorate, Gaya - BSPCB"
17-Mar-2018 - 00:00,28.74,14.9,746.76,2.28,54.63,57.85,75.19,46.93,145.17,0.0,34.24,12.83,174.3,58.83,0.0,312.36,1.8,59.05,18-Mar-2018 - 00:00,"Collectorate, Gaya - BSPCB"
18-Mar-2018 - 00:00,25.89,6.69,747.0,1.19,24.59,53.97,49.54,70.6,124.45,0.0,34.18,8.57,181.33,19.71,0.02,228.72,1.78,15.81,19-Mar-2018 - 00:00,"Collectorate, Gaya - BSPCB"
19-Mar-2018 - 00:00,26.17,11.6,747.0,1.48,36.29,56.22,60.67,80.35,123.38,0.0,33.5,9.68,179.23,37.42,0.0,84.62,1.17,28.87,20-Mar-2018 - 00:00,"Collectorate, Gaya - BSPCB"
20-Mar-2018 - 00:00,26.45,12.42,746.75,1.71,41.5,58.76,66.38,71.33,149.42,0.0,35.12,10.14,159.85,39.98,0.0,26.9,1.19,32.8,21-Mar-2018 - 00:00,"Collectorate, Gaya - BSPCB"
