from date,BP,PM2.5,PM10,RF,RH,SR,WD,WS,Benzene,Eth-Benzene,MP-Xylene,O Xylene,Ozone,Toluene,CO,NH3,NO,NO2,NOx,SO2,to date,station
28-Jul-2018 - 00:00,733.84,63.18,180.0,0.3,82.11,85.22,269.88,1.36,0.5,0.49,0.49,0.5,9.15,0.51,0.87,13.26,11.51,14.96,26.09,19.52,29-Jul-2018 - 00:00,"RIICO Ind. Area III, Bhiwadi - RSPCB"
29-Jul-2018 - 00:00,733.72,45.7,176.95,0.0,74.6,108.97,244.61,0.84,0.5,0.49,0.5,0.5,14.84,0.52,0.7,13.08,11.38,14.93,26.24,18.65,30-Jul-2018 - 00:00,"RIICO Ind. Area III, Bhiwadi - RSPCB"
30-Jul-2018 - 00:00,733.66,51.77,231.54,0.0,68.82,96.21,261.72,1.21,0.48,0.49,0.48,0.49,18.75,0.49,0.69,13.27,11.48,14.85,25.81,18.6,31-Jul-2018 - 00:00,"RIICO Ind. Area III, Bhiwadi - RSPCB"
31-Jul-2018 - 00:00,734.24,67.18,259.37,0.04,68.13,66.12,258.4,1.03,0.43,0.44,0.44,0.43,17.4,0.44,0.97,13.6,11.06,15.04,25.57,18.77,01-Aug-2018 - 00:00,"RIICO Ind. Area III, Bhiwadi - RSPCB"
01-Aug-2018 - 00:00,735.7,59.42,368.96,0.0,62.41,112.49,245.9,1.1,0.29,0.28,0.29,0.29,41.81,0.29,0.75,13.06,11.74,14.96,26.7,19.08,02-Aug-2018 - 00:00,"RIICO Ind. Area III, Bhiwadi - RSPCB"
02-Aug-2018 - 00:00,735.65,115.41,353.05,0.0,60.86,99.84,205.35,0.9,0.51,0.5,0.49,0.49,54.66,0.5,0.64,13.08,11.88,14.89,26.77,18.51,03-Aug-2018 - 00:00,"RIICO Ind. Area III, Bhiwadi - RSPCB"
03-Aug-2018 - 00:00,736.93,103.01,351.2,0.0,58.62,105.1,208.43,1.07,0.5,0.5,0.5,0.5,49.5,0.49,0.75,13.06,11.77,14.98,26.75,18.76,04-Aug-2018 - 00:00,"RIICO Ind. Area III, Bhiwadi - RSPCB"
04-Aug-2018 - 00:00,737.94,73.95,329.63,0.0,57.81,81.31,198.74,0.9,0.49,0.49,0.51,0.52,53.26,0.51,0.59,13.06,11.95,15.02,20.49,18.0,05-Aug-2018 - 00:00,"RIICO Ind. Area III, Bhiwadi - RSPCB"
05-Aug-2018 - 00:00,737.92,0.0,,0.0,69.55,51.65,164.49,0.72,0.5,0.49,0.49,0.5,,0.5,0.0,,,,0.0,,06-Aug-2018 - 00:00,"RIICO Ind. Area III, Bhiwadi - RSPCB"
06-Aug-2018 - 00:00,737.94,0.0,,0.01,78.75,38.85,146.38,0.59,0.52,0.5,0.51,0.51,,0.5,0.0,,,,0.0,,07-Aug-2018 - 00:00,"RIICO Ind. Area III, Bhiwadi - RSPCB"
07-Aug-2018 - 00:00,737.96,0.0,,0.34,84.09,60.62,155.15,0.58,0.51,0.51,0.48,0.49,,0.5,0.0,,,,0.0,,08-Aug-2018 - 00:00,"RIICO Ind. Area III, Bhiwadi - RSPCB"
08-Aug-2018 - 00:00,737.99,25.61,133.99,0.26,86.78,66.53,160.39,0.57,0.48,0.48,0.49,0.48,31.41,0.5,0.32,12.95,10.99,15.06,10.6,18.75,09-Aug-2018 - 00:00,"RIICO Ind. Area III, Bhiwadi - RSPCB"
09-Aug-2018 - 00:00,737.98,81.59,204.39,0.01,76.59,101.93,132.34,0.65,0.5,0.49,0.49,0.5,27.46,0.49,0.58,13.68,12.73,16.03,26.01,16.44,10-Aug-2018 - 00:00,"RIICO Ind. Area III, Bhiwadi - RSPCB"
10-Aug-2018 - 00:00,737.96,302.55,145.77,0.0,71.87,93.28,193.12,0.67,0.49,0.49,0.5,0.49,20.49,0.49,0.69,16.4,14.73,23.72,38.45,13.53,11-Aug-2018 - 00:00,"RIICO Ind. Area III, Bhiwadi - RSPCB"
11-Aug-2018 - 00:00,737.95,42.98,153.27,0.61,73.01,98.44,207.72,1.12,0.5,0.5,0.5,0.5,27.15,0.5,0.57,18.08,13.06,18.7,41.02,21.68,12-Aug-2018 - 00:00,"RIICO Ind. Area III, Bhiwadi - RSPCB"
12-Aug-2018 - 00:00,737.98,34.99,124.67,0.0,68.6,76.43,186.06,0.72,0.5,0.5,0.5,0.49,36.95,0.5,0.47,8.12,9.87,11.89,21.77,3.92,13-Aug-2018 - 00:00,"RIICO Ind. Area III, Bhiwadi - RSPCB"
13-Aug-2018 - 00:00,737.96,242.45,131.94,0.0,69.25,71.61,149.93,0.59,0.51,0.51,0.5,0.5,39.04,0.51,0.31,8.1,12.39,17.71,30.09,13.95,14-Aug-2018 - 00:00,"RIICO Ind. Area III, Bhiwadi - RSPCB"
14-Aug-2018 - 00:00,737.97,56.61,207.41,0.0,68.54,88.06,192.88,0.69,0.51,0.51,0.5,0.5,43.36,0.5,0.64,8.13,22.51,27.51,50.01,13.92,15-Aug-2018 - 00:00,"RIICO Ind. Area III, Bhiwadi - RSPCB"
15-Aug-2018 - 00:00,737.94,26.94,192.46,0.0,71.55,98.54,207.75,1.02,0.49,0.51,0.5,0.5,33.68,0.51,0.56,7.93,14.97,17.82,32.8,13.47,16-Aug-2018 - 00:00,"RIICO Ind. Area III, Bhiwadi - RSPCB"
16-Aug-2018 - 00:00,737.97,19.87,81.41,0.0,75.7,91.08,104.01,0.47,0.5,0.5,0.51,0.49,26.92,0.5,0.63,14.07,22.08,28.33,50.4,19.17,17-Aug-2018 - 00:00,"RIICO Ind. Area III, Bhiwadi - RSPCB"
17-Aug-2018 - 00:00,737.97,35.46,103.42,0.0,72.64,100.19,124.96,0.61,0.5,0.49,0.5,0.48,31.12,0.49,0.78,17.97,22.55,31.44,53.32,23.64,18-Aug-2018 - 00:00,"RIICO Ind. Area III, Bhiwadi - RSPCB"
18-Aug-2018 - 00:00,737.98,67.16,134.22,0.0,75.24,92.42,128.53,0.67,0.52,0.5,0.49,0.5,34.85,0.5,0.61,18.05,13.2,22.9,36.1,19.97,19-Aug-2018 - 00:00,"RIICO Ind. Area III, Bhiwadi - RSPCB"
