from date,NO2,NH3,NO,NOx,SO2,CO,Ozone,PM2.5,PM10,Benzene,Temp,WS,WD,RH,BP,Toluene,to date,station
24-Jan-2018 - 00:00,,,,,,,,,,,,,,,,,25-Jan-2018 - 00:00,"Chikkaballapur Rural, Chikkaballapur - KSPCB"
25-Jan-2018 - 00:00,,,,,,,,,,,,,,,,,26-Jan-2018 - 00:00,"Chikkaballapur Rural, Chikkaballapur - KSPCB"
26-Jan-2018 - 00:00,,,,,,,,,,,,,,,,,27-Jan-2018 - 00:00,"Chikkaballapur Rural, Chikkaballapur - KSPCB"
27-Jan-2018 - 00:00,,,,,,,,,,,,,,,,,28-Jan-2018 - 00:00,"Chikkaballapur Rural, Chikkaballapur - KSPCB"
28-Jan-2018 - 00:00,,,,,,,,,,,,,,,,,29-Jan-2018 - 00:00,"Chikkaballapur Rural, Chikkaballapur - KSPCB"
29-Jan-2018 - 00:00,,,,,,,,,,,,,,,,,30-Jan-2018 - 00:00,"Chikkaballapur Rural, Chikkaballapur - KSPCB"
30-Jan-2018 - 00:00,,,,,,,,,,,,,,,,,31-Jan-2018 - 00:00,"Chikkaballapur Rural, Chikkaballapur - KSPCB"
31-Jan-2018 - 00:00,,,,,,,,,,,,,,,,,01-Feb-2018 - 00:00,"Chikkaballapur Rural, Chikkaballapur - KSPCB"
01-Feb-2018 - 00:00,,,,,,,,,,,,,,,,,02-Feb-2018 - 00:00,"Chikkaballapur Rural, Chikkaballapur - KSPCB"
02-Feb-2018 - 00:00,,,,,,,,,,,,,,,,,03-Feb-2018 - 00:00,"Chikkaballapur Rural, Chikkaballapur - KSPCB"
03-Feb-2018 - 00:00,,,,,,,,,,,,,,,,,04-Feb-2018 - 00:00,"Chikkaballapur Rural, Chikkaballapur - KSPCB"
04-Feb-2018 - 00:00,,,,,,,,,,,,,,,,,05-Feb-2018 - 00:00,"Chikkaballapur Rural, Chikkaballapur - KSPCB"
05-Feb-2018 - 00:00,,,,,,,,,,,,,,,,,06-Feb-2018 - 00:00,"Chikkaballapur Rural, Chikkaballapur - KSPCB"
06-Feb-2018 - 00:00,,,,,,,,,,,,,,,,,07-Feb-2018 - 00:00,"Chikkaballapur Rural, Chikkaballapur - KSPCB"
07-Feb-2018 - 00:00,,,,,,,,,,,,,,,,,08-Feb-2018 - 00:00,"Chikkaballapur Rural, Chikkaballapur - KSPCB"
08-Feb-2018 - 00:00,,,,,,,,,,,,,,,,,09-Feb-2018 - 00:00,"Chikkaballapur Rural, Chikkaballapur - KSPCB"
09-Feb-2018 - 00:00,,,,,,,,,,,,,,,,,10-Feb-2018 - 00:00,"Chikkaballapur Rural, Chikkaballapur - KSPCB"
10-Feb-2018 - 00:00,,,,,,,,,,,,,,,,,11-Feb-2018 - 00:00,"Chikkaballapur Rural, Chikkaballapur - KSPCB"
11-Feb-2018 - 00:00,,,,,,,,,,,,,,,,,12-Feb-2018 - 00:00,"Chikkaballapur Rural, Chikkaballapur - KSPCB"
12-Feb-2018 - 00:00,,,,,,,,,,,,,,,,,13-Feb-2018 - 00:00,"Chikkaballapur Rural, Chikkaballapur - KSPCB"
13-Feb-2018 - 00:00,,,,,,,,,,,,,,,,,14-Feb-2018 - 00:00,"Chikkaballapur Rural, Chikkaballapur - KSPCB"
14-Feb-2018 - 00:00,,,,,,,,,,,,,,,,,15-Feb-2018 - 00:00,"Chikkaballapur Rural, Chikkaballapur - KSPCB"
15-Feb-2018 - 00:00,,,,,,,,,,,,,,,,,16-Feb-2018 - 00:00,"Chikkaballapur Rural, Chikkaballapur - KSPCB"
16-Feb-2018 - 00:00,,,,,,,,,,,,,,,,,17-Feb-2018 - 00:00,"Chikkaballapur Rural, Chikkaballapur - KSPCB"
17-Feb-2018 - 00:00,,,,,,,,,,,,,,,,,18-Feb-2018 - 00:00,"Chikkaballapur Rural, Chikkaballapur - KSPCB"
18-Feb-2018 - 00:00,,,,,,,,,,,,,,,,,19-Feb-2018 - 00:00,"Chikkaballapur Rural, Chikkaballapur - KSPCB"
19-Feb-2018 - 00:00,,,,,,,,,,,,,,,,,20-Feb-2018 - 00:00,"Chikkaballapur Rural, Chikkaballapur - KSPCB"
20-Feb-2018 - 00:00,,,,,,,,,,,,,,,,,21-Feb-2018 - 00:00,"Chikkaballapur Rural, Chikkaballapur - KSPCB"
21-Feb-2018 - 00:00,,,,,,,,,,,,,,,,,22-Feb-2018 - 00:00,"Chikkaballapur Rural, Chikkaballapur - KSPCB"
22-Feb-2018 - 00:00,,,,,,,,,,,,,,,,,23-Feb-2018 - 00:00,"Chikkaballapur Rural, Chikkaballapur - KSPCB"
23-Feb-2018 - 00:00,,,,,,,,,,,,,,,,,24-Feb-2018 - 00:00,"Chikkaballapur Rural, Chikkaballapur - KSPCB"
24-Feb-2018 - 00:00,,,,,,,,,,,,,,,,,25-Feb-2018 - 00:00,"Chikkaballapur Rural, Chikkaballapur - KSPCB"
25-Feb-2018 - 00:00,,,,,,,,,,,,,,,,,26-Feb-2018 - 00:00,"Chikkaballapur Rural, Chikkaballapur - KSPCB"
26-Feb-2018 - 00:00,,,,,,,,,,,,,,,,,27-Feb-2018 - 00:00,"Chikkaballapur Rural, Chikkaballapur - KSPCB"
27-Feb-2018 - 00:00,,,,,,,,,,,,,,,,,28-Feb-2018 - 00:00,"Chikkaballapur Rural, Chikkaballapur - KSPCB"
28-Feb-2018 - 00:00,,,,,,,,,,,,,,,,,01-Mar-2018 - 00:00,"Chikkaballapur Rural, Chikkaballapur - KSPCB"
01-Mar-2018 - 00:00,,,,,,,,,,,,,,,,,02-Mar-2018 - 00:00,"Chikkaballapur Rural, Chikkaballapur - KSPCB"
02-Mar-2018 - 00:00,,,,,,,,,,,,,,,,,03-Mar-2018 - 00:00,"Chikkaballapur Rural, Chikkaballapur - KSPCB"
03-Mar-2018 - 00:00,,,,,,,,,,,,,,,,,04-Mar-2018 - 00:00,"Chikkaballapur Rural, Chikkaballapur - KSPCB"
04-Mar-2018 - 00:00,,,,,,,,,,,,,,,,,05-Mar-2018 - 00:00,"Chikkaballapur Rural, Chikkaballapur - KSPCB"
05-Mar-2018 - 00:00,,,,,,,,,,,,,,,,,06-Mar-2018 - 00:00,"Chikkaballapur Rural, Chikkaballapur - KSPCB"
06-Mar-2018 - 00:00,,,,,,,,,,,,,,,,,07-Mar-2018 - 00:00,"Chikkaballapur Rural, Chikkaballapur - KSPCB"
07-Mar-2018 - 00:00,,,,,,,,,,,,,,,,,08-Mar-2018 - 00:00,"Chikkaballapur Rural, Chikkaballapur - KSPCB"
08-Mar-2018 - 00:00,,,,,,,,,,,,,,,,,09-Mar-2018 - 00:00,"Chikkaballapur Rural, Chikkaballapur - KSPCB"
09-Mar-2018 - 00:00,,,,,,,,,,,,,,,,,10-Mar-2018 - 00:00,"Chikkaballapur Rural, Chikkaballapur - KSPCB"
10-Mar-2018 - 00:00,,,,,,,,,,,,,,,,,11-Mar-2018 - 00:00,"Chikkaballapur Rural, Chikkaballapur - KSPCB"
11-Mar-2018 - 00:00,,,,,,,,,,,,,,,,,12-Mar-2018 - 00:00,"Chikkaballapur Rural, Chikkaballapur - KSPCB"
12-Mar-2018 - 00:00,,,,,,,,,,,,,,,,,13-Mar-2018 - 00:00,"Chikkaballapur Rural, Chikkaballapur - KSPCB"
13-Mar-2018 - 00:00,,,,,,,,,,,,,,,,,14-Mar-2018 - 00:00,"Chikkaballapur Rural, Chikkaballapur - KSPCB"
14-Mar-2018 - 00:00,,,,,,,,,,,,,,,,,15-Mar-2018 - 00:00,"Chikkaballapur Rural, Chikkaballapur - KSPCB"
15-Mar-2018 - 00:00,,,,,,,,,,,,,,,,,16-Mar-2018 - 00:00,"Chikkaballapur Rural, Chikkaballapur - KSPCB"
16-Mar-2018 - 00:00,,,,,,,,,,,,,,,,,17-Mar-2018 - 00:00,"Chikkaballapur Rural, Chikkaballapur - KSPCB"
17-Mar-2018 - 00:00,,,,,,,,,,,,,,,,,18-Mar-2018 - 00:00,"Chikkaballapur Rural, Chikkaballapur - KSPCB"
18-Mar-2018 - 00:00,,,,,,,,,,,,,,,,,19-Mar-2018 - 00:00,"Chikkaballapur Rural, Chikkaballapur - KSPCB"
19-Mar-2018 - 00:00,,,,,,,,,,,,,,,,,20-Mar-2018 - 00:00,"Chikkaballapur Rural, Chikkaballapur - KSPCB"
20-Mar-2018 - 00:00,,,,,,,,,,,,,,,,,21-Mar-2018 - 00:00,"Chikkaballapur Rural, Chikkaballapur - KSPCB"
21-Mar-2018 - 00:00,,,,,,,,,,,,,,,,,22-Mar-2018 - 00:00,"Chikkaballapur Rural, Chikkaballapur - KSPCB"
22-Mar-2018 - 00:00,,,,,,,,,,,,,,,,,23-Mar-2018 - 00:00,"Chikkaballapur Rural, Chikkaballapur - KSPCB"
23-Mar-2018 - 00:00,,,,,,,,,,,,,,,,,24-Mar-2018 - 00:00,"Chikkaballapur Rural, Chikkaballapur - KSPCB"
24-Mar-2018 - 00:00,,,,,,,,,,,,,,,,,25-Mar-2018 - 00:00,"Chikkaballapur Rural, Chikkaballapur - KSPCB"
25-Mar-2018 - 00:00,,,,,,,,,,,,,,,,,26-Mar-2018 - 00:00,"Chikkaballapur Rural, Chikkaballapur - KSPCB"
26-Mar-2018 - 00:00,,,,,,,,,,,,,,,,,27-Mar-2018 - 00:00,"Chikkaballapur Rural, Chikkaballapur - KSPCB"
27-Mar-2018 - 00:00,,,,,,,,,,,,,,,,,28-Mar-2018 - 00:00,"Chikkaballapur Rural, Chikkaballapur - KSPCB"
28-Mar-2018 - 00:00,,,,,,,,,,,,,,,,,29-Mar-2018 - 00:00,"Chikkaballapur Rural, Chikkaballapur - KSPCB"
29-Mar-2018 - 00:00,,,,,,,,,,,,,,,,,30-Mar-2018 - 00:00,"Chikkaballapur Rural, Chikkaballapur - KSPCB"
30-Mar-2018 - 00:00,,,,,,,,,,,,,,,,,31-Mar-2018 - 00:00,"Chikkaballapur Rural, Chikkaballapur - KSPCB"
31-Mar-2018 - 00:00,,,,,,,,,,,,,,,,,01-Apr-2018 - 00:00,"Chikkaballapur Rural, Chikkaballapur - KSPCB"
01-Apr-2018 - 00:00,,,,,,,,,,,,,,,,,02-Apr-2018 - 00:00,"Chikkaballapur Rural, Chikkaballapur - KSPCB"
02-Apr-2018 - 00:00,,,,,,,,,,,,,,,,,03-Apr-2018 - 00:00,"Chikkaballapur Rural, Chikkaballapur - KSPCB"
03-Apr-2018 - 00:00,,,,,,,,,,,,,,,,,04-Apr-2018 - 00:00,"Chikkaballapur Rural, Chikkaballapur - KSPCB"
04-Apr-2018 - 00:00,,,,,,,,,,,,,,,,,05-Apr-2018 - 00:00,"Chikkaballapur Rural, Chikkaballapur - KSPCB"
05-Apr-2018 - 00:00,,,,,,,,,,,,,,,,,06-Apr-2018 - 00:00,"Chikkaballapur Rural, Chikkaballapur - KSPCB"
06-Apr-2018 - 00:00,,,,,,,,,,,,,,,,,07-Apr-2018 - 00:00,"Chikkaballapur Rural, Chikkaballapur - KSPCB"
07-Apr-2018 - 00:00,,,,,,,,,,,,,,,,,08-Apr-2018 - 00:00,"Chikkaballapur Rural, Chikkaballapur - KSPCB"
08-Apr-2018 - 00:00,,,,,,,,,,,,,,,,,09-Apr-2018 - 00:00,"Chikkaballapur Rural, Chikkaballapur - KSPCB"
09-Apr-2018 - 00:00,,,,,,,,,,,,,,,,,10-Apr-2018 - 00:00,"Chikkaballapur Rural, Chikkaballapur - KSPCB"
10-Apr-2018 - 00:00,,,,,,,,,,,,,,,,,11-Apr-2018 - 00:00,"Chikkaballapur Rural, Chikkaballapur - KSPCB"
11-Apr-2018 - 00:00,,,,,,,,,,,,,,,,,12-Apr-2018 - 00:00,"Chikkaballapur Rural, Chikkaballapur - KSPCB"
