from date,NO,NO2,NOx,Ozone,CO,NH3,PM10,PM2.5,SO2,to date,station
18-May-2018 - 00:00,124.14,126.73,167.5,,,262.35,195.34,90.6,3.92,19-May-2018 - 00:00,"ITO, Delhi - CPCB"
19-May-2018 - 00:00,217.7,125.76,248.12,,,204.96,210.93,94.3,3.53,20-May-2018 - 00:00,"ITO, Delhi - CPCB"
20-May-2018 - 00:00,90.6,113.2,133.46,,,170.7,164.07,87.44,4.42,21-May-2018 - 00:00,"ITO, Delhi - CPCB"
21-May-2018 - 00:00,44.18,108.51,91.47,,,147.49,136.71,60.27,4.08,22-May-2018 - 00:00,"ITO, Delhi - CPCB"
22-May-2018 - 00:00,46.54,102.2,83.86,,,146.86,82.91,50.09,5.52,23-May-2018 - 00:00,"ITO, Delhi - CPCB"
23-May-2018 - 00:00,56.39,114.24,88.95,,,78.05,28.08,37.54,2.74,24-May-2018 - 00:00,"ITO, Delhi - CPCB"
24-May-2018 - 00:00,79.23,78.73,81.5,,,99.78,138.94,71.32,1.83,25-May-2018 - 00:00,"ITO, Delhi - CPCB"
25-May-2018 - 00:00,53.44,48.41,86.11,,,82.36,65.15,33.86,0.92,26-May-2018 - 00:00,"ITO, Delhi - CPCB"
26-May-2018 - 00:00,45.31,46.88,46.2,,,93.89,90.71,32.58,1.91,27-May-2018 - 00:00,"ITO, Delhi - CPCB"
27-May-2018 - 00:00,104.14,96.86,93.38,,,108.81,169.39,53.36,2.64,28-May-2018 - 00:00,"ITO, Delhi - CPCB"
28-May-2018 - 00:00,103.84,118.84,103.67,,,140.52,186.81,84.41,6.86,29-May-2018 - 00:00,"ITO, Delhi - CPCB"
29-May-2018 - 00:00,139.15,111.69,169.29,15.53,0.98,159.11,229.74,115.32,7.11,30-May-2018 - 00:00,"ITO, Delhi - CPCB"
30-May-2018 - 00:00,71.46,121.78,117.78,28.53,0.83,204.74,244.15,101.79,4.43,31-May-2018 - 00:00,"ITO, Delhi - CPCB"
31-May-2018 - 00:00,91.47,114.32,111.84,13.31,0.62,218.31,199.28,108.08,5.28,01-Jun-2018 - 00:00,"ITO, Delhi - CPCB"
01-Jun-2018 - 00:00,45.29,105.4,83.28,26.47,0.51,159.61,130.47,100.06,2.52,02-Jun-2018 - 00:00,"ITO, Delhi - CPCB"
02-Jun-2018 - 00:00,73.68,101.77,114.29,24.55,0.64,184.23,198.22,154.94,2.38,03-Jun-2018 - 00:00,"ITO, Delhi - CPCB"
03-Jun-2018 - 00:00,63.56,91.5,100.29,26.03,0.77,166.31,243.52,190.54,3.08,04-Jun-2018 - 00:00,"ITO, Delhi - CPCB"
04-Jun-2018 - 00:00,78.82,109.97,121.64,18.47,0.98,198.92,247.72,136.28,2.85,05-Jun-2018 - 00:00,"ITO, Delhi - CPCB"
05-Jun-2018 - 00:00,42.11,65.52,68.11,19.42,0.62,114.98,292.66,253.69,2.23,06-Jun-2018 - 00:00,"ITO, Delhi - CPCB"
06-Jun-2018 - 00:00,,,,,,,,,,07-Jun-2018 - 00:00,"ITO, Delhi - CPCB"
07-Jun-2018 - 00:00,57.51,121.79,102.18,11.06,1.11,186.64,210.15,142.0,5.46,08-Jun-2018 - 00:00,"ITO, Delhi - CPCB"
08-Jun-2018 - 00:00,66.96,105.5,112.82,16.87,1.0,189.61,196.32,170.38,0.42,09-Jun-2018 - 00:00,"ITO, Delhi - CPCB"
