from date,Temp,CO,Ozone,NO,NO2,NOx,SO2,PM2.5,Benzene,Toluene,Xylene,AT,RH,WS,WD,SR,BP,VWS,to date,station
16-Mar-2018 - 00:00,31.77,1.71,48.9,16.77,59.03,26.0,41.55,154.61,0.35,2.7,0.93,27.09,54.98,0.35,203.76,63.45,751.12,-0.12,17-Mar-2018 - 00:00,"IGSC Planetarium Complex, Patna - BSPCB"
17-Mar-2018 - 00:00,32.97,1.41,70.73,8.24,34.8,14.31,48.9,86.89,0.34,2.79,0.8,26.96,41.61,0.33,217.09,69.52,751.78,-0.12,18-Mar-2018 - 00:00,"IGSC Planetarium Complex, Patna - BSPCB"
18-Mar-2018 - 00:00,34.73,1.44,74.38,6.28,26.94,11.02,51.05,96.83,0.34,3.5,0.64,25.96,40.32,0.32,199.02,85.11,752.93,-0.12,19-Mar-2018 - 00:00,"IGSC Planetarium Complex, Patna - BSPCB"
19-Mar-2018 - 00:00,34.2,1.46,73.91,23.92,63.48,39.26,48.68,105.91,0.31,3.1,0.84,26.69,37.94,0.3,184.48,82.04,753.69,-0.12,20-Mar-2018 - 00:00,"IGSC Planetarium Complex, Patna - BSPCB"
20-Mar-2018 - 00:00,31.28,1.54,65.89,12.28,54.66,22.06,48.48,126.28,0.35,2.92,0.93,27.2,40.34,0.3,196.92,77.77,752.32,-0.13,21-Mar-2018 - 00:00,"IGSC Planetarium Complex, Patna - BSPCB"
21-Mar-2018 - 00:00,29.89,1.78,46.4,12.56,25.03,14.4,47.2,139.99,0.32,2.97,0.92,28.74,44.21,0.3,168.1,72.9,751.73,-0.11,22-Mar-2018 - 00:00,"IGSC Planetarium Complex, Patna - BSPCB"
22-Mar-2018 - 00:00,32.84,2.1,0.0,12.51,23.97,14.09,51.47,174.79,0.42,3.93,1.44,29.25,52.96,0.3,169.53,59.41,750.78,-0.12,23-Mar-2018 - 00:00,"IGSC Planetarium Complex, Patna - BSPCB"
23-Mar-2018 - 00:00,33.77,1.62,0.0,9.83,19.18,11.16,47.92,123.83,0.4,3.74,1.49,30.07,41.4,0.31,210.14,75.88,751.27,-0.12,24-Mar-2018 - 00:00,"IGSC Planetarium Complex, Patna - BSPCB"
24-Mar-2018 - 00:00,32.85,1.34,0.0,5.86,13.2,7.12,47.42,96.52,0.33,2.99,0.9,29.86,37.3,0.31,203.85,79.24,752.77,-0.11,25-Mar-2018 - 00:00,"IGSC Planetarium Complex, Patna - BSPCB"
25-Mar-2018 - 00:00,37.67,1.22,0.0,5.85,13.68,7.25,48.08,106.25,0.34,3.89,0.84,29.18,39.14,0.31,193.73,82.49,753.67,-0.12,26-Mar-2018 - 00:00,"IGSC Planetarium Complex, Patna - BSPCB"
26-Mar-2018 - 00:00,34.3,1.4,0.0,8.18,19.62,10.26,44.68,110.03,0.33,3.05,0.87,28.61,39.1,0.31,203.4,84.96,752.6,-0.12,27-Mar-2018 - 00:00,"IGSC Planetarium Complex, Patna - BSPCB"
27-Mar-2018 - 00:00,32.67,2.2,0.0,11.14,15.68,11.05,52.16,134.66,0.41,3.12,1.28,29.27,42.68,0.3,175.98,76.98,751.89,-0.12,28-Mar-2018 - 00:00,"IGSC Planetarium Complex, Patna - BSPCB"
28-Mar-2018 - 00:00,33.58,2.09,2.37,14.52,14.0,12.69,50.44,142.69,0.51,3.79,1.84,29.26,55.27,0.31,149.92,77.08,751.36,-0.13,29-Mar-2018 - 00:00,"IGSC Planetarium Complex, Patna - BSPCB"
29-Mar-2018 - 00:00,40.76,1.68,50.16,11.68,17.4,11.76,48.79,138.33,0.46,4.72,1.59,30.24,56.85,0.31,142.55,72.93,750.82,-0.13,30-Mar-2018 - 00:00,"IGSC Planetarium Complex, Patna - BSPCB"
30-Mar-2018 - 00:00,31.02,1.21,64.85,5.24,10.67,6.07,47.52,106.84,0.35,2.77,0.86,26.54,69.5,0.41,115.19,72.47,751.04,-0.14,31-Mar-2018 - 00:00,"IGSC Planetarium Complex, Patna - BSPCB"
31-Mar-2018 - 00:00,30.46,0.91,83.62,14.89,41.1,23.91,43.87,60.89,0.21,2.58,0.79,24.7,65.27,0.48,96.82,104.47,752.04,-0.12,01-Apr-2018 - 00:00,"IGSC Planetarium Complex, Patna - BSPCB"
01-Apr-2018 - 00:00,31.23,0.85,92.29,8.53,46.22,17.51,45.53,73.93,0.28,3.01,0.64,27.64,58.82,0.41,105.77,107.43,752.15,-0.13,02-Apr-2018 - 00:00,"IGSC Planetarium Complex, Patna - BSPCB"
02-Apr-2018 - 00:00,31.18,0.91,69.47,9.05,45.55,17.65,47.75,63.73,0.16,2.92,0.68,29.14,45.07,0.33,128.41,105.45,752.58,-0.12,03-Apr-2018 - 00:00,"IGSC Planetarium Complex, Patna - BSPCB"
03-Apr-2018 - 00:00,31.04,1.38,96.29,9.47,41.13,16.75,53.07,97.3,0.35,2.89,1.02,30.16,45.59,0.31,132.44,107.78,751.83,-0.16,04-Apr-2018 - 00:00,"IGSC Planetarium Complex, Patna - BSPCB"
04-Apr-2018 - 00:00,30.92,1.13,106.93,6.31,27.66,11.23,45.53,85.73,0.34,2.67,1.02,31.65,47.0,0.31,136.9,108.15,750.67,-0.22,05-Apr-2018 - 00:00,"IGSC Planetarium Complex, Patna - BSPCB"
05-Apr-2018 - 00:00,31.38,0.95,85.06,7.08,19.29,9.49,50.77,65.14,0.29,2.74,1.06,25.58,64.15,0.4,125.88,80.89,750.64,-0.13,06-Apr-2018 - 00:00,"IGSC Planetarium Complex, Patna - BSPCB"
06-Apr-2018 - 00:00,31.3,0.99,67.6,6.79,15.68,8.34,51.24,75.25,0.29,2.51,0.98,26.83,67.64,0.46,95.95,105.12,751.24,-0.12,07-Apr-2018 - 00:00,"IGSC Planetarium Complex, Patna - BSPCB"
