from date,Temp,CO,Ozone,NO,NO2,NOx,NH3,SO2,PM2.5,PM10,Benzene,Toluene,Xylene,AT,RH,WS,WD,SR,BP,to date,station
23-Feb-2018 - 00:00,30.51,0.62,60.14,1.8,30.96,17.93,18.53,8.11,59.8,139.27,0.21,2.9,0.1,28.1,44.91,1.11,113.91,121.2,724.28,24-Feb-2018 - 00:00,"Bollaram Industrial Area, Hyderabad - TSPCB"
24-Feb-2018 - 00:00,30.62,0.57,50.2,2.04,32.86,19.13,17.16,7.99,47.48,120.67,0.23,3.23,0.12,27.62,43.09,1.17,107.08,130.17,725.66,25-Feb-2018 - 00:00,"Bollaram Industrial Area, Hyderabad - TSPCB"
25-Feb-2018 - 00:00,30.59,0.53,43.01,1.82,31.54,18.25,17.07,8.02,43.86,111.49,0.22,3.29,0.1,27.46,43.68,0.99,104.62,135.2,725.98,26-Feb-2018 - 00:00,"Bollaram Industrial Area, Hyderabad - TSPCB"
26-Feb-2018 - 00:00,30.66,0.9,46.13,7.47,59.46,37.7,25.83,9.68,53.35,131.0,0.53,7.81,0.26,28.79,38.73,0.87,112.58,128.74,725.09,27-Feb-2018 - 00:00,"Bollaram Industrial Area, Hyderabad - TSPCB"
27-Feb-2018 - 00:00,30.99,0.83,44.44,7.89,58.17,37.22,20.99,15.98,57.75,133.23,0.36,6.38,0.19,29.78,35.55,1.02,92.36,125.55,724.72,28-Feb-2018 - 00:00,"Bollaram Industrial Area, Hyderabad - TSPCB"
28-Feb-2018 - 00:00,30.92,0.89,48.76,4.54,58.64,34.88,21.38,11.35,62.67,136.98,0.39,4.82,0.26,30.36,36.28,0.94,105.99,122.58,724.56,01-Mar-2018 - 00:00,"Bollaram Industrial Area, Hyderabad - TSPCB"
01-Mar-2018 - 00:00,30.79,1.12,38.68,7.4,65.96,41.1,26.89,17.19,61.15,146.43,0.47,9.64,0.33,29.66,37.62,1.01,111.42,126.67,724.35,02-Mar-2018 - 00:00,"Bollaram Industrial Area, Hyderabad - TSPCB"
02-Mar-2018 - 00:00,30.89,1.11,41.97,6.23,61.31,37.67,29.48,14.57,61.44,140.22,0.69,4.51,0.29,30.03,36.98,1.06,115.81,126.48,723.83,03-Mar-2018 - 00:00,"Bollaram Industrial Area, Hyderabad - TSPCB"
03-Mar-2018 - 00:00,30.57,0.78,50.32,3.47,46.02,27.29,24.11,16.31,62.44,144.65,0.44,5.63,0.22,30.11,36.16,1.14,180.42,120.48,723.43,04-Mar-2018 - 00:00,"Bollaram Industrial Area, Hyderabad - TSPCB"
04-Mar-2018 - 00:00,30.88,0.88,52.76,4.6,46.72,28.59,22.82,12.17,62.7,142.04,0.3,3.87,0.23,30.23,36.31,1.27,149.66,120.84,723.26,05-Mar-2018 - 00:00,"Bollaram Industrial Area, Hyderabad - TSPCB"
