from date,PM10,SO2,NOx,CO,WD,WS,Temp,RH,SR,to date,station
06-Dec-2018 - 00:00,148.79,39.11,38.91,2.69,128.11,,27.71,54.19,29.59,07-Dec-2018 - 00:00,"Airoli, Navi Mumbai - MPCB"
07-Dec-2018 - 00:00,154.93,38.68,38.83,1.82,143.69,,27.71,52.57,29.59,08-Dec-2018 - 00:00,"Airoli, Navi Mumbai - MPCB"
08-Dec-2018 - 00:00,139.52,38.52,37.4,2.51,99.75,,27.45,53.2,29.56,09-Dec-2018 - 00:00,"Airoli, Navi Mumbai - MPCB"
09-Dec-2018 - 00:00,142.28,37.62,37.16,3.34,117.63,,25.95,52.0,29.37,10-Dec-2018 - 00:00,"Airoli, Navi Mumbai - MPCB"
10-Dec-2018 - 00:00,136.25,37.07,37.02,2.03,94.7,,25.03,54.93,29.26,11-Dec-2018 - 00:00,"Airoli, Navi Mumbai - MPCB"
11-Dec-2018 - 00:00,140.84,36.68,38.02,2.0,94.24,,24.82,50.23,29.23,12-Dec-2018 - 00:00,"Airoli, Navi Mumbai - MPCB"
12-Dec-2018 - 00:00,143.89,36.03,41.01,2.09,103.16,,24.97,59.84,29.25,13-Dec-2018 - 00:00,"Airoli, Navi Mumbai - MPCB"
13-Dec-2018 - 00:00,111.33,36.79,41.21,2.31,100.05,,26.24,47.33,29.41,14-Dec-2018 - 00:00,"Airoli, Navi Mumbai - MPCB"
14-Dec-2018 - 00:00,107.27,37.12,41.3,2.5,126.52,,26.78,39.43,29.47,15-Dec-2018 - 00:00,"Airoli, Navi Mumbai - MPCB"
15-Dec-2018 - 00:00,111.5,37.58,41.42,1.91,136.48,,27.54,39.68,29.57,16-Dec-2018 - 00:00,"Airoli, Navi Mumbai - MPCB"
16-Dec-2018 - 00:00,111.97,37.16,41.31,2.02,142.42,,26.85,43.54,29.48,17-Dec-2018 - 00:00,"Airoli, Navi Mumbai - MPCB"
17-Dec-2018 - 00:00,112.01,36.24,41.06,2.11,119.74,,25.31,39.64,29.29,18-Dec-2018 - 00:00,"Airoli, Navi Mumbai - MPCB"
18-Dec-2018 - 00:00,105.51,36.67,41.17,2.34,128.79,,26.03,43.4,29.38,19-Dec-2018 - 00:00,"Airoli, Navi Mumbai - MPCB"
19-Dec-2018 - 00:00,120.23,36.77,42.04,2.59,149.82,,24.57,50.76,29.17,20-Dec-2018 - 00:00,"Airoli, Navi Mumbai - MPCB"
20-Dec-2018 - 00:00,127.04,45.33,46.42,3.07,230.34,,28.7,43.7,30.33,21-Dec-2018 - 00:00,"Airoli, Navi Mumbai - MPCB"
21-Dec-2018 - 00:00,117.3,40.14,45.03,2.88,123.66,,26.15,53.71,29.27,22-Dec-2018 - 00:00,"Airoli, Navi Mumbai - MPCB"
22-Dec-2018 - 00:00,135.79,40.52,45.14,2.83,212.0,,26.79,55.57,29.35,23-Dec-2018 - 00:00,"Airoli, Navi Mumbai - MPCB"
23-Dec-2018 - 00:00,132.69,41.18,45.31,2.83,102.0,,27.88,49.73,29.49,24-Dec-2018 - 00:00,"Airoli, Navi Mumbai - MPCB"
24-Dec-2018 - 00:00,159.33,41.29,45.34,2.75,221.33,,28.07,55.7,29.51,25-Dec-2018 - 00:00,"Airoli, Navi Mumbai - MPCB"
25-Dec-2018 - 00:00,204.3,39.74,44.93,2.81,,,25.49,65.81,29.19,26-Dec-2018 - 00:00,"Airoli, Navi Mumbai - MPCB"
26-Dec-2018 - 00:00,115.31,40.89,45.23,3.97,247.29,,27.4,33.22,29.43,27-Dec-2018 - 00:00,"Airoli, Navi Mumbai - MPCB"
27-Dec-2018 - 00:00,108.91,39.32,44.82,3.01,136.4,,24.79,31.28,29.11,28-Dec-2018 - 00:00,"Airoli, Navi Mumbai - MPCB"
28-Dec-2018 - 00:00,116.23,38.02,43.66,1.77,142.54,,25.6,30.48,29.22,29-Dec-2018 - 00:00,"Airoli, Navi Mumbai - MPCB"
29-Dec-2018 - 00:00,167.86,35.69,42.01,1.54,107.43,,25.2,32.53,29.18,30-Dec-2018 - 00:00,"Airoli, Navi Mumbai - MPCB"
30-Dec-2018 - 00:00,124.15,35.73,42.02,1.52,228.62,,25.27,32.47,29.19,31-Dec-2018 - 00:00,"Airoli, Navi Mumbai - MPCB"
31-Dec-2018 - 00:00,104.32,34.97,41.82,1.43,,,24.0,40.3,29.04,01-Jan-2019 - 00:00,"Airoli, Navi Mumbai - MPCB"
