from date,BP,PM2.5,RH,SR,Temp,THC,CO,NH3,NO,NO2,NOx,to date,CH4,SO2,station
27-Oct-2018 - 00:00,,29.98,41.16,159.93,25.93,,0.77,39.6,9.9,48.98,58.6,28-Oct-2018 - 00:00,758.06,6.72,"Peenya, Bengaluru - CPCB"
28-Oct-2018 - 00:00,,33.17,29.9,163.26,25.81,,0.42,42.92,6.05,61.38,67.43,29-Oct-2018 - 00:00,765.2,4.16,"Peenya, Bengaluru - CPCB"
29-Oct-2018 - 00:00,,33.41,28.88,155.67,25.51,,0.58,38.5,5.91,68.31,74.23,30-Oct-2018 - 00:00,752.61,3.1,"Peenya, Bengaluru - CPCB"
30-Oct-2018 - 00:00,,35.24,35.67,156.0,25.99,,0.72,44.74,5.63,55.11,60.73,31-Oct-2018 - 00:00,808.13,4.22,"Peenya, Bengaluru - CPCB"
31-Oct-2018 - 00:00,,34.33,52.53,144.69,26.76,,0.73,47.76,5.4,33.85,39.24,01-Nov-2018 - 00:00,932.42,5.58,"Peenya, Bengaluru - CPCB"
01-Nov-2018 - 00:00,,16.98,55.74,119.73,26.26,,0.57,33.79,4.7,29.48,34.18,02-Nov-2018 - 00:00,,5.43,"Peenya, Bengaluru - CPCB"
02-Nov-2018 - 00:00,,13.81,63.95,53.91,25.23,,0.71,30.54,5.0,22.92,27.92,03-Nov-2018 - 00:00,,6.9,"Peenya, Bengaluru - CPCB"
03-Nov-2018 - 00:00,,20.67,64.76,93.31,25.66,,0.7,31.36,4.72,19.55,24.27,04-Nov-2018 - 00:00,,9.42,"Peenya, Bengaluru - CPCB"
04-Nov-2018 - 00:00,,16.87,60.11,116.41,25.72,,0.69,31.77,3.96,22.75,26.72,05-Nov-2018 - 00:00,929.32,5.25,"Peenya, Bengaluru - CPCB"
05-Nov-2018 - 00:00,,22.83,52.68,152.97,26.03,,0.71,32.0,4.1,28.79,32.88,06-Nov-2018 - 00:00,829.0,4.8,"Peenya, Bengaluru - CPCB"
06-Nov-2018 - 00:00,,30.66,52.26,123.63,26.42,,0.68,34.65,4.15,33.73,37.88,07-Nov-2018 - 00:00,821.66,7.06,"Peenya, Bengaluru - CPCB"
07-Nov-2018 - 00:00,,37.25,41.95,163.21,26.13,,0.62,35.7,3.78,37.27,41.05,08-Nov-2018 - 00:00,701.88,7.65,"Peenya, Bengaluru - CPCB"
08-Nov-2018 - 00:00,,43.71,40.34,109.76,25.26,,0.72,32.96,3.85,35.97,39.82,09-Nov-2018 - 00:00,855.24,11.3,"Peenya, Bengaluru - CPCB"
09-Nov-2018 - 00:00,,24.91,46.58,165.68,25.88,,0.66,34.68,3.89,37.93,41.83,10-Nov-2018 - 00:00,747.08,7.18,"Peenya, Bengaluru - CPCB"
10-Nov-2018 - 00:00,,36.8,40.45,163.38,26.11,,0.73,39.92,4.59,45.99,50.58,11-Nov-2018 - 00:00,732.8,7.27,"Peenya, Bengaluru - CPCB"
11-Nov-2018 - 00:00,,36.92,41.25,154.37,25.95,,0.69,38.02,3.82,43.86,47.64,12-Nov-2018 - 00:00,707.85,7.72,"Peenya, Bengaluru - CPCB"
12-Nov-2018 - 00:00,,39.44,36.49,125.35,25.62,,0.78,38.72,5.27,49.46,54.73,13-Nov-2018 - 00:00,730.59,7.38,"Peenya, Bengaluru - CPCB"
13-Nov-2018 - 00:00,,45.91,25.29,157.66,25.7,,0.82,38.63,4.93,51.38,56.31,14-Nov-2018 - 00:00,710.02,6.99,"Peenya, Bengaluru - CPCB"
14-Nov-2018 - 00:00,,46.63,22.65,158.41,25.79,,0.92,42.53,6.11,57.54,63.65,15-Nov-2018 - 00:00,680.68,7.55,"Peenya, Bengaluru - CPCB"
15-Nov-2018 - 00:00,,36.75,50.78,112.41,25.53,,0.84,40.85,4.96,50.29,55.24,16-Nov-2018 - 00:00,879.29,6.5,"Peenya, Bengaluru - CPCB"
16-Nov-2018 - 00:00,,20.78,66.54,69.85,25.0,,0.73,33.82,3.55,32.69,36.24,17-Nov-2018 - 00:00,952.17,6.99,"Peenya, Bengaluru - CPCB"
17-Nov-2018 - 00:00,,39.68,57.56,143.66,25.86,,0.79,30.81,3.29,32.7,35.98,18-Nov-2018 - 00:00,875.25,7.27,"Peenya, Bengaluru - CPCB"
18-Nov-2018 - 00:00,,33.92,60.6,132.47,26.23,,0.74,27.72,2.77,27.43,30.2,19-Nov-2018 - 00:00,905.25,7.82,"Peenya, Bengaluru - CPCB"
19-Nov-2018 - 00:00,,18.31,58.6,94.68,26.23,,0.7,29.21,3.67,30.3,33.96,20-Nov-2018 - 00:00,913.52,7.12,"Peenya, Bengaluru - CPCB"
20-Nov-2018 - 00:00,,21.62,50.42,150.2,26.43,,0.62,33.81,4.05,38.55,42.6,21-Nov-2018 - 00:00,823.01,6.88,"Peenya, Bengaluru - CPCB"
21-Nov-2018 - 00:00,,29.0,58.83,81.54,24.66,,0.76,34.14,6.06,39.01,45.07,22-Nov-2018 - 00:00,915.01,10.23,"Peenya, Bengaluru - CPCB"
22-Nov-2018 - 00:00,,16.4,71.0,43.19,24.52,,0.7,30.37,3.81,31.38,35.19,23-Nov-2018 - 00:00,,9.27,"Peenya, Bengaluru - CPCB"
23-Nov-2018 - 00:00,,53.48,80.15,36.18,23.92,,0.93,32.26,5.64,34.59,40.19,24-Nov-2018 - 00:00,,7.81,"Peenya, Bengaluru - CPCB"
24-Nov-2018 - 00:00,,240.09,66.71,79.74,25.14,,0.86,33.41,3.91,35.93,39.66,25-Nov-2018 - 00:00,955.32,7.24,"Peenya, Bengaluru - CPCB"
25-Nov-2018 - 00:00,,48.66,60.17,108.43,25.38,,0.78,36.43,3.97,39.24,43.21,26-Nov-2018 - 00:00,907.19,7.49,"Peenya, Bengaluru - CPCB"
26-Nov-2018 - 00:00,,55.75,53.94,151.35,25.2,,0.77,51.1,18.68,41.98,57.53,27-Nov-2018 - 00:00,785.58,8.32,"Peenya, Bengaluru - CPCB"
27-Nov-2018 - 00:00,,41.5,51.98,160.56,24.29,,0.72,108.53,113.04,115.38,99.64,28-Nov-2018 - 00:00,824.38,6.51,"Peenya, Bengaluru - CPCB"
28-Nov-2018 - 00:00,,35.97,55.24,160.79,24.28,,0.78,44.18,6.82,36.14,41.43,29-Nov-2018 - 00:00,823.85,6.99,"Peenya, Bengaluru - CPCB"
29-Nov-2018 - 00:00,,31.66,52.69,121.81,26.19,,0.76,43.84,6.25,35.96,41.26,30-Nov-2018 - 00:00,911.74,9.77,"Peenya, Bengaluru - CPCB"
30-Nov-2018 - 00:00,,35.86,55.93,144.83,25.59,,0.72,43.22,4.95,34.74,39.69,01-Dec-2018 - 00:00,849.79,9.33,"Peenya, Bengaluru - CPCB"
01-Dec-2018 - 00:00,,34.67,52.87,113.74,25.08,,0.72,46.73,4.89,37.76,42.65,02-Dec-2018 - 00:00,842.27,9.11,"Peenya, Bengaluru - CPCB"
02-Dec-2018 - 00:00,,22.36,47.8,163.71,24.57,,0.65,43.46,4.67,35.77,40.44,03-Dec-2018 - 00:00,775.57,8.51,"Peenya, Bengaluru - CPCB"
03-Dec-2018 - 00:00,,22.6,57.86,124.11,24.59,,0.72,40.58,4.63,33.31,37.94,04-Dec-2018 - 00:00,903.26,12.95,"Peenya, Bengaluru - CPCB"
04-Dec-2018 - 00:00,,24.75,64.43,60.56,24.96,,0.73,42.47,5.09,33.79,38.88,05-Dec-2018 - 00:00,998.2,9.9,"Peenya, Bengaluru - CPCB"
05-Dec-2018 - 00:00,,203.95,64.45,137.79,25.41,,0.84,42.58,5.47,34.92,40.39,06-Dec-2018 - 00:00,907.19,8.69,"Peenya, Bengaluru - CPCB"
06-Dec-2018 - 00:00,,23.9,61.35,122.31,25.79,,0.8,41.73,4.93,33.63,38.56,07-Dec-2018 - 00:00,915.46,11.11,"Peenya, Bengaluru - CPCB"
07-Dec-2018 - 00:00,,30.65,57.31,118.25,25.27,,0.76,41.15,4.84,34.36,39.2,08-Dec-2018 - 00:00,888.89,8.34,"Peenya, Bengaluru - CPCB"
08-Dec-2018 - 00:00,,48.93,56.34,141.47,25.33,,0.79,36.7,4.7,57.89,31.79,09-Dec-2018 - 00:00,890.26,10.34,"Peenya, Bengaluru - CPCB"
09-Dec-2018 - 00:00,,45.05,51.68,154.21,25.8,,0.74,,,,,10-Dec-2018 - 00:00,755.11,15.4,"Peenya, Bengaluru - CPCB"
10-Dec-2018 - 00:00,,60.03,50.34,130.14,25.45,,1.02,51.14,8.84,48.72,52.1,11-Dec-2018 - 00:00,813.61,12.29,"Peenya, Bengaluru - CPCB"
11-Dec-2018 - 00:00,,76.03,53.95,89.62,25.47,,1.01,43.71,7.1,36.61,43.72,12-Dec-2018 - 00:00,869.12,11.84,"Peenya, Bengaluru - CPCB"
12-Dec-2018 - 00:00,,65.58,49.1,94.12,25.88,,1.03,43.67,6.59,37.08,43.67,13-Dec-2018 - 00:00,833.36,12.86,"Peenya, Bengaluru - CPCB"
13-Dec-2018 - 00:00,,53.33,56.47,76.77,25.02,,0.88,37.49,6.32,31.17,37.49,14-Dec-2018 - 00:00,887.6,11.31,"Peenya, Bengaluru - CPCB"
14-Dec-2018 - 00:00,,41.82,46.05,117.77,25.47,,0.76,39.9,6.74,33.15,39.9,15-Dec-2018 - 00:00,795.34,12.1,"Peenya, Bengaluru - CPCB"
15-Dec-2018 - 00:00,,38.76,50.71,146.82,24.87,,0.68,41.71,6.43,35.28,41.71,16-Dec-2018 - 00:00,795.85,11.35,"Peenya, Bengaluru - CPCB"
16-Dec-2018 - 00:00,,48.45,46.59,90.62,23.47,,0.68,37.49,6.42,31.07,37.49,17-Dec-2018 - 00:00,875.48,10.41,"Peenya, Bengaluru - CPCB"
17-Dec-2018 - 00:00,,67.74,42.3,80.97,23.34,,0.87,44.16,7.14,37.03,44.16,18-Dec-2018 - 00:00,817.02,13.86,"Peenya, Bengaluru - CPCB"
18-Dec-2018 - 00:00,,57.92,39.7,151.25,23.99,,0.86,47.95,6.77,41.18,47.95,19-Dec-2018 - 00:00,840.75,8.56,"Peenya, Bengaluru - CPCB"
19-Dec-2018 - 00:00,,44.7,54.65,94.17,23.69,,0.87,41.85,6.5,35.34,41.85,20-Dec-2018 - 00:00,902.41,11.66,"Peenya, Bengaluru - CPCB"
20-Dec-2018 - 00:00,,37.36,48.62,121.11,24.84,,0.8,39.45,6.4,33.05,39.45,21-Dec-2018 - 00:00,837.7,10.84,"Peenya, Bengaluru - CPCB"
21-Dec-2018 - 00:00,,42.1,54.9,103.54,25.08,,0.82,40.07,6.8,33.3,40.1,22-Dec-2018 - 00:00,871.66,10.57,"Peenya, Bengaluru - CPCB"
22-Dec-2018 - 00:00,,38.25,55.08,132.66,25.58,,0.75,40.89,6.3,34.59,40.89,23-Dec-2018 - 00:00,833.02,10.98,"Peenya, Bengaluru - CPCB"
23-Dec-2018 - 00:00,,29.86,58.02,101.65,25.58,,0.65,31.94,5.7,26.24,31.94,24-Dec-2018 - 00:00,890.56,7.12,"Peenya, Bengaluru - CPCB"
24-Dec-2018 - 00:00,,34.74,55.84,127.53,25.58,,0.76,32.83,6.12,26.71,32.83,25-Dec-2018 - 00:00,875.34,6.82,"Peenya, Bengaluru - CPCB"
25-Dec-2018 - 00:00,,44.16,49.38,134.5,25.91,,0.75,35.06,7.07,28.0,35.07,26-Dec-2018 - 00:00,836.5,6.75,"Peenya, Bengaluru - CPCB"
26-Dec-2018 - 00:00,,39.91,39.25,147.63,26.2,,0.75,37.34,6.93,30.41,36.67,27-Dec-2018 - 00:00,749.17,6.88,"Peenya, Bengaluru - CPCB"
27-Dec-2018 - 00:00,,45.63,49.81,93.23,25.9,,0.68,32.02,5.87,26.14,32.02,28-Dec-2018 - 00:00,878.7,8.13,"Peenya, Bengaluru - CPCB"
28-Dec-2018 - 00:00,,54.63,52.35,93.58,25.55,,0.83,35.69,6.84,28.85,35.69,29-Dec-2018 - 00:00,899.42,9.2,"Peenya, Bengaluru - CPCB"
29-Dec-2018 - 00:00,,54.19,57.05,79.96,25.01,,0.74,34.4,6.76,27.64,34.4,30-Dec-2018 - 00:00,883.99,9.91,"Peenya, Bengaluru - CPCB"
30-Dec-2018 - 00:00,,49.48,50.71,112.0,24.22,,0.65,32.84,6.29,26.55,32.51,31-Dec-2018 - 00:00,836.1,8.8,"Peenya, Bengaluru - CPCB"
31-Dec-2018 - 00:00,,55.81,60.77,0.91,22.52,,0.48,33.68,6.38,27.3,33.68,01-Jan-2019 - 00:00,,3.18,"Peenya, Bengaluru - CPCB"
