from date,NO2,NH3,NO,NOx,CO,Ozone,SO2,Benzene,Eth-Benzene,Toluene,PM2.5,PM10,AT,SR,RH,RF,WD,WS,Temp,to date,station
02-Aug-2018 - 00:00,5.24,23.44,2.28,4.65,0.39,30.3,13.17,0.08,0.36,4.11,48.11,200.74,24.4,145.97,76.97,0.0,263.26,6.29,28.35,03-Aug-2018 - 00:00,"Sector-2 Industrial Area, Pithampur - MPPCB"
03-Aug-2018 - 00:00,4.77,22.73,2.37,4.46,0.34,25.25,10.61,0.07,0.23,3.77,24.75,98.04,23.87,130.23,81.53,0.0,259.47,6.32,28.35,04-Aug-2018 - 00:00,"Sector-2 Industrial Area, Pithampur - MPPCB"
04-Aug-2018 - 00:00,6.57,21.55,2.73,5.71,0.26,28.14,13.54,0.09,0.34,4.71,31.58,128.72,24.66,161.69,76.34,0.0,258.7,5.9,28.28,05-Aug-2018 - 00:00,"Sector-2 Industrial Area, Pithampur - MPPCB"
05-Aug-2018 - 00:00,5.31,21.14,2.47,4.84,0.25,30.62,14.28,0.08,0.18,3.52,29.3,114.86,24.41,147.18,75.45,0.0,254.77,6.79,28.27,06-Aug-2018 - 00:00,"Sector-2 Industrial Area, Pithampur - MPPCB"
06-Aug-2018 - 00:00,5.31,20.4,2.49,4.85,0.27,28.69,13.11,0.06,0.28,4.0,26.39,100.4,23.92,135.57,76.15,0.0,256.07,6.32,28.35,07-Aug-2018 - 00:00,"Sector-2 Industrial Area, Pithampur - MPPCB"
07-Aug-2018 - 00:00,5.6,20.36,2.35,4.89,0.26,24.86,11.77,0.08,0.35,5.82,23.27,85.07,22.89,116.23,79.77,0.0,260.86,5.79,28.4,08-Aug-2018 - 00:00,"Sector-2 Industrial Area, Pithampur - MPPCB"
08-Aug-2018 - 00:00,5.41,22.1,2.16,4.63,0.3,19.42,10.84,8.97,361.9,5.16,27.11,74.8,21.34,56.39,88.81,0.04,273.55,4.75,28.11,09-Aug-2018 - 00:00,"Sector-2 Industrial Area, Pithampur - MPPCB"
09-Aug-2018 - 00:00,5.63,23.36,2.27,4.85,0.35,24.54,12.35,0.15,0.42,5.21,28.95,75.35,23.39,103.88,84.61,0.0,270.18,5.14,28.4,10-Aug-2018 - 00:00,"Sector-2 Industrial Area, Pithampur - MPPCB"
10-Aug-2018 - 00:00,4.32,22.95,2.05,3.96,0.32,22.52,7.78,0.13,0.33,5.21,21.64,53.95,22.75,74.45,87.91,0.05,275.5,5.39,28.38,11-Aug-2018 - 00:00,"Sector-2 Industrial Area, Pithampur - MPPCB"
11-Aug-2018 - 00:00,4.47,22.46,2.05,4.05,0.31,25.56,10.97,0.12,0.25,4.67,17.6,58.1,24.77,161.42,78.57,0.0,271.29,7.23,28.34,12-Aug-2018 - 00:00,"Sector-2 Industrial Area, Pithampur - MPPCB"
12-Aug-2018 - 00:00,3.79,21.24,2.35,3.93,0.25,23.28,9.92,0.09,0.21,6.83,11.67,39.85,23.02,139.76,83.77,0.03,255.28,6.22,28.29,13-Aug-2018 - 00:00,"Sector-2 Industrial Area, Pithampur - MPPCB"
