from date,CO,Ozone,NO2,NO,NOx,SO2,RH,VWS,WS,WD,PM2.5,SR,Benzene,MP-Xylene,Toluene,O Xylene,Eth-Benzene,to date,BP,station
16-Mar-2018 - 00:00,1.02,12.24,29.03,5.93,16.99,3.54,68.45,0.27,2.44,163.49,26.71,210.75,1.49,,1.56,2.86,0.0,17-Mar-2018 - 00:00,,"Velachery Res. Area, Chennai - CPCB"
17-Mar-2018 - 00:00,1.01,21.84,33.4,6.48,19.16,4.16,76.86,0.15,0.97,120.19,38.43,98.56,1.13,,1.19,2.32,0.0,18-Mar-2018 - 00:00,,"Velachery Res. Area, Chennai - CPCB"
18-Mar-2018 - 00:00,0.97,30.54,22.71,12.75,18.66,4.53,65.47,0.16,1.01,136.87,46.61,218.4,1.52,,1.59,2.9,0.0,19-Mar-2018 - 00:00,,"Velachery Res. Area, Chennai - CPCB"
19-Mar-2018 - 00:00,1.13,21.91,26.75,15.52,22.99,4.83,61.31,0.18,1.33,164.79,49.23,230.51,1.56,,1.63,2.96,0.0,20-Mar-2018 - 00:00,,"Velachery Res. Area, Chennai - CPCB"
20-Mar-2018 - 00:00,1.01,19.96,22.72,14.95,20.84,4.03,66.33,0.2,1.64,139.47,52.68,230.78,1.56,,1.63,2.96,0.0,21-Mar-2018 - 00:00,,"Velachery Res. Area, Chennai - CPCB"
21-Mar-2018 - 00:00,1.0,20.84,33.99,9.71,22.41,5.27,65.5,0.25,2.2,176.61,44.69,224.39,1.54,,1.61,2.93,0.0,22-Mar-2018 - 00:00,,"Velachery Res. Area, Chennai - CPCB"
22-Mar-2018 - 00:00,1.03,28.02,34.47,8.75,21.96,4.96,66.17,0.27,2.57,173.75,45.36,201.54,1.46,,1.53,2.82,0.0,23-Mar-2018 - 00:00,,"Velachery Res. Area, Chennai - CPCB"
23-Mar-2018 - 00:00,0.96,35.25,31.74,4.81,17.49,4.58,69.44,0.29,2.79,170.23,50.36,237.75,1.58,,1.65,2.99,0.0,24-Mar-2018 - 00:00,,"Velachery Res. Area, Chennai - CPCB"
24-Mar-2018 - 00:00,1.09,34.82,21.42,0.76,7.54,4.06,65.57,0.26,2.44,161.2,51.96,193.48,1.4,,1.47,2.7,0.0,25-Mar-2018 - 00:00,966.94,"Velachery Res. Area, Chennai - CPCB"
25-Mar-2018 - 00:00,1.04,20.33,19.99,0.33,3.38,3.82,59.16,0.2,1.5,124.88,40.53,227.92,1.52,,1.59,2.89,0.0,26-Mar-2018 - 00:00,981.65,"Velachery Res. Area, Chennai - CPCB"
26-Mar-2018 - 00:00,0.94,18.93,30.83,4.28,11.64,4.16,62.64,0.17,1.08,153.13,43.24,225.62,1.54,,1.61,2.94,0.0,27-Mar-2018 - 00:00,,"Velachery Res. Area, Chennai - CPCB"
27-Mar-2018 - 00:00,0.88,8.53,38.92,4.77,16.36,5.31,66.6,0.24,2.15,172.38,36.68,218.7,1.52,,1.58,2.9,0.0,28-Mar-2018 - 00:00,,"Velachery Res. Area, Chennai - CPCB"
28-Mar-2018 - 00:00,1.05,8.64,43.96,7.38,20.62,4.19,70.13,0.29,2.84,174.07,26.03,571.61,0.85,,0.68,1.03,0.0,29-Mar-2018 - 00:00,,"Velachery Res. Area, Chennai - CPCB"
29-Mar-2018 - 00:00,0.6,16.8,41.06,4.1,17.44,4.44,67.5,0.3,2.92,172.29,26.92,915.93,0.52,,0.03,0.0,0.0,30-Mar-2018 - 00:00,,"Velachery Res. Area, Chennai - CPCB"
30-Mar-2018 - 00:00,0.79,34.85,34.81,4.03,14.58,4.14,70.68,0.31,3.02,171.75,34.41,913.75,2.63,,1.27,0.71,0.42,31-Mar-2018 - 00:00,,"Velachery Res. Area, Chennai - CPCB"
31-Mar-2018 - 00:00,0.77,58.4,31.33,9.08,16.46,3.9,71.09,0.3,2.85,165.43,34.26,755.41,2.35,,0.75,0.91,0.58,01-Apr-2018 - 00:00,,"Velachery Res. Area, Chennai - CPCB"
01-Apr-2018 - 00:00,0.98,63.35,26.45,9.3,13.25,3.7,74.52,0.29,2.78,153.44,35.88,929.38,0.0,,0.06,0.0,0.0,02-Apr-2018 - 00:00,,"Velachery Res. Area, Chennai - CPCB"
02-Apr-2018 - 00:00,0.85,45.37,29.89,8.27,15.57,4.11,70.73,0.26,2.31,153.1,22.55,916.04,0.15,,1.29,0.26,4.05,03-Apr-2018 - 00:00,,"Velachery Res. Area, Chennai - CPCB"
03-Apr-2018 - 00:00,0.96,39.44,25.85,7.43,12.99,4.08,69.31,0.24,2.13,151.76,16.15,911.2,0.0,,5.15,1.54,3.82,04-Apr-2018 - 00:00,,"Velachery Res. Area, Chennai - CPCB"
04-Apr-2018 - 00:00,1.32,55.19,32.93,10.01,18.45,3.44,64.36,0.26,2.39,160.37,29.36,579.29,0.63,,2.9,1.63,1.36,05-Apr-2018 - 00:00,,"Velachery Res. Area, Chennai - CPCB"
05-Apr-2018 - 00:00,1.55,56.77,25.77,8.73,14.01,3.73,60.31,0.26,2.4,142.46,24.82,230.26,0.0,,0.0,0.0,0.0,06-Apr-2018 - 00:00,,"Velachery Res. Area, Chennai - CPCB"
06-Apr-2018 - 00:00,1.15,46.12,32.31,12.02,19.67,4.73,62.81,0.26,2.45,163.08,18.2,231.93,0.7,,0.89,1.31,0.85,07-Apr-2018 - 00:00,,"Velachery Res. Area, Chennai - CPCB"
07-Apr-2018 - 00:00,0.56,42.0,25.35,17.37,20.27,4.19,64.06,0.24,2.04,155.75,13.52,222.72,1.37,,3.1,4.85,0.94,08-Apr-2018 - 00:00,,"Velachery Res. Area, Chennai - CPCB"
08-Apr-2018 - 00:00,0.5,46.75,21.56,20.0,20.38,4.2,63.42,0.18,1.17,111.77,10.42,245.35,1.21,,2.09,2.79,1.39,09-Apr-2018 - 00:00,,"Velachery Res. Area, Chennai - CPCB"
09-Apr-2018 - 00:00,0.41,51.9,22.42,18.11,19.27,3.74,60.13,0.12,0.58,94.58,11.01,238.31,0.94,,1.8,1.3,0.82,10-Apr-2018 - 00:00,,"Velachery Res. Area, Chennai - CPCB"
10-Apr-2018 - 00:00,0.73,23.98,23.18,19.8,21.01,3.85,62.11,0.1,0.41,71.1,26.58,234.44,0.0,,6.88,1.79,0.9,11-Apr-2018 - 00:00,,"Velachery Res. Area, Chennai - CPCB"
