from date,O Xylene,WD,RH,SR,NO,NO2,NOx,Ozone,Temp,CO,WS,RF,PM10,PM2.5,NH3,SO2,Benzene,Toluene,Eth-Benzene,MP-Xylene,to date,station
23-Mar-2018 - 00:00,,251.8,59.24,186.12,9.04,4.95,7.73,,24.43,,0.48,,,76.21,32.84,,,,,,24-Mar-2018 - 00:00,"DTU, Delhi - CPCB"
24-Mar-2018 - 00:00,,258.79,53.63,185.77,12.91,3.45,8.56,,25.07,,0.53,,,94.3,31.83,,,,,,25-Mar-2018 - 00:00,"DTU, Delhi - CPCB"
25-Mar-2018 - 00:00,,255.47,53.54,180.41,11.83,4.45,8.68,,25.12,,0.64,,,100.39,31.37,,,,,,26-Mar-2018 - 00:00,"DTU, Delhi - CPCB"
26-Mar-2018 - 00:00,,220.22,53.16,185.01,15.98,42.38,31.19,,24.78,,0.5,,,122.49,46.54,,,,,,27-Mar-2018 - 00:00,"DTU, Delhi - CPCB"
27-Mar-2018 - 00:00,,212.69,37.13,191.45,28.76,31.1,37.3,,26.42,,0.43,,,183.41,51.33,,,,,,28-Mar-2018 - 00:00,"DTU, Delhi - CPCB"
28-Mar-2018 - 00:00,,233.84,36.07,192.11,38.15,17.06,32.59,0.0,29.01,,0.37,,478.34,134.08,46.86,0.0,,,,,29-Mar-2018 - 00:00,"DTU, Delhi - CPCB"
29-Mar-2018 - 00:00,,241.53,37.26,197.85,21.78,24.65,26.22,0.04,31.39,,0.59,,336.4,121.99,46.6,0.0,,,,,30-Mar-2018 - 00:00,"DTU, Delhi - CPCB"
30-Mar-2018 - 00:00,,246.4,34.93,201.81,22.19,19.77,23.53,0.04,31.51,,0.51,,349.56,109.08,49.86,0.0,,,,,31-Mar-2018 - 00:00,"DTU, Delhi - CPCB"
31-Mar-2018 - 00:00,,105.86,43.31,181.36,25.15,19.82,26.14,0.0,30.48,,0.65,,377.09,44.01,47.36,0.0,,,,,01-Apr-2018 - 00:00,"DTU, Delhi - CPCB"
01-Apr-2018 - 00:00,,101.56,40.51,188.16,26.13,16.2,24.03,0.0,31.09,,0.52,,268.93,50.33,46.86,0.0,,,,,02-Apr-2018 - 00:00,"DTU, Delhi - CPCB"
02-Apr-2018 - 00:00,,161.64,46.31,173.27,24.78,18.24,24.23,0.0,30.78,,0.48,,363.29,63.89,48.24,0.01,,,,,03-Apr-2018 - 00:00,"DTU, Delhi - CPCB"
03-Apr-2018 - 00:00,,126.38,42.51,171.22,20.79,16.78,21.6,0.06,31.45,,0.41,,354.88,86.41,50.75,0.01,,,,,04-Apr-2018 - 00:00,"DTU, Delhi - CPCB"
04-Apr-2018 - 00:00,,152.08,47.99,161.77,21.85,15.58,20.65,1.88,31.07,,0.37,,399.03,156.76,50.46,5.19,,,,,05-Apr-2018 - 00:00,"DTU, Delhi - CPCB"
05-Apr-2018 - 00:00,,232.74,44.42,163.34,24.14,5.55,13.63,18.33,31.38,5.87,0.29,,353.22,137.68,45.8,18.6,,,,,06-Apr-2018 - 00:00,"DTU, Delhi - CPCB"
06-Apr-2018 - 00:00,,176.11,41.13,127.38,20.97,2.59,8.78,6.55,31.21,10.15,0.66,,322.36,111.55,31.45,18.85,,,,,07-Apr-2018 - 00:00,"DTU, Delhi - CPCB"
07-Apr-2018 - 00:00,,131.77,44.36,219.46,13.7,2.41,5.45,10.17,31.0,7.26,0.49,,169.44,54.25,27.74,13.33,,,,,08-Apr-2018 - 00:00,"DTU, Delhi - CPCB"
08-Apr-2018 - 00:00,,72.48,42.04,211.78,6.81,1.95,3.03,8.78,31.35,6.71,0.77,,171.85,47.78,27.24,11.69,,,,,09-Apr-2018 - 00:00,"DTU, Delhi - CPCB"
09-Apr-2018 - 00:00,,123.68,66.32,127.71,7.5,1.07,2.62,7.88,29.03,8.06,0.66,,141.59,52.72,28.54,9.42,,,,,10-Apr-2018 - 00:00,"DTU, Delhi - CPCB"
10-Apr-2018 - 00:00,,122.83,56.35,190.87,13.23,1.42,5.17,12.65,30.26,12.08,0.43,,316.76,103.54,28.94,16.74,,,,,11-Apr-2018 - 00:00,"DTU, Delhi - CPCB"
11-Apr-2018 - 00:00,,79.04,59.88,170.26,15.84,2.33,6.5,10.73,29.58,6.34,1.03,,154.34,58.22,27.61,16.88,,,,,12-Apr-2018 - 00:00,"DTU, Delhi - CPCB"
12-Apr-2018 - 00:00,,207.64,45.68,243.98,18.15,1.93,7.58,4.52,30.94,6.73,0.44,,115.0,47.52,27.56,18.76,,,,,13-Apr-2018 - 00:00,"DTU, Delhi - CPCB"
13-Apr-2018 - 00:00,,223.58,30.1,259.52,17.43,1.71,7.37,7.03,31.79,10.08,0.39,,214.46,118.03,28.64,22.71,,,,,14-Apr-2018 - 00:00,"DTU, Delhi - CPCB"
14-Apr-2018 - 00:00,,217.17,24.75,237.0,16.05,1.44,5.9,8.65,32.3,10.47,0.47,,265.19,125.05,26.9,28.44,,,,,15-Apr-2018 - 00:00,"DTU, Delhi - CPCB"
15-Apr-2018 - 00:00,,211.95,28.09,224.98,16.6,1.73,6.1,9.71,32.62,11.43,0.3,,301.64,182.87,27.24,30.94,,,,,16-Apr-2018 - 00:00,"DTU, Delhi - CPCB"
16-Apr-2018 - 00:00,,124.8,28.97,166.83,15.76,2.42,5.88,10.56,32.54,13.65,0.65,,349.18,77.0,27.51,39.95,,,,,17-Apr-2018 - 00:00,"DTU, Delhi - CPCB"
17-Apr-2018 - 00:00,,198.22,28.2,228.33,16.35,1.56,6.68,8.26,32.8,11.07,0.48,,286.45,77.48,27.12,16.44,,,,,18-Apr-2018 - 00:00,"DTU, Delhi - CPCB"
18-Apr-2018 - 00:00,,259.24,22.18,247.17,13.61,1.8,5.56,6.96,33.14,6.83,0.6,,320.42,67.55,26.81,7.89,,,,,19-Apr-2018 - 00:00,"DTU, Delhi - CPCB"
19-Apr-2018 - 00:00,,224.32,21.91,221.76,19.04,2.96,8.52,26.21,33.22,8.45,0.42,,333.96,83.23,28.69,10.22,,,,,20-Apr-2018 - 00:00,"DTU, Delhi - CPCB"
20-Apr-2018 - 00:00,0.0,177.87,21.02,186.49,14.35,2.91,5.58,14.62,32.9,6.99,0.8,,478.53,79.97,28.22,7.18,0.0,,,0.0,21-Apr-2018 - 00:00,"DTU, Delhi - CPCB"
21-Apr-2018 - 00:00,0.0,257.94,29.76,201.5,14.49,2.82,6.87,16.79,32.18,5.35,0.44,,473.65,76.45,27.85,2.64,0.0,,,0.0,22-Apr-2018 - 00:00,"DTU, Delhi - CPCB"
22-Apr-2018 - 00:00,0.0,256.7,15.41,269.82,14.59,2.54,7.01,6.18,28.14,4.59,0.64,,205.26,47.91,22.31,7.33,,,,0.0,23-Apr-2018 - 00:00,"DTU, Delhi - CPCB"
23-Apr-2018 - 00:00,,257.37,15.5,355.6,16.14,3.12,6.86,8.56,33.24,5.55,0.68,,232.78,63.72,27.71,6.71,,,,,24-Apr-2018 - 00:00,"DTU, Delhi - CPCB"
24-Apr-2018 - 00:00,100.0,,,,,,,,,,,,,,,,,,,24.23,25-Apr-2018 - 00:00,"DTU, Delhi - CPCB"
25-Apr-2018 - 00:00,100.0,,,,,,,,,,,,,,,,,,,51.4,26-Apr-2018 - 00:00,"DTU, Delhi - CPCB"
26-Apr-2018 - 00:00,0.0,101.33,18.61,233.88,18.38,4.22,8.16,,34.33,,0.37,,451.74,124.9,27.35,,,,,0.0,27-Apr-2018 - 00:00,"DTU, Delhi - CPCB"
27-Apr-2018 - 00:00,0.0,108.7,39.02,197.52,14.49,2.15,5.78,8.88,32.62,11.19,0.49,,387.91,103.1,27.85,10.85,,,,0.0,28-Apr-2018 - 00:00,"DTU, Delhi - CPCB"
28-Apr-2018 - 00:00,0.0,76.95,38.19,197.53,11.78,1.68,5.12,9.95,32.92,8.37,0.71,,372.66,76.14,28.08,8.91,,,,0.0,29-Apr-2018 - 00:00,"DTU, Delhi - CPCB"
29-Apr-2018 - 00:00,0.0,122.68,37.49,184.23,14.05,1.77,6.0,11.86,32.94,11.38,0.32,,329.95,93.97,27.84,12.38,,,,0.0,30-Apr-2018 - 00:00,"DTU, Delhi - CPCB"
30-Apr-2018 - 00:00,19.25,142.89,33.91,272.7,11.82,1.07,4.71,12.88,33.2,10.55,0.41,,247.47,91.45,27.44,9.76,,,,1.85,01-May-2018 - 00:00,"DTU, Delhi - CPCB"
01-May-2018 - 00:00,,,,,,,,,,,,,,,,,,,,,02-May-2018 - 00:00,"DTU, Delhi - CPCB"
02-May-2018 - 00:00,38.1,105.09,40.69,215.54,13.25,2.34,5.58,8.58,32.35,5.69,0.93,,290.94,54.57,26.68,5.06,0.96,,,0.0,03-May-2018 - 00:00,"DTU, Delhi - CPCB"
03-May-2018 - 00:00,2.67,89.66,43.42,191.64,12.51,2.59,5.5,7.05,31.76,5.68,0.95,,171.36,39.81,27.41,5.95,1.5,,,0.0,04-May-2018 - 00:00,"DTU, Delhi - CPCB"
04-May-2018 - 00:00,2.57,85.94,45.4,229.76,13.93,1.67,5.97,9.22,32.03,6.51,0.57,,134.18,38.41,28.18,6.63,1.14,,,0.27,05-May-2018 - 00:00,"DTU, Delhi - CPCB"
05-May-2018 - 00:00,2.42,136.11,35.62,222.19,16.0,2.47,7.09,25.02,33.03,10.62,0.3,,216.39,74.71,28.32,9.14,1.32,,,0.22,06-May-2018 - 00:00,"DTU, Delhi - CPCB"
06-May-2018 - 00:00,-0.01,115.07,33.28,214.09,14.02,1.77,5.65,13.66,32.6,13.19,0.96,,336.47,123.01,28.33,10.86,-0.01,,,-0.01,07-May-2018 - 00:00,"DTU, Delhi - CPCB"
07-May-2018 - 00:00,-0.01,209.18,29.88,209.06,14.53,1.9,6.36,13.09,33.13,12.49,0.35,,350.53,155.19,28.72,10.2,-0.01,,,-0.01,08-May-2018 - 00:00,"DTU, Delhi - CPCB"
08-May-2018 - 00:00,-0.01,221.34,37.38,216.87,14.03,2.17,6.29,5.89,31.97,4.89,0.56,,162.2,51.42,27.99,4.97,-0.01,,,-0.01,09-May-2018 - 00:00,"DTU, Delhi - CPCB"
09-May-2018 - 00:00,-0.01,190.95,63.65,187.61,14.81,1.82,5.72,9.73,29.87,9.96,0.29,,188.98,83.22,27.97,10.76,-0.01,,,-0.01,10-May-2018 - 00:00,"DTU, Delhi - CPCB"
10-May-2018 - 00:00,-0.01,237.7,56.0,139.24,16.65,1.59,6.47,15.59,30.33,16.84,0.25,,300.07,134.48,27.74,9.5,-0.01,,,-0.01,11-May-2018 - 00:00,"DTU, Delhi - CPCB"
11-May-2018 - 00:00,-0.01,,22.14,448.21,54.1,95.15,88.75,24.25,34.7,14.89,,,423.68,175.55,20.67,14.31,-0.01,,,-0.01,12-May-2018 - 00:00,"DTU, Delhi - CPCB"
12-May-2018 - 00:00,-0.01,,,,99.57,238.96,206.77,15.6,,18.65,,,378.36,,14.42,17.79,-0.01,,,-0.01,13-May-2018 - 00:00,"DTU, Delhi - CPCB"
13-May-2018 - 00:00,-0.01,,,,71.17,58.22,87.91,9.24,,7.5,,,286.43,,73.47,11.91,-0.01,,,-0.01,14-May-2018 - 00:00,"DTU, Delhi - CPCB"
14-May-2018 - 00:00,1.05,242.81,37.81,,62.52,50.79,77.04,7.49,37.56,7.46,2.63,,172.12,42.28,73.71,11.41,0.92,,,0.4,15-May-2018 - 00:00,"DTU, Delhi - CPCB"
15-May-2018 - 00:00,2.62,,49.52,917.6,60.07,47.03,73.07,10.29,37.79,9.21,,,210.06,37.79,73.69,14.07,1.85,,,0.89,16-May-2018 - 00:00,"DTU, Delhi - CPCB"
16-May-2018 - 00:00,2.35,82.46,55.61,869.52,52.35,43.83,65.19,5.86,37.75,4.83,24.12,,215.09,34.59,74.13,9.23,1.31,,,0.76,17-May-2018 - 00:00,"DTU, Delhi - CPCB"
