from date,Ozone,NO,NO2,NOx,SO2,Benzene,Xylene,Toluene,WS,RH,WD,SR,PM2.5,PM10,Temp,RF,AP,CO,to date,station
12-Sep-2018 - 00:00,6.94,8.68,10.07,18.4,27.08,0.16,,0.05,0.28,,160.74,,31.37,59.76,42.56,0.02,28.53,1.05,13-Sep-2018 - 00:00,"Karve Road, Pune - MPCB"
13-Sep-2018 - 00:00,6.83,8.53,9.9,18.09,26.62,0.09,,0.03,0.28,,137.09,,21.5,33.5,49.24,0.01,20.85,1.02,14-Sep-2018 - 00:00,"Karve Road, Pune - MPCB"
14-Sep-2018 - 00:00,7.01,8.77,10.17,18.58,27.35,0.14,,0.04,0.28,,150.35,,17.45,34.03,41.32,0.01,36.61,1.04,15-Sep-2018 - 00:00,"Karve Road, Pune - MPCB"
15-Sep-2018 - 00:00,7.02,8.77,10.18,18.6,27.37,0.18,,0.05,0.28,,143.25,,17.62,36.27,48.2,0.02,36.6,1.1,16-Sep-2018 - 00:00,"Karve Road, Pune - MPCB"
16-Sep-2018 - 00:00,6.85,8.57,9.94,18.16,26.73,0.22,,0.04,0.28,,152.49,,17.81,36.3,49.35,0.04,36.65,1.08,17-Sep-2018 - 00:00,"Karve Road, Pune - MPCB"
17-Sep-2018 - 00:00,8.37,10.47,12.14,20.88,32.66,0.15,,0.04,0.28,,175.33,,26.8,48.66,43.57,0.02,36.68,1.01,18-Sep-2018 - 00:00,"Karve Road, Pune - MPCB"
18-Sep-2018 - 00:00,7.06,8.83,10.24,18.7,27.55,0.14,,0.04,0.28,,181.73,,28.88,61.9,44.68,0.02,36.61,1.02,19-Sep-2018 - 00:00,"Karve Road, Pune - MPCB"
19-Sep-2018 - 00:00,7.44,9.3,10.79,19.33,28.96,0.33,,0.1,0.28,,127.97,,33.48,63.82,55.78,0.03,33.12,1.12,20-Sep-2018 - 00:00,"Karve Road, Pune - MPCB"
20-Sep-2018 - 00:00,8.06,10.06,11.67,20.6,31.38,0.34,,0.12,0.28,,71.13,0.25,41.59,82.49,45.19,0.03,30.98,1.11,21-Sep-2018 - 00:00,"Karve Road, Pune - MPCB"
21-Sep-2018 - 00:00,9.24,11.55,13.39,21.32,36.03,0.29,,0.09,0.28,,104.76,,44.96,86.42,52.66,0.03,36.6,1.08,22-Sep-2018 - 00:00,"Karve Road, Pune - MPCB"
22-Sep-2018 - 00:00,8.71,10.89,12.63,21.0,33.97,0.17,,0.06,0.28,,148.53,,42.58,85.71,51.13,0.02,36.76,1.06,23-Sep-2018 - 00:00,"Karve Road, Pune - MPCB"
23-Sep-2018 - 00:00,8.62,10.78,12.5,19.38,33.61,0.13,,0.04,0.28,,161.51,,36.68,73.24,44.62,0.01,36.84,1.03,24-Sep-2018 - 00:00,"Karve Road, Pune - MPCB"
24-Sep-2018 - 00:00,6.99,8.73,10.13,18.47,27.25,0.12,,0.04,0.28,,175.56,,34.28,78.7,42.88,0.01,37.05,1.08,25-Sep-2018 - 00:00,"Karve Road, Pune - MPCB"
25-Sep-2018 - 00:00,6.99,8.74,10.14,18.53,27.27,0.23,,0.06,0.28,,154.92,,42.46,83.93,40.09,0.03,37.15,1.08,26-Sep-2018 - 00:00,"Karve Road, Pune - MPCB"
26-Sep-2018 - 00:00,7.43,9.29,10.77,19.56,28.96,0.5,,0.19,0.28,,119.86,0.25,49.75,97.97,38.96,0.05,34.84,1.21,27-Sep-2018 - 00:00,"Karve Road, Pune - MPCB"
27-Sep-2018 - 00:00,7.05,8.81,10.22,18.66,27.48,0.61,,0.22,0.28,,111.95,0.25,46.78,83.17,41.34,0.05,34.62,1.24,28-Sep-2018 - 00:00,"Karve Road, Pune - MPCB"
28-Sep-2018 - 00:00,7.17,8.96,10.4,18.94,27.97,0.5,,0.15,0.28,,94.04,,47.93,86.86,41.89,0.04,36.67,1.21,29-Sep-2018 - 00:00,"Karve Road, Pune - MPCB"
29-Sep-2018 - 00:00,6.84,8.55,9.91,18.09,26.67,0.43,,0.12,0.28,,68.44,0.25,45.42,73.67,43.31,0.04,37.29,1.16,30-Sep-2018 - 00:00,"Karve Road, Pune - MPCB"
30-Sep-2018 - 00:00,6.96,8.7,10.09,18.44,27.15,0.45,,0.14,0.28,,78.19,,49.9,83.61,44.56,0.03,37.31,1.21,01-Oct-2018 - 00:00,"Karve Road, Pune - MPCB"
01-Oct-2018 - 00:00,6.92,8.65,10.04,18.34,27.0,0.5,,0.16,0.28,945.1,91.68,0.12,48.89,85.09,45.92,0.04,36.16,1.24,02-Oct-2018 - 00:00,"Karve Road, Pune - MPCB"
02-Oct-2018 - 00:00,6.96,8.71,10.1,18.46,27.16,0.45,,0.15,0.28,,136.24,0.25,47.39,79.32,44.73,0.04,38.39,1.23,03-Oct-2018 - 00:00,"Karve Road, Pune - MPCB"
03-Oct-2018 - 00:00,6.72,8.39,9.73,17.38,26.18,0.5,,0.17,0.28,,126.37,,42.45,75.37,36.58,0.05,37.45,1.22,04-Oct-2018 - 00:00,"Karve Road, Pune - MPCB"
04-Oct-2018 - 00:00,6.86,8.57,9.94,18.05,26.74,0.51,,0.17,0.28,,106.74,0.25,39.29,68.54,49.53,0.04,37.27,1.24,05-Oct-2018 - 00:00,"Karve Road, Pune - MPCB"
