from date,PM2.5,BP,Temp,SR,RH,RF,WS,WD,PM10,VWS,SO2,NO,NOx,NO2,CO,Benzene,Toluene,MP-Xylene,Xylene,Eth-Benzene,Ozone,to date,station
15-Feb-2018 - 00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,38.2,0.0,0.99,0.0,0.0,1.02,0.0,,0.0,16-Feb-2018 - 00:00,"Bandra, Mumbai - MPCB"
16-Feb-2018 - 00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,62.77,0.0,0.97,0.0,0.0,1.82,0.0,,0.0,17-Feb-2018 - 00:00,"Bandra, Mumbai - MPCB"
17-Feb-2018 - 00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,51.78,0.0,0.99,0.0,0.0,1.71,0.0,,0.0,18-Feb-2018 - 00:00,"Bandra, Mumbai - MPCB"
18-Feb-2018 - 00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,68.1,0.0,0.99,0.0,0.0,1.84,0.0,,0.0,19-Feb-2018 - 00:00,"Bandra, Mumbai - MPCB"
19-Feb-2018 - 00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,77.96,0.0,1.08,0.0,0.0,2.42,0.0,,0.0,20-Feb-2018 - 00:00,"Bandra, Mumbai - MPCB"
20-Feb-2018 - 00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.85,0.0,57.32,0.0,1.18,0.0,0.0,1.93,0.0,,36.22,21-Feb-2018 - 00:00,"Bandra, Mumbai - MPCB"
21-Feb-2018 - 00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.75,65.83,0.0,1.22,0.0,0.0,1.35,0.0,,33.86,22-Feb-2018 - 00:00,"Bandra, Mumbai - MPCB"
22-Feb-2018 - 00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30.94,106.09,0.0,1.52,0.0,0.0,2.9,0.0,,0.0,23-Feb-2018 - 00:00,"Bandra, Mumbai - MPCB"
23-Feb-2018 - 00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02,0.0,0.0,105.56,0.0,1.38,0.0,0.0,1.4,0.0,,0.0,24-Feb-2018 - 00:00,"Bandra, Mumbai - MPCB"
24-Feb-2018 - 00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,45.07,193.68,0.0,1.56,0.0,0.0,3.01,0.0,,0.0,25-Feb-2018 - 00:00,"Bandra, Mumbai - MPCB"
25-Feb-2018 - 00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.81,175.44,0.0,1.69,0.0,0.0,2.6,0.0,,0.0,26-Feb-2018 - 00:00,"Bandra, Mumbai - MPCB"
26-Feb-2018 - 00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.59,206.57,0.0,1.67,0.0,0.0,2.83,0.0,,0.0,27-Feb-2018 - 00:00,"Bandra, Mumbai - MPCB"
27-Feb-2018 - 00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.16,0.0,0.0,273.96,0.37,1.83,0.0,0.0,3.39,0.0,,0.0,28-Feb-2018 - 00:00,"Bandra, Mumbai - MPCB"
28-Feb-2018 - 00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.92,241.02,0.0,1.93,0.0,0.0,4.87,0.0,,0.59,01-Mar-2018 - 00:00,"Bandra, Mumbai - MPCB"
01-Mar-2018 - 00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.26,224.45,0.0,1.98,0.0,0.0,2.23,0.0,,0.0,02-Mar-2018 - 00:00,"Bandra, Mumbai - MPCB"
02-Mar-2018 - 00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,118.66,0.0,2.07,0.0,0.0,1.81,0.0,,0.0,03-Mar-2018 - 00:00,"Bandra, Mumbai - MPCB"
03-Mar-2018 - 00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,116.77,0.0,1.86,0.0,0.0,1.97,0.0,,0.0,04-Mar-2018 - 00:00,"Bandra, Mumbai - MPCB"
04-Mar-2018 - 00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,53.43,0.0,1.7,0.0,0.0,0.92,0.0,,0.0,05-Mar-2018 - 00:00,"Bandra, Mumbai - MPCB"
05-Mar-2018 - 00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,82.4,0.0,1.72,0.0,0.0,1.0,0.0,,0.0,06-Mar-2018 - 00:00,"Bandra, Mumbai - MPCB"
06-Mar-2018 - 00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,73.58,0.0,1.79,0.0,0.0,1.42,0.0,,0.0,07-Mar-2018 - 00:00,"Bandra, Mumbai - MPCB"
07-Mar-2018 - 00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,32.73,0.0,1.69,0.0,0.0,0.86,0.0,,0.0,08-Mar-2018 - 00:00,"Bandra, Mumbai - MPCB"
08-Mar-2018 - 00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,108.45,0.0,1.74,0.0,0.0,1.23,0.0,,0.0,09-Mar-2018 - 00:00,"Bandra, Mumbai - MPCB"
