from date,AT,Benzene,Toluene,Xylene,Eth-Benzene,MP-Xylene,CO,NO,NO2,NOx,Ozone,PM2.5,RH,SO2,SR,VWS,WD,WS,to date,BP,station
21-Aug-2018 - 00:00,28.75,5.8,24.64,0.65,,,2.7,28.69,65.96,53.59,13.51,47.97,49.71,140.38,174.71,0.43,201.32,0.91,22-Aug-2018 - 00:00,,"Maninagar, Ahmedabad - GPCB"
22-Aug-2018 - 00:00,28.47,5.62,28.72,0.65,,,0.13,31.92,61.4,53.77,13.32,40.97,49.05,124.84,114.82,0.43,188.41,1.08,23-Aug-2018 - 00:00,,"Maninagar, Ahmedabad - GPCB"
23-Aug-2018 - 00:00,28.99,5.26,28.29,1.07,,,0.21,30.29,60.29,52.02,16.05,38.82,50.27,151.82,188.3,0.43,201.31,1.61,24-Aug-2018 - 00:00,,"Maninagar, Ahmedabad - GPCB"
24-Aug-2018 - 00:00,29.02,4.7,23.16,0.65,,,0.23,34.12,63.15,56.0,13.9,48.95,50.34,91.11,166.37,0.43,178.15,1.82,25-Aug-2018 - 00:00,,"Maninagar, Ahmedabad - GPCB"
25-Aug-2018 - 00:00,28.76,4.88,22.07,0.65,,,0.4,36.08,56.11,54.3,8.5,33.15,49.72,96.63,197.8,0.43,201.29,1.91,26-Aug-2018 - 00:00,,"Maninagar, Ahmedabad - GPCB"
26-Aug-2018 - 00:00,28.55,4.38,19.07,0.65,,,0.41,31.3,52.23,48.84,,33.84,49.23,62.64,237.41,0.43,201.28,1.53,27-Aug-2018 - 00:00,,"Maninagar, Ahmedabad - GPCB"
27-Aug-2018 - 00:00,29.18,4.83,23.54,1.02,,,0.44,33.83,59.2,54.13,,46.48,50.73,39.14,390.37,0.43,201.27,1.12,28-Aug-2018 - 00:00,,"Maninagar, Ahmedabad - GPCB"
28-Aug-2018 - 00:00,29.6,4.59,28.86,0.79,,,0.44,25.69,66.13,51.43,,57.32,51.72,55.85,703.54,0.43,201.27,1.43,29-Aug-2018 - 00:00,,"Maninagar, Ahmedabad - GPCB"
29-Aug-2018 - 00:00,29.07,6.77,26.76,0.65,,,0.47,28.03,62.81,51.56,,50.09,50.45,45.86,277.4,0.44,201.27,1.26,30-Aug-2018 - 00:00,,"Maninagar, Ahmedabad - GPCB"
30-Aug-2018 - 00:00,29.16,5.41,25.26,0.83,,,0.51,32.73,55.32,51.41,,46.33,50.66,27.25,435.73,0.44,201.26,1.44,31-Aug-2018 - 00:00,,"Maninagar, Ahmedabad - GPCB"
31-Aug-2018 - 00:00,28.78,6.73,28.94,0.65,,,0.5,40.94,60.23,59.93,,38.67,49.77,60.88,,0.44,201.27,1.58,01-Sep-2018 - 00:00,,"Maninagar, Ahmedabad - GPCB"
01-Sep-2018 - 00:00,28.74,4.62,25.55,0.65,,,0.47,34.2,56.95,53.31,,33.2,49.68,84.96,497.06,0.44,201.27,1.74,02-Sep-2018 - 00:00,,"Maninagar, Ahmedabad - GPCB"
02-Sep-2018 - 00:00,28.59,4.41,23.55,0.65,,,0.4,28.95,48.81,45.41,,29.05,49.34,103.26,379.96,0.44,201.27,1.64,03-Sep-2018 - 00:00,,"Maninagar, Ahmedabad - GPCB"
03-Sep-2018 - 00:00,,,,,,,,,,,,,,,,,,,04-Sep-2018 - 00:00,,"Maninagar, Ahmedabad - GPCB"
04-Sep-2018 - 00:00,29.93,3.94,16.02,0.65,,,0.76,34.13,86.73,67.78,17.26,24.61,52.5,32.22,464.15,0.44,201.29,1.28,05-Sep-2018 - 00:00,,"Maninagar, Ahmedabad - GPCB"
05-Sep-2018 - 00:00,29.38,3.94,16.02,0.65,,,0.21,25.92,69.38,53.19,22.14,11.66,51.19,52.34,643.64,0.44,201.28,1.78,06-Sep-2018 - 00:00,,"Maninagar, Ahmedabad - GPCB"
06-Sep-2018 - 00:00,29.42,3.94,16.02,0.65,,,0.34,29.31,69.39,55.72,22.13,22.21,51.29,52.72,799.67,0.44,201.28,1.68,07-Sep-2018 - 00:00,,"Maninagar, Ahmedabad - GPCB"
07-Sep-2018 - 00:00,29.29,3.94,16.02,0.65,,,0.33,23.42,64.42,48.9,27.51,19.23,50.98,53.74,870.63,0.44,201.28,1.36,08-Sep-2018 - 00:00,,"Maninagar, Ahmedabad - GPCB"
08-Sep-2018 - 00:00,28.86,3.94,16.02,0.65,,,0.44,34.83,75.28,62.72,,22.25,49.96,58.97,751.47,0.44,201.27,1.32,09-Sep-2018 - 00:00,,"Maninagar, Ahmedabad - GPCB"
09-Sep-2018 - 00:00,28.32,3.94,16.02,0.65,,,0.43,42.49,73.8,67.71,,22.35,48.68,115.87,769.76,0.44,201.27,1.38,10-Sep-2018 - 00:00,,"Maninagar, Ahmedabad - GPCB"
10-Sep-2018 - 00:00,28.78,3.94,16.02,0.65,,,0.49,42.17,58.2,59.86,,18.3,49.78,98.11,822.92,0.44,201.26,0.91,11-Sep-2018 - 00:00,,"Maninagar, Ahmedabad - GPCB"
11-Sep-2018 - 00:00,29.45,3.94,16.02,0.65,,,0.43,31.72,57.37,51.66,,18.02,51.35,73.89,876.3,0.44,201.28,1.34,12-Sep-2018 - 00:00,,"Maninagar, Ahmedabad - GPCB"
12-Sep-2018 - 00:00,29.35,3.94,16.02,0.65,,,0.41,27.52,57.18,48.43,,16.44,51.13,51.43,689.76,0.44,201.28,1.44,13-Sep-2018 - 00:00,,"Maninagar, Ahmedabad - GPCB"
13-Sep-2018 - 00:00,29.3,3.94,16.02,0.65,,,0.37,27.65,52.96,46.47,,20.7,51.01,62.79,765.49,0.44,201.28,1.52,14-Sep-2018 - 00:00,,"Maninagar, Ahmedabad - GPCB"
14-Sep-2018 - 00:00,29.57,3.94,16.02,0.65,,,0.41,31.58,53.19,49.52,,21.15,51.65,60.87,709.62,0.44,201.28,1.28,15-Sep-2018 - 00:00,,"Maninagar, Ahmedabad - GPCB"
15-Sep-2018 - 00:00,30.01,3.94,16.02,0.65,,,0.41,34.31,63.67,56.67,,18.27,52.68,73.21,691.95,0.44,201.28,0.8,16-Sep-2018 - 00:00,,"Maninagar, Ahmedabad - GPCB"
16-Sep-2018 - 00:00,30.1,3.94,16.02,0.65,,,0.4,35.82,76.93,64.25,,22.13,52.88,70.93,623.5,0.44,201.29,0.89,17-Sep-2018 - 00:00,,"Maninagar, Ahmedabad - GPCB"
17-Sep-2018 - 00:00,30.23,3.94,16.02,0.65,,,0.39,31.84,83.99,64.73,,24.86,53.2,65.95,603.31,0.44,201.27,0.86,18-Sep-2018 - 00:00,,"Maninagar, Ahmedabad - GPCB"
18-Sep-2018 - 00:00,30.61,3.94,16.02,0.65,,,0.42,28.38,87.9,64.06,,27.43,54.08,70.67,716.79,0.44,201.28,0.91,19-Sep-2018 - 00:00,,"Maninagar, Ahmedabad - GPCB"
19-Sep-2018 - 00:00,30.95,3.94,16.02,0.65,,,0.33,22.45,74.16,52.92,,24.12,54.9,60.61,675.44,0.44,201.28,1.19,20-Sep-2018 - 00:00,,"Maninagar, Ahmedabad - GPCB"
20-Sep-2018 - 00:00,31.29,3.94,16.02,0.65,,,0.39,42.51,88.78,75.03,,24.97,55.69,40.79,661.6,0.44,201.28,1.34,21-Sep-2018 - 00:00,,"Maninagar, Ahmedabad - GPCB"
21-Sep-2018 - 00:00,32.05,3.94,16.02,0.65,,,0.26,20.36,100.84,64.39,,25.9,57.48,31.37,587.44,0.44,201.27,2.02,22-Sep-2018 - 00:00,,"Maninagar, Ahmedabad - GPCB"
22-Sep-2018 - 00:00,30.26,3.94,16.02,0.65,,,0.46,22.23,117.46,73.89,,22.09,53.26,40.84,410.22,0.44,201.29,0.81,23-Sep-2018 - 00:00,,"Maninagar, Ahmedabad - GPCB"
23-Sep-2018 - 00:00,28.92,3.94,16.02,0.65,,,0.48,22.18,62.82,47.19,,21.21,50.11,27.58,53.33,0.44,201.27,1.49,24-Sep-2018 - 00:00,,"Maninagar, Ahmedabad - GPCB"
24-Sep-2018 - 00:00,29.45,3.94,16.02,0.65,,,0.49,25.93,63.85,50.5,,21.83,51.35,25.4,77.66,0.44,201.27,1.16,25-Sep-2018 - 00:00,,"Maninagar, Ahmedabad - GPCB"
25-Sep-2018 - 00:00,29.9,3.94,16.02,0.65,,,0.39,28.47,87.66,64.01,,18.73,52.42,41.72,121.03,0.44,201.28,0.88,26-Sep-2018 - 00:00,,"Maninagar, Ahmedabad - GPCB"
26-Sep-2018 - 00:00,30.19,3.94,16.02,0.65,,,0.39,23.95,100.83,67.06,,21.92,53.11,74.51,124.55,0.44,201.28,0.71,27-Sep-2018 - 00:00,,"Maninagar, Ahmedabad - GPCB"
27-Sep-2018 - 00:00,30.79,3.94,16.02,0.65,,,0.4,22.4,138.08,84.07,54.67,24.48,54.53,46.74,112.12,0.44,201.28,0.65,28-Sep-2018 - 00:00,,"Maninagar, Ahmedabad - GPCB"
28-Sep-2018 - 00:00,31.22,3.94,16.02,0.65,,,0.36,39.78,166.86,111.08,37.79,25.56,55.54,59.66,586.36,0.44,201.28,0.67,29-Sep-2018 - 00:00,,"Maninagar, Ahmedabad - GPCB"
29-Sep-2018 - 00:00,31.32,3.94,16.02,0.65,,,0.38,45.55,171.76,117.78,53.41,29.63,55.77,61.0,,0.44,201.28,0.69,30-Sep-2018 - 00:00,,"Maninagar, Ahmedabad - GPCB"
30-Sep-2018 - 00:00,31.4,3.94,16.02,0.65,,,0.38,43.49,162.57,111.76,44.78,30.01,55.96,58.96,891.49,0.44,201.28,0.66,01-Oct-2018 - 00:00,,"Maninagar, Ahmedabad - GPCB"
01-Oct-2018 - 00:00,31.7,3.94,16.02,0.65,,,0.45,56.71,193.96,136.44,47.68,33.95,56.67,72.93,128.41,0.44,201.28,0.55,02-Oct-2018 - 00:00,,"Maninagar, Ahmedabad - GPCB"
02-Oct-2018 - 00:00,31.75,4.3,14.77,1.36,,,1.53,24.48,171.14,101.75,63.83,30.77,56.78,53.21,125.7,0.44,201.28,0.59,03-Oct-2018 - 00:00,,"Maninagar, Ahmedabad - GPCB"
03-Oct-2018 - 00:00,31.97,4.36,12.38,3.37,,,2.3,16.06,124.77,72.85,71.45,59.72,57.31,128.37,137.86,0.44,201.27,0.59,04-Oct-2018 - 00:00,,"Maninagar, Ahmedabad - GPCB"
04-Oct-2018 - 00:00,31.82,3.65,12.86,4.34,,,2.23,12.33,99.77,46.22,65.28,63.88,56.95,87.08,124.46,0.44,201.28,0.6,05-Oct-2018 - 00:00,,"Maninagar, Ahmedabad - GPCB"
05-Oct-2018 - 00:00,31.94,3.65,12.86,4.34,,,0.56,5.06,53.62,28.48,63.76,73.22,57.24,46.86,145.69,0.44,201.27,0.8,06-Oct-2018 - 00:00,,"Maninagar, Ahmedabad - GPCB"
06-Oct-2018 - 00:00,31.95,3.78,17.67,5.96,,,0.91,34.72,63.29,53.55,54.45,82.24,57.25,84.59,119.17,0.44,201.28,0.77,07-Oct-2018 - 00:00,,"Maninagar, Ahmedabad - GPCB"
07-Oct-2018 - 00:00,31.74,3.87,21.26,7.16,,,1.06,32.16,71.09,58.68,57.23,82.98,56.77,73.99,126.17,0.44,201.27,0.87,08-Oct-2018 - 00:00,,"Maninagar, Ahmedabad - GPCB"
08-Oct-2018 - 00:00,31.77,3.87,21.26,7.16,,,1.17,35.93,95.23,73.27,39.61,119.5,56.83,118.24,289.99,0.44,201.27,0.77,09-Oct-2018 - 00:00,,"Maninagar, Ahmedabad - GPCB"
09-Oct-2018 - 00:00,31.67,3.87,21.26,7.16,,,1.31,32.25,116.27,80.78,43.05,160.07,56.6,99.45,805.2,0.44,201.24,0.72,10-Oct-2018 - 00:00,,"Maninagar, Ahmedabad - GPCB"
10-Oct-2018 - 00:00,31.89,3.87,21.26,7.16,,,0.65,46.71,73.09,64.27,61.88,115.19,52.57,98.59,167.78,0.44,201.24,0.91,11-Oct-2018 - 00:00,,"Maninagar, Ahmedabad - GPCB"
11-Oct-2018 - 00:00,31.95,3.87,21.26,7.16,,,1.34,38.26,110.19,47.53,54.22,124.99,28.26,73.03,112.1,0.44,201.24,0.79,12-Oct-2018 - 00:00,,"Maninagar, Ahmedabad - GPCB"
12-Oct-2018 - 00:00,31.82,3.87,21.26,7.16,,,1.26,37.9,99.29,44.64,42.71,116.04,27.95,63.04,115.37,0.44,201.24,0.7,13-Oct-2018 - 00:00,,"Maninagar, Ahmedabad - GPCB"
13-Oct-2018 - 00:00,31.58,3.87,21.26,7.16,,,1.12,25.1,110.57,40.29,60.11,95.92,27.38,55.53,120.97,0.44,201.24,0.77,14-Oct-2018 - 00:00,,"Maninagar, Ahmedabad - GPCB"
14-Oct-2018 - 00:00,31.42,3.87,21.26,7.16,,,1.27,19.61,113.09,37.83,52.05,111.0,27.01,98.13,117.9,0.44,201.24,0.75,15-Oct-2018 - 00:00,,"Maninagar, Ahmedabad - GPCB"
15-Oct-2018 - 00:00,31.62,3.87,21.26,7.16,,,1.13,24.67,109.54,39.8,59.26,111.17,27.49,72.38,123.95,0.44,201.23,0.76,16-Oct-2018 - 00:00,,"Maninagar, Ahmedabad - GPCB"
16-Oct-2018 - 00:00,31.43,3.87,21.26,7.16,,,1.24,27.13,144.68,49.54,56.6,139.52,27.04,98.86,99.03,0.44,201.24,0.71,17-Oct-2018 - 00:00,,"Maninagar, Ahmedabad - GPCB"
17-Oct-2018 - 00:00,31.64,3.87,21.26,7.16,,,1.09,30.03,118.57,44.94,60.65,109.69,27.53,91.81,118.84,0.44,201.24,0.75,18-Oct-2018 - 00:00,,"Maninagar, Ahmedabad - GPCB"
18-Oct-2018 - 00:00,31.43,3.87,21.26,7.16,,,1.24,27.04,92.82,37.14,48.22,107.21,27.03,87.77,113.87,0.44,201.24,0.89,19-Oct-2018 - 00:00,,"Maninagar, Ahmedabad - GPCB"
19-Oct-2018 - 00:00,31.6,3.87,21.26,7.16,,,1.07,18.52,91.32,32.04,46.78,105.95,27.44,93.36,119.88,0.44,201.24,0.87,20-Oct-2018 - 00:00,,"Maninagar, Ahmedabad - GPCB"
20-Oct-2018 - 00:00,32.01,3.87,21.26,7.16,,,1.26,30.49,104.72,41.9,51.85,104.04,28.41,89.16,114.79,0.44,201.24,0.71,21-Oct-2018 - 00:00,,"Maninagar, Ahmedabad - GPCB"
21-Oct-2018 - 00:00,31.72,3.87,21.26,7.16,,,1.26,98.85,78.6,73.75,43.68,91.69,27.71,80.07,362.7,0.44,201.24,0.83,22-Oct-2018 - 00:00,,"Maninagar, Ahmedabad - GPCB"
22-Oct-2018 - 00:00,30.97,3.87,21.26,7.16,,,1.44,109.79,88.25,83.94,60.73,94.89,25.94,84.72,716.42,0.44,201.24,0.73,23-Oct-2018 - 00:00,,"Maninagar, Ahmedabad - GPCB"
23-Oct-2018 - 00:00,30.8,3.87,21.26,7.16,,,1.27,77.36,102.12,68.43,,126.39,25.54,67.28,230.45,0.44,201.24,0.82,24-Oct-2018 - 00:00,,"Maninagar, Ahmedabad - GPCB"
24-Oct-2018 - 00:00,30.85,3.87,21.26,7.16,,,1.15,33.94,110.12,45.1,125.54,100.71,25.65,49.5,214.76,0.44,201.24,0.87,25-Oct-2018 - 00:00,,"Maninagar, Ahmedabad - GPCB"
25-Oct-2018 - 00:00,31.02,3.87,21.26,7.16,,,1.42,57.18,138.04,64.69,48.66,124.51,26.07,75.44,217.75,0.44,201.23,0.63,26-Oct-2018 - 00:00,,"Maninagar, Ahmedabad - GPCB"
26-Oct-2018 - 00:00,30.4,3.87,21.26,7.16,,,0.87,24.8,77.4,32.23,49.81,78.43,24.59,59.91,373.23,0.45,201.23,0.82,27-Oct-2018 - 00:00,,"Maninagar, Ahmedabad - GPCB"
27-Oct-2018 - 00:00,32.68,3.87,21.26,7.16,,,2.1,90.71,75.82,72.95,66.15,80.78,29.99,41.43,431.64,0.45,201.23,0.72,28-Oct-2018 - 00:00,,"Maninagar, Ahmedabad - GPCB"
28-Oct-2018 - 00:00,30.99,3.87,21.26,7.16,,,1.22,31.89,51.85,29.95,44.98,91.29,26.0,67.35,492.25,0.45,201.23,0.65,29-Oct-2018 - 00:00,,"Maninagar, Ahmedabad - GPCB"
29-Oct-2018 - 00:00,30.7,8.48,29.53,43.67,,,1.09,19.79,74.34,28.71,47.74,82.82,25.32,59.72,660.79,0.44,201.24,0.69,30-Oct-2018 - 00:00,,"Maninagar, Ahmedabad - GPCB"
30-Oct-2018 - 00:00,29.87,39.03,27.69,92.99,,,0.93,25.98,70.98,30.81,53.09,91.24,23.34,66.26,729.74,0.44,201.24,0.78,31-Oct-2018 - 00:00,,"Maninagar, Ahmedabad - GPCB"
31-Oct-2018 - 00:00,29.7,9.69,24.91,3.51,,,1.02,24.64,74.75,31.51,63.05,80.43,22.94,48.83,735.92,0.44,201.24,0.84,01-Nov-2018 - 00:00,,"Maninagar, Ahmedabad - GPCB"
01-Nov-2018 - 00:00,30.16,9.24,47.29,7.41,,,1.33,54.17,81.43,49.37,54.49,75.31,24.03,40.19,732.75,0.44,201.24,0.73,02-Nov-2018 - 00:00,,"Maninagar, Ahmedabad - GPCB"
02-Nov-2018 - 00:00,30.58,18.23,35.79,6.81,,,1.22,45.95,113.76,52.66,46.92,75.04,25.02,66.36,794.26,0.44,201.24,0.71,03-Nov-2018 - 00:00,,"Maninagar, Ahmedabad - GPCB"
03-Nov-2018 - 00:00,30.67,36.47,38.99,20.04,,,1.47,67.95,98.45,61.27,52.82,102.98,25.23,59.39,875.36,0.44,201.24,0.65,04-Nov-2018 - 00:00,,"Maninagar, Ahmedabad - GPCB"
04-Nov-2018 - 00:00,30.78,71.27,72.37,48.4,,,1.76,49.76,53.93,40.32,56.6,71.88,25.5,64.58,880.55,0.44,201.23,0.67,05-Nov-2018 - 00:00,,"Maninagar, Ahmedabad - GPCB"
05-Nov-2018 - 00:00,30.17,36.24,69.22,27.42,,,1.19,41.99,114.31,50.58,55.01,113.68,24.05,52.86,897.22,0.44,201.24,0.83,06-Nov-2018 - 00:00,,"Maninagar, Ahmedabad - GPCB"
06-Nov-2018 - 00:00,29.58,15.73,54.28,11.2,,,0.96,32.47,107.36,43.63,55.14,117.08,22.66,74.67,897.37,0.45,201.24,1.0,07-Nov-2018 - 00:00,,"Maninagar, Ahmedabad - GPCB"
07-Nov-2018 - 00:00,28.79,17.45,52.21,12.15,,,1.29,61.12,89.98,68.66,67.02,220.29,20.79,39.82,880.23,0.45,201.24,0.75,08-Nov-2018 - 00:00,,"Maninagar, Ahmedabad - GPCB"
08-Nov-2018 - 00:00,28.83,20.08,54.46,13.15,,,1.43,78.66,104.51,73.25,61.06,602.66,20.89,69.76,848.15,0.44,201.24,0.65,09-Nov-2018 - 00:00,,"Maninagar, Ahmedabad - GPCB"
09-Nov-2018 - 00:00,28.98,17.34,49.44,11.55,,,1.38,66.08,97.65,60.04,43.73,151.18,21.26,54.11,832.74,0.44,201.23,0.71,10-Nov-2018 - 00:00,,"Maninagar, Ahmedabad - GPCB"
10-Nov-2018 - 00:00,29.31,19.12,52.46,13.33,,,1.75,31.21,104.19,87.58,,119.7,22.03,56.82,812.46,0.44,201.23,0.69,11-Nov-2018 - 00:00,,"Maninagar, Ahmedabad - GPCB"
11-Nov-2018 - 00:00,29.63,18.53,55.12,13.78,,,1.37,66.69,106.51,63.24,,131.54,22.78,51.35,829.75,0.44,201.23,0.61,12-Nov-2018 - 00:00,,"Maninagar, Ahmedabad - GPCB"
12-Nov-2018 - 00:00,29.76,21.53,55.2,13.52,,,1.64,79.09,117.16,76.7,,97.16,23.09,61.14,806.86,0.44,201.23,0.53,13-Nov-2018 - 00:00,,"Maninagar, Ahmedabad - GPCB"
13-Nov-2018 - 00:00,29.79,24.67,59.25,14.54,,,1.49,68.39,161.26,76.46,,129.71,23.16,103.29,805.43,0.44,201.24,0.58,14-Nov-2018 - 00:00,,"Maninagar, Ahmedabad - GPCB"
14-Nov-2018 - 00:00,29.59,3.97,32.2,6.81,,,1.52,40.64,137.05,55.24,82.77,141.35,22.68,92.3,722.93,0.44,201.24,0.57,15-Nov-2018 - 00:00,,"Maninagar, Ahmedabad - GPCB"
15-Nov-2018 - 00:00,29.75,3.97,32.2,6.81,,,1.28,32.47,94.52,40.57,37.77,82.05,23.06,48.98,661.38,0.44,201.24,0.88,16-Nov-2018 - 00:00,,"Maninagar, Ahmedabad - GPCB"
16-Nov-2018 - 00:00,29.24,3.97,32.2,6.81,,,1.24,55.12,65.99,46.4,67.27,78.08,21.86,46.62,657.44,0.45,201.21,0.92,17-Nov-2018 - 00:00,,"Maninagar, Ahmedabad - GPCB"
17-Nov-2018 - 00:00,29.13,3.97,32.2,6.81,,,2.15,58.2,85.51,107.93,50.34,98.97,21.6,64.35,653.08,0.44,201.22,0.62,18-Nov-2018 - 00:00,,"Maninagar, Ahmedabad - GPCB"
18-Nov-2018 - 00:00,29.2,3.97,32.2,6.81,,,2.45,112.25,79.01,119.05,45.04,123.18,21.77,62.5,632.22,0.44,201.22,0.56,19-Nov-2018 - 00:00,,"Maninagar, Ahmedabad - GPCB"
19-Nov-2018 - 00:00,29.31,3.97,32.2,6.81,,,1.7,86.14,86.79,68.62,52.53,98.36,22.04,83.13,632.78,0.44,201.23,0.67,20-Nov-2018 - 00:00,,"Maninagar, Ahmedabad - GPCB"
20-Nov-2018 - 00:00,29.49,3.97,32.2,6.81,,,1.96,77.6,81.28,86.38,40.05,86.06,22.46,69.7,654.37,0.45,201.23,0.63,21-Nov-2018 - 00:00,,"Maninagar, Ahmedabad - GPCB"
21-Nov-2018 - 00:00,29.67,3.97,32.2,6.81,,,2.2,106.23,70.25,83.07,36.06,86.23,22.87,43.75,670.96,0.45,201.23,0.62,22-Nov-2018 - 00:00,,"Maninagar, Ahmedabad - GPCB"
22-Nov-2018 - 00:00,29.93,3.97,32.2,6.81,,,1.34,39.87,92.05,44.11,41.9,86.25,23.5,65.09,701.78,0.45,201.23,0.87,23-Nov-2018 - 00:00,,"Maninagar, Ahmedabad - GPCB"
23-Nov-2018 - 00:00,29.79,3.97,32.2,6.81,,,1.11,44.52,71.01,41.6,50.01,77.4,23.15,58.97,701.5,0.45,201.24,0.98,24-Nov-2018 - 00:00,,"Maninagar, Ahmedabad - GPCB"
24-Nov-2018 - 00:00,29.23,3.97,32.2,6.81,,,1.19,36.2,83.08,39.93,47.33,78.99,21.84,59.01,703.17,0.45,201.24,0.8,25-Nov-2018 - 00:00,,"Maninagar, Ahmedabad - GPCB"
25-Nov-2018 - 00:00,28.96,3.97,32.2,6.81,,,1.07,20.18,101.43,35.38,47.71,70.61,21.2,66.53,698.77,0.45,201.24,0.66,26-Nov-2018 - 00:00,,"Maninagar, Ahmedabad - GPCB"
26-Nov-2018 - 00:00,28.45,3.97,32.2,6.81,,,0.96,16.74,84.35,29.39,56.5,77.43,20.0,61.94,703.64,0.45,201.24,0.77,27-Nov-2018 - 00:00,,"Maninagar, Ahmedabad - GPCB"
27-Nov-2018 - 00:00,27.96,3.97,32.2,6.81,,,0.88,10.08,75.34,23.54,61.09,63.02,18.85,63.87,709.49,0.45,201.24,0.76,28-Nov-2018 - 00:00,,"Maninagar, Ahmedabad - GPCB"
28-Nov-2018 - 00:00,27.84,3.99,32.22,6.85,,,1.02,8.84,76.63,23.16,70.72,69.91,18.55,49.84,702.66,0.45,201.24,0.82,29-Nov-2018 - 00:00,,"Maninagar, Ahmedabad - GPCB"
29-Nov-2018 - 00:00,27.55,4.0,32.25,6.88,,,1.23,37.66,64.6,36.34,56.07,92.84,17.87,37.29,731.76,0.45,201.24,0.91,30-Nov-2018 - 00:00,,"Maninagar, Ahmedabad - GPCB"
30-Nov-2018 - 00:00,27.49,4.04,32.27,6.91,,,1.2,29.08,81.16,35.51,46.58,92.11,17.73,41.59,722.68,0.45,201.24,0.89,01-Dec-2018 - 00:00,,"Maninagar, Ahmedabad - GPCB"
01-Dec-2018 - 00:00,27.22,4.04,32.3,6.9,,,1.28,41.34,79.48,41.94,42.44,98.03,17.08,52.71,720.88,0.45,201.24,0.77,02-Dec-2018 - 00:00,,"Maninagar, Ahmedabad - GPCB"
02-Dec-2018 - 00:00,27.09,4.04,32.27,6.89,,,0.71,24.61,93.0,35.83,38.42,89.59,16.79,51.18,711.96,0.44,201.24,0.67,03-Dec-2018 - 00:00,,"Maninagar, Ahmedabad - GPCB"
03-Dec-2018 - 00:00,27.32,4.07,32.3,6.89,,,0.53,27.3,82.78,34.9,42.56,89.73,17.34,37.01,725.16,0.44,201.24,0.76,04-Dec-2018 - 00:00,,"Maninagar, Ahmedabad - GPCB"
04-Dec-2018 - 00:00,27.47,4.06,32.31,6.93,,,0.53,29.99,79.3,35.57,42.63,96.77,17.67,31.81,713.51,0.45,201.24,0.71,05-Dec-2018 - 00:00,,"Maninagar, Ahmedabad - GPCB"
05-Dec-2018 - 00:00,27.68,4.08,32.3,6.95,,,0.55,31.0,92.27,39.22,41.31,96.04,18.19,34.57,720.22,0.45,201.24,0.77,06-Dec-2018 - 00:00,,"Maninagar, Ahmedabad - GPCB"
06-Dec-2018 - 00:00,27.55,4.08,32.31,6.93,,,0.56,38.96,103.35,46.29,43.76,107.5,17.86,71.68,718.61,0.44,201.24,0.78,07-Dec-2018 - 00:00,,"Maninagar, Ahmedabad - GPCB"
07-Dec-2018 - 00:00,27.28,4.05,32.33,6.95,,,0.48,27.08,99.1,38.67,43.43,96.46,17.23,66.33,721.01,0.44,201.24,0.73,08-Dec-2018 - 00:00,,"Maninagar, Ahmedabad - GPCB"
08-Dec-2018 - 00:00,27.37,4.06,32.31,6.94,,,0.5,9.44,73.81,22.82,56.14,72.63,17.46,46.25,723.61,0.45,201.24,1.11,09-Dec-2018 - 00:00,,"Maninagar, Ahmedabad - GPCB"
09-Dec-2018 - 00:00,27.34,4.08,32.35,6.95,,,0.59,33.89,87.81,39.77,50.21,75.28,17.38,46.61,724.51,0.45,201.24,0.81,10-Dec-2018 - 00:00,,"Maninagar, Ahmedabad - GPCB"
10-Dec-2018 - 00:00,27.18,4.06,32.34,6.95,,,0.52,58.27,110.18,58.67,40.06,98.66,17.0,60.06,730.78,0.44,201.24,0.61,11-Dec-2018 - 00:00,,"Maninagar, Ahmedabad - GPCB"
11-Dec-2018 - 00:00,27.46,4.12,32.32,6.95,,,0.51,65.93,99.76,60.45,31.74,120.22,17.66,109.35,729.87,0.45,201.24,0.7,12-Dec-2018 - 00:00,,"Maninagar, Ahmedabad - GPCB"
12-Dec-2018 - 00:00,27.48,4.08,32.36,6.95,,,0.61,34.29,79.66,38.05,40.39,90.66,17.71,53.23,749.19,0.45,201.24,1.25,13-Dec-2018 - 00:00,,"Maninagar, Ahmedabad - GPCB"
13-Dec-2018 - 00:00,25.91,4.06,32.31,6.93,,,0.51,14.29,78.03,26.52,55.94,69.88,14.01,68.96,747.3,0.45,201.24,1.4,14-Dec-2018 - 00:00,,"Maninagar, Ahmedabad - GPCB"
14-Dec-2018 - 00:00,25.11,4.07,32.3,6.9,,,0.47,7.37,57.71,17.84,62.93,56.36,12.11,39.1,739.65,0.45,201.24,1.38,15-Dec-2018 - 00:00,,"Maninagar, Ahmedabad - GPCB"
15-Dec-2018 - 00:00,25.06,4.08,32.33,6.97,,,0.53,7.22,48.13,15.48,71.51,59.35,12.01,21.57,754.35,0.45,201.24,1.34,16-Dec-2018 - 00:00,,"Maninagar, Ahmedabad - GPCB"
16-Dec-2018 - 00:00,24.87,4.04,32.31,6.94,,,0.51,6.99,43.37,14.21,76.49,54.98,11.55,19.92,761.47,0.45,201.25,1.35,17-Dec-2018 - 00:00,,"Maninagar, Ahmedabad - GPCB"
17-Dec-2018 - 00:00,25.47,4.06,32.31,6.93,,,0.49,7.68,55.86,17.57,73.57,62.76,12.98,29.5,769.73,0.45,201.24,1.23,18-Dec-2018 - 00:00,,"Maninagar, Ahmedabad - GPCB"
